Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,12.168958360841499,0.00045679998584091663,0.10123680019751191,12.436374100157991,12.63624751996249,12.886457900051028,13.136380020156503,13.419668900081888,13.419668900081888,0.0012953002005815506,0.10121620004065335,28.419715099968016,15.001171800075099,28.519711800152436,0.0026519999373704195,0.10117949987761676,34.51968710008077,6.001166800037026,34.61976020014845,34.61976020014845,0.00132719986140728,0.10116379987448454,space,3.527780400123447,38.20304420008324,38.20304420008324,5.119992420077324e-05,0.09777879994362593,num_9,3.496233700076118,41.73638831996359,0.0020481001120060682,0.09730880009010434,42.03634089999832,42.51974791996181,42.83634770009667,43.31967262001708,43.6365370999556,43.71971009997651,51.73638490005396,51.73638490005396,51.73636352000758,0.0012246000114828348,0.09739380003884435,52.73635379993357,53.73635410005227,53.90294130006805,54.41967450012453,10.01388610014692,61.85293950000778,0.01676979986950755,61.85293950000778,0.11411079997196794,3.0,4.714900000020862,66.60300460015424,0.0025552997831255198,0.097332599805668,72.60314220003784,72.78625622005202,6.213946199975908,6.3138551998417825,73.78630529996008,92.78614322012291,92.78633709996939,26.213909599930048,26.313789299922064,93.78617570013739,95.80300940014422,95.80300940014422,0.0004765999037772417,0.09735059994272888,125.81957629998215,30.013738499954343,,,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,125.91955430014059,0.014468699926510453,0.11371829989366233,131.93638160009868,6.030461699934676,132.03630420006812,132.03630420006812,0.03064959985204041,0.13039539963938296,space,2.7027803000528365,134.80287649994716,134.80287649994716,6.069988012313843e-05,0.09796139993704855,num_9,2.7210278999991715,137.56955082002096,0.0022148999851197004,0.09793819999322295,137.88638560008258,138.35274132001214,138.6527668000199,139.15285171996803,139.45284710009582,139.55288480012678,147.56973410001956,147.56973410001956,147.56970352013596,0.001336399931460619,0.09791900007985532,148.58624730003066,149.5861806999892,149.7528671999462,150.25283870007843,10.014519700082019,157.68612780002877,0.015505799790844321,157.68612780002877,0.11440479988232255,4.0,3.3506338000297546,161.06974090007134,0.0015519000589847565,0.09913650015369058,167.06961330003105,167.2527590201702,6.2157482001930475,6.315747500164434,168.25277130003087,187.25274431994185,187.2528018001467,26.215770800132304,26.315722899977118,188.2527437999379,190.2694374001585,190.2694374001585,0.0016868000384420156,0.09901640005409718,220.28603790001944,30.015771000180393,,,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,220.386082299985,0.016399099957197905,0.11569080012850463,226.38603310007602,6.015581400133669,226.48606360005215,226.48606360005215,0.015824500005692244,0.1156234999652952,space,2.2054713999386877,228.73605490010232,228.73605490010232,4.319986328482628e-05,0.09801570000126958,num_9,2.194935000035912,230.96934541999363,0.0017572001088410616,0.09771890006959438,231.28596729994752,231.7694561200682,232.08602429996245,232.5525609199889,,232.95284370006993,240.95267100003548,240.95267100003548,240.95264042015188,0.014700300060212612,0.13131979992613196,241.95258309994824,242.96935679996386,243.1692232999485,243.68601140007377,10.031298800138757,251.08582739997655,0.015998600050807,251.08582739997655,0.11446919990703464,2.0,4.099668900016695,255.2192753001582,0.003160299966111779,0.09745919983834028,261.2192647000775,261.4025095201563,6.214066999964416,6.314049799926579,262.4026107999962,281.4024667200632,281.40256880014203,26.214048199821264,26.31401259987615,,284.41924570011906,284.41924570011906,-7.469998672604561e-05,0.09721280005760491,314.4359963000752,30.01391079998575,,,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,314.53592590009794,0.014563599834218621,0.11392209981568158,320.51898210006766,6.0136344998609275,320.6190329999663,320.6190329999663,0.03102859971113503,0.13048829976469278,space,1.784351299982518,322.4525049000513,322.4525049000513,3.8400059565901756e-05,0.09809009986929595,num_9,1.1345750000327826,323.6524261199869,0.002324699889868498,0.0982275998685509,323.9524681000039,324.435720820073,324.73577850009315,325.252431820007,325.55235350015573,325.6190703001339,333.6190071001183,333.63560330006294,333.6523076201323,0.014561600051820278,0.11473340005613863,334.65238959994167,335.6522763001267,335.8357613000553,336.3357438000385,10.014612799976021,343.76903020008467,0.016460899962112308,343.76903020008467,0.11462839995510876,6.0,3.699454299872741,347.5027100001462,0.001655499916523695,0.09934289986267686,353.50234110001475,353.6688483200036,6.215952399885282,6.3159962999634445,354.6856766999699,373.68550112014634,373.68561380007304,26.21590829989873,26.31591699994169,374.7022039000876,376.7023209000472,376.7023209000472,0.0018197998870164156,0.09920209995470941,406.6853927001357,30.015690099913627,6.097070799907669,30.099025500006974,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,406.8021722000558,0.0004192998167127371,0.0990792999509722,412.81879730010405,6.015738499816507,412.91882480005734,412.91882480005734,0.015903699677437544,0.115759999724105,space,2.5887485998682678,415.5688271999825,415.5688271999825,3.9400067180395126e-05,0.09806170011870563,num_9,1.1227357999887317,416.75211222013456,0.002217700006440282,0.09801409998908639,417.0520159001462,417.535459320154,417.85201149992645,418.3355826200917,418.635468600085,418.7357199001126,426.73545200005174,426.73545200005174,426.73547612000255,0.014724800130352378,0.11469710012897849,427.73536890000105,428.7356565000955,428.9354332999792,429.43541010003537,10.014558400027454,436.851905999938,0.0013536999467760324,436.851905999938,0.097950299968943,5.0,5.197320099920034,442.0855503999628,0.002268899930641055,0.09826719993725419,448.10202679992653,448.26865602014584,6.2148966998793185,6.314900900004432,449.2853451000992,468.26853901995344,468.2685949001461,26.21489330008626,26.314936599927023,469.28531710011885,471.26836790004745,471.26836790004745,0.014511700021103024,0.11491130013018847,501.2851708000526,30.03139779996127,,,10.09794420003891,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.4017893001437,0.014947399962693453,0.11480089998804033,531.3849470999558,30.01452869991772,30.097757499897853,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,531.4850419000722,-0.00023410026915371418,0.09790699975565076,537.5016636000946,6.014565499732271,537.6016649999656,537.6016649999656,0.014696399681270123,0.11466799979098141,space,2.4496605000458658,540.0850349999964,540.0850349999964,4.329998046159744e-05,0.09744079993106425,num_9,1.1019274001009762,541.2348221201449,0.0012932000681757927,0.09890720015391707,541.5350306001492,542.0352098200004,542.3349685999565,542.8183559201192,543.1350235000718,543.218257999979,551.218324800022,551.218324800022,551.2182894201018,0.01559270010329783,0.13217570004053414,552.2349662999623,553.2183485999703,553.4182915999554,553.918310899986,10.015510500175878,561.3515676001552,0.01801589992828667,561.3515676001552,0.115747099975124,1.0,2.0983047999907285,563.485120800091,0.002633900148794055,0.09767230018042028,569.5015672999434,569.668179820152,6.214361899998039,6.31428060005419,570.6850112001412,589.6681227200664,589.6681641000323,26.214240700006485,26.314178500091657,590.6848158000503,592.6681148000062,592.6681148000062,0.014278200222179294,0.11416120012290776,622.6846857001074,30.03075800021179,,,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,622.8180754000787,0.03141149994917214,0.13080419995822012,628.8181255999953,6.030805499991402,628.9180115000345,628.9180115000345,0.03104689996689558,0.13065229984931648,space,2.589271399891004,631.5513023000676,631.5513023000676,4.4899992644786835e-05,0.09801610000431538,num_9,1.251620399998501,632.8679591201711,0.002745300065726042,0.09817700018174946,633.1845826001372,633.6511679199524,633.9511915000621,634.4512908201199,,634.8512746000197,642.8684235999826,642.8684235999826,642.8681109201628,0.0018959001172333956,0.0981527001131326,643.8844926001038,644.8845665999688,645.0344672000501,645.5512238999363,10.0148183000274,652.9679783000611,0.0011853000614792109,652.9679783000611,0.09794309991411865,5.0,2.3312119001057,655.3345966001507,0.0028733001090586185,0.09812030009925365,661.3344471999444,661.5178002201486,6.214643000159413,6.314577599987388,662.5345094001386,681.5177395200357,681.517765800003,26.214524100068957,26.3144948000554,682.5343768999446,684.5343947999645,684.5343947999645,0.0005683000199496746,0.09795320010744035,714.5342073000502,30.01425140001811,,30.097570199985057,10.098048000130802,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,714.6344813001342,0.03128809994086623,0.13098150002770126,720.6509231000673,6.014350899960846,720.750925600063,720.750925600063,0.014413999859243631,0.11441129981540143,space,3.171890900004655,723.9842225001194,723.9842225001194,4.830001853406429e-05,0.09775159996934235,num_9,0.9474003999494016,724.9675780200399,0.001952500082552433,0.0979075999930501,725.2842459001113,725.7507903199643,726.0508596999571,726.5509969199542,,726.9509376999922,734.9675960999448,734.9675960999448,734.9676702200435,0.0012227001134306192,0.09784940001554787,735.9841952000279,736.9841622000095,737.1508971999865,737.650828700047,10.014347000047565,745.0673644000199,0.0008769999258220196,745.0673644000199,0.09777639992535114,5.0,2.697916899807751,747.801036400022,0.0024792999029159546,0.09835280012339354,753.8174451000523,754.0007239201572,6.231371799949557,6.331417199922726,755.0007208001334,773.983979420131,773.9840284001548,26.214694499969482,26.314750500023365,,776.9839920001104,776.9839920001104,0.014680800028145313,0.11463620001450181,806.983689900022,30.0142993000336,,30.09772610012442,10.097782999975607,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,807.1005532001145,0.03125089989043772,0.13118049991317093,813.1004797001369,6.031139699975029,813.2340496000834,813.2340496000834,0.03134699980728328,0.1313816998153925,space,2.9128227999899536,816.2005277001299,816.2005277001299,4.320009611546993e-05,0.09809770015999675,num_9,1.306465399917215,817.5671844201628,0.0027634999714791775,0.09796869987621903,817.8838871000335,818.3504660200327,818.6671480999794,819.1506015200633,819.467163000023,819.5671626999974,,827.5838128000032,827.5837660199962,0.017061399994418025,0.11458639986813068,828.5838614001404,829.5837777999695,829.7504932000302,830.2504603001289,10.031150499824435,837.6836081000511,0.017396099865436554,837.6836081000511,0.11438899976201355,2.0,3.2981211999431252,841.0174190001562,0.0025113997980952263,0.09832170000299811,847.0336917999666,847.2003120201174,6.214639100013301,6.314775199862197,848.2002095000353,867.200178620033,867.2002876000479,26.214620699873194,26.314584899926558,868.2169967000373,870.2169602001086,870.2169602001086,0.00031429994851350784,0.09790789987891912,900.2168257001322,30.031159200007096,,,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
