Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,spit_sound.stopped,Finish_rinse.stopped,taste_sound_1.stopped,p_port_18.stopped,taste_sound_2.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,taste_sound_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.097032980008954,0.0005948999987595016,0.10089309999966645,14.363060300000143,14.596342520001054,14.863034800000605,15.096291220001513,15.379685300000347,15.379685300000347,0.03435600000011618,0.13432060000013735,15.00088229999892,30.37960750000093,30.479619200001252,0.001772599998730584,0.11761109999861219,6.000853699999425,36.47959609999998,36.57966010000018,36.57966010000018,0.000937899998461944,0.13054809999812278,space,4.233619399999952,40.87960999999996,40.87960999999996,2.2700000045006163e-05,0.1156594000003679,num_9,4.78194209999856,45.69258922000008,0.0006384999996953411,0.10292149999986577,46.47958972000051,47.27597132000155,47.67585090000102,55.675842500000726,55.675842500000726,55.67589782000177,-0.0007131000002118526,0.10289879999982077,57.67584480000005,57.879508500000156,58.37949500000104,10.002854500000467,65.81295140000111,0.0038817999993625563,65.81295140000111,0.1362409999983356,2.0,5.616825900000549,71.46288220000133,0.0014004000004206318,0.11549340000055963,77.47575920000054,77.64609592000161,6.215498400000797,6.3154560000002675,78.6628606000013,97.64240202000147,97.64238190000106,26.211757600000055,26.311766400000124,100.66279100000065,100.66279100000065,-0.000452199999926961,0.11561299999993935,130.6626584000005,30.015282299998944,,,,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,130.7626192000007,0.015569999999570427,0.11528329999964626,6.011795899999925,136.7792339000007,136.86254720000034,136.86254720000034,0.015391799999633804,0.11526259999845934,space,4.998544799998854,141.8959190000005,141.8959190000005,1.9999999494757503e-05,0.11589089999870339,num_9,3.861839899998813,145.7793471200006,0.0009425000007468043,0.1285912000003009,146.57559862000053,147.3792479200005,147.77922200000103,155.79598830000032,155.79598830000032,155.77917462000042,2.28000008064555e-05,0.12844899999981862,157.79608010000084,157.97931000000062,158.4791894000009,10.015394000000015,165.91266859999996,0.016161499999725493,165.91266859999996,0.148837700000513,5.0,6.267240400000446,172.21254920000138,0.0014832999986538198,0.11561819999951695,178.22550170000068,178.3957871200004,6.215494699999908,6.315527099999599,179.41253170000164,198.39567262000165,198.39569360000132,26.215474599999652,26.31549040000027,,201.42910420000044,0.015951299998050672,0.13209549999919545,231.42892240000037,30.032127099999343,156.7959105000009,199.4123786,,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,231.51225380000142,0.015597999998135492,0.11531529999774648,6.011684199998854,237.5252601000011,237.61221710000063,237.61221710000063,0.01544389999799023,0.11532489999808604,space,1.745817299999544,239.4123178000009,239.4123178000009,1.8200000340584666e-05,0.11594309999964025,num_9,2.1933477999991737,241.62537862000173,0.0009271000017179176,0.10277840000162541,242.41225852000062,243.21215742000132,243.61229110000022,251.62525070000083,251.62525070000083,251.62524332000103,0.00038610000046901405,0.10268940000059956,253.62882470000113,253.80855610000071,254.3084918000004,10.002687300000616,261.7252070000013,0.00010910000128205866,261.7252070000013,0.11940850000064529,4.0,5.753810800000792,267.5288427000014,0.0016325000015058322,0.11571830000139016,273.52868840000156,273.70842672000106,6.211974400001054,6.315574000000197,,293.7119312200015,293.7119479000012,26.21548950000033,26.31551910000053,296.7286776000001,296.7286776000001,-0.00048210000022663735,0.11559110000052897,326.7284442,30.01541139999972,252.64549540000007,,241.9418755000006,10.099106600000596,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,326.828508300001,0.0156609000005119,0.1283702999990055,6.0153771999994206,332.8284317000016,332.92480070000056,332.92480070000056,0.011803199999121716,0.1153041999987181,space,2.0003191999985575,334.9414007000014,334.9414007000014,1.8900000213761814e-05,0.0957548999995197,num_9,2.360303399998884,337.32843122000156,0.0007740999990346609,0.11598989999947662,338.1248212200011,338.9117037200016,339.31177350000144,347.3284112000001,347.3284112000001,347.31168882000054,0.01600029999826802,0.11594219999824418,349.32834790000015,349.511723900001,350.0116975000001,9.999250999999276,357.4450964000007,0.00024399999892921187,357.4450964000007,0.1288764999990235,6.0,3.0667555999989418,360.5450303000016,0.0016395000002376037,0.11568719999922905,366.5449660000013,366.72834642000123,6.199071499999263,6.312034200000198,367.74139000000105,386.7281542200002,386.72820050000155,26.21562509999967,26.315650399999868,389.7448621000003,389.7448621000003,-4.680000165535603e-05,0.13232019999850309,419.74470380000093,30.01544979999926,,387.7450292000012,,10.099197499999718,338.4452228000009,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,419.8445939000012,0.015585599998303223,0.11542279999775928,6.011751899997762,425.85762070000055,425.94460570000047,425.94460570000047,0.01543879999735509,0.11538979999750154,space,1.9015904999996565,427.89461590000064,427.89461590000064,1.469999915570952e-05,0.12891399999898567,num_9,2.35054609999861,430.27435382000147,0.0006204000001162058,0.09927550000065821,431.0613037200004,431.8576938200007,432.2576011000001,440.2779203000009,440.2779203000009,440.2611825200005,0.019581900000048336,0.11951520000002347,442.29091250000056,442.4613124000007,442.96117290000075,10.002883400000428,450.3945209000012,0.0035392000008869218,450.3945209000012,0.13610640000115382,6.0,2.950289700000212,453.37787930000013,0.002637499999764259,0.12922590000016498,459.39082060000146,459.5610807200013,6.2124421000007715,6.325452099999893,,479.5609736200007,479.5609910000003,26.21236080000017,26.30869630000052,482.5740545000008,482.5740545000008,0.025449900000239722,0.12542409999878146,512.5774261000006,30.01223839999875,,,430.5946606000016,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.6738881000001,0.01224489999913203,0.10858689999986382,542.6772784000004,30.011920299999474,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,542.7940412000007,0.01268069999787258,0.12857849999818427,6.00833209999837,548.8069222000013,548.8772347000013,548.8772347000013,0.011960999998336774,0.11189109999759239,space,1.7999036999990494,550.7106214000014,550.7106214000014,2.320000021427404e-05,0.12865330000022368,num_9,1.5838031000002957,552.323705520001,0.0008588000000600005,0.10269259999950009,553.1105789200013,553.9235591200016,554.3236085000008,,562.3271838000001,562.3272396200013,0.003463499999270425,0.10253219999867724,564.3271917000002,564.5235401000009,565.0235938000005,10.002497999999832,572.4402514000012,0.01653979999900912,572.4402514000012,0.11558319999858213,6.0,3.0202516000008472,575.5104906000015,0.0010812999989866512,0.11566109999876062,581.5270778000013,581.6937432200015,6.2155850999988616,6.328653299999132,,601.6899773200006,601.6900648999999,26.212008000000424,26.315591099999438,604.7102930000001,604.7102930000001,-0.00019940000129281543,0.13212389999898733,634.710071200001,30.015287099999114,563.3438445000011,,552.6439103000012,,,,,,,,554.2439163000017,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,634.8100349000015,0.015497499998673447,0.12851109999792243,6.015252299997883,640.8100039000001,640.9063668000017,640.9063668000017,0.011605899997448432,0.11166539999794622,space,1.899249599999166,642.8434321000004,642.8434321000004,1.5300000086426735e-05,0.11594100000002072,num_9,1.9858398999986093,644.8563809200008,0.0006589000004169066,0.09933210000053805,645.6433351200016,646.443364520001,646.8433131000002,654.8599829000013,654.8599829000013,654.8432452200017,0.01965600000039558,0.11960670000007667,656.8598945000012,657.0396049999999,657.5396305000013,9.99920740000016,664.9598525000001,0.00026979999893228523,664.9598525000001,0.1195674999999028,6.0,2.320543899999393,667.3265920000013,0.0010983999982272508,0.11580289999983506,673.3432078000005,673.4931873200006,6.19910979999986,6.299096799999461,674.5061573000003,693.5097818200014,693.5097555000011,26.199046299998372,26.298972099999446,696.5264155000004,696.5264155000004,-0.00021540000125241932,0.1287529999990511,726.5392843000009,30.01180519999798,655.8599499000011,,,10.099198899999465,645.9599854000007,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,726.6428840000008,0.015816799997992348,0.13215649999801826,6.011755899997297,732.6558556,732.7261931000012,732.7261931000012,0.01541249999718275,0.11538779999682447,space,1.7675705999990896,734.5595342000015,734.5595342000015,1.4400000509340316e-05,0.11591109999972105,num_9,2.1265074999992066,736.7058020200005,0.0006775000001653098,0.10297250000076019,737.4891249200012,738.2891090200013,738.6928701000015,746.7094290000005,746.7094290000005,746.692687520001,0.01964640000005602,0.11600730000100157,748.7224285000011,748.8927254000009,749.3926927000011,9.99929340000017,756.8260283,0.003969600000345963,756.8260283,0.13621600000078615,2.0,2.3000136999999086,759.1593872000012,0.001111999999920954,0.11577009999928123,765.1723757,765.3260315200008,6.199125499999354,6.299117900000056,766.3390870000003,785.3388760200017,785.3388310000009,26.212005499999577,26.315679199999067,788.3591823000006,788.3591823000006,-0.0002762000021903077,0.11555739999857906,818.3719514000004,30.01175549999789,,,,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,818.4588822000005,0.015631099999154685,0.11542199999894365,6.0117755999981455,824.471980100001,824.5552656,824.5552656,0.01184339999781514,0.11537569999745756,space,1.8506210999985342,826.4422613000006,826.4422613000006,1.2900000001536682e-05,0.1158651000005193,num_9,1.8435578999997233,828.3089401200017,0.0009516999998595566,0.11588469999878726,829.0922099200001,829.8921675200003,830.2922202000009,838.2921379,838.2921379,838.2921033200004,-0.000823300000774907,0.09912089999852469,840.2922210000015,840.4920976000012,840.9922425000004,9.999114599999302,848.421767400001,0.0129319999996369,848.421767400001,0.1324613999986468,5.0,4.7208799,853.192097000001,0.0011334999999235151,0.11568760000045586,859.1920728000005,859.3717120200002,6.212073400000008,6.315666500000589,,879.3752293200017,879.3751913000015,26.21556000000055,26.32863989999896,,882.3881711000013,0.012653299998419243,0.11190839999835589,912.3917216000009,30.015341999998782,,,828.6255449,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
