Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_3.stopped,p_port_14.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,27.3629710117355,0.0005413996987044811,0.09831549972295761,27.878544590249657,28.145186999812722,28.378525689989328,28.64503649994731,0.026741299778223038,0.1150340000167489,43.6618812000379,15.03169390000403,43.76188649982214,0.03409460000693798,0.13171149976551533,49.76173509983346,6.0317684998735785,49.84517619991675,49.84517619991675,0.01508999988436699,0.1151650995016098,space,3.404103399720043,53.3117956998758,53.3117956998758,4.5600347220897675e-05,0.0975741003639996,num_9,5.0896143997088075,58.461841790284964,0.002009499818086624,0.09760949993506074,58.76173060014844,59.24503828985617,59.5616584001109,60.0618359901011,60.4451271998696,68.4451108998619,68.4451108998619,68.4451628902927,0.014356699772179127,0.11428739968687296,69.44510139990598,70.44532370008528,70.66194389993325,71.16182099981233,10.015068699605763,78.57841819990426,0.017192799597978592,78.57841819990426,0.11439239978790283,6.0,6.381469800136983,84.99546629982069,0.003354900050908327,0.09765320038422942,91.0117502999492,91.1951214902103,6.231040399987251,6.330957100261003,92.21171119995415,111.17840629005805,111.17845779983327,26.214350200258195,26.314253699965775,112.2117471001111,114.17844149982557,114.17844149982557,0.014365000184625387,0.11430490016937256,144.17835910012946,30.014252199791372,,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
0,0,0,0,1,0,1,0,,,,,,,,,,,,144.31170540023595,0.014716200064867735,0.11436059977859259,150.31175020011142,6.0145634999498725,150.41171259991825,150.41171259991825,0.014263899996876717,0.11424729973077774,space,2.125447299797088,152.59502020012587,152.59502020012587,3.899959847331047e-05,0.09819989977404475,num_9,3.6939250994473696,156.32843539007007,0.002033600118011236,0.09789109975099564,156.644981500227,157.11180129023268,157.41169540025294,157.92838708991184,158.31173249986023,166.32832479989156,166.32832479989156,166.32837648997082,0.0013280999846756458,0.09808530006557703,167.34500259999186,168.34514890005812,168.49481699988246,169.01169330021366,10.014493599999696,176.4448728999123,0.017195599619299173,176.4448728999123,0.11446609999984503,2.0,4.76459029968828,181.24505949998274,0.0011089001782238483,0.09944240003824234,187.24500210024416,187.41163788996636,6.19939270010218,6.299414400011301,188.41158360010013,207.41144198998808,207.3947636000812,26.199190999846905,26.299369900021702,208.41165339993313,210.41159609984607,210.41159609984607,-0.0005637002177536488,0.09948459966108203,240.41162060014904,29.99945649970323,158.22818010021,30.09913960006088,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
0,0,0,0,2,0,2,0,,,,,,,,,,,,240.544880699832,8.4699597209692e-05,0.09934089984744787,246.56160190002993,6.016226999927312,246.66162540018559,246.66162540018559,0.016093099489808083,0.11600579973310232,space,2.0274165999144316,248.7282181000337,248.7282181000337,5.7800207287073135e-05,0.09788500005379319,num_9,2.9855349995195866,251.77823288999497,0.00222610030323267,0.09803580027073622,252.09476220002398,252.56138478992506,252.86152180004865,253.36155338985844,253.76167730009183,261.7782121002674,261.7782121002674,261.77820498989894,0.0016754004172980785,0.09804930025711656,262.79489589994773,263.79505190020427,263.9615424000658,264.46151590021327,10.014451400376856,271.878406399861,0.0018005003221333027,271.878406399861,0.09812809992581606,6.0,5.0972550003789365,277.011613199953,0.001740800216794014,0.1161306002177298,283.011496799998,283.17814419027417,6.1992993000894785,6.299285000190139,284.19479979993775,303.1781216899864,303.1780987000093,26.199252900201827,26.299405000172555,304.1947683999315,306.1947749000974,306.1947749000974,0.01596659980714321,0.11591589963063598,336.2114396998659,29.999219899997115,253.66148569993675,30.099145099986345,10.097864500246942,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
0,0,0,0,3,0,3,0,,,,,,,,,,,,336.31136459996924,0.0004324996843934059,0.09916579956188798,342.311369900126,5.999198199715465,342.4113666000776,342.4113666000776,-0.00014530029147863388,0.09912509983405471,space,0.5903753000311553,343.06131700007245,343.06131700007245,7.440010085701942e-05,0.09807600034400821,num_9,7.299780100118369,350.3948508899659,0.00209349999204278,0.09773770021274686,350.69456520024687,351.1779748902656,351.4948056000285,351.9780176899396,352.3781623998657,360.39465219993144,360.39465219993144,360.3946780900471,0.0009675002656877041,0.09771599993109703,361.3946389001794,362.3778531001881,362.594647299964,363.0945959999226,10.031057300046086,370.52788720000535,0.0334693999029696,370.52788720000535,0.13081589993089437,4.0,2.3984929001890123,372.96168000018224,0.003313299734145403,0.09767399961128831,378.9779126001522,379.1444607901387,6.214166299905628,6.314295299816877,380.14455780014396,399.1444730901159,399.14454390015453,26.214256799779832,26.31424679979682,400.1445650001988,402.14462989987805,402.14462989987805,0.014362899586558342,0.1144615993835032,432.1443246002309,30.014013599604368,352.2778210998513,30.097428399603814,,6.099082299973816,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
0,0,0,0,4,0,4,0,,,,,,,,,,,,432.2612519999966,0.03101309947669506,0.13078209944069386,438.277923299931,6.0141342994757,438.3777661998756,438.3777661998756,0.0142659991979599,0.11408699955791235,space,1.6637325999327004,440.07776649994776,440.07776649994776,3.969995304942131e-05,0.09795970004051924,num_9,3.8274905998259783,443.9611118899658,0.0020459997467696667,0.09810589998960495,,444.7613501900807,445.0611152998172,445.54446599008514,445.94460920011625,453.9444185998291,453.9444185998291,453.94443018995224,0.014855499844998121,0.1151147997006774,454.9445095998235,455.9610466999002,456.16099780006334,456.6610710998066,10.031560800038278,464.07764279982075,0.017286099959164858,464.07764279982075,0.11467439960688353,2.0,2.332208000123501,466.444630399812,0.002891100011765957,0.09803320001810789,472.4611363001168,472.6279127898626,6.2145356996916234,6.314490799792111,473.64451490016654,492.6275255901739,492.6276166001335,26.214592199772596,26.314458299893886,493.64451659983024,495.6276497999206,495.6276497999206,0.014622599817812443,0.11446509975939989,525.6441831998527,30.03108079964295,445.8443444999866,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.7775131999515,0.031141999643296003,0.13107809936627746,555.7773938002065,30.031163199339062,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
1,0,1,0,0,0,0,0,,,,,,,,,,,,555.8775062002242,0.033213899470865726,0.13115559937432408,561.8940159999765,6.014256399590522,561.9606781001203,561.9606781001203,0.014404999557882547,0.11422879947349429,space,2.912986900191754,564.9107093000785,564.9107093000785,3.5599805414676666e-05,0.09715020004659891,num_9,1.506471499800682,566.4607376901433,0.001989500131458044,0.09764599986374378,566.7606366002001,567.2608188901097,567.5606098999269,568.0607007898391,568.4440045999363,576.4606921002269,576.4606921002269,576.4609028900043,0.0009620999917387962,0.09760769968852401,577.4605880002491,578.4773149001412,578.6438796999864,579.1439772001468,10.030899500008672,586.593863400165,0.03395879967138171,586.593863400165,0.13077139994129539,6.0,2.131169999949634,588.7609084998257,0.0028846999630331993,0.09753390029072762,594.7772401999682,594.9607120899484,6.230770100373775,6.330765400081873,,614.9605188898743,614.9605151000433,26.230720200110227,26.330725100357085,615.9605176998302,,617.9566592001356,0.010523499920964241,0.09336300007998943,647.9604234998114,30.03062540013343,568.3605618998408,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
1,0,1,0,1,0,1,0,,,,,,,,,,,,648.0937275998294,0.031326299998909235,0.13049539970234036,654.1103623998351,6.013909100089222,654.1770628998056,654.1770628998056,0.013983499724417925,0.11399169964715838,space,2.128432599361986,656.3437459999695,656.3437459999695,2.5600194931030273e-05,0.09853130020201206,num_9,1.5534017998725176,657.9437550900504,0.0020685000345110893,0.09803360002115369,658.2437209999189,658.7271843899973,659.0437655998394,659.5437346899882,659.9437255002558,,667.9603193998337,667.9601308901795,0.015486699994653463,0.11475729988887906,668.96021499997,669.9604966999032,670.1437797998078,670.6603442998603,10.031279999762774,678.0602811002173,0.017206099815666676,678.0602811002173,0.11455209972336888,1.0,5.065028299577534,683.160270200111,0.0025270995683968067,0.09738259995356202,689.1769293001853,689.3434995899909,6.214013599790633,6.314031699672341,690.3436670000665,709.343420690205,709.3435730999336,26.214010099880397,26.313948599621654,710.3434164002538,712.3435074002482,712.3435074002482,0.013984999619424343,0.11396919935941696,742.3434083000757,30.0139006995596,659.8436802998185,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
1,0,1,0,2,0,2,0,,,,,,,,,,,,742.4767591999844,0.014670999720692635,0.11386379972100258,748.4933342998847,6.030650499276817,748.576696400065,748.576696400065,0.013967599254101515,0.11380379926413298,space,2.249052200000733,750.8767580999993,750.8767580999993,4.3600331991910934e-05,0.0979949003085494,num_9,1.9243389000184834,752.8601888900623,0.002051600255072117,0.09777679992839694,753.1598867001012,753.643347089924,753.9432027000003,754.443201090023,754.8433245001361,762.8598337001167,762.8598337001167,762.8600086898543,0.0013402998447418213,0.09777140012010932,763.8599021001719,764.8766410998069,765.0599679998122,765.576870100107,10.014386900234967,772.9932007999159,0.0340527999214828,772.9932007999159,0.13130179978907108,6.0,2.564439299982041,775.5936118001118,0.002692500129342079,0.09786490024998784,781.609921600204,781.7765845901333,6.214264700189233,6.314337099902332,782.7932400000282,801.793385390006,801.7932184999809,26.23100779997185,26.330871100071818,802.7931773001328,804.7931472999044,804.7931472999044,-0.00018989993259310722,0.09758999990299344,834.809723299928,30.014101999811828,754.7432865998708,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
1,0,1,0,3,0,3,0,,,,,,,,,,,,834.9097215998918,0.01478259963914752,0.11410179967060685,840.9098628000356,6.0141576998867095,841.009674699977,841.009674699977,0.014215899631381035,0.11413069954141974,space,2.4876202000305057,843.5432521002367,843.5432521002367,4.719989374279976e-05,0.09762339992448688,num_9,5.265985599718988,848.8596758901142,0.0019266000017523766,0.09811160014942288,849.159635799937,849.6429161902518,849.9428921001963,850.4428717901931,850.8430607002228,858.8429693002254,858.8429693002254,858.8429551900365,0.014855599962174892,0.11478800000622869,859.8429376999848,860.8595917001367,861.042997200042,861.5595817998983,10.014682900160551,868.9762017000467,0.017550399992614985,868.9762017000467,0.11455410020425916,4.0,1.6647843001410365,870.6762001998723,0.002486499957740307,0.0974259003996849,876.6762207001448,876.8762162898668,6.230669599957764,6.330811200197786,877.8928232002072,896.85938569,896.8594845999032,26.21399480011314,26.31391829997301,,899.8761061998084,899.8761061998084,-0.00011570006608963013,0.09732179995626211,929.8926654998213,30.01393759995699,850.7429403001443,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
