loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,p_port_8.stopped,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.062485321052375,0.0008463999256491661,0.11194489989429712,25.659314389992506,25.975722699891776,26.259155190270395,26.55935180000961,26.84249319015071,27.159042300190777,27.159042300190777,0.02878979966044426,0.12895659962669015,42.17597540002316,15.012246599886566,42.27576840016991,0.012355999555438757,0.11221309984102845,42.74250590009615,space,7.459664799738675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,50.242339100223035,0.014021399896591902,0.09957880014553666,56.24245910020545,5.999719399958849,6.099673800170422,56.47578149987385,56.47578149987385,0.08801009971648455,0.23315700003877282,5.999745999928564,6.099701500032097,62.55903939995915,62.55903939995915,62.55903939995915,0.09073289996013045,0.2164642997086048,68.25916479993612,68.42588450014591,6.016481199767441,6.11637569963932,74.4258083999157,12.016411799937487,74.55914120003581,74.55914120003581,0.016603699885308743,0.1164028998464346,up,1.4883133000694215,76.10918230004609,3.239978104829788e-05,0.09894199995324016,82.12612859997898,82.12612859997898,82.12612859997898,0.008647399954497814,0.11547069996595383,5.0,9.924533999990672,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0757678002119,92.0757678002119,0.00919729983434081,0.09745509969070554,3.0,6.256260300055146,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.39290970005095,98.39290970005095,0.01006460003554821,0.11397460009902716,7.0,4.705176299903542,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.12580130016431,103.12580130016431,0.00814930023625493,0.09930420015007257,2.0,5.725351399742067,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.90941119985655,108.90941119985655,0.009312499780207872,0.11491589993238449,5.0,7.639655400067568,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.57583450013772,116.57583450013772,0.009187300223857164,0.09804429998621345,1.0,4.156493499875069,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.79237930011004,120.79237930011004,0.009539400227367878,0.11429490009322762,2.0,5.372500900179148,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.1925351000391,126.1925351000391,0.0017812000587582588,0.09766190033406019,3.0,13.897195299621671,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,140.1260269000195,0.0002711997367441654,0.09820669982582331,146.12580120004714,6.031439999584109,,146.3758622999303,146.3758622999303,0.13568349974229932,0.24817349947988987,6.01472819969058,,152.4091815999709,152.4091815999709,152.4091815999709,0.07163209980353713,0.18139749951660633,158.10942299989983,158.3091368000023,6.01477969950065,6.115079299546778,164.3091302998364,12.014768199529499,164.4425905002281,164.4425905002281,0.015174499712884426,0.11471489956602454,up,2.300256799440831,166.79249030025676,5.010003224015236e-05,0.09790610009804368,172.80912679992616,172.80912679992616,172.80912679992616,0.008776600006967783,0.11478810012340546,3.0,13.1066954000853,,,,,,,164.40913530020043,164.40913530020043,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
