loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,40.1191759198904,0.000591600313782692,0.10650140000507236,40.79796019028872,41.230994699988514,0.007969900034368038,0.10654309997335076,56.214303500019014,15.006379700265825,15.089748000260442,56.31442660000175,56.31442660000175,0.02377519989386201,0.12317600008100271,space,27.183853899594396,,,,,,,,,,,,,,,,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
0,0,0,0,,,,,,,,,,,,,,,,,83.54762039985508,0.0016096998006105423,0.09852569969370961,89.54766459995881,6.031832099892199,89.71419830014929,0.060874299611896276,0.16515889950096607,6.031802099663764,95.71435770019889,95.7808429999277,0.03494209982454777,0.13177219964563847,2.0,3.764620100148022,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
1,0,1,0,,,,,,,,,,,,,,,,,99.58145650010556,0.00044189998880028725,0.09719689982011914,105.59764060005546,6.013584099709988,105.73094990011305,0.05447389977052808,0.14695589989423752,6.013600999955088,111.73104709992185,111.79753379989415,0.016179699916392565,0.11341189965605736,2.0,3.533545299898833,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
2,0,2,0,,,,,,,,,,,,,,,,,115.36461100028828,0.0006506997160613537,0.09682400012388825,121.36429740022868,6.03016069997102,121.49756180029362,0.03988240007311106,0.13019239995628595,6.03011230006814,127.49771329993382,127.59755419986323,0.03278279956430197,0.13001429988071322,1.0,2.2316987002268434,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
3,0,3,0,,,,,,,,,,,,,,,,,129.86469830013812,0.00022289995104074478,0.09919090010225773,135.86429930012673,5.999007500242442,136.047536900267,0.09392429981380701,0.1825211001560092,6.015656100120395,142.04767520027235,142.0810537999496,0.01860750000923872,0.11560150003060699,0.0,1.4648076999001205,6.099119500257075,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
4,0,4,0,,,,,,,,,,,,,,,,,143.58119860012084,0.00022580008953809738,0.09917270019650459,149.59762270003557,6.015837300103158,149.73107000021264,0.05759610002860427,0.14904210017994046,6.0157188000157475,155.71411419985816,155.79744759993628,0.017679499927908182,0.11564039997756481,3.0,1.8990097003988922,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
5,0,5,0,,,,,,,,,,,,,,,,,157.7313039000146,0.0005423999391496181,0.09702150011435151,163.7307649999857,6.013704100158066,163.84756779996678,0.019484899938106537,0.11370109999552369,6.013683199882507,169.84765540016815,169.94744870020077,0.016369099728763103,0.11365669965744019,1.0,1.2982955002225935,6.0969556998461485,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
6,0,6,0,,,,,,,,,,,,,,,,,171.28105079988018,0.00045369984582066536,0.09696140000596642,177.28103969991207,6.03043119981885,177.43088020011783,0.04711479973047972,0.14691629959270358,6.013524199835956,183.43085619993508,183.49744179984555,0.016290299594402313,0.11341529991477728,0.0,1.7982672001235187,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
7,0,7,0,,,,,,,,,,,,,,,,,185.3308949000202,0.00048639997839927673,0.09733489993959665,191.33066840004176,6.013743599876761,191.4474300001748,0.011196599807590246,0.1139315995387733,6.013916699681431,197.4475448001176,197.5474185999483,0.016666699666529894,0.11386859975755215,2.0,5.564938299823552,6.0972186997532845,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
8,0,8,0,,,,,,,,,,,,,,,,,203.14753470011055,0.0007509998977184296,0.0968725997954607,209.1474892999977,6.030231999699026,209.2974614002742,0.046138799749314785,0.14711229968816042,6.0136126996949315,215.29752020025626,215.36406100029126,0.01625709980726242,0.11332899983972311,0.0,2.298321799840778,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
