Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.612485150329304,0.000480300048366189,0.09511910006403923,14.878103299997747,15.09491374999052,15.361531800008379,15.59498254993232,15.861394200008363,15.861394200008363,0.0066442000679671764,0.11166010005399585,30.86154339998029,15.02837760001421,30.994899999932386,0.031173600116744637,0.12828480009920895,6.0116359000094235,37.01155089994427,37.078311200020835,37.078311200020835,0.011790800141170621,0.11175700009334832,space,7.843160200049169,44.97821590001695,44.97821590001695,5.030003376305103e-05,0.09778200008440763,num_9,6.327784799970686,51.36150264999596,0.002104099956341088,0.09786049998365343,51.678172199986875,52.16151405001292,52.46139299997594,52.94481894994387,53.26150789996609,53.3448580999393,61.361540199955925,61.361540199955925,61.3615333499969,0.0015514999395236373,0.0978132999734953,62.3614654999692,63.3615170000121,63.544889400014654,64.04483809997328,10.014495600014925,71.47810169996228,0.015720500028692186,71.47810169996228,0.11466459999792278,2.0,5.416326400008984,76.92853749997448,0.0015418999828398228,0.09939200000371784,82.91135009995196,83.09481594994432,6.199234200059436,6.29923260002397,84.11145219998434,103.09470175000607,103.0947874999838,26.19922269997187,26.299195799976587,104.11147889995482,106.11144279991277,106.11144279991277,0.01594380009919405,0.11559679999481887,136.09470090002287,29.999151200056076,30.099188600084744,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,136.22811759996694,0.0005440000677481294,0.0991370000410825,6.015826000017114,142.24473469995428,142.34472809999716,142.34472809999716,0.015966300037689507,0.1158247001003474,space,3.761015700059943,146.1447169999592,146.1447169999592,5.139992572367191e-05,0.09756739996373653,num_9,2.3448091000318527,148.54473494997947,0.002322699991054833,0.09802869998384267,148.86142859992106,149.32808154999512,149.6280303999083,150.12797724994599,150.4281557999784,150.52805620001163,158.52807649993338,158.52807649993338,158.5280175499269,0.014760600053705275,0.11482490005437285,,160.54471259994898,160.74504890001845,161.24471879994962,10.03135189996101,168.67795639997348,0.03449910006020218,168.67795639997348,0.1314783999696374,3.0,4.631130900001153,173.34487479995005,0.0022299999836832285,0.09803440002724528,179.344668500009,179.52800494994736,6.214656600030139,6.314736400032416,180.52794950001407,199.54520614995855,199.54474779998418,26.23146000003908,26.331269100075588,200.56132089998573,,202.56144730001688,0.016337500070221722,0.11483360012061894,232.5779276000103,30.03135370009113,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,232.67796789994463,0.03205450007226318,0.13127920008264482,6.031301100039855,238.6781560999807,238.77799229999073,238.77799229999073,0.03167020017281175,0.13126280007418245,space,4.111309599946253,242.94459059997462,242.94459059997462,5.3600058890879154e-05,0.0980204000370577,num_9,2.185105000040494,245.17788284997224,0.0011566999601200223,0.09868039994034916,245.47781620000023,245.96127534998814,246.26122519990895,246.76120864999248,247.06115760002285,247.16122409992386,255.16114049998578,255.16114049998578,255.16120865001577,0.01521470001898706,0.09867719991598278,256.16116799996234,257.16122899996117,257.36122889991384,257.8613130999729,10.015340499929152,265.29438899992965,0.017758899950422347,265.29438899992965,0.1151758999330923,2.0,3.5651530000614002,268.8947237000102,0.0024298999924212694,0.09772889991290867,274.9111612999113,275.0778266499168,6.214437699993141,6.314350500004366,276.07784849999007,295.0777855499531,295.0778224999085,26.21438949997537,26.314394499990158,296.07770649995655,298.09448279999197,298.09448279999197,0.00039739999920129776,0.09765690006315708,328.1110588000156,30.01428600004874,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,328.210991299944,0.014928600052371621,0.11423730000387877,6.031071600038558,334.22769590001553,334.3110346000176,334.3110346000176,0.014146300032734871,0.11420800001360476,space,2.786236900021322,337.1611754000187,337.1611754000187,4.630000330507755e-05,0.09816070005763322,num_9,2.320381799945608,339.5277137499419,0.00244609999936074,0.097914700047113,339.82757610001136,340.3112638499937,340.6110338999424,341.1110212499392,341.4110075000208,341.5110322999535,349.52764709992334,349.52764709992334,349.5276808499242,0.0015130999963730574,0.09781810001004487,,351.5276614999166,351.7109754999401,352.22772789990995,10.014349199947901,359.62750609999057,-0.0005076000234112144,359.62750609999057,0.09769790002610534,3.0,4.532633199938573,364.19449499994516,0.0027381000109016895,0.09742749994620681,370.21094719995745,370.37762694995615,6.214007199974731,6.313864400028251,,390.3775629499345,390.3775370999938,26.214069799985737,26.3139635999687,,393.39420869993046,393.39420869993046,-0.0001365999924018979,0.0973119999980554,423.41077139996924,30.01387819997035,,10.097622300032526,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,423.5107733999612,0.014535700087435544,0.11387310002464801,6.030551000032574,429.5274286000058,429.6274497999111,429.6274497999111,0.03062030009459704,0.13055580004584044,space,2.029603499919176,431.71076119993813,431.71076119993813,4.469999112188816e-05,0.09800819994416088,num_9,2.4586396999657154,434.21090114993274,0.0019936999306082726,0.09783600002992898,434.51072659995407,434.99418344992444,435.3107504999498,435.79392905001293,436.1107169999741,436.17727809993085,444.1940423999913,444.1940423999913,444.1940393499448,0.014520299970172346,0.1146075000287965,445.2106909999857,446.2106983999256,446.41074959991965,446.89401829999406,10.01440410001669,454.3105696999701,0.0012373999925330281,454.3105696999701,0.09766850003506988,4.0,2.364045099937357,456.71092049998697,0.002665499923750758,0.09760559990536422,462.71064990002196,462.89394304997984,6.214306699926965,6.314231899916194,463.9106306999456,482.8937733499682,482.8938936999766,26.214183199917898,26.314244300010614,483.910744599998,485.8938776999712,485.8938776999712,0.014250700012780726,0.11416670004837215,515.910469399998,30.030761300004087,,10.097738999989815,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.0271583999274,0.014304000069387257,0.11404380004387349,546.0268978999229,30.0139495000476,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,546.1270579999546,0.01551820000167936,0.11397270008455962,6.030618000077084,552.1438388999086,552.2270361999981,552.2270361999981,0.013993500033393502,0.11398230004124343,space,1.5259640000294894,553.7938521999167,553.7938521999167,3.7199934013187885e-05,0.09776159992907196,num_9,2.3598748000804335,556.1937151499209,0.0022733999649062753,0.09803389990702271,556.5103228000225,556.9936569499899,557.3103038999252,557.7768878499395,558.0769226999255,558.1938313000137,,566.2102909999667,566.2102944499696,0.017112799920141697,0.11452279996592551,567.2269043999258,568.2269619000144,568.393640199909,568.9102635999443,10.014368399977684,576.2935289000161,0.0011740999761968851,576.2935289000161,0.09762869996484369,2.0,1.6645814999938011,577.9936899999157,0.0026270999806001782,0.09719740005675703,583.9935526999179,584.1767342499573,6.213859600014985,6.297228800016455,,604.1768047500285,604.1768267999869,26.213931699981913,26.313755100010894,605.1767453999491,607.1768400999717,607.1768400999717,0.013968400075100362,0.11402580002322793,637.1766994999489,30.013844400062226,,10.097843399969861,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,637.3100620999467,0.014299300033599138,0.11379090009722859,6.030458100140095,643.3266695999773,643.426687899977,643.426687899977,0.030669000116176903,0.13049570005387068,space,1.6227337000891566,645.0933387000114,645.0933387000114,4.4199987314641476e-05,0.09796290006488562,num_9,2.4516596000175923,647.5934749499778,0.002287900075316429,0.09790170006453991,647.9102072999813,648.3765542499372,648.6766067999415,649.1765645499457,649.4765870999545,649.5766695999773,657.576668899972,657.576668899972,657.5768094499712,0.014596700086258352,0.11451179999858141,658.5765066000167,659.5767315999838,659.7765991999768,660.2766196000157,10.03112590010278,667.7434777999297,0.034270600066520274,667.7434777999297,0.1477140000788495,4.0,3.180979200056754,670.9435348999687,0.0028655000496655703,0.09877989999949932,676.9433664999669,677.1265151499887,6.215171500109136,6.315178300021216,678.1265043999301,697.1263985499157,697.1264784999657,26.21513230004348,26.315067000105046,698.1263668999309,700.1432559000095,700.1432559000095,0.0008597001433372498,0.09842210006900132,730.1430394999916,30.031674200086854,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,730.2597443999257,0.01572900009341538,0.11493450007401407,6.031563900178298,736.276323899976,736.3763087999541,736.3763087999541,0.03177140012849122,0.13171630015131086,space,2.3049314999952912,738.7431007999694,738.7431007999694,4.009995609521866e-05,0.09803559991996735,num_9,1.2178405999438837,740.0094714499195,0.0008281000191345811,0.09962260001339018,740.3096462999238,740.7762452499359,741.0762494999217,741.5763458499335,741.8762258000206,741.992986899917,750.0095554,750.0095554,750.0097570499987,0.0030188000528141856,0.09950610005762428,751.0096387999365,751.9928217999404,752.1595144999446,752.659542099922,9.999477099976502,760.0928133999696,0.016127499984577298,760.0928133999696,0.11625060008373111,5.0,2.7983211000682786,762.9266276999842,0.0023828999837860465,0.09770349995233119,768.9428589999443,769.109382449917,6.2143143999855965,6.314467399963178,770.1095105999848,789.1093306499882,789.1094508999959,26.214375799987465,26.3143389999168,790.1095517999493,792.1262127999216,792.1262127999216,5.489995237439871e-05,0.09766960004344583,822.1426689999644,30.01419060002081,,10.08267579996027,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,822.2426473000087,0.014866200042888522,0.11420479998923838,6.030864599975757,828.2592987999087,828.3593261999777,828.3593261999777,0.030974699999205768,0.1308566000079736,space,1.378186099929735,829.7589949999237,829.7589949999237,1.179997343569994e-05,0.08291969995480031,num_9,2.0742789999349043,831.8926262499648,0.0024624000070616603,0.09780419990420341,832.2093145999825,832.6758970499853,832.9758511999389,833.4926091499277,833.8092917000176,833.8759517999133,841.8759851999348,841.8759851999348,841.8759269499336,0.014761299942620099,0.13144939998164773,842.8758589000208,843.8760508999694,844.059124100022,844.5758844999364,10.014563199947588,852.0091209999518,0.017693499918095767,852.0091209999518,0.11452169995754957,5.0,3.164497400051914,855.209220699966,0.0034259000094607472,0.09717049996834248,861.2091934999917,861.392377849936,6.23048619995825,6.330469400039874,862.4091299999272,881.392413149972,881.3924014000222,26.21375039999839,26.313770500011742,882.4090480000013,884.3925985000096,884.3925985000096,0.01400269998703152,0.11354500008746982,914.3923438999336,30.013691000058316,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
