Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_18.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,15.970135349957856,0.0005287000094540417,0.08888690000458155,16.454982249994647,16.705281699993066,16.95495214999828,17.221812399991904,17.221812399991904,0.022405300012906082,0.12229320000915322,32.22175849998894,15.022347300007823,32.355094899990945,0.02484500000718981,0.12213719999999739,38.35509979999915,6.02232410000579,38.43824199998926,38.43824199998926,0.022139799999422394,0.12262909999117255,space,4.050660299995798,42.53856980000273,42.53856980000273,4.359999729786068e-05,0.09789350000210106,num_9,2.781892999992124,45.3718410499976,0.002441999997245148,0.09774930001003668,45.67195309999806,46.17166384999,46.471627799997805,46.95502784999262,47.27167859999463,47.355212599999504,55.35505069998908,55.35505069998908,55.35509334999078,0.014483999999356456,0.114847999997437,56.355025199998636,57.355086999989,57.53833470000245,58.03839169999992,10.01441820000764,65.50490639999043,0.03402389999246225,65.50490639999043,0.1311786000005668,4.0,4.681398500004434,70.22179329999199,0.0015131000109249726,0.09924219999811612,76.22180020000087,76.38829414998763,6.199270700002671,6.29940550000174,77.40500420000171,96.38823904999008,96.38832829998864,26.199301300002844,26.299199300003238,97.40510329999961,99.38831619999837,99.38831619999837,-0.0007480999920517206,0.09927470001275651,129.38827270000183,29.999181300008786,30.09913870001037,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,129.5216039999941,0.00047840000479482114,0.0991370999981882,135.52158939999936,5.999127700008103,135.62163379999402,135.62163379999402,-7.160000677686185e-05,0.09913509999751113,space,3.314831800002139,138.97159059999103,138.97159059999103,4.08000050811097e-05,0.09761379999690689,num_9,2.5573180000064895,141.58834964999988,0.0023625999892828986,0.09786339999118354,141.90494559999206,142.38822354998848,142.7049074999959,143.1713959500019,143.47158649998892,143.5716029999894,151.5882561999897,151.5882561999897,151.58818994999166,0.0010095999896293506,0.09791189999668859,152.60495999999694,153.6049542999972,153.77156149999064,154.27160469999944,10.014526899991324,161.72140949999448,0.03404519999457989,161.72140949999448,0.13105019999784417,4.0,5.164728599993396,166.92177499999525,0.002737999995588325,0.09801339999830816,172.93819549999898,173.1048399499967,6.214394499998889,6.314357600000221,174.10491149999143,193.12148074998987,193.12148889999662,26.231036700002733,26.331035900002462,,,196.13813809999556,0.016080999994301237,0.11416430000099353,226.13823569999659,30.0142901000072,,6.09912389999954,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,226.25477259999025,0.031689499999629334,0.13095289999910165,232.23788600000262,6.013982899996336,232.30453309998848,232.30453309998848,0.014223999984096736,0.09731459998874925,space,1.7681706000003032,234.12143479999213,234.12143479999213,4.1099992813542485e-05,0.09834280000359286,num_9,2.2391589999897406,236.42138734999463,0.0025944000080926344,0.09811469999840483,236.7213844999933,237.20485954999168,237.50471860000107,238.0213561499957,,238.40476049999415,246.40488219998952,246.40488219998952,246.4046792499983,0.014976600010413677,0.11479639999743085,247.4213189000002,248.4213788999914,248.62145629999577,249.12154680000094,10.01467400000547,256.53793939999014,0.017617299992707558,256.53793939999014,0.11469469999428838,2.0,4.198265599989099,260.7716245999909,0.001634200001717545,0.09931089999736287,266.75459689999116,266.9712853499921,6.199038000006112,6.299108000006527,267.97128050000174,286.9544551499974,286.95466370000213,26.21575319999829,26.315690400006133,287.9545722999901,289.9712786000018,289.9712786000018,0.0014611000078730285,0.09902740000688937,319.9878860999888,30.01560800000152,,6.097312499987311,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,320.08792169998924,0.016378400003304705,0.11566890000540297,326.10452229999646,6.032236700004432,326.2046420999977,326.2046420999977,0.03238669999700505,0.13227039999037515,space,2.060164700000314,328.3044863999967,328.3044863999967,3.959999594371766e-05,0.09761589999834541,num_9,1.8481104999955278,330.187846749989,0.0018958000000566244,0.09791280000354163,330.5045143000025,330.97100955000207,331.27113239999744,331.77109164998984,332.0711098000029,332.17119969999476,340.17117750000034,340.17117750000034,340.17124485000096,0.014615399995818734,0.11456889999681152,341.17107099998975,342.18783349999285,342.3711711999931,342.88787109999976,10.03129670000635,350.304329999999,0.017370799992932007,350.304329999999,0.1146664999978384,4.0,1.9981197999877622,352.3380107999983,0.002647800007252954,0.09773180000775028,358.3377948999987,358.5209515499999,6.214286700007506,6.314400200004457,359.5210631999944,378.5208424499986,378.5211006999889,26.214440700001433,26.31434569999692,379.5210483999981,381.53771619999316,381.53771619999316,0.0003203000087523833,0.11431280001124833,411.5375992999907,30.03091410000343,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,411.6709741999948,0.03160550000029616,0.13089459999173414,417.67094699999143,6.030867199995555,417.75426669999433,417.75426669999433,0.01427739999780897,0.11417959998652805,space,2.0621354000031715,419.87099739999394,419.87099739999394,4.2100000428035855e-05,0.11470530000224244,num_9,2.009572399998433,421.9374703499896,0.0014082999987294897,0.0986451000062516,422.25424939999357,422.72082785000094,423.037582799996,423.52087314999955,423.8375621000014,423.9207066999952,431.9375354999938,431.9375354999938,431.9374797499884,0.0021466000034706667,0.09837620001053438,432.9541915000009,433.9542414999887,434.12087600000086,434.63754099998914,10.0153055999981,442.05405559999053,0.017218299995874986,442.05405559999053,0.11508519999915734,2.0,2.8322397000010824,444.9209266999969,0.002100900004734285,0.0981179000082193,450.9374927000026,451.1041105500015,6.214713800000027,6.314737599997898,452.1041128999932,471.1039823500003,471.104216599997,26.21484300000884,26.31465680000838,472.1040154999937,474.1207360999979,474.1207360999979,0.00038380001205950975,0.09803040001133922,504.1038377999939,30.014460000005784,30.09817580001254,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.22075939999195,-0.0008380999934161082,0.09814159999950789,534.2205366999988,30.031163599996944,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,534.3371943999955,0.015774399988004006,0.1145360999944387,540.3371448999969,6.014447399997152,540.4538657999947,540.4538657999947,0.03139369998825714,0.13105269998777658,space,1.6828257999877678,542.1871734000015,542.1871734000015,7.850000110920519e-05,0.09788480000861455,num_9,2.0935470999975223,544.3205440499994,0.0011703000054694712,0.09838330000638962,544.6203633999976,545.1204368500009,,545.9037256499985,546.2039025999984,546.303822899994,554.303814400002,554.303814400002,554.3037025499914,0.01517020000028424,0.11518880000221543,,556.303906000001,556.5037826999906,557.0204110999912,10.014892300008796,564.4203006999887,0.0013834999990649521,564.4203006999887,0.0981714999943506,2.0,6.947692399990046,571.4035770999908,0.0012605999945662916,0.09933140000794083,577.4037642999901,577.570179250001,6.19933800000581,6.299259799998254,578.5701933999953,597.5701739499898,597.5703079999948,26.19932090000657,26.299326599997585,598.5869098999974,600.5869289999973,600.5869289999973,0.01594150000892114,0.11587350000627339,630.6034993999929,29.999044900003355,30.099014300009003,,,,,,,10.098250300012296,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,630.7036018999934,0.00020090000180061907,0.09908519999589771,636.7035873999994,5.99908019999566,636.8034326999914,636.8034326999914,-0.00014110001211520284,0.09908649999124464,space,2.309251899991068,639.1701248999889,639.1701248999889,6.079999729990959e-05,0.09795630000007804,num_9,1.5103120999992825,640.736892149999,0.0021314999903552234,0.09762319999572355,641.0534342000028,641.5200479499879,,642.3200032499997,642.6199933000025,642.7201033000019,650.7367290999973,650.7367290999973,650.7367561499966,0.0010266999888699502,0.09757679999165703,651.7534129999985,652.7534453999979,652.9200488999923,653.4200865000021,10.01430129999062,660.8699941999948,0.034119999982067384,660.8699941999948,0.13083329999062698,5.0,3.3976247000100557,664.3033746000001,0.0021028000046499074,0.09831699999631383,670.303304599991,670.4864879499917,6.215046400000574,6.315114700002596,671.4866426999943,690.5032680499978,690.5032064999978,26.231818100000964,26.331668500002706,691.5031845999911,693.5032161999989,693.5032161999989,0.0008395000040763989,0.09832240000832826,723.5197582999972,30.01490090000152,,6.099072099998011,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,723.6197624999913,0.01570039999205619,0.11481980000098702,729.6364160999947,6.031502400001045,729.7028146999946,729.7028146999946,0.01472119998652488,0.09814899999764748,space,2.962094000002253,732.7030393000023,732.7030393000023,4.0400002035312355e-05,0.09818060000543483,num_9,2.7139390999946045,735.4529425499902,0.001375199994072318,0.09872599999653175,735.7529838999908,736.2362474499939,736.5530161999923,737.052968050001,737.3529595,737.4363697999943,745.4529776999989,745.4529776999989,745.4529095500009,0.001189000002341345,0.09856810000201222,746.4529395999998,747.4361550999893,747.6530988000013,748.1529568999977,10.015167399993516,755.5698560000019,0.018015899986494333,755.5698560000019,0.1151182999892626,4.0,1.4982094000006327,757.1031321999908,0.001556000002892688,0.09914990000834223,763.1028857999918,763.2861067499878,6.199043900007382,6.282299300000886,764.2862338999985,783.3028896500007,783.3028474000021,26.199172400010866,26.299053599999752,784.3027688000002,,786.3194392000005,0.017335100012132898,0.11568880001141224,816.3194784999941,30.01558200000727,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,816.4193827999989,0.01634590000321623,0.11579640000127256,822.4193049999885,6.015582499996526,822.5192872999905,822.5192872999905,0.01592819999495987,0.11557169999286998,space,1.761718199995812,824.3193542999943,824.3193542999943,4.2800005758181214e-05,0.09795280000253115,num_9,1.7528916000010213,826.1359587500017,0.0024642999924253672,0.09783270000480115,826.4525681999949,826.9191733500018,827.2359711000026,827.7192323499883,828.0359740999993,828.1359971999918,,836.1525868000026,836.1525361499923,0.01705029999720864,0.11446260000229813,837.1525326999981,838.1525941,838.3192667999974,838.8192394999933,10.031091600001673,846.2691187000019,0.034244999988004565,846.2691187000019,0.1309255999949528,5.0,1.9646478000067873,848.2691850999981,0.002767500001937151,0.09766400000080466,854.269215399996,854.4524328499945,6.214217100001406,6.314208200012217,,874.4523665499989,874.4526266999892,26.214358800003538,26.314110200008145,875.4523249999911,877.452425800002,877.452425800002,0.014181100006680936,0.11411030001181643,907.4524798999919,30.01437450000958,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
