loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.038047349499537,0.000897199846804142,0.11571889976039529,13.352852900046855,13.619744249666109,13.919601599685848,14.219853149773552,14.51958779990673,14.819494549697264,15.15286079980433,0.00128099974244833,0.0993286999873817,30.152927899733186,14.99947899999097,15.09912330005318,30.252937299665064,-0.00033930037170648575,0.099274099804461,30.719578499905765,space,4.166835500393063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,34.919580299872905,0.001415099948644638,0.09789450000971556,40.91956890001893,6.031268199905753,41.15328019997105,41.15328019997105,0.08888190006837249,0.23128469986841083,6.031264599878341,47.2698193998076,47.2698193998076,47.2698193998076,0.10855189990252256,0.24797770008444786,52.96957629965618,53.10288459993899,6.014649000018835,6.114558400120586,59.102897899691015,12.014624599833041,59.23621149966493,59.23621149966493,0.014845599886029959,0.11451399978250265,up,1.441587700508535,60.71954379975796,4.3400097638368607e-05,0.0978651000186801,66.75287129962817,66.75287129962817,0.025676799938082695,0.13126070005819201,2.0,3.539979999884963,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.33642049971968,70.33642049971968,0.008433599956333637,0.11378900008276105,3.0,3.706310199573636,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.08626749971882,74.08626749971882,0.01142500014975667,0.11464300006628036,1.0,4.437949499581009,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.56950389966369,78.56950389966369,0.01095520006492734,0.11610820004716516,4.0,5.706057000439614,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3195666000247,84.3195666000247,0.010730199981480837,0.11421329993754625,1.0,6.87102479999885,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.21948589989915,91.21948589989915,0.011153500061482191,0.09821859980002046,5.0,8.487923599779606,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.76952029997483,99.76952029997483,0.010599699802696705,0.11462099989876151,2.0,3.4052783004008234,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.20295139960945,103.20295139960945,0.0007012002170085907,0.0990670002065599,6.0,11.766889200080186,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,115.00281239999458,0.0002748998813331127,0.09811049979180098,121.00275159999728,6.031422399915755,121.28618329996243,121.28618329996243,0.163856599945575,0.28160749981179833,6.014481700025499,127.30256839981303,127.30256839981303,127.30256839981303,0.0999569995328784,0.1981776999309659,133.0027463999577,133.20280569978058,6.031440699938685,6.1315490999259055,139.2027075998485,12.031379699707031,139.33619149960577,139.33619149960577,0.03161369962617755,0.13166219973936677,up,2.0613449001684785,141.4156468999572,2.0300038158893585e-05,0.10290449997410178,147.43600709969178,147.43600709969178,0.036244699731469154,0.13624649960547686,4.0,5.038402299862355,,,,,,,139.3027249998413,139.3027249998413,147.43600709969178,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
