Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,p_port_18.stopped,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,18.151804645359515,0.0007105991244316101,0.09932279959321022,18.416287699714303,18.666456929966806,18.916394200176,19.149780129641293,19.433073600754142,19.433073600754142,0.0328224990516901,0.13279009982943535,34.43300260044634,14.999418100342155,15.099321700632572,34.53305169939995,0.002234499901533127,0.09941030107438564,40.54970920085907,6.016218600794673,40.64966190047562,40.64966190047562,0.016196399927139282,0.11607750132679939,space,3.736922198906541,44.43308429978788,44.43308429978788,5.660019814968109e-05,0.0975331012159586,num_9,7.6494100000709295,52.116497030109166,0.00185299851000309,0.09749099984765053,52.41632179915905,52.91647442951798,53.21635149978101,53.699625530838965,54.016310799866915,54.09967250004411,62.099682699888945,62.099682699888945,62.099670929461716,0.014217499643564224,0.11406669951975346,63.116497000679374,64.09964990057051,64.2995059993118,64.79965580068529,10.030711399391294,72.24988180026412,0.033567700535058975,72.24988180026412,0.13077249936759472,4.0,6.081411600112915,78.36643229983747,0.0015523992478847504,0.09930559992790222,84.38295999914408,84.53289692997933,6.199126800522208,6.2823753003031015,104.54944303035737,104.54957449994981,26.215910900384188,26.315878400579095,105.56627409905195,107.54954780079424,107.54954780079424,0.015931300818920135,0.11587690003216267,137.53268489986658,30.015527799725533,30.099382700398564,,,,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,137.66617519967258,0.000707501545548439,0.099141301587224,143.66615889966488,5.999146800488234,143.76616510003805,143.76616510003805,-4.499964416027069e-05,0.09912930056452751,space,2.4202583003789186,146.23286959901452,146.23286959901452,4.480034112930298e-05,0.09809510037302971,num_9,3.00087439827621,149.29979982934893,0.002540299668908119,0.0977886002510786,149.61630159989,150.08298413045705,150.38270989991724,150.88286643065513,151.18270209990442,151.28286870010197,159.28307130001485,159.28307130001485,159.28286913000048,0.014567099511623383,0.11425570026040077,160.28264000080526,161.26610320061445,161.4827849008143,161.98279809951782,10.01405950076878,169.39927279949188,-0.00012479908764362335,169.39927279949188,0.09751520119607449,2.0,4.598304999992251,174.03261400014162,0.0015797000378370285,0.09905770048499107,180.03275910019875,180.19944852925838,6.199370499700308,6.299168100580573,200.19941323027015,200.1993345003575,26.19927529990673,26.299233799800277,201.216200100258,203.19936119951308,203.19936119951308,-0.0006661992520093918,0.09933819994330406,233.1993796993047,29.99936220049858,30.082734800875187,6.099139099940658,10.097403900697827,181.21608410030603,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,233.31623939983547,0.016245301812887192,0.11591440066695213,239.33272009901702,5.999484501779079,239.43263009935617,239.43263009935617,-4.7398731112480164e-05,0.09918320178985596,space,1.7771167010068893,241.26600619964302,241.26600619964302,6.2599778175354e-05,0.09805450029671192,num_9,2.51210829988122,243.83245933018625,0.000714501366019249,0.09945850074291229,,244.5992931291461,244.9160670991987,245.39949293024839,245.7159640993923,245.81593460030854,253.81586140021682,253.81586140021682,253.81596253030003,0.016187500208616257,0.11621659994125366,254.8158784992993,255.81601569987833,255.99912779964507,256.51598080061376,10.016185101121664,263.9492851998657,0.019080400466918945,263.9492851998657,0.11609550192952156,4.0,5.864759398624301,269.849495800212,0.0024931002408266068,0.09811870008707047,275.8659639004618,276.03246472924945,6.214317200705409,6.297977201640606,296.0499632298946,296.0496890004724,26.23167910054326,26.331049701198936,297.0658071003854,299.0491372998804,299.0491372998804,0.031112700700759888,0.13118530251085758,329.06563510000706,30.014351101592183,,6.0992054007947445,,,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,329.16570249944925,0.015091201290488243,0.11407440155744553,335.1823530998081,6.030918201431632,335.2824576999992,335.2824576999992,0.031066501513123512,0.13092590309679508,space,2.1041246987879276,337.4323789998889,337.4323789998889,7.369928061962128e-05,0.09809679910540581,num_9,2.0253935996443033,339.51577622964976,0.002195701003074646,0.0977374017238617,339.8156281001866,340.2990250304341,340.59893569909036,341.115823629871,341.41586929932237,341.5158210005611,349.5156746003777,349.5156746003777,349.51548813059924,0.03122990019619465,0.13138570077717304,350.5156171992421,351.4987493008375,351.698938600719,352.1989642996341,10.031194001436234,359.63208900019526,0.015423601493239403,359.63208900019526,0.11438700184226036,2.0,2.9000530000776052,362.5656202007085,0.0015590004622936249,0.09922529943287373,368.565593900159,368.732209829241,6.199123999103904,6.299268500879407,388.7322205301374,388.732156900689,26.199242999777198,26.29930840060115,389.74900650046766,391.74879219941795,391.74879219941795,0.01578490063548088,0.11588470079004765,421.7653989996761,30.03235960006714,,,,369.7324081007391,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,421.89868840016425,0.03302610106766224,0.13227210193872452,427.91532349959016,6.015637701377273,427.98204850032926,427.98204850032926,0.015685101971030235,0.11573840118944645,space,6.812133898958564,434.8320739995688,434.8320739995688,3.980100154876709e-05,0.0982098001986742,num_9,4.0816542990505695,438.96532423011956,0.0021165013313293457,0.09801220148801804,439.2652739007026,439.74867952950297,440.06528400070965,440.5486707292497,440.86521209962666,440.96530899964273,448.96524260006845,448.96524260006845,448.9652788300067,0.0014265011996030807,0.09800370037555695,449.9652165006846,450.965239899233,451.1652767006308,451.64875140041113,10.03127010166645,459.08183540031314,0.016842201352119446,459.08183540031314,0.11482360027730465,6.0,4.232010198757052,463.34879600070417,0.003001101315021515,0.09800999984145164,469.3651708997786,469.5485824305564,6.231506900861859,6.331224100664258,489.54847962930796,489.54847050085664,26.2313299998641,26.347911700606346,490.56505000032485,492.54839250072837,492.54839250072837,0.0005061011761426926,0.09791320189833641,522.5482892990112,30.0311612021178,,,,470.5651881005615,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.681632200256,0.031424302607774734,0.13109350204467773,30.01434190198779,552.6982121001929,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,552.7647047992796,0.014725502580404282,0.1310609020292759,558.7648495994508,6.014304401353002,558.864797199145,558.864797199145,0.014125801622867584,0.1142698023468256,space,2.217560200020671,561.1481328997761,561.1481328997761,4.700012505054474e-05,0.09791520051658154,num_9,2.5663248002529144,563.7482443299144,0.0022235997021198273,0.09751289896667004,564.0483043007553,564.5314441300928,564.8312225993723,565.3481422305107,565.6481937002391,565.7314452994615,573.7314200997353,573.7314200997353,573.7314161300659,0.01421389915049076,0.11403930000960827,574.7480514999479,575.7314331997186,575.9314022995532,576.4314120002091,10.013887198641896,583.8480299003422,0.0001880992203950882,583.8480299003422,0.09749309904873371,4.0,1.8647722005844116,585.748336199671,0.002576000988483429,0.09776730090379715,591.7480666004121,591.9482418294996,6.231056800112128,6.331062499433756,611.9311289299279,611.9143969994038,26.214054999873042,26.29744080081582,612.9478954002261,614.8976441007107,614.9309931993484,0.013981100171804428,0.09728170000016689,644.9312210995704,30.014303900301456,,,10.097218399867415,592.9481265991926,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,645.0476875007153,0.014146201312541962,0.11417180113494396,651.0477511007339,6.030827600508928,651.16444949992,651.16444949992,0.013998402282595634,0.11414270102977753,space,2.3420486003160477,653.5477300006896,653.5477300006896,4.1501596570014954e-05,0.09790519997477531,num_9,3.3183955010026693,656.931099429354,0.002490399405360222,0.09802390076220036,657.247796099633,657.7142913300544,658.0142889991403,658.5311970297247,658.8478650003672,658.9143604990095,666.9310050997883,666.9310050997883,666.9310447309166,0.0008876007050275803,0.09796739928424358,667.9476782996207,668.9310180991888,669.1143868006766,669.6143449991941,10.031291099265218,677.0641808994114,0.03408130072057247,677.0641808994114,0.13119279965758324,5.0,4.631643099710345,681.7310656998307,0.001564299687743187,0.09923139959573746,687.7140270005912,687.9142625309527,6.215883100405335,6.315821999683976,707.9140697304159,707.9141837991774,26.21576719917357,26.315696999430656,708.9310526996851,710.9308177996427,710.9308177996427,0.0013429000973701477,0.09894580021500587,740.9306977000087,30.032242501154542,,,,688.91424700059,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,741.0473353993148,0.01610890030860901,0.11552880145609379,747.06399329938,6.0321450009942055,747.1639549005777,747.1639549005777,0.03231320157647133,0.13217280060052872,space,1.805928198620677,749.0306937005371,749.0306937005371,4.369951784610748e-05,0.0980405006557703,num_9,2.2839538007974625,751.3640036299824,0.002017499879002571,0.09810720011591911,751.6639121994376,752.1472321297973,752.4472780004144,752.9472126305103,753.2472513001412,753.3472955990583,761.3472473006696,761.3472473006696,761.3471086300909,0.014812499284744263,0.11476550064980984,762.3641717992723,763.3638907000422,763.5472615007311,764.0471627004445,10.031565200537443,771.4970607999712,0.03417360037565231,771.4970607999712,0.13162009976804256,1.0,2.898248801007867,774.4308065995574,0.0025005005300045013,0.09764939919114113,780.4305741991848,780.6137516308576,6.2142705004662275,6.314221600070596,800.6136715296656,800.6137470994145,26.214231699705124,26.3141731005162,801.613639600575,803.63038459979,803.63038459979,0.00031300075352191925,0.09752720035612583,833.6469471007586,30.014083901420236,,,,781.6137415990233,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,833.7469008006155,0.014577001333236694,0.11399130150675774,839.7635558992624,6.0307701006531715,839.8468699995428,839.8468699995428,0.014003502205014229,0.11396490223705769,space,2.1869603991508484,842.0802650991827,842.0802650991827,6.500072777271271e-05,0.09804270043969154,num_9,2.8182626012712717,844.9636816304177,0.0024312008172273636,0.09795650094747543,845.2634525001049,845.7468244299292,846.0634796991944,846.5468784306198,846.8634214997292,846.9468389004469,854.9635169003159,854.9635169003159,854.9635191295296,0.0008976012468338013,0.09759419970214367,,856.9634674992412,857.1467838007957,857.6468135006726,10.01428009942174,865.063287999481,0.0007297005504369736,865.063287999481,0.09745540097355843,6.0,2.631209898740053,867.7306689992547,0.0010559000074863434,0.09933819994330406,873.7300501000136,873.896784729883,6.199208900332451,6.299109101295471,893.8966962300241,893.8966176994145,26.199085101485252,26.299124501645565,894.8966550994664,896.9133016001433,896.9133016001433,0.01579410210251808,0.1156196016818285,926.9298033993691,30.032286502420902,,,10.097612099722028,874.8967838007957,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
