loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,19.232412606291476,0.0004954002797603607,0.10432969965040684,19.94594033006579,20.379114899784327,0.022171100601553917,0.1211645994335413,15.004215499386191,35.39567309990525,35.46243569999933,35.46243569999933,0.004393201321363449,0.10420750081539154,space,8.012638000771403,,,,,,,,,,,,,,,,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
0,0,0,0,,,,,,,,,,,,,,,,43.512288799509406,0.0015056002885103226,0.09848950058221817,49.51226120069623,6.031818700954318,49.64547540061176,0.03833090141415596,0.1317634005099535,55.628770500421524,6.03162900172174,55.72880190052092,0.0177444014698267,0.11523610167205334,1.0,8.415088400244713,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
1,0,1,0,,,,,,,,,,,,,,,,64.17927579954267,0.00046500004827976227,0.09711430035531521,70.19556429982185,6.013671299442649,70.32896379940212,0.0384966004639864,0.14727660082280636,76.32880620099604,6.013685200363398,76.3957969006151,0.016568701714277267,0.11356500163674355,0.0,2.231545699760318,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
2,0,2,0,,,,,,,,,,,,,,,,78.66245890036225,0.0006457008421421051,0.09716160036623478,84.6789800003171,6.013765001669526,84.828753400594,0.06867910176515579,0.16391060128808022,90.82885370030999,6.030439401045442,90.89542569965124,0.033046601340174675,0.13035560213029385,3.0,4.298354601487517,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
3,0,3,0,,,,,,,,,,,,,,,,95.22901709936559,0.0004698988050222397,0.09735629893839359,101.2287776004523,6.0306954998523,101.36196880042553,0.04058440029621124,0.13066549971699715,107.362294299528,6.030649200081825,107.44533709995449,0.01580679975450039,0.11397220008075237,0.0,2.1324790995568037,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
4,0,4,0,,,,,,,,,,,,,,,,109.61233079992235,0.000631699338555336,0.09698409959673882,115.62877570092678,6.013619299978018,115.74532099999487,0.038391999900341034,0.13029840029776096,121.72862710058689,6.030232399702072,121.82862040027976,0.015242600813508034,0.11337899975478649,3.0,2.9993337988853455,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
5,0,5,0,,,,,,,,,,,,,,,,124.86229459941387,0.0005008000880479813,0.0969719011336565,130.86216459982097,6.03047320060432,131.01193740032613,0.04718650132417679,0.14717750065028667,137.01203789934516,6.013655301183462,137.07871400006115,0.016375301405787468,0.11351550184190273,3.0,2.3316427003592253,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
6,0,6,0,,,,,,,,,,,,,,,,139.44560110010207,0.0002437010407447815,0.09898650087416172,145.4619951006025,6.015660500153899,145.59521660022438,0.05650140158832073,0.1489701010286808,151.59528000093997,6.015605101361871,151.6618833001703,0.018276100978255272,0.11580660194158554,0.0,2.265055699273944,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
7,0,7,0,,,,,,,,,,,,,,,,153.96219269931316,0.0006355009973049164,0.11384860053658485,159.97862900048494,6.013640800490975,160.09520149976015,0.03617889992892742,0.13032099977135658,166.07847619988024,6.030327500775456,166.17845950089395,0.016023801639676094,0.11402120068669319,0.0,2.7985325008630753,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
8,0,8,0,,,,,,,,,,,,,,,,169.01205020025373,0.00046450085937976837,0.0973920002579689,175.0120129007846,6.030812900513411,175.16191850043833,0.054123200476169586,0.14728760160505772,181.14498770050704,6.013907400891185,181.22844490036368,0.015766801312565804,0.11382830142974854,2.0,2.432513101026416,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
