loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.23379017964471,0.0010952999582514167,0.11198569997213781,17.813622170081363,18.113765400019474,18.414146469975822,18.713892100029625,19.01366837003734,19.347032300080173,0.014492499991320074,0.1119173999177292,34.36370420001913,15.02847959997598,34.44706849998329,0.011882200022228062,0.11191710003186017,34.91383840003982,space,0.9959328999975696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,35.947121900040656,0.0007773999823257327,0.09895719995256513,41.94683840009384,6.0155350000131875,6.098840499995276,42.23055129998829,42.23055129998829,0.1492994000436738,0.28226300003007054,6.015610300004482,48.26369430008344,48.26369430008344,48.26369430008344,0.08052319998387247,0.21563900006003678,53.963673799997196,54.1303435000591,6.015662000048906,6.115707400022075,60.130334299989045,12.015651799971238,60.263695100089535,60.263695100089535,0.0157805000199005,0.11537230003159493,up,1.5492506999289617,61.863651400082745,4.659988917410374e-05,0.09761779999826103,67.8968347000191,67.8968347000191,0.03283849998842925,0.1310319999465719,6.0,3.199148299987428,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.14700530003756,71.14700530003756,0.016281699994578958,0.11440239998046309,4.0,3.515627400018275,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.69692060002126,74.69692060002126,0.011435799999162555,0.0991809000261128,3.0,4.288860999979079,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.04705719999038,79.04705719999038,0.013147999998182058,0.11460029997397214,2.0,2.0023463999386877,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.08042580005713,81.08042580005713,0.009984000003896654,0.0974864000454545,6.0,2.055275799939409,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.19707190000918,83.19707190000918,0.010513899964280427,0.11394289997406304,2.0,3.104493600083515,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3472687000176,86.3472687000176,0.011406700010411441,0.11470379994716495,6.0,2.570963399950415,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9469386000419,88.9469386000419,0.0012524999910965562,0.09786249999888241,7.0,4.397891400032677,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,93.3804651000537,0.00027160008903592825,0.09779510006774217,99.3969849999994,6.014451000024565,,99.58063580002636,99.58063580002636,0.08846110012382269,0.19785510003566742,6.031084400019608,105.68037680000998,105.68037680000998,105.68037680000998,0.08721290004905313,0.1977156001375988,111.38022980000824,111.58024250005838,6.031083700130694,6.131049600080587,117.58023469999898,12.031086900038645,117.71352800005116,117.71352800005116,0.031328300130553544,0.13098840008024126,up,4.4192133999895304,122.18022340000607,4.910002462565899e-05,0.09788240003399551,128.2135271000443,128.2135271000443,0.031868900055997074,0.13150040002074093,2.0,3.367147700046189,,,,,,,105.58025940007064,105.58025940007064,117.68030140001792,117.68030140001792,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
