loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.83364329970209,0.0006418999982997775,0.10065329994540662,17.262951700016856,17.529756880004424,17.946341099916026,17.946341099916026,0.017366899992339313,0.11739049991592765,32.92964929994196,15.000688400003128,15.083802399924025,33.046258999966085,33.046258999966085,0.017849299940280616,0.11728170001879334,space,3.968916599988006,,,,,,,,,,,,,,,,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
0,0,0,0,,,,,,,,,,,,,,,,,,,37.07960259995889,0.0019290000200271606,0.09848179994150996,43.07957729999907,6.031807199935429,43.262877799919806,0.07155079999938607,0.18197609996423125,6.015132899978198,49.26295509992633,49.29615199996624,0.017996000009588897,0.1149227999849245,0.0,4.114940700004809,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
1,0,1,0,,,,,,,,,,,,,,,,,,,53.44625589996576,0.0005262000486254692,0.09732250007800758,59.44626659993082,6.030355800059624,59.59626209991984,0.04677730007097125,0.14700410002842546,6.013715700013563,65.59627839992754,65.66302480001468,0.014742100145667791,0.11352660006377846,0.0,2.4334814000176266,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
2,0,2,0,,,,,,,,,,,,,,,,,,,68.12969570001587,0.00046740006655454636,0.09731530002318323,74.14617399999406,6.013898800010793,74.76305569999386,0.3784394001122564,0.6306705001043156,6.013903900049627,,80.32605599996168,0.012889100122265518,0.09357260004617274,1.0,2.1353794999886304,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
3,0,3,0,,,,,,,,,,,,,,,,,,,82.5128115999978,0.0003792999777942896,0.09770689997822046,88.51279930002056,6.031034699990414,88.66271209996194,0.049640199984423816,0.14768289995845407,6.014300100039691,94.66283879999537,94.72938019991852,0.01528130006045103,0.11423549999017268,0.0,2.099974900018424,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
4,0,4,0,,,,,,,,,,,,,,,,,,,96.86310850002337,0.0002498000394552946,0.09909710008651018,102.87948280002456,6.015778800006956,102.99606039992068,0.032424500095658004,0.1323415000224486,6.032285500084981,108.99611980002373,109.09609509992879,0.03488750010728836,0.13229030009824783,0.0,2.3652713999617845,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
5,0,5,0,,,,,,,,,,,,,,,,,,,111.49614309996832,0.0005414000479504466,0.09687290003057569,117.51275260001421,6.013724299962632,117.62946899991948,0.03311720001511276,0.1306169000454247,6.030306600034237,123.6293285000138,123.71263780002482,0.0161657000426203,0.1136218000901863,0.0,2.03182590007782,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
6,0,6,0,,,,,,,,,,,,,,,,,,,125.7795511999866,0.0002400000812485814,0.09904150001239032,131.77935159998015,5.999153700075112,131.9292804999277,0.045203000074252486,0.14893540006596595,6.0155752000864595,137.92934509995393,137.99611930001993,0.01815430005080998,0.11572800006251782,1.0,2.1986443999921903,6.098966000019573,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
7,0,7,0,,,,,,,,,,,,,,,,,,,140.22933639993425,0.0004971000598743558,0.09757800004445016,146.24599419999868,6.014246600097977,146.36273980000988,0.03379220003262162,0.13094210007693619,6.030935800052248,152.36276099993847,152.46255779999774,0.03380050009582192,0.13100750010926276,1.0,2.3980682999826968,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
8,0,8,0,,,,,,,,,,,,,,,,,,,154.896206800011,0.00023520004469901323,0.09869520005304366,160.91262359998655,6.015335600008257,161.04586999991443,0.04942910000681877,0.14888730004895478,6.015324900043197,167.0459096999839,167.11259339994285,0.017026300076395273,0.11528000002726912,1.0,2.7329507999820635,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
9,0,9,0,,,,,,,,,,,,,,,,,,,169.87952039996162,0.00040120002813637257,0.09761439997237176,175.87935910001397,6.031308299978264,176.0292114999611,0.046465200022794306,0.14770480000879616,6.014455799944699,182.02922589995433,182.0960146000143,0.01748709997627884,0.1146304999710992,0.0,2.0645561000565067,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
10,0,10,0,,,,,,,,,,,,,,,,,,,184.19607980002183,0.00022819999139755964,0.09904669993557036,190.19601800001692,5.9995587999001145,190.31273629993666,0.02677699993364513,0.11581619991920888,6.015627500019036,196.31251650000922,196.41245359997265,0.0166915999725461,0.11549490003380924,2.0,2.0331630000146106,6.098777299979702,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
