Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,Begin_Rinse.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,16.88348353873007,0.0004964997060596943,0.09601449966430664,17.147227700334042,17.380653160298245,17.64713010005653,17.880617459909992,18.164016700349748,18.164016700349748,0.011140999849885702,0.11272430000826716,33.147044100333005,15.012499100062996,15.095842400100082,33.24719800008461,0.029498899821192026,0.1293899999000132,39.247215300332755,6.02946349978447,39.380573499947786,39.380573499947786,0.029699699487537146,0.12944339960813522,space,8.958777300082147,48.3803620999679,48.3803620999679,1.9399914890527725e-05,0.0991559000685811,num_9,3.7426849002949893,52.18060506009497,0.002035900019109249,0.09791880007833242,52.49716689996421,52.98051466015168,53.29724030010402,53.76384046035819,54.06375050032511,54.180602699983865,62.18053080001846,62.18053080001846,62.18062986028381,0.0014766999520361423,0.09797459980472922,63.19723469996825,64.19745340012014,64.38055550027639,64.88051940035075,10.014549000188708,72.29691349994391,0.016729699913412333,72.29691349994391,0.11431329976767302,3.0,9.015447500161827,81.3475979003124,0.0015839999541640282,0.09952589962631464,87.3471383000724,87.51383916023187,6.199162099976093,6.315872799605131,107.51379556036554,107.51374990027398,26.199143899604678,26.29912759969011,108.53043729998171,110.51382010011002,110.51382010011002,-0.0007679006084799767,0.09914149949327111,140.51353760017082,30.015604299493134,30.098995599430054,,,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,140.64705710019916,0.0002980995923280716,0.09907909948378801,146.66387360030785,6.0157359996810555,146.76371990004554,146.76371990004554,0.015860799234360456,0.11572819948196411,space,3.05570870032534,149.8804005002603,149.8804005002603,4.7099776566028595e-05,0.09767480008304119,num_9,4.714157599955797,154.6304741600994,0.0013592001050710678,0.09850289998576045,154.9470111001283,155.41388516002334,155.7136117001064,156.21385945999063,156.53033770015463,156.63033229997382,164.63025610009208,164.63025610009208,164.6303561601322,0.000717800110578537,0.11524230008944869,165.64699630020186,166.6470109000802,166.81412140000612,167.29690190032125,10.015039999969304,174.73022940009832,0.0008539999835193157,174.73022940009832,0.09834819985553622,4.0,7.598999100271612,182.3639168003574,0.002950000111013651,0.0974006000906229,188.36361839994788,188.56380845992825,6.230745000299066,6.33076550019905,208.56364086004905,208.56362979998812,26.230760999955237,26.330810900311917,209.58028610004112,211.56363460002467,211.56363460002467,-0.00023850006982684135,0.09757380001246929,241.56352810002863,30.030658499803394,,10.09845340019092,,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,241.69676110008731,0.03133430005982518,0.13063920009881258,247.71362260030583,6.013926200103015,247.78041630005464,247.78041630005464,0.014122499618679285,0.11396579956635833,space,3.1820241999812424,251.01350550027564,251.01350550027564,4.4700223952531815e-05,0.09841310000047088,num_9,2.2374089998193085,253.2970100600738,0.001995299942791462,0.09803840005770326,253.59687560005113,254.097067960212,254.39681240031496,254.8800870600622,255.19698110036552,255.2802206003107,263.29687900003046,263.29687900003046,263.2968930603471,0.0014789998531341553,0.09788329992443323,,265.2970092999749,265.49690850032493,265.98006230033934,10.01454159989953,273.4134130999446,0.0177156999707222,273.4134130999446,0.1143184001557529,3.0,3.664417900145054,277.11378689995036,0.0017170002683997154,0.0994597002863884,283.11345629999414,283.28010015995244,6.199206899851561,6.2992356000468135,303.28019626033495,303.28024690039456,26.19937440007925,26.29928469983861,304.27996399998665,306.29670980013907,306.29670980013907,0.015933199785649776,0.1161841000430286,336.29669210035354,30.015920199919492,,,284.280159200076,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,336.42999010020867,0.016499599907547235,0.11573089985176921,342.446633500047,5.999064599629492,342.5133212003857,342.5133212003857,-0.00010850047692656517,0.09903769986703992,space,2.153778600040823,344.730040400289,344.730040400289,4.229974001646042e-05,0.09789469977840781,num_9,2.4969661999493837,347.26347166034395,0.0018767998553812504,0.09794829972088337,347.5799005003646,348.06329396008516,348.36308560008183,348.8467345602345,349.1466224002652,349.24655700009316,357.24656810006127,357.24656810006127,357.2466734602582,0.014600099995732307,0.11456589959561825,358.24650790030137,359.24657130008563,359.44671240029857,359.9465920003131,10.01439829962328,367.36322040017694,1.6499776393175125e-05,367.36322040017694,0.09776419959962368,4.0,2.832010400015861,370.23003940004855,0.002567899879068136,0.09763489989563823,376.2129550999962,376.42990466034973,6.2310529998503625,6.330901199951768,396.4131115601864,396.41314340010285,26.214258499909192,26.31393780000508,397.42977020004764,399.413133200258,399.413133200258,0.014261699747294188,0.11425709957256913,429.39616810018197,30.013783499598503,30.09726719977334,10.09771479992196,377.44658820005134,6.099084099754691,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,429.52955840015784,0.030583699699491262,0.1307643996551633,435.52967040007934,6.030776099767536,435.66298090014607,435.66298090014607,0.030877699609845877,0.13102669967338443,space,2.195487799588591,437.896335599944,437.896335599944,3.969995304942131e-05,0.0982507998123765,num_9,2.3226612000726163,440.26310026007707,0.0021062996238470078,0.09806939959526062,440.5796850002371,441.04627376017163,,441.84627086031253,,442.24634720012546,450.2630515000783,450.2630515000783,450.26300456016327,0.0013127997517585754,0.09805959975346923,451.2796408999711,452.2796602002345,452.44642639998347,452.94632930029184,10.01470739999786,460.39643910015,0.017172299791127443,460.39643910015,0.1315122996456921,3.0,11.8818330001086,472.2964776000008,0.0016145999543368816,0.09929649997502565,478.29633840033785,478.4962277600076,6.199035400059074,6.2990641999058425,498.4961811603513,498.4961741003208,26.23243930004537,26.33233830006793,499.4961371002719,501.4960871003568,501.4960871003568,0.0015535000711679459,0.09898529993370175,531.4960859003477,30.032319999765605,,,,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.6295523000881,0.03270009998232126,0.1322364998050034,561.6292598000728,30.0322311995551,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,561.712584500201,0.01729429978877306,0.11546859983354807,567.7292343000881,6.0320785995572805,567.812577100005,567.812577100005,0.015522799454629421,0.1154181994497776,space,2.07835999969393,569.9459577002563,569.9459577002563,5.239993333816528e-05,0.09752750024199486,num_9,1.96109819971025,571.9459665600676,0.001848599873483181,0.0980031001381576,572.2458192999475,572.7459206601139,,573.5459275600966,573.8457675003447,573.92938530026,581.9293542001396,581.9293542001396,581.9292687602807,0.014851000159978867,0.1145788999274373,582.9458179003559,583.9123613000847,584.1123374002054,584.5956570999697,10.031250299885869,592.0790519001894,0.03436379972845316,592.0790519001894,0.1312237000092864,2.0,3.3313425998203456,595.4457928002812,0.0022428003139793873,0.09817210026085377,601.4624315002002,601.6291784603615,6.214818300213665,6.314932300243527,621.6289477601182,621.6290575000457,26.214882500004023,26.31474780011922,622.628961800132,624.645702500362,624.645702500362,0.0005763997323811054,0.09807589976117015,654.6455821003765,30.03136290004477,,,602.6457587000914,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,654.762248700019,0.01540659973397851,0.11464789975434542,660.762211299967,6.014603899791837,660.8622632003389,660.8622632003389,0.014858799520879984,0.11458819964900613,space,2.037258299998939,662.9455930003896,662.9455930003896,4.719989374279976e-05,0.09812449989840388,num_9,2.5290815997868776,665.5123016602826,0.0016886000521481037,0.09815050009638071,665.8288320000283,666.3122865600977,666.6288759000599,667.0954910601955,667.395491800271,667.4956368999556,675.4955235002562,675.4955235002562,675.4955580599141,0.01482840022072196,0.11492590000852942,676.4954453003593,677.4956090999767,677.7122440002859,678.2120720003732,10.014756999909878,685.6287718000822,0.017779499758034945,685.6287718000822,0.11475529987365007,3.0,3.7979886000975966,689.4624537001364,0.0023174998350441456,0.09808380017057061,695.4454353000037,695.6621772601735,6.231216699816287,6.331272600218654,715.645282260282,715.6454087002203,26.21457629976794,26.31448209984228,,718.6453544003889,718.6453544003889,0.01454909984022379,0.11449379986152053,748.6620346000418,30.03124969964847,,,696.6788216000423,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,748.7952750003897,0.031930099707096815,0.13115849951282144,754.7783284001052,6.0309916995465755,754.8618294000626,754.8618294000626,0.014130499679595232,0.09772719955071807,space,2.380658300127834,757.2952939001843,757.2952939001843,4.480034112930298e-05,0.09800560027360916,num_9,1.811794400215149,759.1619730602484,0.0021695001050829887,0.09783810004591942,759.4785217000172,759.9451097600628,,760.7619066603016,761.0785258002579,761.1618512002751,769.1618735003285,769.1618735003285,769.1618702599313,0.0013913000002503395,0.09805830009281635,770.1785011002794,771.1785217002034,771.3451259001158,771.8449918003753,10.031219300348312,779.2950774999335,0.03419760009273887,779.2950774999335,0.13103350019082427,6.0,3.4979523001238704,782.8286469001323,0.0027829003520309925,0.09749620035290718,788.8453677999787,789.0284389603418,6.23079780023545,6.330793600063771,809.0284401603509,809.0283902999945,26.230788600165397,26.33076889999211,810.0282299001701,812.0283739003353,812.0283739003353,-0.00014560017734766006,0.09738520020619035,842.0282046003267,30.03060599975288,,,790.0284110000357,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,842.1615246003494,0.03133839974179864,0.13042719988152385,848.1615522000939,6.030581399798393,848.2615559003316,848.2615559003316,0.030690799932926893,0.13067419966682792,space,1.3808756000362337,849.6948959003203,849.6948959003203,4.529999569058418e-05,0.09785020025447011,num_9,1.8600499997846782,851.6116148602683,0.0020526996813714504,0.09801549976691604,851.928160100244,852.3947924600449,,853.2116044602823,853.5282128001563,853.594836700242,861.5948773003183,861.5948773003183,861.5948946603108,0.014771400019526482,0.11462799971923232,862.5947455000132,863.5948282000609,863.7948306002654,864.2948008002713,10.014514999929816,871.7280989000574,0.018035499844700098,871.7280989000574,0.11471879994496703,5.0,3.1308320998214185,874.8951787999831,0.0016584997065365314,0.09927719971165061,880.8947769999504,881.0614167602267,6.199203199706972,6.299193199723959,901.0780571602751,901.0780148999766,26.215755799785256,26.315868999809027,902.1113729001954,904.0779699003324,904.0779699003324,0.015733799431473017,0.11570079950615764,934.0779107003473,30.0157363996841,,,882.0780986002646,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
