loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.79852324835956,0.0008755996823310852,0.10461889998987317,18.396293849963694,18.713126699905843,19.01337644951418,19.31306489976123,19.59639344951138,19.929678599815816,19.929678599815816,0.005366599652916193,0.10480939969420433,34.94643389992416,15.021461999975145,35.04655159963295,0.021583999507129192,0.12144869985058904,35.51322599966079,space,2.3608788000419736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,37.91303449962288,0.0015026000328361988,0.09782600030303001,43.929775699973106,6.014356100000441,44.19622999988496,44.19622999988496,0.145229899790138,0.28093669982627034,6.0143532999791205,50.22982989996672,50.22982989996672,50.22982989996672,0.07512809988111258,0.21439659968018532,55.92970489989966,56.09631139971316,6.014303300064057,6.114361899904907,62.096367799676955,12.014353199861944,62.22967889998108,62.22967889998108,0.014571299776434898,0.11426279973238707,up,4.156930600292981,66.44638059986755,5.239993333816528e-05,0.08869019988924265,72.47977899992839,72.47977899992839,0.016364499926567078,0.12197019997984171,5.0,22.123424800112844,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.62963619967923,94.62963619967923,0.009866499807685614,0.0978767997585237,4.0,6.789439399726689,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.47980629978701,101.47980629978701,0.009820700157433748,0.11419040011242032,5.0,5.505545800086111,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.012871499639,107.012871499639,0.009156099986284971,0.09895669994875789,3.0,4.124216399621218,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.19635409954935,111.19635409954935,0.011501400265842676,0.11416780017316341,1.0,4.170497700106353,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.41321989987046,115.41321989987046,0.00907350005581975,0.11469999980181456,1.0,4.00653070025146,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.46322329994291,119.46322329994291,0.009277400095015764,0.11585290031507611,4.0,5.307495799846947,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.79628219967708,124.79628219967708,0.002278500236570835,0.09693989995867014,3.0,12.129269600380212,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,136.96293709985912,0.000420999713242054,0.09718979988247156,142.94614849984646,6.013758999761194,143.1960807996802,143.1960807996802,0.12141629960387945,0.23048479948192835,6.0305025996640325,149.26292809983715,149.26292809983715,149.26292809983715,0.08704319968819618,0.1971099996007979,154.96282989997417,155.16294439975172,6.030562399420887,6.130457599647343,161.1628968999721,12.030525599606335,161.29621839988977,161.29621839988977,0.030664299614727497,0.13057569926604629,up,2.5542806000448763,163.91289729997516,5.13000413775444e-05,0.09785070037469268,169.92987479967996,169.92987479967996,0.02126150019466877,0.11461650021374226,4.0,13.927645199932158,,,,,,,6.097035499755293,161.26289649959654,161.26289649959654,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.91315419971943,183.91315419971943,0.007802899926900864,0.1142068998888135,5.0,3.1741865002550185,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.11275929957628,187.11275929957628,0.007662499789148569,0.09784090006724,3.0,2.4577401001006365,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.6128405998461,189.6128405998461,0.007550999987870455,0.09760139975696802,2.0,4.591395299881697,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.2464975998737,194.2464975998737,0.006711799651384354,0.097191599663347,1.0,3.1248233998194337,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.41284749982879,197.41284749982879,0.006962399929761887,0.09836139995604753,3.0,9.992246099747717,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.44617589982226,207.44617589982226,0.0076639000326395035,0.09774819994345307,1.0,3.8577538998797536,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.3463850999251,211.3463850999251,0.0013770000077784061,0.09755259985104203,3.0,6.997664500027895,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,218.37988149980083,0.00030010007321834564,0.09768630005419254,224.37949489988387,6.031030800193548,224.5795672996901,224.5795672996901,0.08481660019606352,0.19775980012491345,6.030993800144643,230.6793970996514,230.6793970996514,230.6793970996514,0.0866231000982225,0.19784849975258112,236.3794952998869,236.57958889985457,6.031158899888396,6.1309485998936,242.57945259986445,12.0309905000031,242.71278119971976,242.71278119971976,0.031165699940174818,0.13092759996652603,up,1.5773189002647996,244.32944439956918,4.0499959141016006e-05,0.09775670012459159,250.3463146998547,250.3463146998547,0.010012200102210045,0.11451019998639822,1.0,5.272169299889356,,,,,,,,242.67942499974743,242.67942499974743,230.57962979981676,230.57962979981676,250.3463146998547,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.6459810999222,255.6459810999222,0.0067599001340568066,0.09925239998847246,1.0,2.3603090001270175,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0460654995404,258.0460654995404,0.006713200360536575,0.09915880020707846,1.0,3.5270083998329937,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.61285879975185,261.61285879975185,0.006521199829876423,0.0992620000615716,1.0,1.1272996999323368,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.7794202999212,262.7794202999212,0.0066651999950408936,0.09920549998059869,2.0,8.09354279981926,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.91264249989763,270.91264249989763,0.006786799989640713,0.09892790019512177,2.0,2.4932655999436975,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.4631068999879,273.4631068999879,0.007407400291413069,0.11394259985536337,2.0,3.1409198003821075,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.62943849992007,276.62943849992007,0.0015785000286996365,0.09777370002120733,4.0,3.197302999906242,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,279.8629281995818,0.0002631000243127346,0.1141393999569118,285.87938259961084,6.014151300303638,286.04607039969414,286.04607039969414,0.06892020022496581,0.181135100312531,6.014170399866998,292.1459766998887,292.1459766998887,292.1459766998887,0.07445219997316599,0.18109739990904927,297.8460331996903,298.04599399957806,6.01428039977327,6.1141560999676585,304.04586259974167,12.013982499949634,304.1793184997514,304.1793184997514,0.014403100125491619,0.11418379982933402,up,1.6392502998933196,305.8793590995483,4.740012809634209e-05,0.09795980015769601,311.91259069973603,311.91259069973603,0.025850600097328424,0.1314491000957787,1.0,4.90649180021137,,,,,,,,304.145983599592,304.145983599592,292.0459874998778,292.0459874998778,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.8462346997112,316.8462346997112,0.006689500063657761,0.09905589977279305,5.0,8.326837199740112,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.2127073998563,325.2127073998563,0.0066096000373363495,0.09904220001772046,4.0,8.52701469976455,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.7791615999304,333.7791615999304,0.007263599894940853,0.09832810005173087,3.0,7.692222999874502,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.51265689963475,341.51265689963475,0.007362900301814079,0.09913560003042221,2.0,5.826291700359434,,,,,,,,,,,,,,,3081,Moral,2024-08-26_10h29.58.124,MoralCondition_v2,2022.2.5,29.997510180712144,
