loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.28066155845299,0.0005206996574997902,0.1003613998182118,18.709925499744713,18.97656912994571,19.409998099785298,0.018635399639606476,0.11697479989379644,15.000357599928975,34.42659719986841,34.4932373999618,34.4932373999618,0.000505299773067236,0.10049799969419837,space,6.878966399934143,,,,,,,,,,,,,,,,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
0,0,0,0,,,,,,,,,,,,,,,,,41.44325699983165,0.02473209984600544,0.11505579994991422,47.45989120006561,6.031720199622214,47.609905399847776,0.07930209953337908,0.18194619985297322,6.015013199765235,53.60992940003052,53.643536899704486,0.01809589983895421,0.11515899980440736,2.0,6.381416299846023,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
1,0,1,0,,,,,,,,,,,,,,,,,60.06012160005048,0.00047610001638531685,0.09744089981541038,66.04311800003052,6.013869400136173,66.17661410011351,0.015300099737942219,0.1139448001049459,6.013945899903774,72.17657579993829,72.27650399971753,0.016638999804854393,0.11388569977134466,0.0,3.5982785997912288,6.097539899870753,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
2,0,2,0,,,,,,,,,,,,,,,,,75.9100713999942,0.0005342997610569,0.09705530013889074,81.92658159974962,6.013982099946588,82.04354969970882,0.02921289997175336,0.1306301997974515,6.030421399977058,88.04325219988823,88.14314639987424,0.033103799913078547,0.13029739959165454,2.0,6.798188799992204,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
3,0,3,0,,,,,,,,,,,,,,,,,94.97686599986628,0.00029669981449842453,0.09908649977296591,100.99324740003794,6.015866400208324,101.10977019974962,0.032388499937951565,0.132322299759835,5.9990129000507295,107.1099332999438,107.17649480002001,0.00235849991440773,0.0990057997405529,3.0,4.364299500361085,,6.099123099818826,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
4,0,4,0,,,,,,,,,,,,,,,,,111.57679679989815,0.0005939998663961887,0.09730189992114902,117.5934733999893,6.013741799630225,117.70982299977913,0.03454099968075752,0.13068819977343082,6.030450699850917,123.70991279976442,123.80989379994571,0.03337539965286851,0.1306500998325646,0.0,6.131399199832231,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
5,0,5,0,,,,,,,,,,,,,,,,,129.97698409995064,0.0002699000760912895,0.09924629982560873,135.97673129988834,5.999033700209111,136.0932859997265,0.020226600114256144,0.11585199972614646,6.01570069976151,142.09325439995155,142.1931594000198,0.016145099885761738,0.11582099972292781,0.0,1.8338496997021139,6.098937199916691,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
6,0,6,0,,,,,,,,,,,,,,,,,144.0602378998883,0.0005302000790834427,0.09737390000373125,150.0765748997219,6.014004100114107,150.22649660008028,0.0675494996830821,0.16412119986489415,6.030663499608636,156.22661409992725,156.29311579978094,0.03392459964379668,0.1306008999235928,3.0,3.197726100217551,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
7,0,7,0,,,,,,,,,,,,,,,,,159.52697800006717,0.00024399999529123306,0.0991418999619782,165.52664559986442,5.999001400079578,165.6599178998731,0.03715129988268018,0.13258949993178248,6.032330199610442,171.65991019969806,171.75991760008037,0.035096699837595224,0.1323390998877585,3.0,2.898178200237453,6.099034999962896,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
8,0,8,0,,,,,,,,,,,,,,,,,174.6933136996813,0.0005898000672459602,0.09698690008372068,180.67646769993007,6.01352269994095,180.80986810009927,0.015567999798804522,0.11363480007275939,6.013819899875671,186.8100096997805,186.9097607000731,0.016208800021559,0.11351489974185824,0.0,1.898488299921155,6.096876199822873,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
