Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.734089920367115,0.0005989000201225281,0.09333150007296354,15.003266200073995,15.236366560019087,15.50317470007576,15.753216660034377,16.05316969996784,0.02666269999463111,0.14344040001742542,15.010104099987075,31.053176400018856,31.119848200003617,0.015211100107990205,0.11002000002190471,37.11984419997316,6.010019700042903,37.21982019999996,37.21982019999996,0.01012830005493015,0.1101767000509426,space,3.014268900034949,40.26990830001887,40.26990830001887,3.860006108880043e-05,0.09735230007208884,num_9,3.6905175999272615,44.01997046001488,0.002002199995331466,0.09766950004268438,44.31977439997718,44.81979706002166,45.11979320005048,45.61978926000884,45.91979259997606,46.00317310006358,54.00319680001121,54.00319680001121,54.003152360010425,0.014401100110262632,0.1143146000104025,55.019776400062256,56.01992109999992,56.20317990006879,56.6863624000689,10.014197700074874,10.097552100080065,64.11976110003889,0.0007374000269919634,64.11976110003889,0.09770030004438013,3.0,5.231210199999623,69.38669269997627,0.0025397000135853887,0.0976778999902308,75.38652290008031,75.58657596007689,6.23097539995797,6.330956800025888,76.60310870001558,95.56972666006769,95.569858700037,26.21435919997748,26.31443849997595,96.57002520002425,98.58652460004669,98.58652460004669,4.020007327198982e-05,0.09768140001688153,128.58656890003476,30.03107300004922,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,128.71989210008178,0.03166890004649758,0.131065700086765,134.73670480004512,6.014499100041576,134.80353889998514,134.80353889998514,0.014721800107508898,0.11442620004527271,space,1.8933514000382274,136.73657639999874,136.73657639999874,4.000007174909115e-05,0.09817380004096776,num_9,2.0565184000879526,138.8532021600171,0.0024120000889524817,0.09784960001707077,139.1532871000236,139.65317725999049,139.95334590005223,140.43651686006925,140.75342359999195,140.85321830003522,148.85330770001747,148.85330770001747,148.85330555998954,0.0011294001014903188,0.09801230009179562,149.8699797000736,150.86988350003958,151.0365454000421,151.55323459999636,10.01079299999401,10.094343000091612,158.9530531000346,0.031028200057335198,158.9530531000346,0.13110070012044162,4.0,3.901153799961321,162.88655020005535,0.0021973999682813883,0.09847700002137572,168.88665620004758,169.08657196004643,6.231712499982677,6.331913499976508,170.1032339000376,189.086531160085,189.0866375999758,26.23183569998946,26.331848100060597,190.10326270002406,,192.10323550004978,0.01679540006443858,0.11518180009443313,222.10327000007965,30.015040600090288,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,222.20327569998335,0.015377000090666115,0.11504810012411326,228.20324439997785,6.015190600068308,228.30327969999053,228.30327969999053,0.015210200101137161,0.11504320008680224,space,1.8973602999467403,230.23659190000035,230.23659190000035,3.96000687032938e-05,0.09783620003145188,num_9,1.612265200004913,231.88656896007015,0.0020330999977886677,0.09794229990802705,232.20340760005638,232.6697349599912,232.9698592000641,233.48654786000262,233.80325330002233,233.8699587000301,241.87012600002345,241.87012600002345,241.87002056002385,0.01484999991953373,0.11458870000205934,,243.86995760002173,244.06990930007305,244.58660050004255,10.014617200009525,,252.0031373000238,0.01732570002786815,252.0031373000238,0.11456589994486421,3.0,2.964951999951154,255.0034478000598,0.0025377999991178513,0.09825709997676313,261.01994690007996,261.1866273599793,6.214773899991997,6.31477089994587,262.2032717000693,281.18647826000813,281.18658990005497,26.21481739997398,26.31480129994452,282.20324930001516,284.1865819999948,284.1865819999948,0.014837500057183206,0.11477770004421473,314.18658710003365,30.014813599991612,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,314.3199671000475,0.01547840004786849,0.11474470002576709,320.3365893000737,6.031445900094695,320.4199311999837,320.4199311999837,0.014887900091707706,0.11488750006537884,space,1.7328894999809563,322.1866106999805,322.1866106999805,4.600000102072954e-05,0.0973345999373123,num_9,1.9023993000155315,324.15320645997997,0.0024615000002086163,0.0980515000410378,324.45326560002286,324.9365766600589,325.25326030002907,325.7364580600173,326.05322120001074,326.15325980004855,,334.16990830004215,334.1700073600863,0.017715099966153502,0.11479280004277825,335.16979940002784,336.1699072000338,336.33658390003256,336.83660050004255,10.014751799986698,10.09803330001887,344.25309290003497,0.0014795999741181731,344.25309290003497,0.09799060004297644,5.0,3.8311128000495955,348.1198822000297,0.003104400006122887,0.09776450006756932,354.1365778000327,354.3199797600158,6.2310737000079826,6.331117000081576,355.31992789998185,374.30306835999943,374.30323379999027,26.214493500068784,26.314586600055918,375.303175500012,377.3201653000433,377.3201653000433,0.0002555000828579068,0.09779630007687956,407.303006800008,30.01418260007631,30.09749080007896,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,407.4029860000592,0.014178900048136711,0.11437850014772266,413.4198556999909,6.031082900124602,413.5364843000425,413.5364843000425,0.01439270016271621,0.11435920011717826,space,2.42405640007928,416.0031979000196,416.0031979000196,4.220008850097656e-05,0.09800019999966025,num_9,1.0769998000469059,417.13653316003035,0.0009443999733775854,0.09907220001332462,417.45321700000204,417.91968416007,418.23654660000466,418.7197212600498,419.0366522000404,419.1365409999853,427.1364572000457,427.1364572000457,427.13650856007587,0.0023056999780237675,0.09907310002017766,428.15316480002366,429.1531629000092,429.3198310000589,429.81985179998446,9.999083600006998,10.08224189991597,437.219806100009,0.015804799972102046,437.219806100009,0.11572589993011206,4.0,3.2987362999701872,440.5531852999702,0.0023189999628812075,0.09811899997293949,446.55325720005203,446.7363375600311,6.214731900021434,6.314737499924377,447.7363251000643,466.7363097600522,466.73647480004,26.214767599944025,26.314696199959144,467.7533900999697,469.73645369999576,469.73645369999576,0.014802000019699335,0.11471090000122786,499.7364158000564,30.014706299989484,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.8865744000068,0.03164559998549521,0.13140489999204874,529.8863020000281,30.031315300031565,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,529.9696507999906,0.016145900008268654,0.1145713001023978,535.969635299989,6.014604700030759,536.0696191000752,536.0696191000752,0.014747700071893632,0.11434020008891821,space,1.9235259999986738,538.0363471000455,538.0363471000455,5.449994932860136e-05,0.09787109994795173,num_9,1.8118304000236094,539.902969860041,0.0022113999584689736,0.09773719997610897,540.2029806000646,540.6861875600065,541.0029725000495,541.5029122600448,541.8030033999821,541.9029775999952,549.9029677000362,549.9029677000362,549.9029220600263,0.0010721000144258142,0.09766740002669394,550.9029404000612,551.9029681000393,552.0863048000028,552.5695385000436,10.014299700036645,10.097695800010115,560.0028594000032,0.0012139000464230776,560.0028594000032,0.09762690006755292,5.0,3.3974405999761075,563.4366305000149,0.002539999899454415,0.09777289989870042,569.4362374000484,569.6195189600461,6.21433949994389,6.314425999997184,570.6194821000099,589.6194649599842,589.6195239999797,26.21438409993425,26.314346799976192,590.6197067999747,592.6194919999689,592.6194919999689,0.014339099987410009,0.11431189998984337,622.636144499993,30.031026300042868,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,622.7528066000668,0.014964599977247417,0.11425810004584491,628.7527812999906,6.014257000060752,628.8527845999924,628.8527845999924,0.014348700060509145,0.11427070002537221,space,1.9721780000254512,630.8695017000427,630.8695017000427,3.869994543492794e-05,0.09798580000642687,num_9,1.34666590008419,632.2694845600403,0.0022909999825060368,0.09820770006626844,,633.0526740600238,633.3527900000336,633.8526395600405,634.1527352000121,634.2529007999692,642.2527505999897,642.2527505999897,642.25276745999,0.014734200085513294,0.09806680004112422,643.2527130000526,644.2527514999965,644.452774800011,644.9528025999898,10.014639500062913,10.098061400000006,652.3693994000787,0.0015356000512838364,652.3693994000787,0.0978950000135228,3.0,3.230821799952537,655.6362251000246,0.002640599966980517,0.09802999999374151,661.6359673000406,661.8191913600662,6.214496799977496,6.31450139998924,,681.8359518599813,681.8360331000295,26.23118469992187,26.331170000019483,682.8526853000512,,684.8526598999742,0.016191800008527935,0.1145251999842003,714.8525965000736,30.014465900021605,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,714.9527721999912,0.015105800004675984,0.11451039998792112,720.9358321999898,6.014228600077331,721.0359327000333,721.0359327000333,0.03173909999895841,0.1309923001099378,space,1.6612474999856204,722.7527331999736,722.7527331999736,3.730005118995905e-05,0.09896510001271963,num_9,1.159303400083445,723.9692485600593,0.002368899993598461,0.09803409990854561,724.2692266000668,724.7692213600152,725.0691975000082,725.5525471599889,725.8524197000079,725.935794500052,733.9359183000633,733.9694118000334,733.969203960069,0.03156059992033988,0.131331899901852,734.9692212999798,735.952487600036,736.1525604000781,736.6525711000431,10.014820099924691,,744.0858298999956,0.017264400026760995,744.0858298999956,0.11452229996211827,4.0,2.731581199914217,746.8526631999994,0.003231000038795173,0.09797720005735755,752.8692182999803,753.0357962600305,6.21457479998935,6.314640700002201,754.0525641000131,773.0357355600339,773.0359808000503,26.214793500024825,26.314534200006165,774.0524986999808,776.0359821000602,776.0359821000602,0.014788800035603344,0.11454150010831654,806.0523971000221,30.03116430004593,,,,,,,6.097650700015947,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,806.1691480000736,0.014905400108546019,0.11496900010388345,812.1690428999718,6.014454700052738,812.2690422000596,812.2690422000596,0.014651400153525174,0.11447930010035634,space,1.851863499963656,814.169163200073,814.169163200073,4.170008469372988e-05,0.09812620002776384,num_9,1.2949018999934196,815.5190313600818,0.0024455999955534935,0.09811659995466471,815.8189481999725,816.3189501599758,,817.1023009600234,817.4022511000512,817.5023602000438,825.5189941000426,825.5189941000426,825.5189754600054,0.0013958000345155597,0.09795850003138185,826.5189767000265,827.5190863000462,827.7189818000188,828.2189888000721,10.014675699989311,,835.6355727000628,0.017080800025723875,835.6355727000628,0.11460239998996258,4.0,3.231678399955854,838.9025607000804,0.003383300034329295,0.09730580006726086,844.9189309000503,845.0855488600558,6.214002400054596,6.313915400067344,846.1022268000524,865.0853320600348,865.0688534000656,26.214278000057675,26.313621300039813,866.1019788000267,868.0689271000447,868.0853782000486,0.013765200157649815,0.11366220004856586,898.0854350000154,30.013801300083287,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
