loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.891095660021529,0.0005002000834792852,0.10737650003284216,15.607172469969374,16.023691199952736,16.023691199952736,0.009202700108289719,0.10762480006087571,31.006681099999696,15.007241200073622,15.090714400052093,31.10682490002364,31.10682490002364,0.024730200064368546,0.12415220006369054,space,6.945296499994583,,,,,,,,,,,,,,,,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
0,0,0,0,,,,,,,,,,,,,,,,,,38.106937999953516,0.0022113999584689736,0.09837260004132986,44.10685820004437,6.03198379999958,44.27351470000576,0.06541040004231036,0.16501310002058744,6.015015600016341,50.29011950001586,50.32328380004037,0.018273100024089217,0.11510720010846853,0.0,1.6647253000410274,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
1,0,1,0,,,,,,,,,,,,,,,,,,52.02354630001355,0.00022839999292045832,0.09888829989358783,58.02327180001885,6.015750799910165,58.139975199941546,0.01886970002669841,0.11599389999173582,6.0157208000309765,64.14008299994748,64.25656649994198,0.035177099984139204,0.13232760003302246,0.0,1.564689900027588,6.098949100007303,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
2,0,2,0,,,,,,,,,,,,,,,,,,65.85687999997754,0.0005361000075936317,0.0970812999876216,71.83988400001545,6.013441799907014,72.00674979994074,0.04766949999611825,0.14698870002757758,6.013583099935204,78.00671750004403,78.07330649998039,0.015379699994809926,0.11368269997183233,0.0,1.6657646999228746,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
3,0,3,0,,,,,,,,,,,,,,,,,,79.77361020003445,0.0005524000152945518,0.0969853000715375,85.77338809997309,6.030332499998622,85.92333439993672,0.04445380007382482,0.14692110009491444,6.013556300080381,91.90647629997693,91.99008110002615,0.015606900095008314,0.11335300013888627,0.0,1.632251900038682,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
4,0,4,0,,,,,,,,,,,,,,,,,,93.6568597999867,0.0005836999043822289,0.09736439993139356,99.65666049998254,6.030674499925226,99.806585000013,0.05349640001077205,0.14731749997008592,6.013943600002676,105.806624299963,105.87324390001595,0.0167617000406608,0.11390320002101362,0.0,1.8646020999876782,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
5,0,5,0,,,,,,,,,,,,,,,,,,107.7735630000243,0.0005614000838249922,0.09718560008332133,113.7901418999536,6.013858900056221,113.97350870002992,0.08256710006389767,0.19752980000339448,6.030451700091362,119.97328289994039,120.00662869994994,0.03337740013375878,0.1306262001162395,0.0,1.1983093000017107,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
6,0,6,0,,,,,,,,,,,,,,,,,,121.2400428999681,0.0005447000730782747,0.09806770004797727,127.25663099996746,6.014919300097972,127.37322629999835,0.03157190012279898,0.13169790001120418,6.03135640011169,133.3732280000113,133.47325090004597,0.03427420009393245,0.1315861000912264,0.0,1.5979917999356985,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
7,0,7,0,,,,,,,,,,,,,,,,,,135.10666709998623,0.0005504000000655651,0.09766289999242872,141.10648439999204,6.014080900000408,141.22317899996415,0.008164300001226366,0.11414409999269992,6.014329500030726,147.2232319000177,147.32321089995094,0.016761300037615,0.1142416000366211,0.0,1.1316546000307426,6.097309399978258,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
8,0,8,0,,,,,,,,,,,,,,,,,,148.49001479998697,0.0005981000140309334,0.0972264000447467,154.5065476000309,6.013784499955364,154.6231777999783,0.029490299988538027,0.1307118000695482,6.030802299967036,160.62316960003227,160.70651469996665,0.016357599990442395,0.11384550004731864,0.0,1.365006999927573,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
9,0,9,0,,,,,,,,,,,,,,,,,,162.10669439996127,0.0002229000674560666,0.09911080007441342,168.1064500999637,5.999031999963336,168.2396991000278,0.031970200012438,0.13247130007948726,6.032340600038879,174.23996389994863,174.3397699999623,0.0350486000534147,0.13228220003657043,0.0,1.3981626000022516,6.0989552000537515,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
10,0,10,0,,,,,,,,,,,,,,,,,,175.77314109995496,0.0004287998890504241,0.09751579992007464,181.77328369999304,6.030987299978733,182.3898883999791,0.37413090001791716,0.614189499989152,6.010713699972257,,187.9864046999719,0.013491100049577653,0.11036829999648035,0.0,1.1850995999993756,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
11,0,11,0,,,,,,,,,,,,,,,,,,189.2067084000446,0.0006308999145403504,0.09686649998184294,195.20666220004205,6.030421899980865,195.35633400001097,0.045256400015205145,0.14679269993212074,6.013484199997038,201.35643139993772,201.42297159996815,0.016383799957111478,0.11333600000943989,0.0,1.6313210999360308,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
12,0,12,0,,,,,,,,,,,,,,,,,,203.09010859997943,0.0002202000468969345,0.09913000010419637,209.10644430003595,6.015612700022757,209.20636559999548,0.02435210009571165,0.11573460011277348,6.015674200025387,215.20657879998907,215.3063431000337,0.01843730011023581,0.11550850013736635,0.0,1.2980539000127465,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
13,0,13,0,,,,,,,,,,,,,,,,,,216.63974499993492,0.0005912999622523785,0.09714039997197688,222.63968050002586,6.030417099944316,222.78976359998342,0.04610279994085431,0.14709909993689507,6.0136815999867395,228.7896741000004,228.8562729000114,0.0173691000090912,0.11361969995778054,0.0,0.9972769001033157,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
14,0,14,0,,,,,,,,,,,,,,,,,,229.88995610002894,0.00043990008998662233,0.09745350002776831,235.90635689999908,6.0141026000492275,236.02292090002447,0.026552700088359416,0.13076030008960515,6.030778300133534,242.02296970004681,242.12309430004098,0.033181700157001615,0.13076360011473298,0.0,1.9319971000077203,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
15,0,15,0,,,,,,,,,,,,,,,,,,244.08991400001105,0.000493300030939281,0.09774100000504404,250.10633039998356,6.014241100056097,250.22279200004414,0.04106110008433461,0.13086640008259565,6.030771700083278,256.22287189995404,256.3063881000271,0.016646900097839534,0.11424880009144545,0.0,1.4320368999615312,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
16,0,16,0,,,,,,,,,,,,,,,,,,257.7729679000331,0.000380899989977479,0.09808899997733533,263.7729114999529,6.031436100020073,263.93947790004313,0.07074270001612604,0.16476670000702143,6.031459899968468,269.9395851000445,270.0061397999525,0.03320870001334697,0.1315453000133857,1.0,6.132325900020078,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
17,0,17,0,,,,,,,,,,,,,,,,,,276.17288239998743,0.00042990001384168863,0.09782750008162111,282.1894994999748,6.014455700060353,282.30609039997216,0.02928980009164661,0.13145330001134425,6.03111770004034,288.30620450002607,288.4061515999492,0.03357720002532005,0.13097380008548498,0.0,1.3655412000371143,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
18,0,18,0,,,,,,,,,,,,,,,,,,289.8062940000091,0.00022089993581175804,0.09915439994074404,295.80616959999315,6.032422499964014,295.95604459999595,0.05301159992814064,0.1491324999369681,6.015762099996209,301.95612590003293,302.02277399995364,0.01803539996035397,0.11577459995169193,0.0,1.8987342999316752,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
19,0,19,0,,,,,,,,,,,,,,,,,,303.95621410000604,0.0002805000403895974,0.09906700009014457,309.9727938999422,6.015806500101462,310.0892137000337,0.04058990010526031,0.13229490001685917,5.99901640007738,316.08939009997994,316.1560055000009,0.0022921001072973013,0.09897190006449819,0.0,1.3312565999804065,,6.098949300125241,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
20,0,20,0,,,,,,,,,,,,,,,,,,317.52297139994334,0.00043530005495995283,0.09749489999376237,323.5394075999502,6.014186599990353,323.65595799998846,0.03824210003949702,0.1309198000235483,6.030771100078709,329.65600620000623,329.73940349998884,0.016594500048086047,0.11400719999801368,0.0,1.6651460999855772,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
21,0,21,0,,,,,,,,,,,,,,,,,,331.439609699999,0.0007693000370636582,0.11383639997802675,337.4392497999361,6.013802199973725,337.555999299977,0.011176900006830692,0.11381120001897216,6.013631500070915,343.5559862999944,343.6559320000233,0.01631990005262196,0.11358750006183982,0.0,1.1000604999717325,6.096991700003855,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
22,0,22,0,,,,,,,,,,,,,,,,,,344.78958270000294,0.00040930008981376886,0.09730130003299564,350.7892635000171,6.030666999984533,350.95585210004356,0.0618066000752151,0.1641306000528857,6.030583800049499,356.9559207999846,357.0225318999728,0.03359270002692938,0.13054530008230358,0.0,1.0313517999602482,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
23,0,23,0,,,,,,,,,,,,,,,,,,358.0895272999769,0.0005814000032842159,0.09691580000799149,364.089236299973,6.030153700034134,364.2391983999405,0.04433310008607805,0.14676020003389567,6.013421099982224,370.22244529996533,370.3057775000343,0.01545020006597042,0.11327770003117621,0.0,1.1324385000625625,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
24,0,24,0,,,,,,,,,,,,,,,,,,371.47262919996865,0.00024269998539239168,0.09923429996706545,377.48915169993415,6.015851799980737,377.6057705000276,0.039668100071139634,0.1326956000411883,5.9991121999919415,383.60584450000897,383.67238300002646,0.00017680006567388773,0.09936140011996031,0.0,1.066443799994886,,6.099311700090766,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
25,0,25,0,,,,,,,,,,,,,,,,,,384.7725759999594,0.00046140002086758614,0.09762639994733036,390.7725997000234,6.03095459996257,390.9224537999835,0.0587705000070855,0.14746120001655072,6.014108799980022,396.9224424000131,396.9891274999827,0.016512900008819997,0.11432649998459965,0.0,1.3652881999732926,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
26,0,26,0,,,,,,,,,,,,,,,,,,398.3892907999689,0.0002218999434262514,0.09897729998920113,404.40579809993505,6.015592199983075,404.555799499969,0.05219089996535331,0.16556460002902895,6.032215800019912,410.55568480002694,410.6223582000239,0.03493650001473725,0.1321929000550881,0.0,1.0651706999633461,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
27,0,27,0,,,,,,,,,,,,,,,,,,411.7224323999835,0.0008603999158367515,0.09675499994773418,417.72242969996296,6.030135399894789,417.8721668999642,0.050631299964152277,0.14675670000724494,6.013256200007163,423.87235149997286,423.93891659996007,0.016032799961976707,0.11333710001781583,0.0,1.398331300006248,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
28,0,28,0,,,,,,,,,,,,,,,,,,425.37239339994267,0.00048719998449087143,0.097268300014548,431.37232620001305,6.030639600008726,431.5055220000213,0.028927500010468066,0.1305178999900818,6.030655600014143,437.50562670000363,437.6056896999944,0.03325880004558712,0.13040580006781965,0.0,1.4982068000826985,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
29,0,29,0,,,,,,,,,,,,,,,,,,439.139556500013,0.00048459996469318867,0.09730549994856119,445.1390575999394,6.030769499950111,445.272156800027,0.028710899990983307,0.13060019991826266,6.0305752999847755,451.2722911000019,451.35553589998744,0.01605169998947531,0.11390070000197738,0.0,1.265464400057681,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
30,0,30,0,,,,,,,,,,,,,,,,,,452.6557791000232,0.0006158000323921442,0.09738260006997734,458.65557379997335,6.0307226000586525,459.32226779998746,0.39947880001273006,0.6640170000027865,6.010168300010264,,464.8887393999612,0.033461300074122846,0.13057270005811006,0.0,1.1981080999830738,,6.097332200035453,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
