Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,Instruction.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,12.125470378622413,0.0004937001504004002,0.08541580010205507,12.391761199571192,12.62558133956045,12.89208609983325,13.12530973982066,13.37509369989857,13.37509369989857,0.0018201000057160854,0.10205140011385083,28.391949699725956,15.018752000294626,28.50865099998191,0.004576399922370911,0.102069899905473,34.52542919991538,6.018824600148946,34.608639599755406,34.608639599755406,0.002084599807858467,0.10196609981358051,space,6.643435700330883,41.30861419998109,41.30861419998109,4.810001701116562e-05,0.0976197998970747,num_9,15.799480900168419,57.158435239549725,0.0009678998030722141,0.09952339995652437,57.458507400006056,57.94193103965372,58.24203019961715,58.72511663995683,59.025217899587005,59.12525209970772,67.1419462999329,67.1419462999329,67.14194123968483,0.016171200200915337,0.11628590011969209,68.14191859960556,69.12516149971634,69.34193339990452,69.84215949987993,9.999293100088835,10.08268789993599,77.24188779992983,77.24188779992983,0.016040300019085407,0.1160861998796463,3.0,7.515045600011945,84.7922723996453,0.0015969998203217983,0.0989823997952044,90.79191549960524,90.97507383963094,6.215492999646813,6.298857299610972,91.99183700000867,110.97523013977334,110.97525109956041,26.21573629975319,26.31591929960996,111.99180249962956,113.99189619999379,113.99189619999379,0.0013402998447418213,0.0989012997597456,143.99186989990994,30.03232629969716,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,144.12518379976973,0.03308359952643514,0.13216499937698245,150.1418335000053,6.015589699614793,150.20853699976578,150.20853699976578,0.015717799309641123,0.11567839933559299,space,4.259054500143975,154.5251726997085,154.5251726997085,4.190020263195038e-05,0.09794799983501434,num_9,2.1667745001614094,156.72500123977662,0.0010887999087572098,0.09887679992243648,157.02519589988515,157.50849173972384,157.82513919984922,158.30846893982962,158.60840519983321,158.69167899992317,166.7084106998518,166.7084106998518,166.7085310398601,0.015378199983388186,0.11555719980970025,167.70826069964096,168.7085265996866,168.92514899978414,169.44180959975347,10.015236400067806,,176.8416756996885,176.8416756996885,0.018714099656790495,0.11540789995342493,4.0,4.531190800014883,181.40879229968414,0.0037589999847114086,0.09744560020044446,187.4251063996926,187.59180493988097,6.213932400103658,6.314039200078696,188.59163679974154,207.60842603966594,207.60849069990218,26.230682500172406,26.330526500009,208.62509559979662,210.60846489993855,210.60846489993855,-0.0003340998664498329,0.0973085998557508,240.60844419989735,30.030634599737823,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,240.74168929969892,0.031194299925118685,0.13058599969372153,246.74166589975357,6.030513399746269,246.82507239980623,246.82507239980623,0.013852699659764767,0.11391209997236729,space,1.2744382005184889,248.1583550996147,248.1583550996147,4.650000482797623e-05,0.09808650007471442,num_9,1.5413564001210034,249.7417331399396,0.002185999881476164,0.09808030026033521,250.04169229976833,250.54169883960859,250.8416919996962,251.32505273967982,251.6417774995789,251.74165099998936,259.7416426995769,259.7416426995769,259.7416767399758,0.0012829001061618328,0.09820100013166666,260.7415833999403,261.741515699774,261.9250378999859,262.4250223999843,10.014704999979585,,269.8582289996557,269.8582289996557,0.017500500194728374,0.11458769999444485,3.0,3.198210600297898,273.09192209970206,0.0033753998577594757,0.09744590008631349,279.1083281999454,279.2749165399931,6.213913399726152,6.313916599843651,280.29176939977333,299.2750577396713,299.2749478998594,26.21393369976431,26.313897300045937,300.2915922999382,302.29159189993516,302.29159189993516,-0.0003397003747522831,0.09720309963449836,332.30834799958393,30.013851499650627,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,332.40822589956224,0.01460769958794117,0.11380979977548122,338.4081675997004,6.013890499714762,338.508209399879,338.508209399879,0.013931799679994583,0.11382329929620028,space,0.7431336999870837,339.3082004999742,339.3082004999742,4.009995609521866e-05,0.09822680009528995,num_9,1.6552925002761185,341.0248241397552,0.001964000053703785,0.09818219998851418,341.341536199674,341.8080078396946,342.1248037996702,342.60816313987596,342.9247028999962,343.0082961996086,351.0082359998487,351.0082359998487,351.00814003972334,0.0149940000846982,0.11509589990600944,352.0248453998938,353.0247166999616,353.2081754999235,353.7081335997209,10.014661199878901,10.098022799938917,361.1246396997012,361.1246396997012,0.00024009961634874344,0.09817659994587302,4.0,1.7653710003942251,362.9251078995876,0.00324749993160367,0.09828619984909892,368.9246932999231,369.1081182398833,6.214924700092524,6.314795800019056,370.12478559976444,389.12477793972937,389.12476609973237,26.23168500000611,26.331651700194925,390.1247289995663,,392.1413635998033,0.01662039989605546,0.11488319979980588,422.15795289957896,30.03155709989369,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,422.2579947998747,0.032268399838358164,0.13150209980085492,428.25792999984697,6.031446499750018,428.35798669978976,428.35798669978976,0.03161009959876537,0.1314526996575296,space,1.1175662004388869,429.5412977999076,429.5412977999076,4.189973697066307e-05,0.09820019965991378,num_9,2.398066700436175,431.9913186399266,0.0022546001709997654,0.09792120009660721,432.2912827995606,432.7745763399638,433.0913107995875,433.574539539963,433.89122819993645,433.974619299639,441.97459889994934,441.97459889994934,441.97467383984474,0.014639300294220448,0.11454309988766909,442.9911556998268,443.99122189963236,444.19124199962243,444.69133739965037,10.031134200282395,,452.1077461997047,452.1077461997047,0.017585699912160635,0.11448360001668334,4.0,3.26439470006153,455.4081245996058,0.0024676998145878315,0.09769019996747375,461.4245340996422,461.5911941398866,6.214290800038725,6.314366200007498,,481.5910000396892,481.59111699974164,26.214274399913847,26.314271999988705,,484.60776869999245,484.60776869999245,4.479987546801567e-05,0.09756449982523918,514.607843699865,30.03100789990276,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.7410411997698,0.031074799597263336,0.14746749959886074,544.7409334997647,30.030730599537492,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,544.8242400996387,0.014913499355316162,0.11401529936119914,550.8074743999168,6.013863199390471,550.9076679996215,550.9076679996215,0.03142759948968887,0.130679399240762,space,1.720258400309831,552.6741957999766,552.6741957999766,4.810001701116562e-05,0.09790629986673594,num_9,1.457148500252515,554.1908902396448,0.00225579971447587,0.09784930013120174,554.490867999848,554.9742055396549,555.2741580996662,555.790941739548,556.0909353997558,556.1908844998106,,564.2075227997266,564.2075324399397,0.017119099851697683,0.114465800113976,565.2241851999424,566.2075863997452,566.3908441998065,566.8908533998765,10.03116980008781,,574.3240949995816,574.3240949995816,0.034449399914592505,0.13100039958953857,4.0,1.330994499847293,575.691024699714,0.00177469989284873,0.09948910027742386,581.6908065997995,581.8573538396507,6.21599300019443,6.3159751002676785,582.8739557997324,601.8739476395771,601.8740607998334,26.215915100183338,26.315875200089067,602.8907029000111,604.8907245998271,604.8907245998271,0.0016151000745594501,0.09921470005065203,634.9072887999937,30.015839600004256,,,,,,6.097236499655992,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,635.0072988998145,0.01668719993904233,0.11580979963764548,641.0073092998937,6.0157585996203125,641.1072729998268,641.1072729998268,0.01592469960451126,0.11576199950650334,space,1.6318973004817963,642.7739509996027,642.7739509996027,4.880037158727646e-05,0.09751800028607249,num_9,1.5661261002533138,644.3740004399791,0.002646300010383129,0.09772980026900768,644.6738959997892,645.1571568395942,645.4738956997171,645.974159739539,646.2738920999691,646.3739533997141,654.3738801996224,654.3738801996224,654.3738889397122,0.0015067998319864273,0.09765359992161393,655.3740206998773,656.3738667997532,656.5572114996612,657.0572241996415,10.014299999922514,,664.4904375998303,664.4904375998303,0.01724600000306964,0.11413720017299056,4.0,0.9982682000845671,665.52401799988,0.002710800152271986,0.09731779992580414,671.5237522996031,671.7071363396011,6.213982500135899,6.313783400226384,672.723829599563,691.7070007399656,691.6903654998168,26.23077870020643,26.330592299811542,692.7237050998956,694.7070535998791,694.7070535998791,0.013933899812400341,0.11376809980720282,724.706959599629,30.01383910002187,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,724.8234874997288,0.01392249995842576,0.09711569966748357,730.8235281999223,6.030373999848962,730.940298399888,730.940298399888,0.013864399865269661,0.11383159970864654,space,0.7911937003955245,731.7736026998609,731.7736026998609,4.119984805583954e-05,0.09841870004311204,num_9,1.4784656004048884,733.3069582396187,0.002714599948376417,0.09805760020390153,733.6236206996255,734.0902246396057,734.3902101996355,734.9070481398143,735.2235821997747,735.2902521998622,743.3069776999764,743.3069776999764,743.3068754399195,0.001375600229948759,0.09808250004425645,744.3235105997883,745.3070166995749,745.5068657998927,746.0068875998259,10.014649700373411,,753.4234277997166,753.4234277997166,0.017854399979114532,0.1147571001201868,3.0,1.5313444002531469,754.9903386998922,0.0014814999885857105,0.09908009972423315,761.0068080998026,761.1735071396455,6.215700099710375,6.298932599835098,762.1901129996404,781.1733267396688,781.1734496997669,26.215681199915707,26.3154739998281,782.1734233996831,784.1734186997637,784.1734186997637,0.015654399525374174,0.11551299970597029,814.1899761999957,30.032190299592912,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,814.3233430995606,0.032872799783945084,0.1321078995242715,820.3065662998706,6.015526599716395,820.3900284999982,820.3900284999982,-0.00023400038480758667,0.09876889968290925,space,1.133599300403148,821.5567382997833,821.5567382997833,4.390021786093712e-05,0.09746040031313896,num_9,1.135330700315535,822.7567270399071,0.0015104999765753746,0.09936819970607758,823.073335299734,823.5399193396792,823.8397699999623,824.3398859399371,824.6398457996547,824.7397938999347,832.756610899698,832.756610899698,832.7565565398894,0.0020250999368727207,0.09873759979382157,833.7732365997508,834.7732380996458,834.9398874999024,835.4399237995967,10.032162399962544,,842.8730943999253,842.8730943999253,0.016111699864268303,0.11545099969953299,4.0,1.3669033995829523,844.2732955999672,0.003196200355887413,0.09765130002051592,850.2898681997322,850.4565050397999,6.214453299995512,6.314470000099391,851.4730320996605,870.4563652398996,870.4564391998574,26.214514800347388,26.31440730020404,871.4731132998131,873.4564354997128,873.4564354997128,0.014493199996650219,0.11438179994001985,903.4563475996256,30.014355800114572,,,,,,6.098946299403906,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
