loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.396695368969812,0.001042699906975031,0.11533339973539114,13.711262899916619,13.977913970174267,14.294573400169611,14.561432269914075,15.177972069988027,15.494602600112557,15.494602600112557,0.0006732996553182602,0.09895379981026053,30.494677300099283,15.032447099685669,30.611253600101918,0.015708299819380045,0.11567149963229895,31.077885299921036,space,1.3992141000926495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,32.527858700137585,0.0015481002628803253,0.0984710999764502,38.544672099873424,6.015391600318253,38.7778846998699,38.7778846998699,0.10818509990349412,0.24868840025737882,6.015308900270611,44.827879399992526,44.827879399992526,44.827879399992526,0.07615579990670085,0.198524400126189,50.52787430025637,50.727874599862844,6.031858100090176,6.131903999950737,56.72786610014737,12.031834300141782,56.81106320023537,56.81106320023537,56.84449930023402,56.84449930023402,0.015159700065851212,0.11508779972791672,up,0.8480269000865519,57.7446779999882,5.279993638396263e-05,0.09737240010872483,63.7778178001754,63.7778178001754,63.7778178001754,0.020046500023454428,0.13053360022604465,2.0,3.161841200198978,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.977817799896,66.977817799896,0.010844800155609846,0.11453270027413964,3.0,3.071407000068575,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.09467250015587,70.09467250015587,0.011333399917930365,0.11418339982628822,4.0,1.8706545997411013,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.01141759986058,72.01141759986058,0.011030900292098522,0.11474360013380647,3.0,2.7380915000103414,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.77778419991955,74.77778419991955,0.008655800018459558,0.09933350002393126,2.0,2.3250041003338993,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.14435030007735,77.14435030007735,0.009145200252532959,0.0992666999809444,2.0,2.357522999867797,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56114630028605,79.56114630028605,0.009985100012272596,0.11384830018505454,4.0,3.0383465997874737,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.62800699984655,82.62800699984655,0.0007711001671850681,0.09916220000013709,4.0,4.566115000285208,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,87.22784820012748,0.00013540033251047134,0.09935380006209016,93.22780770016834,5.9991378001868725,93.44464450003579,93.44464450003579,0.10956380004063249,0.215837299823761,6.0158477001823485,99.51127090025693,99.51127090025693,99.51127090025693,0.07660129992291331,0.18265909980982542,105.21112590003759,105.4111323999241,6.015859399922192,6.116047800052911,111.41111920028925,12.015843799803406,111.5113075999543,111.5113075999543,111.54476220021024,111.54476220021024,0.016173099633306265,0.11575730005279183,up,0.7075228998437524,112.31107930000871,7.750000804662704e-05,0.0977211999706924,,118.34446430020034,118.34446430020034,0.024377800058573484,0.13115959987044334,5.0,5.074907199945301,,,,,,,6.0993159003555775,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
