Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Begin_Rinse.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,15.127104699844494,0.0007203000131994486,0.09908970003016293,15.592664849827997,15.842605300014839,16.09258515003603,16.37610480003059,16.37610480003059,-0.0001205001026391983,0.09940729988738894,31.392666699830443,15.016055400017649,31.492766699986532,0.017062899889424443,0.11637239973060787,5.999385499861091,37.50930899986997,6.099407999776304,37.575979499844834,37.575979499844834,0.00017579970881342888,0.09937199973501265,space,6.852666300022975,44.49262429983355,44.49262429983355,4.959991201758385e-05,0.09778019995428622,num_9,4.25648929993622,48.80932284996379,0.0019832001999020576,0.097865300020203,49.109390900004655,49.59256204997655,49.89251609984785,50.39266574999783,50.69269649987109,50.79261210002005,58.79261769982986,58.79261769982986,58.792620849912055,0.014609600184485316,0.11468200013041496,59.80923879984766,60.8092844998464,60.99272620002739,61.50930319982581,10.014533700188622,68.94262570003048,0.01704449998214841,68.94262570003048,0.13134610000997782,5.0,7.465063499985263,76.42616459983401,0.0017377999611198902,0.09917369997128844,82.44274630001746,82.60921544989105,6.215820699930191,6.31566539988853,102.60940184991341,102.60923029994592,26.2158035999164,26.315768599975854,103.60913269990124,105.60922449990176,105.60922449990176,0.015871800016611814,0.11574000003747642,135.60917609999888,30.015763900009915,,,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,135.74255009996705,0.016484599793329835,0.11570919980295002,5.9990495999809355,141.7591645999346,6.098870399873704,141.82586849993095,141.82586849993095,-0.0007104002870619297,0.09901569969952106,space,2.6830132000613958,144.54276059987023,144.54276059987023,4.610000178217888e-05,0.09726820001378655,num_9,6.510384499793872,151.109475349891,0.0021343999542295933,0.09785559982992709,151.40910249995068,151.89233744994272,152.19247099990025,152.69250184984412,152.99252970004454,153.09252109983936,161.09261279995553,161.09261279995553,161.09250384999905,0.014699399936944246,0.11473109992220998,162.09245630004443,163.0924164999742,163.2924946998246,163.7925306998659,10.031139499973506,171.2423280000221,0.03424569987691939,171.2423280000221,0.13126479974016547,3.0,5.831354399910197,177.10918130003847,0.003540600184351206,0.09739050013013184,183.1091211999301,183.30914344999474,6.230731500079855,6.330597700085491,203.29242354992311,203.29240059992298,26.214145300211385,26.314146700082347,204.2924382998608,206.30911599984393,206.30911599984393,-0.00010619987733662128,0.09760040021501482,236.3090422998648,30.030730600235984,184.30903059989214,,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,236.4258323998656,0.014426700072363019,0.11430440004914999,6.030599000165239,242.42550629982725,,242.52567799994722,242.52567799994722,0.014048399869352579,0.1139582998584956,space,3.3590122000314295,245.94233760004863,245.94233760004863,4.339986480772495e-05,0.09740189998410642,num_9,1.9588029000442475,247.9591341499472,0.0024009000044316053,0.09774450003169477,248.27567139989696,248.75898894981947,249.07576079992577,249.54221174994018,249.84225780004635,249.9423127998598,257.95897729997523,257.95897729997523,257.95900525001343,0.001355400076135993,0.0980606998782605,258.958880599821,259.95896889991127,260.14212319999933,260.6589786999393,10.031214999966323,268.0755765000358,0.017512499820441008,268.0755765000358,0.11455289996229112,1.0,3.4311895000282675,271.54229559982195,0.004694900009781122,0.0975565998815,277.55915659992024,277.72556934983004,6.2139694998040795,6.313987999921665,297.74227144999895,297.74231359991245,26.230757299810648,26.330671299947426,298.74213399994187,300.7422493000049,300.7422493000049,-0.00026750005781650543,0.09730320004746318,330.758845299948,30.013828499941155,278.7422922998667,,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,330.8587905999739,0.01466149976477027,0.11382289975881577,6.014196099946275,336.85877299983986,,336.9587530998979,336.9587530998979,0.014188199769705534,0.1138330998364836,space,4.910283100092784,341.90876719984226,341.90876719984226,4.260009154677391e-05,0.09786270000040531,num_9,1.6238698000088334,343.5754523499636,0.0021961000747978687,0.09829599992372096,343.8921578999143,344.35869364987593,344.65868959994987,345.1756042499328,345.4923141000327,345.55877889995463,353.55872249999084,353.55872249999084,353.5587401498342,0.014840800082311034,0.11483930004760623,354.5586631000042,355.5587688998785,355.7587329999078,356.2588646998629,10.014731500064954,363.67522719991393,0.0007632998749613762,363.67522719991393,0.09798459988087416,4.0,6.631902900058776,370.3422067000065,0.002585100010037422,0.09713690006174147,376.34206969989464,376.52531804994214,6.213679899927229,6.313710400136188,396.5420756499516,396.5419324999675,26.230364700080827,26.33036580006592,397.5418527999427,,399.5586015000008,0.015225199982523918,0.11369510018266737,429.55834629992023,30.030303000006825,377.54192509991117,10.098010299960151,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,429.67518009990454,0.0309192999266088,0.1302843999583274,6.0303579000756145,435.67520249984227,,435.7584836999886,435.7584836999886,0.01354039995931089,0.11352139990776777,space,2.2382849000860006,438.04202429996803,438.04202429996803,0.00011339993216097355,0.09817399992607534,num_9,1.522665300173685,439.6083229499636,0.0010327999480068684,0.09925379999913275,439.90841669985093,440.37512224994134,440.6918138999026,441.175139049883,441.4918326998595,441.5749532999471,449.591783199925,449.591783199925,449.59173384995665,0.01597609999589622,0.11588559998199344,450.6083770999685,451.59162719990127,451.77513329987414,452.29169570002705,10.015683399979025,459.7083312999457,0.001999499974772334,459.7083312999457,0.0992752998135984,3.0,5.648213899927214,465.3917135000229,0.002704000100493431,0.09706040006130934,471.4083610998932,471.5917306499323,6.23044819990173,6.347001099959016,491.5712496499764,491.554529099958,26.213716400088742,26.313598100095987,492.5916330998298,494.55829690000974,494.5916795998346,0.03038220014423132,0.13025379995815456,524.5915275998414,30.030224800109863,472.5918158998247,10.099061199929565,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.7248641999904,0.030466599855571985,0.1301571000367403,30.013442399911582,554.7245593999978,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,554.8080672998913,0.015186399919912219,0.11340059991925955,6.030150199774653,560.8247237999458,,560.9080715000164,560.9080715000164,0.013389099854975939,0.11346639972180128,space,3.840422100154683,564.8080758999567,564.8080758999567,3.829994238913059e-05,0.09785089991055429,num_9,1.0609554999973625,565.9084806499304,0.002302400069311261,0.09726800001226366,566.2080147999804,566.7080826499732,567.0079456998501,567.4913024498383,567.8079662998207,567.9080703998916,575.9080331998412,575.9080331998412,575.9080157499993,0.00045270007103681564,0.09714490012265742,576.9079064999241,577.9246777000371,578.0911391999107,578.5912361999508,10.013684800127521,586.0079093000386,0.0004461000207811594,586.0079093000386,0.09698829986155033,5.0,4.964307599933818,591.0081266998313,0.003468699986115098,0.09735659998841584,597.0077914998401,597.1911249499535,6.214058300014585,6.314188600052148,617.1912242498947,617.1913359998725,26.214095700066537,26.313932300079614,618.1911746999249,620.1912016998976,620.1912016998976,0.013986300211399794,0.11399340000934899,650.1912040000316,30.013978300150484,598.1911877999082,10.097146900137886,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,650.3243889999576,0.01469450001604855,0.11395930009894073,6.013816599966958,656.3244057998527,,656.4244152999017,656.4244152999017,0.013923699967563152,0.11373169999569654,space,1.7323763999156654,658.2077134000137,658.2077134000137,3.8400059565901756e-05,0.09827820002101362,num_9,1.4205820001661777,659.6744040498743,0.0022402999456971884,0.0981946000829339,659.991092100041,660.4575834498974,660.757601399906,661.2745010500075,661.5910985998344,661.6576709998772,669.6577355999034,669.6577355999034,669.6577513498487,0.014984400011599064,0.11490390007384121,670.6743476998527,671.6576530998573,671.840813399991,672.3410100999754,10.014746200060472,679.7741352999583,0.0012054999824613333,679.7741352999583,0.09805159992538393,2.0,5.364663500105962,685.1751371999271,0.0015416000969707966,0.09911509999074042,691.1909119000193,691.341157649993,6.1991839001420885,6.298974300036207,711.3575144499773,711.3575476999395,26.215778300072998,26.315789400134236,712.3573964999523,714.3741931999102,714.3741931999102,0.0020576000679284334,0.09908970026299357,744.3740276999306,30.032253800192848,692.3744804000016,10.098084500059485,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,744.4907115998212,0.016419399995356798,0.11556389997713268,6.032228600000963,750.5073925999459,,750.6074160998687,750.6074160998687,0.032391800079494715,0.1321896999143064,space,2.2692160999868065,752.9407569998875,752.9407569998875,2.269982360303402e-05,0.09905219986103475,num_9,1.9674762000795454,754.9573714499129,0.004435700131580234,0.0981903001666069,755.2741971998475,755.7406117498176,756.0406905999407,756.5573285500286,756.8572366998997,756.9406488998793,764.9573413999751,764.9573413999751,764.9572970500449,0.001733400160446763,0.09809530014172196,765.973954099929,766.9573162000161,767.1407196999062,767.6406441999134,10.031494700117037,775.0904401999433,0.034341299906373024,775.0904401999433,0.13158749998547137,6.0,5.298125999979675,780.4242956999224,0.0018400000408291817,0.09936470002867281,786.4406798998825,786.6070997499628,6.23234420013614,6.3323662001639605,806.6071015499765,806.6073147000279,26.21581900003366,26.315605900017545,807.6239833999425,809.623780899914,809.623780899914,0.0014086002483963966,0.09895050013437867,839.6236966999713,30.03217830020003,787.60721009993,,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,839.7569945999421,0.03287110012024641,0.13211630005389452,6.032111800042912,845.7569670998491,,845.8403066999745,845.8403066999745,0.015519300010055304,0.11546380002982914,space,1.5162983001209795,847.3902972999495,847.3902972999495,3.83998267352581e-05,0.09777509979903698,num_9,2.702777300029993,850.1570125500439,0.0020215001422911882,0.09786310000345111,850.4736392998602,850.940146149951,,851.7401735499734,,852.1405340000056,860.1402588000055,860.1402588000055,860.1402899498353,0.014433700125664473,0.11445480003021657,861.1401837000158,862.1569699998945,862.3402513999026,862.8235343999695,10.01432429999113,870.256978899939,0.0007048000115901232,870.256978899939,0.09774599992670119,3.0,7.3646640998777,877.6570431999862,0.0015607001259922981,0.0995295001193881,883.6735368999653,883.8401737498352,6.21601580013521,6.315833800006658,903.8234381499933,903.8234272999689,26.199344400083646,26.29927990003489,904.8399967998266,906.8233876000158,906.8233876000158,-0.0006849998608231544,0.09934280021116138,936.840161900036,30.016058600042015,,10.097643099958077,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
