Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_1.stopped,Finish_rinse.stopped,p_port_14.stopped,Roll_liquid_taste.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,24.410570798721164,0.0004974999465048313,0.08974690036848187,24.675991599913687,24.909411500021815,25.176092999987304,25.39264019979164,25.692764099687338,25.692764099687338,0.004025500267744064,0.12321570003405213,15.006491700187325,40.692638099659234,40.79267850005999,0.026847200002521276,0.12331849988549948,6.006666400004178,46.80959949968383,46.892781499773264,46.892781499773264,0.006816099863499403,0.12328279996290803,space,4.4925077999942005,51.44278339995071,51.44278339995071,4.519987851381302e-05,0.09778680000454187,num_9,5.174805700778961,56.67607499966398,0.0021476000547409058,0.09786670003086329,57.476083000004294,57.77591939968988,58.25928509961814,58.576052099931985,58.67605459969491,66.69272919977084,66.69271909985692,0.017357100266963243,0.11453530006110668,67.70945720002055,68.692718999926,68.85943009983748,69.37605729978532,10.014518700074404,10.097737300209701,76.77230639988557,2.9299873858690262e-05,76.77230639988557,0.09408569987863302,5.0,8.38028520019725,85.1931149000302,0.002632299903780222,0.09825710020959377,91.17587370006368,91.3721917996183,6.210920700337738,6.297917200252414,92.3758890000172,111.37592539964244,111.37589909974486,26.214583800174296,26.29431480029598,114.39296490000561,114.39296490000561,-0.0009480002336204052,0.09814690006896853,144.39269759971648,30.03149490011856,,,,,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,144.50939469970763,0.015478899702429771,0.11478229984641075,6.031412799842656,150.52607819996774,150.6260360996239,150.6260360996239,0.03156339982524514,0.131403099745512,space,3.12702800007537,153.79279989982024,153.79279989982024,3.300001844763756e-05,0.09830940002575517,num_9,4.96789690060541,158.80937929991632,0.0019600000232458115,0.09778619976714253,159.59267039997502,159.90931549994275,160.392646399606,160.70936179999262,160.8093703999184,168.82604059996083,168.82595249991863,0.016001000069081783,0.11450609983876348,169.82594799995422,170.80921879969537,170.99271429982036,171.49273479962721,10.03102990007028,,178.92590449983254,0.01726719969883561,178.92590449983254,0.1143741998821497,2.0,5.998048299923539,184.95946099981666,0.0015165000222623348,0.0992195000872016,190.97605389961973,191.12604299960657,6.199214800260961,6.29932550014928,,211.14282400002702,211.1427063997835,26.21596630010754,26.315892400220037,214.15938759967685,214.15938759967685,0.0016243001446127892,0.09923009993508458,244.15936689963564,29.999237599782646,159.10938899964094,212.15935789979994,30.099235099740326,,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,244.25948349991813,0.0005627996288239956,0.09923089994117618,6.015856799669564,250.27600839966908,250.37603399995714,250.37603399995714,0.015834799967706203,0.11590509954839945,space,2.3046468002721667,252.72604619991034,252.72604619991034,3.2499898225069046e-05,0.09822149993851781,num_9,4.435469100251794,257.20942639959975,0.0018551000393927097,0.09818950016051531,257.9926354999654,258.30934409983456,258.7927545996383,259.1259987996891,259.1926885996945,267.19277859991416,267.1927672999911,0.014982399996370077,0.11478039994835854,268.2093122997321,269.1926413998008,269.39265919988975,269.9093672996387,10.014692900236696,10.09804920013994,277.30922689987347,0.0013128998689353466,277.30922689987347,0.09793520020321012,4.0,4.797541200183332,282.14297529961914,0.0026433998718857765,0.0977445999160409,288.12581679970026,288.3259081996977,6.214149900246412,6.297455199994147,,308.3259030997753,308.3259564000182,26.21435010014102,26.314278699923307,311.3259437996894,311.3259437996894,0.014391999691724777,0.11426619999110699,341.32585989963263,30.014194800052792,257.5093360999599,309.3426230996847,,267.19277859991416,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,341.45925930002704,0.014986599795520306,0.11422879993915558,6.014227999839932,347.45928299985826,347.5592458997853,347.5592458997853,0.014349599834531546,0.11419549956917763,space,2.3216941002756357,349.9258874999359,349.9258874999359,4.639988765120506e-05,0.0980791999027133,num_9,3.5873205005191267,353.57591159995644,0.002270599827170372,0.09807970002293587,354.35915529988705,354.6592545998283,355.15923110004513,355.45916969981045,355.5592326000333,363.5758794997819,363.5760660998523,0.001455400139093399,0.09803149988874793,364.5758346999064,365.57589659979567,365.75922779971734,366.2592241996899,10.014712899923325,,373.69247670006007,0.017712799832224846,373.69247670006007,0.11467419983819127,3.0,7.464682999998331,381.19285129988566,0.001570800319314003,0.09934539999812841,387.2091909996234,387.3757265999913,6.215592400170863,6.298989400267601,388.3757421998307,407.3757503999397,407.3758274996653,26.215807700064033,26.315851400140673,410.37581609981135,410.37581609981135,0.015819499734789133,0.13239650009199977,440.37573899980634,30.015707099810243,353.8758210996166,,,363.5758794997819,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,440.50907259993255,0.016398599836975336,0.11567229963839054,6.015685999765992,446.5090302997269,446.60905959969386,446.60905959969386,0.015770799946039915,0.11566069955006242,space,2.2642196002416313,448.92570959962904,448.92570959962904,2.389959990978241e-05,0.09922159975394607,num_9,2.8592025004327297,451.82571219960226,0.0013522999361157417,0.098717600107193,452.60905509982257,452.9090680000372,453.40891819987445,453.7089987997897,453.8090708996169,461.82568909972906,461.82570089986547,0.0020690998062491417,0.09863389981910586,,463.84232970001176,464.0089389998466,464.52566899964586,10.015292500145733,10.098710299935192,471.9255883996375,0.0021969997324049473,471.9255883996375,0.09871689975261688,4.0,5.66426010010764,477.6259705000557,0.0033542001619935036,0.09769099997356534,483.64231069991365,483.82563799973576,6.230752300005406,6.330763500183821,,503.80891809966414,503.7921817000024,26.214058899786323,26.297423699870706,506.79226069990546,506.82556369993836,0.030717599671334028,0.13078329991549253,536.8255475000478,30.030698799993843,,504.84233579970896,,461.82568909972906,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.9589030998759,0.03095769975334406,0.13063079956918955,566.958825699985,30.03059949958697,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,567.0421535000205,0.015309199690818787,0.11395369935780764,6.013907299377024,573.0421171998605,573.1419758996926,573.1419758996926,0.014126799535006285,0.11426549963653088,space,2.531593800522387,575.7088142996654,575.7088142996654,3.79001721739769e-05,0.09738530032336712,num_9,3.196600700262934,578.9587925000117,0.0021615996956825256,0.09765499969944358,579.742219599709,580.0587633000687,580.5587561999448,580.858796400018,580.9587714998052,588.9587147999555,588.9587384996005,0.001025499776005745,0.09775780001655221,589.9588698996231,590.9755273000337,591.1420692997053,591.6253823000006,10.014284299686551,10.097657899837941,599.0586121999659,0.00022489950060844421,599.0586121999659,0.09756479971110821,3.0,4.498293799813837,603.592381699942,0.002688600216060877,0.09770520031452179,609.6086932998151,609.7753274997697,6.214313900098205,6.3142365999519825,610.775301199872,629.7752999000252,629.7753038997762,26.21427290001884,26.31424120021984,632.7753132996149,632.7753132996149,0.014350899960845709,0.11419489979743958,662.7918929997832,30.030854899901897,,630.7919592997059,,588.9587147999555,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,662.9252497996204,0.03161849966272712,0.13076950004324317,6.014057599939406,668.9083805996925,669.0085394000635,669.0085394000635,0.0142253995873034,0.11410709982737899,space,2.5210464005358517,671.5918580000289,671.5918580000289,4.239985719323158e-05,0.09817310003563762,num_9,4.529414300341159,676.1585496997461,0.002325099892914295,0.09784570010378957,676.9418486997486,677.2585130999796,677.7585292000324,678.058528999798,678.158497299999,686.158507199958,686.1585289997049,0.0012420997954905033,0.09807329997420311,687.1589321000502,688.1585355997086,688.3418339998461,688.8417877000757,10.01444760011509,10.097682599909604,696.2583016999997,0.0002970998175442219,696.2583016999997,0.09781980002298951,5.0,3.0651414999738336,699.3585882000625,0.0015316996723413467,0.09936279989778996,705.3584573999979,705.5250723998063,6.199256899766624,6.2992036999203265,706.5250259996392,725.5252709000372,725.5251370999031,26.199383900035173,26.299145099706948,728.5416681999341,728.5416681999341,0.01585299987345934,0.11594769963994622,758.5415930999443,30.015757099725306,676.4584484999068,726.5418797000311,,686.158507199958,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,758.6750608999282,0.01648239977657795,0.1159356995485723,6.01580059947446,764.6748774000444,764.7748773996718,764.7748773996718,0.015731399413198233,0.1157457996159792,space,1.8100896002724767,766.624918999616,766.624918999616,2.9399991035461426e-05,0.09816480008885264,num_9,3.0160706001333892,769.6749626000412,0.002284000162035227,0.09788560029119253,770.4581960996613,770.7582320999354,771.2582401999273,,771.6582615999505,779.6748429997824,779.6748756997288,0.0016363002359867096,0.09792460035532713,780.6915112999268,781.6914951000363,781.8581934999675,782.341312199831,10.014533400069922,,789.7914179000072,0.017239300068467855,789.7914179000072,0.11453100014477968,4.0,3.2316773999482393,793.0583949000575,0.0025741001591086388,0.09776209993287921,799.0747815999202,799.2413961997256,6.214372800197452,6.314406199846417,800.2580897998996,819.241353199631,819.241391999647,26.214337999932468,26.31436560023576,822.2413955996744,822.2413955996744,0.014371799770742655,0.11428869981318712,852.2412944999523,30.014446400105953,769.9915771996602,820.2413269998506,,779.6748429997824,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,852.3746132999659,0.0148629997856915,0.11417640000581741,6.030822599772364,858.391283699777,858.4746165997349,858.4746165997349,0.014216899871826172,0.11435519950464368,space,2.094127300195396,860.6079231998883,860.6079231998883,4.239985719323158e-05,0.09804560011252761,num_9,2.6650231000967324,863.3079621999525,0.0021704998798668385,0.0980744999833405,864.0911358998158,864.3912291000597,864.8911169998348,865.1912209996954,865.2912840000354,873.2911918996833,873.2912065999583,0.01471799984574318,0.1147325998172164,874.2912166998722,875.3079001996666,875.4914420996793,875.9912081998773,10.031344399787486,,883.4244026998058,0.0168202999047935,883.4244026998058,0.11460279999300838,2.0,3.498810799792409,886.9581251996569,0.0016006999649107456,0.09923790022730827,892.9578081998043,893.1245251999237,6.199132699985057,6.315796799957752,894.1411492996849,913.1577456996777,913.1576928999275,26.199014400132,26.299047200009227,916.1575835999101,916.1575835999101,0.001531799789518118,0.09897399973124266,946.1574716996402,30.015690099913627,863.6079096999019,,30.098840199876577,873.2911918996833,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
