loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,22.81708483994007,0.0005269995890557766,0.11258279997855425,23.51604832969606,23.932877599727362,23.932877599727362,0.0019051996059715748,0.09597729984670877,38.949631499592215,15.01261549955234,39.049536999780685,39.049536999780685,0.012887499760836363,0.11259289970621467,space,4.01265130052343,,,,,,,,,,,,,,,,,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
0,0,0,0,,,,,,,,,,,,,,,,,43.1161785996519,0.0014865999110043049,0.09854080015793443,49.11598159978166,6.014967700000852,6.098401400260627,49.2663702997379,0.04152650013566017,0.14888380002230406,6.015201800037175,55.266104699578136,55.33259859960526,0.018012499902397394,0.11521769966930151,3.0,4.5647354000248015,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
1,0,1,0,,,,,,,,,,,,,,,,,59.93279489967972,0.0009882999584078789,0.09708449989557266,65.94941319990903,6.013596899807453,,66.06602839985862,0.039877899922430515,0.1305864998139441,6.030282999854535,72.06608839984983,72.16597139975056,0.033081499859690666,0.13021710002794862,0.0,2.7481118999421597,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
2,0,2,0,,,,,,,,,,,,,,,,,74.94971049996093,0.0002468000166118145,0.09916780004277825,80.96608869964257,6.015860500279814,,81.09959339955822,0.0493065002374351,0.14937169989570975,6.0158163998275995,87.09936419967562,87.16601289995015,0.018413899932056665,0.11593530001118779,3.0,2.898244600277394,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
3,0,3,0,,,,,,,,,,,,,,,,,90.09965659957379,0.0005626999773085117,0.09716879995539784,96.09934179997072,6.030540699604899,,96.26600509975106,0.062217399943619967,0.16407609963789582,6.030503899790347,102.26599079975858,102.33275219984353,0.03331959946081042,0.13057079957798123,2.0,3.364857000298798,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
4,0,4,0,,,,,,,,,,,,,,,,,105.73270139982924,0.0006122998893260956,0.0974170002155006,111.7328269998543,6.030802800320089,,111.88254079967737,0.051226300187408924,0.1472215000540018,6.013799299951643,117.86588949989527,117.94918849971145,0.015782400034368038,0.11389270005747676,3.0,2.332347000017762,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
5,0,5,0,,,,,,,,,,,,,,,,,120.31622979976237,0.0006671999581158161,0.09743389999493957,126.33273279992864,6.014588300138712,,126.48300619982183,0.06428099982440472,0.1640492998994887,6.030674200039357,132.4826023997739,132.54918929981068,0.03319669980555773,0.13050959957763553,0.0,2.5983164999634027,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
6,0,6,0,,,,,,,,,,,,,,,,,135.18283029971644,0.0002212999388575554,0.09921959973871708,141.19928999990225,6.015777199994773,,141.3158870995976,0.030879999976605177,0.13243359979242086,5.999125899747014,147.29932199977338,147.38266009977087,0.002553700003772974,0.09895649971440434,2.0,3.730652800295502,6.09934929991141,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
7,0,7,0,,,,,,,,,,,,,,,,,151.14929339988157,0.0005097999237477779,0.09733529994264245,157.14918099995703,6.03061500005424,,157.29928659973666,0.04803219996392727,0.14751330018043518,6.0139713999815285,163.29917569970712,163.36584249977022,0.016988500021398067,0.11384529992938042,2.0,3.564493800047785,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
8,0,8,0,,,,,,,,,,,,,,,,,166.96606409968808,0.000317899975925684,0.09846129966899753,172.9491115999408,6.014894499909133,6.098149699624628,173.0994325997308,0.02206029975786805,0.13171569956466556,6.031558599788696,179.09920609975234,179.1990651995875,0.034305999521166086,0.1315481998026371,2.0,2.6981739001348615,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
9,0,9,0,,,,,,,,,,,,,,,,,181.9327415996231,0.00043869996443390846,0.09783439990133047,187.9326200997457,6.0312266000546515,,188.08236079989,0.055806399788707495,0.147700899746269,6.0143532999791205,194.0824541999027,194.14920379966497,0.01705539971590042,0.11425949959084392,0.0,1.931562999729067,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
10,0,10,0,,,,,,,,,,,,,,,,,196.11599570000544,0.00026880018413066864,0.10007310006767511,202.11569459969178,5.999191999901086,6.099138900171965,202.23223429964855,0.025432600174099207,0.11580390017479658,6.016015300061554,208.23240109998733,208.34892689995468,0.033046199940145016,0.13258389988914132,2.0,3.8669993998482823,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
11,0,11,0,,,,,,,,,,,,,,,,,212.24933279957622,0.0005800998769700527,0.09684279980137944,218.24906159983948,6.030204799957573,,218.3989647999406,0.04475490003824234,0.14686989970505238,6.013437799643725,224.39902899973094,224.4657805999741,0.01713559962809086,0.11344119999557734,1.0,2.1971038999035954,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
