Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.663558277860284,0.0005235001444816589,0.08703160006552935,14.913351399824023,15.163534379890189,15.663557279715315,15.930385299958289,15.930385299958289,0.020531400106847286,0.12047669989988208,30.930230400059372,15.020395800005645,31.063721499871463,0.023312800098210573,0.12037419993430376,6.0037318002432585,37.0802766000852,37.14689269987866,37.14689269987866,0.003855600021779537,0.10382340010255575,space,5.93869770038873,43.1469636997208,43.1469636997208,4.4899992644786835e-05,0.09781590010970831,num_9,3.5863874000497162,46.7968813798856,0.0022920998744666576,0.09775499999523163,47.11359740002081,47.58008687975816,47.88009769981727,48.38004857986234,48.68009079992771,48.78025979967788,56.79678369965404,56.79678369965404,56.79684617961757,0.0014343997463583946,0.09779560007154942,57.81375729991123,58.79678069986403,58.98018889967352,59.480218099895865,10.014372499659657,10.09785640006885,66.89710729988292,0.0011527999304234982,66.89710729988292,0.09793709963560104,6.0,6.047644500155002,72.98050229996443,0.002220999915152788,0.09807900013402104,78.98019749997184,79.18019118006342,6.231571900192648,6.331346000079066,80.18017219984904,99.16348827988841,99.16356049990281,26.214785600081086,26.314871900249273,100.16358109982684,102.16350119980052,102.16350119980052,0.014741700142621994,0.11481569986790419,132.1634745998308,30.01468410016969,,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,132.29684869991615,0.015521899797022343,0.11456039967015386,6.0313055999577045,138.3134713997133,138.41336590005085,138.41336590005085,0.03149169962853193,0.13128909980878234,space,3.183489200193435,141.64695130009204,141.64695130009204,6.949994713068008e-05,0.09813289996236563,num_9,2.9746517003513873,144.6801283800509,0.002584700006991625,0.0981450998224318,144.98006769968197,145.48009198005312,145.7968112998642,146.28011707994156,,146.68028539977968,,154.6968147996813,154.69684307961725,0.017135899979621172,0.11483610002323985,155.71345819998533,156.68008249998093,156.86325650010258,157.3801009999588,10.014700000174344,10.098002399783581,164.78008119994774,0.0009546997025609016,164.78008119994774,0.09803989995270967,3.0,6.998037100303918,171.81356350006536,0.0015865997411310673,0.09949429985135794,177.83020089985803,177.9801084798295,6.199303499888629,6.299311499577016,,197.98000587974676,197.98010789975524,26.19924569968134,26.299149199854583,,200.99677009973675,200.99677009973675,0.01592359971255064,0.11581489956006408,230.99658920010552,30.015694399364293,30.099098899401724,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,231.11339499987662,0.00047999946400523186,0.0993212996982038,6.0158295994624496,237.13006869982928,237.23006989993155,237.23006989993155,0.015719399321824312,0.11576779931783676,space,2.047611300367862,239.33006429998204,239.33006429998204,3.6699697375297546e-05,0.09787319973111153,num_9,2.283267999999225,241.6466465800535,0.0022305999882519245,0.0975632001645863,241.96332999970764,242.42998057962396,242.7299931999296,243.22996897981503,243.54667440010235,243.6301039000973,251.63000219967216,251.63000219967216,251.62997887968086,0.014318100176751614,0.11424949998036027,252.62985919974744,253.62998780002818,253.84665849991143,254.3466395996511,10.014077700208873,,261.763216199819,0.017042699735611677,261.763216199819,0.11407219991087914,4.0,6.098320700228214,267.8968754000962,0.0016128001734614372,0.09916460001841187,273.8965690997429,274.06326937987467,6.199179999995977,6.299261000007391,275.0632150997408,294.07979167983865,294.07988630002365,26.21581309987232,26.315931499935687,,297.07987529970706,297.07987529970706,0.015790199860930443,0.11588239995762706,327.09648119984195,29.999168399721384,30.098931699991226,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,327.1967250998132,0.0002890997566282749,0.09929389972239733,6.016145599540323,333.21336759999394,333.31331590004265,333.31331590004265,0.01579329976812005,0.11566239967942238,space,2.747514500282705,336.1131621999666,336.1131621999666,4.009995609521866e-05,0.09796670032665133,num_9,1.7080816007219255,337.8797803799156,0.002211200073361397,0.09836710011586547,,338.6629914798308,,339.4799014798831,339.7964989999309,339.8631095997989,347.87993039982393,347.87993039982393,347.8797930798959,0.0014861002564430237,0.09796700021252036,348.89647249970585,349.896440600045,350.0463306000456,350.5631045997143,10.014662600122392,,357.99636300001293,0.017210500314831734,357.99636300001293,0.11459010001271963,3.0,5.898558399640024,363.9298282000236,0.0026169000193476677,0.09806340001523495,369.9463666998781,370.12970797982996,6.231470900122076,6.331251800060272,371.129653299693,390.11298347995614,390.1131148999557,26.21484600007534,26.31486999988556,391.11288979975507,393.11309350002557,393.11309350002557,0.01484079984948039,0.11479599960148335,423.11305079981685,30.014773399569094,,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,423.24622659990564,0.015411299653351307,0.11466949991881847,6.031238899566233,429.26286139991134,429.3630452998914,429.3630452998914,0.03155029937624931,0.1312170997262001,space,1.3060276000760496,430.7295574997552,430.7295574997552,4.730001091957092e-05,0.09810029994696379,num_9,2.2913834005594254,433.079535679752,0.002163700293749571,0.0979980998672545,433.3793850997463,433.8627991800662,434.1628370000981,434.6627697798889,,435.0628676000051,443.06296919984743,443.06296919984743,443.06280167992225,0.014813799876719713,0.1147310002706945,444.06287240004167,445.06283049983904,445.2628363999538,445.76283010002226,10.014449100010097,10.09422570001334,453.17573109967634,0.02751530008390546,453.17573109967634,0.1144463000819087,5.0,6.418100600130856,459.62957799993455,0.002417199779301882,0.0981579995714128,465.64619079977274,465.81260897996833,6.214647399727255,6.314773099962622,,485.8126602800097,485.8127159997821,26.214763899799436,26.314666099846363,486.8126467000693,488.81271039973944,488.81271039973944,0.014781599398702383,0.11467769974842668,518.8126185997389,30.014643099624664,,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.9461256000213,0.014957799576222897,0.11457569943740964,548.9457704997621,30.014499199576676,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,549.0458478000946,0.01615969929844141,0.11446799943223596,6.014478499535471,555.0458026998676,555.1458286000416,555.1458286000416,0.014583599288016558,0.11428949935361743,space,1.5391969005577266,556.7291631000116,556.7291631000116,4.620011895895004e-05,0.0977414003573358,num_9,1.7959235003218055,558.5791485797148,0.0026179002597928047,0.09779250016435981,558.8960130000487,559.3792154796887,559.6789680998772,560.1623430800158,560.4624262000434,560.5624643997289,568.5791138000786,568.5791138000786,568.5791246796492,0.001362900249660015,0.09770550020039082,569.595683499705,570.5960323000327,570.7623954000883,571.2624320997857,10.030994300264865,,578.7290884996764,0.0339783001691103,578.7290884996764,0.1475573000498116,3.0,3.9148691999725997,582.6625957996584,0.0015290998853743076,0.09937219973653555,588.6456025997177,588.8290102797095,6.199243899900466,6.299233399797231,589.8457335000858,608.8289901799056,608.8290478996933,26.199317699763924,26.29935280000791,609.8457122999243,611.828972700052,611.828972700052,-0.0007641003467142582,0.09927849983796477,641.8288830998354,29.99912369949743,30.099263899493963,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,641.962191700004,0.0006414996460080147,0.09897399973124266,5.9990029996261,647.9621617998928,648.0621543996967,648.0621543996967,-0.0003734002821147442,0.09899989934638143,space,1.3268537004478276,649.4288125997409,649.4288125997409,2.8100330382585526e-05,0.09833340020850301,num_9,1.7522799004800618,651.2288176797796,0.002197899855673313,0.09806099999696016,651.5454790000804,652.0120914800558,652.3119020997547,652.812116079824,653.1120409998111,653.212248200085,661.2287592999637,661.2287592999637,661.2287904800381,0.0015448001213371754,0.09806900005787611,662.2454204000533,663.2454181998037,663.4121077996679,663.9120970000513,10.014593999832869,,671.3453456000425,0.017566700000315905,671.3453456000425,0.11451940005645156,6.0,4.43161949981004,675.8121543000452,0.00238140020519495,0.09766620025038719,681.8287027999759,681.9953245798591,6.214288200251758,6.314238499850035,682.9954241998494,701.995148579916,701.9952479996718,26.214215099811554,26.314288100227714,703.0118696000427,705.0118084000424,705.0118084000424,5.539972335100174e-05,0.09754079999402165,735.0118118999526,30.030786599963903,,,,,,,6.098904199432582,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,735.1451464998536,0.03150009969249368,0.13071059994399548,6.01404479984194,741.1618343996815,741.2284996998496,741.2284996998496,0.014288499485701323,0.1140949996188283,space,1.5048181004822254,742.79522729991,742.79522729991,4.3200328946113586e-05,0.09780220035463572,num_9,2.1776212002150714,745.0118173797149,0.0026802001520991325,0.09769210033118725,745.3117436999455,745.795142579684,746.0951308999211,746.595176379988,746.9117507999763,746.9951029000804,754.9950902001001,754.9950902001001,754.9952186796348,0.014436200261116028,0.11451390013098717,756.011731499806,757.0117736998945,757.1782440999523,757.6616385998204,10.014268200378865,,765.1283104000613,0.016085200011730194,765.1283104000613,0.11432040017098188,4.0,4.365984400268644,769.5285894996487,0.0015461002476513386,0.0992585001513362,775.5450034998357,775.6949135799426,6.1992168999277055,6.299085000064224,776.7115996996872,795.7115636797156,795.711586299818,26.215861500240862,26.31602540006861,,798.728234199807,798.728234199807,0.001687800046056509,0.09911399986594915,828.7281285999343,29.99901399994269,30.09915649984032,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,828.8281366997398,0.0004648999311029911,0.09898879984393716,6.015636599622667,834.8447662000544,834.9448167998344,834.9448167998344,0.015663299709558487,0.11563939973711967,space,1.2285333005711436,836.2114109997638,836.2114109997638,3.600027412176132e-05,0.09804920013993979,num_9,2.057505200151354,838.3114261798095,0.001602299977093935,0.0980752999894321,838.6113688000478,839.1114450798835,839.4113257997669,839.8945566796232,840.1949767000042,840.2947704000399,848.2949548996985,848.2949548996985,848.2945860799867,0.014909200370311737,0.11463410034775734,849.2946731997654,850.2946720998734,850.5113742998801,850.9946582000703,10.014531300403178,,858.4279082999565,0.018238500226289034,858.4279082999565,0.11441260017454624,4.0,3.4305225000716746,861.8947167997248,0.0017114998772740364,0.09904380002990365,867.9113149000332,868.077940380061,6.215944999828935,6.332454000134021,869.0946404999122,888.0778590797912,888.0778847998008,26.215739199891686,26.315738500095904,889.0945627000183,891.0778234996833,891.0778234996833,0.01568569988012314,0.11566629959270358,921.0944301998243,30.03228409960866,,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,921.2277536001056,0.032893499825149775,0.13226209953427315,6.015692799817771,927.2446141997352,927.3111179000698,927.3111179000698,0.015733799431473017,0.11561039974913001,space,1.4054661002010107,928.7611257997341,928.7611257997341,6.7900400608778e-05,0.09799370029941201,num_9,1.7797477003186941,930.594395879982,0.0021208999678492546,0.09799279971048236,930.9109692000784,931.3776177799795,931.6943874000572,932.1779190798756,932.4944188999943,932.5943940998986,940.5944189000875,940.5944189000875,940.5945565796923,0.0017593996599316597,0.09817959973588586,941.5942921997048,942.6110371998511,942.7776647997089,943.2776476000436,10.014473899733275,10.09787099994719,950.6944518000819,0.00031999964267015457,950.6944518000819,0.09798829955980182,3.0,3.5984257999807596,954.3276199996471,0.002648100256919861,0.09738290030509233,960.3277543997392,960.5108174796682,6.214370000176132,6.297472500242293,961.5107350996695,980.507212980045,980.490538999904,26.210331900045276,26.297310499940068,,983.4941696999595,983.5276199998334,0.03077959967777133,0.13062960002571344,1013.544039899949,30.014097100123763,,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.6440606997348,0.013969899620860815,0.11375469993799925,1043.6439386997372,30.013731899671257,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1043.7605952997692,0.032513899728655815,0.13033429952338338,6.03031719988212,1049.7605721997097,1049.8606976997107,1049.8606976997107,0.03046579984948039,0.1303680995479226,space,1.4966011005453765,1051.4105782997794,1051.4105782997794,3.79001721739769e-05,0.09781370032578707,num_9,2.3139537004753947,1053.7772419800517,0.002069499809294939,0.0980078000575304,1054.094038200099,1054.560400779685,,1055.3604071800132,1055.6604545996524,1055.7438535997644,1063.760483100079,1063.760483100079,1063.7605259798934,0.014650699682533741,0.11458229972049594,1064.7604745998979,1065.7772192000411,1065.9605187000707,1066.4605262000114,10.0144275999628,10.097867500036955,1073.8769531999715,0.0018108999356627464,1073.8769531999715,0.09791599959135056,4.0,4.631301499903202,1078.5437651998363,0.0030651004053652287,0.09764330042526126,1084.5604342999868,1084.7270152800252,6.214059400372207,6.314047900028527,1085.7438489999622,1104.7270047798288,1104.7270172000863,26.21404800005257,26.31399210030213,1105.743537900038,1107.7436211998574,1107.7436211998574,-0.0005250000394880772,0.09736179979518056,1137.743540899828,30.03056039987132,,,,,,,,3684,Gustatory,2025-02-18_13h59.53.985,Gustatory_Condition_v2,2022.2.5,29.97289253289894,
