loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.142548250732943,0.0008366000838577747,0.10366160003468394,14.45840339967981,14.724823789903894,15.024887399747968,15.325280089629814,15.624961499590427,15.924849689705297,16.258289999794215,0.005166700109839439,0.10389750031754375,31.275008799973875,15.020314500201494,31.358353599905968,0.003771000076085329,0.10363620007410645,31.825007599778473,space,5.807703000027686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,37.6916684997268,0.005751500371843576,0.09869570005685091,43.69176179962233,6.032015600241721,43.99157749954611,43.99157749954611,0.13844530005007982,0.2986981002613902,6.032183300238103,50.00818409956992,50.00818409956992,50.00818409956992,0.09225529991090298,0.21493550017476082,55.70826379954815,55.87496179994196,6.0151877999305725,6.115259400103241,61.87511079991236,12.015389599837363,62.00833829957992,62.00833829957992,0.015331499744206667,0.11521829990670085,up,2.2810647999867797,64.3249324997887,5.6599732488393784e-05,0.09740989981219172,70.35818639956415,70.35818639956415,0.027585300151258707,0.13079039985314012,4.0,5.37087389966473,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77501189988106,75.77501189988106,0.009434099774807692,0.11460979981347919,4.0,7.3394976002164185,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.15819239988923,83.15819239988923,0.012135699857026339,0.11386459972709417,4.0,1.7693451000377536,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.95844569988549,84.95844569988549,0.009444300085306168,0.09767990000545979,4.0,1.5560392998158932,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.57525639981031,86.57525639981031,0.008877499960362911,0.1144459000788629,4.0,0.9397896998561919,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.55852039996535,87.55852039996535,0.01074989978224039,0.11432419996708632,4.0,0.8379599000327289,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.50814999965951,88.50814999965951,0.0890136999078095,0.18135910015553236,4.0,0.7937372997403145,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3417111998424,89.3417111998424,0.0014085001312196255,0.09775660000741482,4.0,2.7643078002147377,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,92.14195879967883,0.0001417999155819416,0.09940809989348054,98.1584373996593,6.015925099607557,98.34158719982952,98.34158719982952,0.08240699954330921,0.19922159984707832,5.999252199660987,104.40866669965908,104.40866669965908,104.40866669965908,0.05148549983277917,0.16589839942753315,110.10836489964277,110.30832339962944,5.999222499784082,6.0992489997297525,116.30832059960812,11.999217299744487,116.44166059978306,116.44166059978306,-0.000359200406819582,0.09922439930960536,up,2.1348736002109945,118.64171999972314,4.409998655319214e-05,0.09827560000121593,124.6750144995749,124.6750144995749,0.026602299883961678,0.13148800004273653,4.0,4.439054199960083,,,,,,,104.40866669965908,104.40866669965908,6.099206099752337,116.39155649999157,116.39155649999157,12.099080299492925,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
