Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_3.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,13.28317517004907,0.0006073000840842724,0.09140180004760623,13.548024199903011,13.764600329939276,14.264739629719406,14.547887499909848,0.009839999955147505,0.10828599985688925,29.548024399671704,15.008404099848121,29.648102900013328,0.010606199968606234,0.10826190002262592,35.66468170005828,6.024950199760497,35.74801929993555,35.74801929993555,0.008343299850821495,0.10826009977608919,space,6.3564026998355985,42.16471249982715,42.16471249982715,5.020014941692352e-05,0.09783830028027296,num_9,2.8830069000832736,45.08132902989164,0.001132899895310402,0.09873049985617399,45.39801510004327,45.88134532971308,46.198101999703795,46.66453762995079,47.06460199970752,55.08140669995919,55.08140669995919,55.081292329728605,0.0012233001179993153,0.09868500009179115,56.098005400039256,57.097997500095516,57.264651800040156,57.748000599909574,10.015132199972868,10.098640699870884,65.18113519996405,0.0018019997514784336,65.18113519996405,0.09885980002582073,2.0,3.7812202000059187,68.99825169984251,0.002853299956768751,0.09719339990988374,75.0145723996684,75.18129472984,6.2140458999201655,6.314054999966174,76.19792829966173,95.18137692976742,95.18129369989038,26.21407110011205,26.314011299982667,96.19793660007417,98.18123319977894,98.18123319977894,0.014066199772059917,0.11399269988760352,128.19790440006182,30.030691199935973,,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
0,0,0,0,1,0,1,0,,,,,,,,,,,,128.33122549997643,0.031376199796795845,0.13077049981802702,134.34825140004978,6.014022699557245,134.41455220011994,134.41455220011994,0.01407939987257123,0.11392149981111288,space,4.505678500048816,138.9813707997091,138.9813707997091,4.039984196424484e-05,0.09807199984788895,num_9,1.4745423002168536,140.51455982998013,0.002235099673271179,0.09809019975364208,140.81451840000227,141.2978832297027,,142.0977727299556,142.51460009999573,,150.53118509985507,150.5312408301048,0.01729319989681244,0.11474959971383214,151.54790139989927,152.5311861000955,152.69785209978,153.1978319999762,10.03134460002184,,160.64774890011176,0.034202899783849716,160.64774890011176,0.13141379971057177,4.0,4.098200500011444,164.78144539985806,0.001539700198918581,0.09923500008881092,170.78119560005143,170.96453952966257,6.215866600163281,6.332590800244361,,190.9478248300962,190.94793469971046,26.19934710022062,26.299301200080663,191.9478926998563,193.9644490997307,193.9644490997307,0.01588630024343729,0.11585059994831681,223.96430710004643,30.015671600122005,142.41453459998593,30.099098999984562,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
0,0,0,0,2,0,2,0,,,,,,,,,,,,224.08105959976092,0.00045399973168969154,0.09926760010421276,230.06443199981004,6.015838500112295,230.19779559969902,230.19779559969902,0.016123199835419655,0.11593749979510903,space,3.2817502999678254,233.53111530002207,233.53111530002207,4.0499959141016006e-05,0.09799329983070493,num_9,1.0851926002651453,234.6644729300402,0.0022869999520480633,0.09808380017057061,234.98105659987777,235.44766612993553,235.7478640000336,236.24763952977955,236.64776979992166,244.66443130001426,244.66443130001426,244.66453792983665,0.0016177999787032604,0.09799160016700625,245.68104750011116,246.68103799968958,246.84767560008913,247.3643618999049,10.01461789989844,10.097905000206083,254.76433079969138,0.001137599814683199,254.76433079969138,0.09793499996885657,5.0,2.9981785998679698,257.7977669998072,0.003829800058156252,0.09688729979097843,263.7977061998099,263.99767362969,6.230124500114471,6.330140099860728,264.9976717000827,283.99785322966056,283.99761379975826,26.230125399772078,26.33019519969821,285.0309616997838,,287.0145402001217,0.015065699815750122,0.11340309958904982,317.03086049994454,30.030031899921596,236.5476839998737,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
0,0,0,0,3,0,3,0,,,,,,,,,,,,317.1308987000957,0.030779399443417788,0.13003809982910752,323.1475359001197,6.013366799801588,323.2142020999454,323.2142020999454,0.013502199668437243,0.1133364993147552,space,2.137549600098282,325.3975664000027,325.3975664000027,3.4100376069545746e-05,0.09826490003615618,num_9,1.4905799999833107,326.930958429724,0.001947800163179636,0.09800710016861558,327.2308644000441,327.7141988299787,328.01405639993027,328.51444183001297,328.91420229990035,336.93083859980106,336.93083859980106,336.9309116298333,0.0012699002400040627,0.09795550024136901,337.94748229999095,338.94750029966235,339.11416079988703,339.630824000109,10.014494800008833,10.097807200159878,347.0306571996771,0.0002870000898838043,347.0306571996771,0.09793799975886941,2.0,2.2318750000558794,349.2976579000242,0.0024399003013968468,0.09786400012671947,355.2974390001036,355.4806937299669,6.214462800417095,6.314492100384086,356.48084089998156,375.4807339300402,375.48078370001167,26.21452990034595,26.314442900009453,376.4807583000511,378.4807199998759,378.4807199998759,0.0144683001562953,0.11451209988445044,408.48065269971266,30.014386299997568,328.8143863999285,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
0,0,0,0,4,0,4,0,,,,,,,,,,,,408.6306215999648,0.03170579997822642,0.1310049998573959,414.63058430003,6.031100300140679,414.73060619970784,414.73060619970784,0.031079799868166447,0.13109989976510406,space,3.0534777003340423,417.84739079978317,417.84739079978317,5.5099837481975555e-05,0.09807970002293587,num_9,1.1521834996528924,419.0639689298347,0.0023278999142348766,0.09814299969002604,419.36378759983927,419.8472288301215,420.14724069973454,420.6472045298666,421.04726779973134,429.06402989989147,429.06402989989147,429.0639822300524,0.0014733998104929924,0.09825420007109642,430.0805902997963,431.0805941000581,431.2639005999081,431.7639385997318,10.014649899676442,10.098034099675715,439.1600875998847,0.0012564999051392078,439.1600875998847,0.09423879953101277,4.0,6.2311336998827755,445.43082699971274,0.0015875999815762043,0.09953240025788546,451.43066139984876,451.5971028300934,6.199260300025344,6.299257799983025,452.59704909985885,471.5971485300921,471.5971102998592,26.199232299812138,26.299223800189793,,474.6137403999455,474.6137403999455,0.01595499971881509,0.11583249969407916,504.63034990010783,29.999082499649376,420.94752909988165,30.09903989965096,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.7303643999621,0.00012619979679584503,0.0990954996086657,534.746888499707,30.01572489971295,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
1,0,1,0,0,0,0,0,,,,,,,,,,,,534.8470900999382,0.01750879967585206,0.11567999981343746,540.8635777998716,6.032284599728882,540.963553099893,540.963553099893,0.032530199736356735,0.1322762994095683,space,1.6039823000319302,542.6302533997223,542.6302533997223,4.0499959141016006e-05,0.09772669989615679,num_9,1.1378315002657473,543.8303543300368,0.0019949995912611485,0.09760489966720343,544.1301979999989,544.6134939299897,544.9302358999848,545.4135318299756,545.8135387999937,553.8302245000377,553.8302245000377,553.830211629998,0.0009357999078929424,0.09760560002177954,554.8301766999066,555.846845400054,556.0136627000757,556.5134982997552,10.014116199687123,10.097422699909657,563.9300420996733,0.0003296998329460621,563.9300420996733,0.09737169975414872,2.0,1.4985150001011789,565.4635536000133,0.0017411001026630402,0.09927089978009462,571.4634456001222,571.6303425299935,6.19945599976927,6.299102999735624,572.6301245996729,591.6467128297314,591.6467428999022,26.215795599855483,26.31585989985615,592.6466981000267,594.646723699756,594.646723699756,0.01575579959899187,0.11571489972993731,624.6465867999941,30.015587499830872,545.730203599669,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
1,0,1,0,1,0,1,0,,,,,,,,,,,,624.7799510001205,0.01637489954009652,0.11559099983423948,630.7966173999012,6.032183399423957,630.8966033998877,630.8966033998877,0.03245919942855835,0.13222549948841333,space,2.3432400999590755,633.2966742999852,633.2966742999852,4.9999915063381195e-05,0.09786440012976527,num_9,1.4149801000021398,634.7633020299487,0.002205400262027979,0.09796930011361837,635.0630580997095,635.5465160300024,635.8465108000673,636.3465769299306,636.7465717000887,644.7632192000747,644.7632192000747,644.7632702299394,0.001608900260180235,0.09809029987081885,645.7798977000639,646.7632343000732,646.9465358997695,647.4634308000095,10.014546299818903,,654.879724800121,0.016859000083059072,654.879724800121,0.1144934999756515,4.0,2.8654312998987734,657.7798609999008,0.0025587002746760845,0.09783959994092584,663.7964697000571,663.9631887300872,6.214415600057691,6.31444470025599,664.9798138998449,683.9630685298704,683.9630899997428,26.21447160001844,26.314368899911642,684.979757799767,686.9797370997258,686.9797370997258,0.00017719995230436325,0.09769279975444078,716.9796027000993,30.03092399984598,636.6465489999391,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
1,0,1,0,2,0,2,0,,,,,,,,,,,,717.0962853999808,0.014855799730867147,0.11437139986082911,723.0964401997626,6.014296499546617,723.1963081997819,723.1963081997819,0.014426699839532375,0.11431879969313741,space,1.4358453997410834,724.6962701999582,724.6962701999582,5.510030314326286e-05,0.09800980007275939,num_9,1.231694399844855,725.9629987300374,0.0019555999897420406,0.09763360023498535,726.2797137997113,726.7462178300135,727.0462015001103,727.5463591300883,727.9462548000738,735.9462473997846,735.9462473997846,735.9462190297432,0.014351900201290846,0.11434209998697042,736.9461392997764,737.9628864000551,738.1629184000194,738.6628708001226,10.03086300007999,,746.0795380999334,0.01709449989721179,746.0795380999334,0.11419339990243316,6.0,2.8980260002426803,749.0130560998805,0.0025312001816928387,0.09844329999759793,755.0128516000696,755.196135430038,6.214499399997294,6.314470800105482,756.1961201997474,775.1925251296722,775.1756903999485,26.214239900000393,26.314340599812567,,778.1794141000137,778.2127744997852,0.03108539991080761,0.13104069977998734,808.2126353997737,30.030942799989134,727.8462382997386,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
1,0,1,0,3,0,3,0,,,,,,,,,,,,808.3458421998657,0.03164329985156655,0.14756459975615144,814.345933099743,6.0309163997881114,814.42958180001,814.42958180001,0.014236199669539928,0.11433839984238148,space,0.7463662000373006,815.2293356000446,815.2293356000446,3.969995304942131e-05,0.09787409985437989,num_9,1.0662046996876597,816.3293199300766,0.002248200122267008,0.09759350027889013,816.6291998997331,817.1293188299984,817.4291928997263,817.9124640299939,818.3292568000033,826.3293709000573,826.3293709000573,826.3292656297796,0.0009063002653419971,0.09751070011407137,827.3291621999815,828.3292523999698,828.5125887999311,828.9958230997436,10.014161800034344,10.097607099916786,836.4290598998778,0.0007170001044869423,836.4290598998778,0.110504399985075,4.0,2.4977687997743487,838.9627200998366,0.001532800029963255,0.09941079979762435,844.9791916999966,845.1458366298117,6.215989099815488,6.315870299935341,846.1458250000142,865.1290561299771,865.1291064997204,26.199366099666804,26.29924750002101,866.1290516997688,868.1290678000078,868.1290678000078,-0.0006860001012682915,0.0992635996080935,898.1456149998121,30.01580739952624,818.2293092999607,30.099104999564588,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
