Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,Instruction.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,p_port_14.started,rest_text.stopped,p_port_14.stopped,taste_sound_2.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,16.787770089507102,0.0005406998097896576,0.08944129943847656,17.0529520008713,17.286250411719084,17.55276570096612,17.80299091078341,18.086242901161313,0.024245599284768105,0.12295760028064251,33.08635000139475,15.023161999881268,33.186223801225424,0.02533010020852089,0.12295099906623363,39.18626590073109,6.023012299090624,39.28616460040212,39.28616460040212,0.023066500201821327,0.12298030033707619,space,8.434674996882677,47.76945360004902,47.76945360004902,4.439987242221832e-05,0.09773300029337406,num_9,4.518514698371291,52.336058511584994,0.000807199627161026,0.09938959963619709,52.65288159996271,53.102903810516,53.91944901011884,54.2528824005276,54.31953780166805,62.31951200030744,62.31951200030744,62.31957391016185,0.015809400007128716,0.11586879938840866,63.33635220117867,64.31947930157185,64.51957260072231,65.0195190012455,9.999031599611044,10.082365799695253,72.41937190108001,72.41937190108001,0.015660399571061134,0.1155628003180027,3.0,11.098481299355626,83.55306650139391,0.0015421006828546524,0.0991125013679266,89.55299940146506,89.7528369102627,6.199039401486516,6.299032000824809,90.75281860120595,109.75281601138413,109.75284280069172,26.199015200138092,26.29887660034001,112.7694471012801,0.01741800084710121,0.11566600203514099,29.99902120232582,142.78605760075152,30.09892750158906,,,,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,142.8527679014951,0.0002527013421058655,0.09895450249314308,148.86940820142627,6.015631102025509,148.96940150111914,148.96940150111914,0.01576080173254013,0.11569850146770477,space,3.502838898450136,152.51941820047796,152.51941820047796,4.1699036955833435e-05,0.09811219945549965,num_9,4.441417897120118,157.0194342110306,0.0018785987049341202,0.09808439947664738,157.3360465001315,157.8027987100184,158.6027299102396,158.90271060168743,159.00271450169384,167.01938790082932,167.01938790082932,167.01939391084017,0.0013856999576091766,0.09806459955871105,168.036154801026,169.03608100116253,169.20269730128348,169.71938540041447,10.014554498717189,,177.13590140081942,177.13590140081942,0.01655619964003563,0.11458889953792095,6.0,5.94898940064013,183.11932220123708,0.0034545008093118668,0.09723149985074997,189.11935540102422,189.31933851093055,6.230528401210904,6.33058449998498,190.33601370081306,209.30255091115833,209.30261470004916,26.21389920078218,26.313908400014043,212.30270660109818,0.01401280052959919,0.11386140063405037,30.01380260102451,242.30253390036523,,158.10265150107443,210.30262490175664,212.30270660109818,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,242.43589370138943,0.014458701014518738,0.11377990245819092,248.4525311011821,6.0305476021021605,248.53604979999363,248.53604979999363,0.013767702504992485,0.11372930184006691,space,2.4807558991014957,251.05255360156298,251.05255360156298,3.889948129653931e-05,0.09787880070507526,num_9,3.443479798734188,254.55255271047355,0.0021444987505674362,0.09799069911241531,254.852538600564,255.35252471007408,256.13577281050385,256.43584860116243,256.5359347015619,264.5358754005283,264.5358754005283,264.5358793113381,0.014740198850631714,0.11461509950459003,265.5357433017343,266.51901330053806,266.75253500044346,267.2525193002075,10.01447599940002,10.097927298396826,274.6523657012731,274.6523657012731,0.0012675989419221878,0.09791009873151779,5.0,3.1973994001746178,277.88615440018475,0.0024211984127759933,0.0981334988027811,283.8857947010547,284.08580341115595,6.231308300048113,6.331217098981142,285.0858831014484,304.08575321100653,304.08573750033975,26.231209898367524,26.33101919852197,307.1024064011872,0.016211099922657013,0.11448620073497295,30.031085399910808,337.1189693007618,,,305.08599190041423,,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,337.2189886011183,0.03187020123004913,0.13106819987297058,343.2356432005763,6.014445399865508,343.30231210030615,343.30231210030615,0.01450050063431263,0.1143702007830143,space,2.041893297806382,345.4024380017072,345.4024380017072,4.789978265762329e-05,0.09803109988570213,num_9,2.7574845980852842,348.21904251091183,0.003021199256181717,0.09821769967675209,348.53558639995754,349.0023248113692,349.81896421052517,350.13560900092125,350.1854051016271,358.18555629998446,358.2189363017678,358.21890140995384,0.03157310001552105,0.13179120048880577,359.2355742007494,360.21889210119843,360.402256000787,360.9188898000866,10.014755299314857,,368.33597910031676,368.33597910031676,0.018154200166463852,0.11466079950332642,4.0,2.0643197000026703,370.4358639009297,0.0031971000134944916,0.09785500168800354,376.41868670098484,376.6188141100109,6.214720601215959,6.31431870162487,377.6355014014989,396.6186891116202,396.618803601712,26.214546401053667,26.31451770104468,399.63553420081735,0.0007068011909723282,0.09780930168926716,30.014348601922393,429.6521118003875,,349.31895969994366,397.63540300168097,399.63553420081735,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,429.73510060086846,0.014713501557707787,0.1143478024750948,435.75198330171406,6.014350801706314,435.8519736006856,435.8519736006856,0.01445690169930458,0.11444320157170296,space,1.4606296978890896,437.35185940004885,437.35185940004885,3.9499253034591675e-05,0.09791599959135056,num_9,2.480885798111558,439.8853447113186,0.0020560994744300842,0.0981201995164156,440.1852698009461,440.66856931075455,441.4686086114496,441.7852557003498,441.88531400077045,,449.9019367005676,449.90195321030916,0.017347300425171852,0.1147255003452301,450.9018362015486,451.9018932003528,452.0852805003524,452.601895801723,10.014608399942517,10.09781170077622,459.98518950119615,459.98518950119615,5.869939923286438e-05,0.09781689941883087,2.0,3.732235100120306,463.7519082017243,0.003306899219751358,0.09772099927067757,469.7350067999214,469.95187941119076,6.23102679848671,6.331029199063778,470.9517451003194,489.95176001004876,489.95166609995067,26.23082049936056,26.33095959946513,492.9518651012331,5.8002769947052e-06,0.09759530052542686,30.030876200646162,522.951657500118,,440.9852799009532,490.96852780133486,492.9518651012331,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0851104017347,0.031086500734090805,0.13083030097186565,553.0848260000348,30.030815601348877,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,553.1848314013332,0.032534800469875336,0.13081590086221695,559.2015998009592,6.014031700789928,559.2682716008276,559.2682716008276,0.014141300693154335,0.11413020081818104,space,2.6200947985053062,561.9348119013011,561.9348119013011,2.969987690448761e-05,0.09831060096621513,num_9,2.265931798145175,564.2515100102871,0.0020959004759788513,0.09793680161237717,564.5513689015061,565.051606311649,565.8514982100576,,566.2348198015243,574.2514352016151,574.2514352016151,574.2514763113111,0.0011406000703573227,0.09780320152640343,,576.2514185011387,576.4514471013099,576.9513955004513,10.014469301328063,,584.3679597005248,584.3679597005248,0.017211200669407845,0.1145257018506527,3.0,2.2648905999958515,586.6683416012675,0.0015538986772298813,0.09923429973423481,592.6680585015565,592.8681727100163,6.199083298444748,6.298904798924923,593.8845263011754,612.8512858107686,612.8513169009238,26.215658098459244,26.315669998526573,615.8679072000086,0.0013033989816904068,0.09884089976549149,30.032116198912263,645.8678152002394,,565.3514482006431,613.851104401052,615.8679072000086,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,646.0011901017278,0.03277849964797497,0.13218780048191547,652.0177854001522,6.015477100387216,652.0844344999641,652.0844344999641,0.015561699867248535,0.11539809964597225,space,2.2355964984744787,654.384572500363,654.384572500363,4.569999873638153e-05,0.09781779907643795,num_9,2.623524198308587,657.0511612102389,0.0023007001727819443,0.0978821013122797,657.3511230014265,657.8345670115202,658.6344382103532,,659.0345635004342,667.0344782005996,667.0344782005996,667.0344009112566,0.014656700193881989,0.11455370113253593,,669.0510725006461,669.2510406002402,669.7677046004683,10.014414900913835,,677.1676346007735,677.1676346007735,0.017428800463676453,0.11427330039441586,5.0,2.2646427992731333,679.4680229015648,0.0025353990495204926,0.09796229936182499,685.4676649011672,685.6677230104804,6.2312030997127295,6.33125519938767,686.6844154000282,705.6508218117058,705.6509207002819,26.214472599327564,26.314421098679304,708.6509382016957,0.014504799619317055,0.11422070115804672,30.014189699664712,738.6506679002196,30.097605001181364,658.1344755012542,706.6507328003645,708.6509382016957,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,738.7674629017711,-0.0009381994605064392,0.09760310128331184,744.7673858013004,6.030932201072574,744.8843131009489,744.8843131009489,0.014250900596380234,0.11483730189502239,space,1.4120064973831177,746.3340785000473,746.3340785000473,3.8700178265571594e-05,0.09819389879703522,num_9,2.6260500997304916,749.0173760104924,0.0019329003989696503,0.09799600020051003,749.3340533003211,749.8177233107388,750.6005642108619,,751.0007135011256,759.0008431002498,759.0008431002498,759.0007077112793,0.014746401458978653,0.11453030072152615,760.017447700724,761.0173266008496,761.2174388002604,761.7175389006734,10.014528200030327,,769.1338388007134,769.1338388007134,0.017309900373220444,0.11430900171399117,4.0,1.1317060999572277,770.3007960002869,0.0015271995216608047,0.09919009916484356,776.3006235007197,776.4673179101198,6.199145499616861,6.299168799072504,777.4839208014309,796.5005039099603,796.5004918016493,26.1990424990654,26.29907259903848,799.5172524005175,0.0175222996622324,0.1157309003174305,30.015665400773287,829.5171015001833,,750.1341508012265,797.5171737000346,,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,829.6174461003393,0.016408201307058334,0.11578340083360672,835.6336927004158,6.032253300771117,835.7337817009538,835.7337817009538,0.03233310021460056,0.13221990130841732,space,1.3861518986523151,837.1669201012701,837.1669201012701,4.7499313950538635e-05,0.09798179939389229,num_9,2.2972470987588167,839.5003430109471,0.0017546992748975754,0.09800500050187111,839.8170085009187,840.2835855104029,841.0835056111216,,841.5003202017397,849.5002608001232,849.5002608001232,849.5003098111599,0.0011595990508794785,0.09781260043382645,850.5169070009142,851.5168726015836,851.6836334001273,852.1835978012532,10.014540798962116,,859.6167433001101,859.6167433001101,0.015533700585365295,0.1144201010465622,1.0,2.000067299231887,861.650684600696,0.0022061001509428024,0.09831329993903637,867.6668799016625,867.8334887113422,6.214719301089644,6.314570000395179,,887.8334490109235,887.8334604017437,26.214736599475145,26.314665099605918,890.8501088004559,0.00045590102672576904,0.0979906003922224,30.014480201527476,920.8666494004428,,,,890.8501088004559,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,920.9666182007641,0.015151401981711388,0.11453630216419697,926.9668300002813,6.014653101563454,927.0665779002011,927.0665779002011,0.014574801549315453,0.11444600112736225,space,1.6942412983626127,928.8168730009347,928.8168730009347,4.140101373195648e-05,0.09813839942216873,num_9,1.7199117969721556,930.5999590113759,0.0024204999208450317,0.09790010005235672,930.9165575001389,931.3832884106785,932.1832174111157,932.4831912014633,932.5832510013133,940.6000078003854,940.6000078003854,940.6001323100179,0.0017109010368585587,0.09781249985098839,941.6165098007768,942.6165480017662,942.7831877004355,943.2998840007931,10.031187200918794,,950.7330336011946,950.7330336011946,0.03412020020186901,0.13118330016732216,6.0,3.331249300390482,954.100218700245,0.0025849994271993637,0.09932569973170757,960.0998323000968,960.2664330109953,6.199135199189186,6.29912299849093,961.2663563005626,980.2664038103073,980.2664982005954,26.19925170019269,26.299099799245596,983.2995766010135,-0.0007613003253936768,0.09905320033431053,30.01544300094247,1013.2993624005467,30.09875679947436,931.6831547003239,981.2661961000413,983.2664943002164,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.3995331004262,-0.0004280991852283478,0.0988996010273695,1043.3994547016919,30.032261600717902,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1043.5327415000647,0.03399540111422539,0.13213680125772953,1049.5493940003216,6.015378501266241,1049.6160539016128,1049.6160539016128,0.015519902110099792,0.11549030058085918,space,2.0566555969417095,1051.7160689011216,1051.7160689011216,7.490068674087524e-05,0.09773360006511211,num_9,2.924620198085904,1054.6993620108813,0.0020435992628335953,0.09781299903988838,1055.0160502009094,1055.4993939112871,1056.2993753116577,1056.6160335000604,1056.6827002000064,1064.6994376014918,1064.6994376014918,1064.6994459100067,0.0010969992727041245,0.09773869998753071,1065.716058500111,1066.6994424015284,1066.8826333004981,1067.3826143015176,10.031066799536347,,1074.8327584005892,1074.8327584005892,0.03415760025382042,0.13121419958770275,2.0,4.0312968995422125,1078.899248600006,0.003046700730919838,0.09689960069954395,1084.9158754013479,1085.0825649101287,6.213513201102614,6.313480401411653,1086.0825470015407,1105.099128210172,1105.0991403013468,26.230129500851035,26.330115601420403,1108.0991365015507,-0.0006690993905067444,0.09671550057828426,30.013143502175808,1138.0821740012616,30.096589701250196,1055.815933501348,1106.115837899968,1108.0991365015507,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1138.1989843007177,0.030005602166056633,0.12990860268473625,1144.215598501265,6.0134713016450405,1144.3156548012048,1144.3156548012048,0.013370601460337639,0.11321660131216049,space,1.716321798041463,1146.0656439010054,1146.0656439010054,4.7499313950538635e-05,0.09758229926228523,num_9,6.222885897383094,1152.3322799105197,0.00196240097284317,0.09800500050187111,1152.6321213003248,1153.1155356105417,1153.915450611338,1154.2323796004057,1154.3155791014433,1162.3155358005315,1162.3155358005315,1162.3155614111572,0.014675701037049294,0.11461630091071129,1163.3322831001133,1164.3323987014592,1164.5323366001248,1165.0321650002152,10.0144123993814,10.097767999395728,1172.4320270009339,1172.4320270009339,0.00021430104970932007,0.09766610153019428,6.0,2.398965099826455,1174.8654480017722,0.0034386999905109406,0.09717129915952682,1180.8653476014733,1181.0654839102178,6.230629799887538,6.330475699156523,1182.082169201225,1201.0486650105565,1201.048707300797,26.213783899322152,26.313744999468327,1204.0486750006676,0.013788899406790733,0.1137435995042324,30.013669200241566,1234.0485615003854,,1153.4322732016444,1202.065479401499,1204.0486750006676,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1234.181855801493,0.01431570015847683,0.11355930007994175,1240.1818156000227,6.013536700978875,1240.2985771000385,1240.2985771000385,0.03035140037536621,0.13021180033683777,space,1.021740898489952,1241.3651731014252,1241.3651731014252,3.3700838685035706e-05,0.09809640049934387,num_9,2.219344398006797,1243.648511710763,0.002685101702809334,0.09808620065450668,1243.965165000409,1244.4484859101474,1245.2318119101226,1245.5317509006709,1245.6484673004597,,1253.665152201429,1253.6651643116027,0.01775670051574707,0.11469320021569729,1254.6654270011932,1255.665113100782,1255.8318485002965,1256.3317565005273,10.014501700177789,10.097866501659155,1263.7482875008136,1263.7482875008136,0.0002050008624792099,0.09790520183742046,3.0,2.8653668984770775,1266.6486466005445,0.0028760991990566254,0.09745600074529648,1272.648352701217,1272.8483782105147,6.230864200741053,6.330725600942969,1273.8649905007333,1292.8315888114273,1292.8316073007882,26.21403449960053,26.31387340091169,1295.8319419007748,0.014371400699019432,0.11387110128998756,30.030585000291467,1325.8481311015785,,1244.7651668004692,1293.8314990010113,1295.8319419007748,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1325.9815634004772,0.030812600627541542,0.13048470206558704,1331.9815603010356,6.030654700472951,1332.0647530015558,1332.0647530015558,0.013757500797510147,0.11382510140538216,space,1.3755062967538834,1333.4980906005949,1333.4980906005949,3.4401193261146545e-05,0.09806290082633495,num_9,2.1258966978639364,1335.6647775109857,0.0020179003477096558,0.09812269918620586,1335.964645801112,1336.4479302104562,1337.2647512100637,1337.5647236015648,1337.6480785012245,1345.648003000766,1345.648003000766,1345.64804601036,0.014669600874185562,0.11462320014834404,1346.6646089013666,1347.664689199999,1347.8647031001747,1348.36468440108,10.014490500092506,10.098078299313784,1355.7646288014948,1355.7646288014948,0.00112839974462986,0.09794490039348602,5.0,4.330970101058483,1360.131554601714,0.002579798921942711,0.09740890003740788,1366.1478961016983,1366.3144045110791,6.213992798700929,6.31404609978199,1367.3145077005029,1386.3143876112997,1386.2976502012461,26.213728299364448,26.297199899330735,1389.3147047013044,0.014271700754761696,0.11410070024430752,30.013886900618672,1419.3143764007837,,1336.7646608017385,1387.3144039008766,1389.3147047013044,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1419.4476948007941,0.014540201053023338,0.11376750096678734,1425.4308577999473,6.013792799785733,1425.547749100253,1425.547749100253,0.013982400298118591,0.11383930034935474,space,0.9490023981779814,1426.5476982016116,1426.5476982016116,4.909932613372803e-05,0.09789819829165936,num_9,2.365057498216629,1428.9643493101,0.002121400088071823,0.11465349979698658,,1429.7476120099425,1430.564375410974,1430.8642629012465,1430.94760110043,1438.9475677013397,1438.9475677013397,1438.9475911103189,0.014640498906373978,0.11456229910254478,1439.9643565006554,1440.9475556015968,1441.1475811004639,1441.6475656013936,10.031394699588418,,1449.0807324014604,1449.0807324014604,0.016817498952150345,0.11436289921402931,4.0,1.0320162996649742,1450.1478968001902,0.0015446003526449203,0.09919289872050285,1456.1642282009125,1456.330851110816,6.215822599828243,6.315828898921609,,1476.3307283103466,1476.3308106008917,26.215822799131274,26.31571289896965,1479.330729899928,0.01576860062777996,0.11580790020525455,30.032254399731755,1509.3472353015095,,1430.0642515011132,,1479.330729899928,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.4639180004597,0.015702201053500175,0.11554590053856373,1539.4805527012795,30.032108400017023,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1539.5804423000664,0.034211600199341774,0.13188790157437325,1545.5970934014767,6.015523301437497,1545.6638317015022,1545.6638317015022,0.015466000884771347,0.11565920151770115,space,3.3368256967514753,1549.0637320000678,1549.0637320000678,5.000084638595581e-05,0.09782329946756363,num_9,2.040565997362137,1551.1637515101581,0.0020687002688646317,0.09787600114941597,,1551.9469730101525,1552.747099711746,1553.0470205005258,1553.147048400715,1561.1636810004711,1561.1636810004711,1561.1636796101927,0.001126401126384735,0.09780670143663883,1562.163653401658,1563.1636351011693,1563.363773001358,1563.863879101351,10.014320500195026,,1571.259894900024,1571.259894900024,0.012779600918293,0.09389540180563927,5.0,2.1025843005627394,1573.4139434006065,0.0028841011226177216,0.09822730161249638,1579.4135879017413,1579.6136108107864,6.231534501537681,6.331378500908613,,1599.596800211072,1599.5968147013336,26.214681200683117,26.314661100506783,1602.6134828999639,0.0006703007966279984,0.09796520136296749,30.014436600729823,1632.630009001121,,1552.2636607009917,1600.613452501595,1602.6134828999639,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1632.7301285006106,0.015169601887464523,0.1144965011626482,1638.7299719005823,6.014497801661491,1638.8299970012158,1638.8299970012158,0.014590902253985405,0.11446380242705345,space,1.5783850979059935,1640.4631871003658,1640.4631871003658,4.759989678859711e-05,0.11463879980146885,num_9,2.424764096736908,1642.946635711193,0.0021950993686914444,0.09796030074357986,1643.2465853001922,1643.7466095101088,1644.5301522102206,1644.84658620134,1644.9465894009918,,1652.9632340017706,1652.963246911019,0.017475400120019913,0.11464869976043701,1653.9631562009454,1654.963216200471,1655.1299150008708,1655.6298900004476,10.0312408991158,,1663.0630763005465,1663.0630763005465,0.016575699672102928,0.1146038006991148,6.0,1.1989248991012573,1664.2968732006848,0.0026660002768039703,0.09788789972662926,1670.2965107001364,1670.4797630116343,6.214350199326873,6.314416399225593,1671.4964838009328,1690.4797483116388,1690.479703500867,26.214302899315953,26.314512999728322,1693.4796711001545,0.01430010050535202,0.11428040079772472,30.030979501083493,1723.4963685013354,,1644.0465932004154,1691.4964088015258,1693.4796711001545,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,1723.6295330002904,0.03155120089650154,0.13082530163228512,1729.629502300173,6.030962301418185,1729.7295358013362,1729.7295358013362,0.03088260069489479,0.13074690103530884,space,1.5108520966023207,1731.2964344006032,1731.2964344006032,7.9398974776268e-05,0.09771359898149967,num_9,2.887459998950362,1734.2461898114532,0.0025794003158807755,0.09765030071139336,1734.5461004003882,1735.0293548099696,1735.8295298099517,1736.1460670009255,1736.2295008003712,1744.2464696001261,1744.2464696001261,1744.2463646113872,0.0012114997953176498,0.09789160080254078,1745.26272890158,1746.2627900000662,1746.4294274002314,1746.9294627010822,10.01422480121255,,1754.3627525009215,1754.3627525009215,0.017260801047086716,0.11425840109586716,3.0,3.0313392002135515,1757.429490601644,0.0015209000557661057,0.09913039952516556,1763.4293756000698,1763.6125456105917,6.1990026999264956,6.29908699914813,,1783.6125479109585,1783.612690800801,26.215857099741697,26.31576189957559,1786.6126244012266,0.015806199982762337,0.11566620133817196,30.01555209979415,1816.6124505009502,,1735.3461498003453,1784.6125518009067,1786.6126244012266,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,1816.7458161003888,0.016102200374007225,0.11553060077130795,1822.728964600712,6.015406901016831,1822.8457369003445,1822.8457369003445,0.01566530205309391,0.11544870212674141,space,1.058850098401308,1823.945734700188,1823.945734700188,5.6900084018707275e-05,0.09794200025498867,num_9,3.2546844985336065,1827.245821410045,0.0023193005472421646,0.09804090112447739,1827.5457274001092,1828.0290037106722,1828.8457683112472,1829.1457195002586,1829.2457220014185,1837.2458027005196,1837.2458027005196,1837.245720911026,0.001031201332807541,0.09788300096988678,1838.245748501271,1839.2456804011017,1839.445657901466,1839.9456739015877,10.03115290030837,,1847.3789972011,1847.3789972011,0.034025100991129875,0.13119090162217617,4.0,0.9647275991737843,1848.379268700257,0.002214500680565834,0.09789410047233105,1854.3788881003857,1854.5789239101111,6.231247300282121,6.331302300095558,1855.595592699945,1874.562208610773,1874.5621801000088,26.21454429998994,26.31451809965074,1877.5621157009155,0.01450360007584095,0.11446250043809414,30.014367001131177,1907.5620083007962,,1828.345706101507,1875.5620292015374,1877.5621157009155,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,1907.695369400084,0.01488180086016655,0.1143909003585577,1913.7119639012963,6.031009200960398,1913.8120053000748,1913.8120053000748,0.031104501336812973,0.1309727020561695,space,1.2045589983463287,1915.0786202009767,1915.0786202009767,4.91999089717865e-05,0.09805729985237122,num_9,1.7693898975849152,1916.9119550112634,0.0023814011365175247,0.09798650071024895,1917.2118050009012,1917.7119836110621,1918.4952040102332,1918.7952307015657,1918.89526290074,1926.9121533017606,1926.9121533017606,1926.9120653115212,0.0016680005937814713,0.09810120053589344,1927.911842500791,1928.9119991008192,1929.095215599984,1929.611863201484,10.014649700373411,,1937.0284545011818,1937.0284545011818,0.017787901684641838,0.11455520056188107,1.0,1.2311507984995842,1938.2954639010131,0.002514500170946121,0.09784789942204952,1944.3117881007493,1944.4784880105406,6.21447129920125,6.314509499818087,1945.495055301115,1964.4784223113209,1964.4785221014172,26.214571800082922,26.31436230055988,1967.4783644005656,0.014425000175833702,0.11450359970331192,30.01404100097716,1997.4614140000194,30.097515100613236,,1965.4950743000954,1967.4783644005656,,,,,,,3874,Gustatory,2024-07-15_18h25.09.481,Gustatory_Condition_v2,2022.2.5,29.950647317146885,
