Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,18.388746599841397,0.0005608999636024237,0.11242909997235984,18.867027929995675,19.11705569998594,19.367064329981805,19.633675499993842,19.633675499993842,0.02877389994682744,0.12877069995738566,34.63368530001026,15.028782999957912,34.750355200027116,0.014406199974473566,0.11204360000556335,40.76704469998367,6.028800999978557,40.86701440002071,40.86701440002071,0.028901200043037534,0.145384700037539,space,6.007899600022938,46.93371190002654,46.93371190002654,4.349998198449612e-05,0.09762469999259338,num_9,3.485768000013195,50.46719993000151,0.001120300032198429,0.09870140004204586,50.76696430001175,51.25042722998187,51.55034209997393,52.05031903001945,52.35042400000384,52.43338770000264,60.433702300011646,60.46700080001028,60.46711683000903,0.032043500046711415,0.13196850003441796,61.46696539997356,62.46699250000529,62.65036169998348,63.133521599986125,10.015463399991859,10.09854090004228,70.5669118000078,0.001679800043348223,70.5669118000078,0.0987956000608392,3.0,5.664610999985598,76.26725630002329,0.0027023000293411314,0.09755890001542866,82.26694180001505,82.4670090300031,6.230795600044075,6.314184100017883,102.45024503000313,102.45026630000211,26.214273100020364,26.31419539998751,103.46693960000994,105.4502529000165,105.4502529000165,0.014238299976568669,0.11419410002417862,135.46687820000807,30.030833600030746,,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,135.5834813999827,0.015039300022181123,0.13081080000847578,141.58355330000632,6.014128500013612,141.68374730000505,141.68374730000505,0.01439250004477799,0.11427260003983974,space,2.671472299960442,144.41690369998105,144.41690369998105,5.909998435527086e-05,0.09759319998556748,num_9,2.738586599996779,147.21696463001427,0.0021553999977186322,0.09808329999214038,147.51668230001815,148.00039243000793,148.30004840000765,148.81692793000258,149.11678949999623,149.20020329998806,157.200190500007,157.200190500007,157.20027222997743,0.014764599967747927,0.11467420001281425,158.20017959998222,159.20017620001454,159.4001693999744,159.9168564999709,10.01467770000454,,167.35035289998632,0.01741800003219396,167.35035289998632,0.13133669999660924,4.0,3.581547599984333,170.9504929999821,0.002501100010704249,0.09786869998788461,176.96683119999943,177.13361332997448,6.214668800006621,6.314475500024855,197.1335162299918,197.1334137999802,26.214356400014367,26.314440299989656,198.15013720002025,200.13343300000997,200.13343300000997,0.014498799981083721,0.11450829997193068,230.15003630000865,30.031070499971975,178.1504879000131,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,230.26646840001922,0.03128300001844764,0.13110430003143847,236.26672369998414,6.014354899991304,236.34978699998464,236.34978699998464,0.014519100019242615,0.11435520002851263,space,2.9330347000504844,239.3333972999826,239.3333972999826,4.220003029331565e-05,0.09807609999552369,num_9,1.4532843999913894,240.83348102996825,0.002392199996393174,0.09787389996927232,241.1500262999907,241.61666973000393,,242.41659663001775,,242.83337439998286,250.8334112999728,250.8334112999728,250.833428929979,0.001426299975719303,0.09785899997223169,251.84998990001623,252.83337210002355,253.03338649997022,253.53331560001243,10.014623399998527,,260.96654549997766,0.03363959997659549,260.96654549997766,0.13127369998255745,4.0,2.4986023000092246,263.49995069997385,0.0019807000062428415,0.09831020003184676,269.499985500006,269.68332953001374,6.214990000007674,6.31497509998735,289.6832484299783,289.6832705999841,26.21502160001546,26.314944199984893,290.7002184999874,292.69990319997305,292.69990319997305,0.0007252999930642545,0.09825819998513907,322.6998825999908,30.03162650001468,270.6999436999904,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,322.83316540002124,0.032225900038611144,0.1316567999892868,328.83332909998717,6.03157370002009,328.93331469997065,328.93331469997065,0.031741100014187396,0.1314101000316441,space,2.6294528000289574,331.5998189999955,331.5998189999955,4.2700034100562334e-05,0.09797910001361743,num_9,1.2116186000057496,332.8665991299902,0.002045599976554513,0.09811500000068918,,333.649813429988,333.94971900002565,334.449752229976,334.76654360000975,334.8666227000067,,342.88313839997863,342.88318913000404,0.017426999984309077,0.11475940002128482,343.8997849000152,344.88316450000275,345.06643329997314,345.58309219998773,10.014688699971884,10.098095899971668,352.9665099999984,0.0013370999949984252,352.9665099999984,0.09794870001496747,4.0,2.1646072000148706,355.16667860001326,0.0020323999924585223,0.09926149999955669,361.1830461000209,361.35005373002497,6.215901200019289,6.315781300014351,381.3331234299811,381.33288230001926,26.21549650002271,26.31565820000833,382.349623600021,384.33296069997596,384.33296069997596,-0.0008775999885983765,0.09899610001593828,414.3495423999848,30.01561629999196,362.34968869999284,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,414.48300359997666,0.016243599995505065,0.11545570002635941,420.4830598999979,6.015718000009656,420.58300470001996,420.58300470001996,0.01587720005773008,0.11568570003146306,space,3.1482299999915995,423.76632729999255,423.76632729999255,6.10999995842576e-05,0.0978326000040397,num_9,1.516797999967821,425.31624592999,0.0022099000052548945,0.09788110002409667,425.6160782999941,426.09950243001805,426.4162168999901,426.8995868300088,427.199475899979,427.29952170001343,435.31629739998607,435.31629739998607,435.31625292998507,0.0013783000176772475,0.09779470000648871,,437.33280570001807,437.5161204999895,437.99935459997505,10.014308299985714,10.097875399980694,445.4159576999955,0.0015932000242173672,445.4159576999955,0.09766410005977377,2.0,2.630656599998474,448.08275190001586,0.002158900024369359,0.09807609999552369,454.0828107999987,454.26614412998316,6.214913100004196,6.314777499996126,474.2660747299786,474.26602169999387,26.214740700030234,26.314726300013717,475.26589909999166,477.28267649997724,477.28267649997724,0.00038839998887851834,0.09803460002876818,507.299226299976,30.014551200030837,,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.3992111000116,0.014834900037385523,0.11455430003115907,537.399132999999,30.014450300019234,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,537.499138300016,0.016605700075160712,0.11452180007472634,543.4991760000121,6.014427000074647,543.5991359999753,543.5991359999753,0.014553300105035305,0.11450400005560368,space,3.04463969997596,546.699119900004,546.699119900004,6.799999391660094e-05,0.09769179997965693,num_9,1.5837750000064261,548.3159498300054,0.002263300004415214,0.09676929999841377,,549.0991689299815,549.3991165999905,549.8990685300203,550.1991828000173,550.299102000019,558.3156084999791,558.3156084999791,558.3157554299803,0.029924500035122037,0.11319210001965985,,560.2989376999903,560.499048299971,560.9990633999696,10.013330699992366,10.09655090002343,568.4156770000118,0.030129600025247782,568.4156770000118,0.1298407000140287,3.0,3.7655665000202134,572.2157385000028,0.0026619999553076923,0.09732199995778501,578.2156427999726,578.3989698299672,6.213732499978505,6.297335399955045,598.415662230004,598.415559999994,26.230827299994417,26.347249799990095,599.4154700000072,,601.4322236999869,0.015634899958968163,0.11388889997033402,631.4321108000004,30.013758399989456,579.3990979000228,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,631.5320860000211,0.014344999974127859,0.11375229997793213,637.5320988000021,6.013725199969485,637.6320378999808,637.6320378999808,0.01384259999031201,0.1136992999818176,space,3.1635499000549316,640.8321189999697,640.8321189999697,3.9300008211284876e-05,0.09791900002164766,num_9,1.5471737000043504,642.4321967300027,0.0024201999767683446,0.09799109998857602,642.7487411000184,643.2321449300041,643.5488191000186,644.0321346299722,644.3487265000003,644.4154108000221,652.432001499983,652.432001499983,652.4321079299668,0.0014021999668329954,0.09792819997528568,653.4486740999855,654.4486357999849,654.6153592999908,655.1319957000087,10.031304900010582,,662.5651543000131,0.034200599999167025,662.5651543000131,0.13105999998515472,4.0,1.5980323000112548,664.1990425999975,0.0031098999897949398,0.09822069999063388,670.1986273999792,670.3819756300188,6.214885400026105,6.314734400017187,690.381900029967,690.3818834000267,26.21472069999436,26.314644399972167,691.3985655999859,693.398491400003,693.398491400003,0.0003849999629892409,0.09798319998662919,723.41516829998,30.01455059996806,671.3985845000134,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,723.5150618000189,0.015444600023329258,0.1145259999902919,729.5151549999719,6.014560999989044,729.6150724000181,729.6150724000181,0.014622200047597289,0.11434210004517809,space,2.9245443000108935,732.5818163999938,732.5818163999938,3.920000744983554e-05,0.09818899998208508,num_9,1.3730745999491774,733.9987892300239,0.0025846000062301755,0.09774229995673522,734.298357599997,734.7984249299741,735.1149842999876,735.5984198299818,735.8984310000087,735.9816875000251,743.9984683999792,743.9984683999792,743.9986074299784,0.001378999964799732,0.09766049997415394,744.9983622999862,746.0151447000098,746.1816492999787,746.6817561999778,10.01399919996038,10.097381800005678,754.0981032000273,-0.0001805999781936407,754.0981032000273,0.09732080000685528,2.0,2.4988252999610268,756.6316702999757,0.0023736999719403684,0.09802539995871484,762.6315799999866,762.8316582300001,6.231307999987621,6.331342599994969,782.8316028299857,782.8314979000133,26.231285299989395,26.33146570000099,783.8480712000164,785.8315234999754,785.8315234999754,0.000352799950633198,0.09786949993576854,815.8313938999781,30.031161099963356,763.8481619000086,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,815.9480303999735,0.014887399971485138,0.11440999998012558,821.964732500026,6.031039599969517,822.0647256000084,822.0647256000084,0.031182600010652095,0.1311072999960743,space,2.7706858000019565,824.8980718000093,824.8980718000093,3.5400036722421646e-05,0.098243500047829,num_9,2.017597600002773,826.981548530003,0.0024069000501185656,0.09800660004839301,827.2979612000054,827.7646738300216,828.0813091999735,828.5645609300234,828.8648385999841,828.9646460000076,836.9814078999916,836.9814078999916,836.981513229967,0.0014134000521153212,0.09792480000760406,837.9978889999911,838.9979191999882,839.1646051999996,839.6646678000106,10.031284800032154,,847.0977994999848,0.016596300061792135,847.0977994999848,0.11445720004849136,5.0,4.365419199981261,851.4978930000216,0.0031660000095143914,0.09729850001167506,857.4980057000066,857.698009329976,6.230634000035934,6.33049540000502,877.6811412299983,877.6812504000263,26.214057100005448,26.313862000009976,878.6810513000237,880.6812188000185,880.6812188000185,0.014054899977054447,0.11389640002744272,910.6976046999916,30.03039239998907,,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,910.8309573999722,0.031215300026815385,0.13034390000393614,916.8309131999849,6.030333300004713,916.9310194000136,916.9310194000136,0.030592800059821457,0.147263600025326,space,3.319745699991472,920.3144788999925,920.3144788999925,5.050003528594971e-05,0.09795959998155013,num_9,1.4884889000095427,921.8476894300081,0.002239900000859052,0.0981813000398688,,922.6309975300217,922.9475695000147,923.4309583300026,923.7475830999902,923.8309225999983,931.8476332999999,931.8476332999999,931.8476316299755,0.0015082000172697008,0.09817150002345443,932.847467900021,933.8642745999969,934.0140029999893,934.5142350000096,10.014819400035776,10.09804420004366,941.9474774000118,0.0013369000516831875,941.9474774000118,0.09793200006242841,5.0,2.4311282000271603,944.4143696000101,0.0015471999649889767,0.09922829997958615,950.4308158999775,950.5975110299885,6.2157927000080235,6.3158410000032745,970.5974560299771,970.597336900013,26.21575589996064,26.315696300007403,971.5973325999803,973.6139698000043,973.6139698000043,0.0016679999534972012,0.09906359994783998,1003.6305558999884,30.015596699959133,951.5973833000171,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.7306643999764,0.01583400001982227,0.11559900001157075,1033.747080400004,30.032166499993764,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1033.830682699976,0.017045200045686215,0.11548010003753006,1039.830338299973,6.015437000023667,1039.9135623999755,1039.9135623999755,0.015208900033030659,0.09889360005035996,space,3.1458795000216924,1043.0970699000172,1043.0970699000172,3.589998232200742e-05,0.09786599996732548,num_9,1.2979278999846429,1044.4471573300077,0.00213939999230206,0.09779139998136088,1044.7472872000071,1045.2471531300223,,1046.0304670300218,1046.3303345000022,1046.4470314999926,1054.4470360000269,1054.4470360000269,1054.4471256299992,0.0014485999708995223,0.09771920001367107,1055.4470860000001,1056.4470055000274,1056.6469828999834,1057.1472018000204,10.014316299988423,,1064.5636225999915,0.017102700017858297,1064.5636225999915,0.1143138000043109,5.0,1.69781659997534,1066.2969536000164,0.003049399994779378,0.09820919996127486,1072.313592999999,1072.4803684299811,6.214843499998096,6.314812699973118,1092.4801776299835,1092.4597579999827,26.210974299989175,26.294292800012045,1093.4968133000075,1095.4635800999822,1095.4971982999705,0.03185019997181371,0.1311732999747619,1125.4966813999927,30.01458759995876,1073.4802451999858,,,,,,30.097838499990758,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1125.5967119999696,0.03135840001050383,0.13130780000938103,1131.5966700999998,6.031310199992731,1131.7133942000219,1131.7133942000219,0.014653499994892627,0.11456890002591535,space,3.1453951000003144,1134.9133199999924,1134.9133199999924,4.499999340623617e-05,0.09809310000855476,num_9,1.3622377999708988,1136.31342913002,0.0018159000319428742,0.09819600003538653,1136.6299589999835,1137.096724529995,1137.3966155999806,1137.896604129998,,1138.2966233000043,1146.3134137999732,1146.3134137999732,1146.3133552299812,0.0014469000161625445,0.09821409999858588,1147.32991640002,1148.3299298000056,1148.4966035999823,1148.996576400008,10.014851599989925,,1156.4297972000204,0.01748600002611056,1156.4297972000204,0.1147371000261046,3.0,3.6649700000416487,1160.1298761999933,0.003098500019405037,0.09741699998266995,1166.1299470000085,1166.329927829979,6.230723600019701,6.3308558000135235,1186.3298311299993,1186.3297891999828,26.230747000023257,26.330651699972805,1187.346403100004,,1189.3464944000007,0.016101300017908216,0.11400810000486672,1219.3629481000244,30.030570700007956,1167.329821499996,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1219.4629987999797,0.03126489999704063,0.13052720000268891,1225.4630256000091,6.0307045000372455,1225.5462875000085,1225.5462875000085,0.013825400033965707,0.13047650002408773,space,2.7204728999640793,1228.329600099998,1228.329600099998,4.2599975131452084e-05,0.0980938000138849,num_9,1.5937206000089645,1229.9630123300128,0.0017872999887913465,0.09787879994837567,1230.2795912000001,1230.7630321299773,1231.0795987999882,1231.5462522300193,,1231.9462803999777,1239.9628898000228,1239.9628898000228,1239.9630260300007,0.0011803999659605324,0.09807909996015951,1240.9795341999852,1241.9628511000192,1242.1629193000263,1242.663001000008,10.014570999948774,10.097976299992297,1250.0627367999987,0.0005963000003248453,1250.0627367999987,0.09798090002732351,4.0,2.9149832999682985,1253.013049000001,0.0025040999753400683,0.09790339996106923,1259.012768400018,1259.1960771299898,6.214292899996508,6.2976938000065275,1279.196010730008,1279.1960259000189,26.21438899997156,26.31423699995503,1280.1960886999732,1282.2127856999869,1282.2127856999869,0.00037649995647370815,0.09780059999320656,1312.2125322999782,30.03089599998202,1260.1960339000216,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1312.3458805999835,0.03164379997178912,0.1308446999755688,1318.3625590999727,6.01420659996802,1318.429175199999,1318.429175199999,0.014317499997559935,0.1141481000231579,space,2.6294889000128023,1321.1124983999762,1321.1124983999762,4.1700026486068964e-05,0.09790260001318529,num_9,1.5789140000124462,1322.7460779299843,0.002010399999562651,0.09792219998780638,1323.045734299987,1323.5291489299968,1323.829036500014,1324.3290500299888,1324.6290079000173,1324.7291905999882,1332.7458297000267,1332.7458297000267,1332.7459833300206,0.0012192000285722315,0.09799879998899996,1333.7457428000052,1334.7457768999739,1334.929277200019,1335.429110499972,10.010812500026077,10.097703300009016,1342.8457981999964,0.00011430005542933941,1342.8457981999964,0.09765860001789406,5.0,2.431936000008136,1345.312393100001,0.0027587999938987195,0.09717690001707524,1351.329025199986,1351.495697529998,6.213790700014215,6.297056799987331,1371.5123630300047,1371.512313299987,26.23044260003371,26.330382900021505,1372.5289560999954,,1374.5289477999904,0.015490999969188124,0.11372189997928217,1404.5287931999774,30.01381630002288,1352.495581199997,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1404.6288155000075,0.014261300035286695,0.11356270004762337,1410.6288039999781,6.013525000016671,1410.7287907999707,1410.7287907999707,0.01363840006524697,0.11350460007088259,space,3.250401100027375,1414.0121070999885,1414.0121070999885,3.50000336766243e-05,0.09760959999402985,num_9,1.8151185000315309,1415.861954630015,0.0008919000392779708,0.09940290002850816,1416.1788162000012,1416.645615129976,1416.9453218000126,1417.4455032299854,1417.7453775000176,1417.8287553000264,1425.8453298999812,1425.8453298999812,1425.8455867300042,0.01595100003760308,0.11599140003090724,,1427.8453602999798,1428.045363000012,1428.5620295000263,9.999468400026672,10.099222699995153,1435.961899499991,0.0023468000581488013,1435.961899499991,0.09921280003618449,1.0,2.1978459000238217,1438.195421500015,0.0030455999658443034,0.09812209999654442,1444.1952661999967,1444.395360730018,6.231345499982126,6.33135479997145,1464.3786027300055,1464.378559899982,26.21465119998902,26.314575499971397,1465.3785735000274,1467.3785516999778,1467.3785516999778,0.014711799973156303,0.1145674999570474,1497.395044600009,30.03113629994914,,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.5285121999914,0.031573600019328296,0.13108209997881204,1527.5449446000275,30.01454439997906,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1527.611596599978,0.016524100035894662,0.11448570003267378,1533.6116773000103,6.01427360001253,1533.711578699993,1533.711578699993,0.014441100065596402,0.11425940005574375,space,2.9230363000533544,1536.6782126000035,1536.6782126000035,4.1000021155923605e-05,0.09776059997966513,num_9,1.2684735999791883,1538.0116098299738,0.002040299994405359,0.09788369998568669,1538.3283330000122,1538.8116216299939,1539.128237899975,1539.5948517299955,1539.894690199988,1539.9948609999847,1548.0114930999698,1548.0114930999698,1548.0116096299723,0.0011243000044487417,0.09788060002028942,1549.028186200012,1550.0114983000094,1550.2114558999892,1550.7114786999882,10.014314599975478,10.097598600026686,1558.1115031000227,0.00017830001888796687,1558.1115031000227,0.09764650004217401,3.0,2.5151690000202507,1560.6617408000166,0.0029795000446029007,0.09849490004125983,1566.661419400014,1566.861453029979,6.231596400029957,6.331564599997364,1586.8447302300017,1586.8447222000104,26.214978300035,26.315005300042685,1587.8613408000092,1589.8613265000167,1589.8613265000167,0.0005952999927103519,0.09812759998021647,1619.84433599998,30.01450809999369,1567.8782181999995,,,,,,30.09789470001124,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1619.961193999974,-0.0008571999496780336,0.09817870002007112,1625.977869299997,6.014668700052425,1626.0778176999884,1626.0778176999884,0.014758900040760636,0.11480820004362613,space,2.5493409000337124,1628.6611382000265,1628.6611382000265,3.980001201853156e-05,0.09783440001774579,num_9,0.7339234999963082,1629.428150029981,0.0027420000405982137,0.09748060000129044,1629.7279319000081,1630.2110888299765,1630.5278000999824,1631.0112505299737,1631.3277749000117,1631.4278226000024,1639.4278080000076,1639.4278080000076,1639.4278223299887,0.0006814000080339611,0.09754780004732311,1640.4278612000053,1641.4277472000103,1641.5942711000098,1642.0777495999937,10.010296599997673,,1649.5442795000272,0.01679850002983585,1649.5442795000272,0.11416190007003024,5.0,3.4648239000234753,1653.0443548000185,0.0031281000119633973,0.09745760000078008,1659.0443538000109,1659.2444146300084,6.230803400045261,6.330741100013256,1679.2275134300114,1679.2275684999768,26.21405650000088,26.314209400035907,,1682.2442149000126,1682.2442149000126,-0.00011969998013228178,0.09716390003450215,1712.244111899985,30.030576699995436,,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,1712.3774583999766,0.03127230005338788,0.1303497000481002,1718.3773739999742,6.03048180002952,1718.4774455999723,1718.4774455999723,0.030576600052881986,0.1303060000645928,space,2.8621349000022747,1721.3940338999964,1721.3940338999964,4.2199972085654736e-05,0.09791890002088621,num_9,1.481519400025718,1722.9274525299668,0.0018812999478541315,0.0980379999964498,1723.2273556999862,1723.710743729968,1724.0107522999751,1724.5108046300127,1724.8273305000039,1724.9274416000117,,1732.9440164000262,1732.9441673299996,0.017543899943120778,0.11466579994885251,1733.960670600005,1734.960713699984,1735.1273282999755,1735.6272951000137,10.014509099943098,10.097809899947606,1743.0272632999695,0.0004899000050500035,1743.0272632999695,0.0979438999784179,4.0,2.5650331000215374,1745.627304899972,0.0025727999745868146,0.09789989999262616,1751.6272142999806,1751.8105150300078,6.23123159998795,6.331178100022953,1771.8272450299817,1771.8271550000063,26.23110109998379,26.33104269998148,1772.8438280000119,1774.8273275999818,1774.8273275999818,0.00021490000654011965,0.09770250000292435,1804.8436376000172,30.014219000004232,1752.8271597999847,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,1804.9437976999907,0.014843499986454844,0.11420770001132041,1810.9436615000013,6.014178599987645,1811.0436247999896,1811.0436247999896,0.01428870001109317,0.11416870006360114,space,3.2550791000248864,1814.360291399993,1814.360291399993,4.689994966611266e-05,0.09807169996201992,num_9,1.0428630000096746,1815.4603592300089,0.0018638999899849296,0.09800299996277317,1815.760242999997,1816.2436750300228,1816.5602690000087,1817.0435962299932,1817.3603044999763,1817.4602804000024,,1825.4768957999768,1825.4769696300034,0.017218399967532605,0.1146496000001207,,1827.4772175999824,1827.660227800021,1828.1606312000076,10.01440939999884,10.097795699955896,1835.5601437999867,0.0004160000244155526,1835.5601437999867,0.09777280001435429,2.0,2.5983942999737337,1838.1937796000275,0.002512899984139949,0.09789889998501167,1844.210130100022,1844.3935450299875,6.231056299991906,6.3310659999842755,1864.3767583299893,1864.3767318999744,26.21436599997105,26.31433379999362,1865.3767240999732,1867.3767184999888,1867.3767184999888,0.014350099954754114,0.11402659997111186,1897.3767391999718,30.014367599971592,1845.4101163999876,,,,,,,4186,Gustatory,2024-07-22_14h47.46.221,Gustatory_Condition_v2,2022.2.5,29.94481769158292,
