Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,taste_sound_2.stopped,Roll_liquid_taste.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.66897096973262,0.0005203000036999583,0.08566469996003434,14.947760699957144,15.147933329985245,15.647708129958483,15.930995799950324,0.004700799996498972,0.1024003999773413,30.94773499999428,15.019115099974442,31.047771099954844,0.021684299979824573,0.11917530000209808,37.04790959996171,6.019059100013692,37.13108339998871,37.13108339998871,0.002457600028719753,0.10234979999950156,space,5.5093701999867335,42.69783939997433,42.69783939997433,4.7600013203918934e-05,0.09744120005052537,num_9,2.5342248999513686,45.297789229959015,0.0020833000307902694,0.09777470002882183,45.59763350000139,46.09775972995558,46.88104242995032,47.198080600006506,47.29772139998386,55.31454229995143,55.314652829960686,0.01741940004285425,0.11438800004543737,56.331023999955505,57.33103089994984,57.481002899992745,57.98099829995772,10.01422020001337,10.097696500015445,65.39761869999347,0.0011266000219620764,65.39761869999347,0.0979452000465244,5.0,4.814231800031848,70.24794539995492,0.0015835000085644424,0.09938339999644086,76.24767079995945,76.41434802994482,6.199133499991149,6.282827900024131,77.43083839997416,96.43099632999511,96.43096619995777,26.215933999978006,26.315752500027884,97.4309694999829,99.44762649998302,99.44762649998302,0.0018050000071525574,0.09924469998804852,129.46424949995708,30.015848400013056,,,,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
0,0,0,0,1,0,1,0,,,,,,,,,,,,129.56420149997575,0.01644899998791516,0.11582250002538785,135.58089290000498,5.999158899998292,135.64754219999304,135.64754219999304,4.64000622741878e-05,0.09924860001774505,space,2.4324508999707177,138.114379799983,138.114379799983,4.899996565654874e-05,0.09790290001546964,num_9,2.8464622999890707,140.99770102999756,0.002795899985358119,0.09756209998158738,141.29748409998138,141.7978470299917,142.59758932999685,,142.96401769999648,150.98080439999467,150.9809478299634,0.01413600001251325,0.11454280000180006,151.9808011999703,152.99746179999784,153.16405699995812,153.66415169998072,10.014208000036888,,161.11411159997806,0.016050600039307028,161.11411159997806,0.1143285000580363,3.0,7.865813200012781,169.01436249999097,0.0015574999852105975,0.09923659998457879,175.0141120000044,175.18082782999264,6.199151799955871,6.299259299994446,176.18076909997035,195.18079002999585,195.18075359996874,26.199157399998512,26.315599499968812,196.1973892999813,198.197413899994,198.197413899994,0.01600999996298924,0.11575639998773113,228.2140134999645,29.999006399943028,6.099253099993803,142.09750370000256,150.98080439999467,30.098831799987238,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
0,0,0,0,2,0,2,0,,,,,,,,,,,,228.31407799996668,-0.00024239998310804367,0.09900350001407787,234.31401619996177,6.032337500015274,234.43066759995418,234.43066759995418,0.015674600028432906,0.11565970000810921,space,1.3618116000434384,235.8306182999513,235.8306182999513,3.940000897273421e-05,0.09805440000491217,num_9,7.562129300029483,243.44727482996532,0.000674000009894371,0.0995394000201486,243.7471733999555,244.21391322999844,245.01397282997496,245.3305873000063,245.41398680000566,253.41390889999457,253.41412802995765,-0.0004734999965876341,0.09953120001591742,254.43061729997862,255.41374029999133,255.59712160000345,256.0971920999582,9.999347700038925,10.082961700041778,263.5304797999561,0.016113500052597374,263.5304797999561,0.11609390005469322,4.0,3.8999838000163436,267.46386249997886,0.0018828000174835324,0.09847330005140975,273.46385790000204,273.64720412996246,6.215299800038338,6.314956500020344,274.6471094999579,293.6471134299703,293.64713779999875,26.21516459999839,26.315040500019677,294.6470723999664,296.66390889999457,296.66390889999457,-0.00031919998582452536,0.0985159000265412,326.66359509999165,30.01491010002792,,244.53064449998783,253.41390889999457,30.098126500030048,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
0,0,0,0,3,0,3,0,,,,,,,,,,,,326.7636511999881,-0.0009317999356426299,0.09825950005324557,332.7803218999761,6.014955800026655,332.88027169997804,332.88027169997804,0.014999600069131702,0.1149552000570111,space,1.1843201000010595,334.1303363000043,334.1303363000043,4.2899977415800095e-05,0.09813659999053925,num_9,2.7657260000123642,336.93056592997743,0.001980500004719943,0.09767450002254918,337.23031049995916,337.7303956299496,338.51360072999375,338.8303588999552,338.89680019998923,346.91364499996416,346.9136034299794,0.014571900013834238,0.11439860000973567,347.9302916000015,348.8969789999537,349.1136240999913,349.6136082999874,10.014287300000433,10.097552800027188,357.03011719998904,7.020001066848636e-05,357.03011719998904,0.09766400005901232,3.0,7.631904300011229,364.6971439999761,0.0016352999955415726,0.09930830000666901,370.7134902999969,370.8634933299676,6.199181500007398,6.299393600027543,371.8801100999699,390.8802041299699,390.8799694000045,26.215609800012317,26.299229700001888,391.89661019999767,393.8967566000065,393.8967566000065,0.001588699989952147,0.0991185000166297,423.89669229998253,30.032404400000814,,338.0303249999997,346.91364499996416,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
0,0,0,0,4,0,4,0,,,,,,,,,,,,424.0299951999914,0.03314950002823025,0.13233520003268495,430.03009539999766,6.032320800004527,430.1299604999949,430.1299604999949,0.03242160001536831,0.13230150006711483,space,1.2626235000207089,431.42998259997694,431.42998259997694,4.449998959898949e-05,0.09776699997019023,num_9,2.6184142000274733,434.1133631299657,0.0016031000413931906,0.09829490003176033,434.4299798999564,434.89691052999694,435.7133458299853,436.0299382999656,436.096605299972,444.0967289999826,444.0966398299846,0.015153700020164251,0.11490970000158995,,446.09656969999196,446.2965553999529,446.7965667999815,10.01488580001751,,454.2297497999971,0.017842300061602145,454.2297497999971,0.11486460006562993,5.0,3.298977400001604,457.5632171999896,0.0034652999602258205,0.09778249997179955,463.56319329998223,463.7632508299488,6.23117079999065,6.331091300002299,464.7798266999889,483.7463784299965,483.7464404999628,26.214437299990095,26.314423199975863,484.74631899996893,486.74639689998,486.74639689998,0.014443399966694415,0.11434539995389059,516.7629410999944,30.03094189998228,,,444.0967289999826,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.8963405999821,0.031169399968348444,0.13091479998547584,30.01413429999957,546.9128476000042,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
1,0,1,0,0,0,0,0,,,,,,,,,,,,546.9794717999757,0.016035999986343086,0.11416490003466606,552.9961328000063,6.030740300018806,553.0795012000017,553.0795012000017,0.014127900009043515,0.11428680003155023,space,1.2882686999510042,554.429426799994,554.429426799994,4.190002800896764e-05,0.09775060001993552,num_9,4.050661300017964,558.5295270299597,0.0022202000254765153,0.09785389999160543,558.8294225999853,559.3295133299602,560.1130852299451,560.4294569999911,560.5294449999928,568.5460685999715,568.5461357299995,0.01699269999517128,0.11454340000636876,569.5460364999599,570.5627506999881,570.7294066000031,571.2293885999825,10.014360899978783,,578.6460542999557,0.017245199996978045,578.6460542999557,0.11421820003306493,4.0,3.264977800019551,581.9462396999588,0.002390999987255782,0.097666300018318,587.9628456999781,588.1292792299704,6.214262499997858,6.314158599998336,589.145915000001,608.1293288299988,608.1292411999893,26.214236000028905,26.314182700007223,609.129202799988,611.1460463999538,611.1460463999538,2.859998494386673e-05,0.0976280000177212,641.1457867999561,30.030766699986998,,559.6293828999624,,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
1,0,1,0,1,0,1,0,,,,,,,,,,,,641.2624346999801,0.014768199995160103,0.11402010003803298,647.2790578999557,6.030650200031232,647.3623999999836,647.3623999999836,0.014245300029870123,0.11401870002737269,space,0.9099178000469692,648.3290570999961,648.3290570999961,4.20999713242054e-05,0.09785309998551384,num_9,2.375556399987545,650.7458109299827,0.0026440999936312437,0.09818089997861534,,651.5291273300012,652.3290660299884,652.6290014999686,652.7291897999821,660.7457037999993,660.7457346299838,0.0016916999593377113,0.0984028999810107,,662.7456678999588,662.9291609000065,663.4290610000025,10.014701399952173,,670.8622151999734,0.017492600018158555,670.8622151999734,0.11462720000417903,3.0,4.564985400007572,675.462446999969,0.0016009999671950936,0.09949799999594688,681.4789117999608,681.6289727299649,6.199123999977019,6.299109799962025,682.6289246999659,701.6454709299782,701.6454823999666,26.21572689997265,26.315839599992614,702.6453739999561,704.6621699999669,704.6621699999669,0.0016011999687179923,0.0990246000001207,734.6619352999842,30.032200799963903,,651.8456130999839,660.7457037999993,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
1,0,1,0,2,0,2,0,,,,,,,,,,,,734.7953497999697,0.03296009998302907,0.1322183000156656,740.8120874000015,6.0156260000076145,740.8786709999549,740.8786709999549,0.015711400017607957,0.11561510001774877,space,0.52947679994395,741.4453463999671,741.4453463999671,6.189994746819139e-05,0.098117999965325,num_9,2.5872507999883965,744.0954034299997,0.0024603999918326735,0.09807209996506572,744.3951901999535,744.8785533299728,745.6786250299832,745.9785408999887,746.0786320999614,754.0785714999656,754.0786315299978,0.014716600009705871,0.11473199998727068,755.0785318999551,756.0954678999842,756.2952589999768,756.7952401999501,10.031434400007129,,764.2285837999661,0.03397910000057891,764.2285837999661,0.13121540000429377,5.0,3.198273199959658,767.4620340999682,0.002410000015515834,0.0978593000327237,773.4618494999595,773.6619074299873,6.231245300034061,6.331039200013038,774.678485899989,793.6450408299628,793.6450779999723,26.21442490001209,26.314367300015874,794.6617266999674,796.6450372999534,796.6450372999534,0.014405300025828183,0.11438119999365881,826.6616332999547,30.030984100012574,,745.1952522999491,754.0785714999656,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
1,0,1,0,3,0,3,0,,,,,,,,,,,,826.7949887999566,0.03155350004089996,0.1308959000161849,832.7949705999927,6.030923300015274,832.8949853999657,832.8949853999657,0.03115380008239299,0.13091310008894652,space,0.22487609996460378,833.1616126999725,833.1616126999725,2.1199986804276705e-05,0.09857649996411055,num_9,3.0787507999921218,836.2783494299568,0.0023445000406354666,0.11469509999733418,836.5782362999744,837.0615447299846,837.8782886299945,838.2115623999853,838.2780582999694,846.278344499995,846.2783283299708,0.0014361999928951263,0.09777130000293255,847.2948130999575,848.2948490999988,848.4614980999613,848.9614724999992,10.014753499999642,,856.3947451999993,0.017848600051365793,856.3947451999993,0.11457250005332753,5.0,3.964664899976924,860.3948093999643,0.0015273999888449907,0.0988632999942638,866.4114120999584,866.5782006299763,6.199123000027612,6.299041300022509,,886.5779737299948,886.5779847999802,26.215687600022648,26.315804100013338,887.5779442999628,889.5779525999678,889.5779525999678,0.015695200010668486,0.11559319996740669,919.5945061999955,30.032196499989368,,837.378190999967,846.278344499995,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
