loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.808498080002026,0.001411400007782504,0.1061428000102751,14.121853499993449,14.404904559990973,14.705053899990162,15.021753460002946,15.32165129997884,15.604990559988073,15.938238000002457,15.938238000002457,0.006965999986277893,0.10603910000645556,30.95499659999041,15.022639400005573,31.0549558000057,0.022816399985458702,0.12263919998076744,31.488237499987008,space,1.5183889000036288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,33.055045999994036,0.0014137999969534576,0.09857040000497364,39.071902099996805,6.015466799988644,39.354884200001834,39.354884200001834,0.1590145000081975,0.29859920000308193,6.031902799993986,45.37144459999399,45.37144459999399,45.37144459999399,0.09079049999127164,0.2152926999842748,51.07158970000455,51.23828809999395,6.0152984999876935,6.115260899998248,57.238410699996166,12.01542869998957,57.37160210000002,57.37160210000002,0.0153983999916818,0.11520259999088012,down,1.7941357000090647,59.22159499998088,5.639999289996922e-05,0.09749580000061542,65.27168609999353,65.27168609999353,0.03500699999858625,0.14769640000304207,6.0,6.263807099981932,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5547219,71.5547219,0.01102469998295419,0.09835029998794198,5.0,5.454973899992183,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.05479179997928,77.05479179997928,0.00839180001639761,0.09922210001968779,5.0,4.425201599980937,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.52154529999825,81.52154529999825,0.00868530001025647,0.0990608999854885,4.0,4.091406599996844,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.67182229997707,85.67182229997707,0.00957269998616539,0.11450789999798872,4.0,5.506246500008274,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.22153939999407,91.22153939999407,0.009881999983917922,0.11412659997586161,5.0,2.038762400014093,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3051157000009,93.3051157000009,0.009035199997015297,0.11512309999670833,2.0,5.140484900010051,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.47152649998316,98.47152649998316,0.002078399993479252,0.09744479999062605,2.0,10.396787300007418,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,108.90483220000169,0.0003701999958138913,0.09785140000167303,114.90480399999069,6.031236599985277,115.13817829999607,115.13817829999607,0.12733319998369552,0.2312878999800887,6.0312489999923855,121.20470949998708,121.20470949998708,121.20470949998708,0.09078259998932481,0.1978147999907378,126.90482709999196,127.10481349998736,6.031225799990352,6.131171899993205,133.10494449999533,12.031350499979453,133.2381795999827,133.2381795999827,0.031551299965940416,0.13114859999041073,down,0.8720313000085298,134.17144209999242,5.229999078437686e-05,0.0981092999863904,140.1880203000037,140.1880203000037,0.02492480000364594,0.11482689998229034,6.0,3.257808299997123,,,,,,,133.20500940000056,133.20500940000056,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
