loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,22.43645055703819,0.0005460008978843689,0.09890050068497658,23.150994420424105,23.567784499377012,23.567784499377012,0.03240540064871311,0.13226650096476078,38.56757150031626,14.999039500951767,15.09869440086186,38.66790690086782,38.66790690086782,-0.0006155986338853836,0.09871690161526203,space,8.321644499897957,,,,,,,,,,,,,,,,,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
0,0,0,0,,,,,,,,,,,,,,,,,,47.0341491997242,0.0025095995515584946,0.09891840070486069,53.051354099065065,6.01607340015471,53.26802499964833,0.12450640089809895,0.23273449949920177,5.99936200119555,6.099599299952388,59.301176400855184,0.03662010096013546,0.16581050120294094,2.0,8.846726199612021,,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
1,0,1,0,,,,,,,,,,,,,,,,,,68.15109420008957,0.0006613992154598236,0.09723899886012077,74.15103079937398,6.030725600197911,74.3340604994446,0.06606229953467846,0.18333839997649193,6.013815499842167,,80.36734489910305,0.016635900363326073,0.1138250008225441,0.0,5.5315850004553795,80.33417339995503,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
2,0,2,0,,,,,,,,,,,,,,,,,,85.9344608001411,0.0006037987768650055,0.09725520014762878,91.93413420021534,6.0305914003401995,92.13415160030127,0.09093019925057888,0.19725419953465462,6.030516300350428,,98.16736570000648,0.032913800328969955,0.1304877009242773,1.0,3.9317192006856203,98.13415079936385,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
3,0,3,0,,,,,,,,,,,,,,,,,,102.13435479998589,0.0005468986928462982,0.09717179834842682,108.13413029909134,6.030478298664093,108.3174646999687,0.08871049992740154,0.18081559985876083,6.013706900179386,,114.35061069950461,0.016400499269366264,0.11360320076346397,2.0,10.731542598456144,114.31742420047522,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
4,0,4,0,,,,,,,,,,,,,,,,,,125.11761390045285,0.00022350065410137177,0.0991211999207735,131.13391589932144,6.0158583000302315,131.26729780063033,0.05363439954817295,0.14925399981439114,6.015849599614739,,137.33386749960482,0.018836800009012222,0.11601809971034527,1.0,2.4644488003104925,137.2673834003508,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
5,0,5,0,,,,,,,,,,,,,,,,,,139.83428820036352,0.00047579966485500336,0.09755889885127544,145.83397350087762,6.0305674988776445,146.0007224008441,0.05918790027499199,0.16412539966404438,6.03038389980793,,152.05083489976823,0.015009500086307526,0.11395029909908772,1.0,2.6998016983270645,151.98379289917648,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
6,0,6,0,,,,,,,,,,,,,,,,,,154.7843092996627,0.0006368998438119888,0.0972949992865324,160.80061759985983,6.013783399015665,161.01753159984946,0.11246629990637302,0.23061300069093704,6.0305240005254745,,167.01730090007186,0.031980499625205994,0.13034200109541416,0.0,4.066140601411462,,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
7,0,7,0,,,,,,,,,,,,,,,,,,171.117680599913,0.0006352998316287994,0.09730739891529083,177.1005010008812,6.013960300013423,177.23385000042617,0.023451199755072594,0.11393059976398945,6.014004800468683,,183.3339061997831,0.016724999994039536,0.11389490030705929,1.0,1.7316360007971525,183.23387710005045,6.097392300143838,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
8,0,8,0,,,,,,,,,,,,,,,,,,185.1005867999047,0.0007361005991697311,0.09713130071759224,191.1005387995392,6.030454900115728,191.2838642001152,0.07889590039849281,0.18055029958486557,6.013826299458742,,197.3170756008476,0.016605300828814507,0.11362790130078793,2.0,3.9313645008951426,197.28395229950547,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
9,0,9,0,,,,,,,,,,,,,,,,,,201.2840435001999,0.000240398570895195,0.09929199889302254,207.28381310030818,5.99913189932704,207.4003935996443,0.014644699171185493,0.11583440005779266,6.0157653000205755,,213.5004232004285,0.019443100318312645,0.11567549966275692,1.0,1.2305502016097307,213.4004583992064,6.099267199635506,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
10,0,10,0,,,,,,,,,,,,,,,,,,214.76737730018795,0.00034349970519542694,0.09897289983928204,220.7670850995928,6.032313499599695,220.91699600033462,0.050790999084711075,0.14893130026757717,6.015613099560142,,226.98389049991965,0.018076300621032715,0.11543080024421215,0.0,1.798752099275589,226.91708990000188,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
11,0,11,0,,,,,,,,,,,,,,,,,,228.81734710000455,0.0002354998141527176,0.0993587002158165,234.83372499980032,6.015741599723697,234.98365020006895,0.06772450171411037,0.16584770008921623,5.999144101515412,6.099066000431776,241.0170670002699,0.0026392005383968353,0.09902680106461048,3.0,4.564097799360752,240.98368999920785,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
12,0,12,0,,,,,,,,,,,,,,,,,,245.61740469932556,0.0006339997053146362,0.09728430025279522,251.63370360061526,6.014090199023485,251.75022169947624,0.030615199357271194,0.1304164007306099,6.030400600284338,,257.85020720027387,0.033199600875377655,0.13025980070233345,0.0,2.331675201654434,257.75027509965,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
