Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,spit_sound.stopped,p_port_5.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,23.110878557339312,0.0005440996028482914,0.09209459973499179,23.37944129994139,23.612653559911998,23.879337599966675,24.112532560154797,24.379177399910986,24.379177399910986,0.02530450001358986,0.1254722997546196,39.379316800273955,15.02554119983688,39.5126347001642,0.03210809966549277,0.12543539982289076,45.51265500020236,6.025490299798548,45.59593470022082,45.59593470022082,0.008946999441832304,0.10879179975017905,space,6.738792899996042,52.39596670027822,52.39596670027822,4.810001701116562e-05,0.09780289977788925,num_9,10.363228099886328,62.7959798601456,0.0019994997419416904,0.09771629981696606,63.095912100281566,63.5792828601785,63.89613049989566,64.39594305995851,64.69591959984973,64.79597559990361,72.79598490009084,72.79598490009084,72.79592765998095,0.0011638998985290527,0.09782589972019196,74.79595760023221,74.97908989991993,75.49600910022855,10.01437889970839,82.91256200009957,0.01741429977118969,82.91256200009957,0.11432679975405335,3.0,5.781383200082928,88.72938380017877,0.0015990003012120724,0.09935649996623397,94.72937409998849,94.89591555986553,6.199226500000805,6.299204300157726,95.89597429987043,114.91253245985135,114.91263400018215,26.215880900155753,26.315921800211072,115.92934740008786,117.9294680999592,117.9294680999592,0.0016815997660160065,0.09919969970360398,147.92933990014717,29.999189800117165,30.09919370012358,,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,148.0293482001871,0.000655799638479948,0.09919280000030994,154.04597190022469,6.015840999782085,154.14598509995267,154.14598509995267,0.016014699824154377,0.11583439959213138,space,3.180817799642682,157.37932110019028,157.37932110019028,4.7099776566028595e-05,0.09792799968272448,num_9,2.667018999811262,160.0959458601661,0.0020026997663080692,0.0983985997736454,160.39581769984215,160.89620165983214,161.19593270029873,161.67930186018347,161.9959857002832,162.0960166999139,170.0964726000093,170.0964726000093,170.09594106012955,0.0013935999013483524,0.09810009971261024,172.09605260007083,172.27935970015824,172.77922949986532,10.014799199998379,180.212490899954,0.01809429982677102,180.212490899954,0.11479040002450347,5.0,4.897715199738741,185.14628250012174,0.001610300038009882,0.09937290009111166,191.146004000213,191.31260775998234,6.199188200291246,6.3158502001315355,192.32930639991537,211.32914315992966,211.32933149999008,26.215906100347638,26.315889700315893,212.32931290008128,214.3293261001818,214.3293261001818,0.01597029995173216,0.11583050014451146,244.34600530005991,29.999313599895686,30.099192399997264,171.0959431999363,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,244.4459767001681,0.0005990997888147831,0.0991652999073267,250.4459967999719,5.999248699750751,250.5462181000039,250.5462181000039,-0.00011810008436441422,0.09939289977774024,space,3.0929829995147884,253.6959878001362,253.6959878001362,5.239993333816528e-05,0.09805750008672476,num_9,3.863089599646628,257.5960729600862,0.0020026001147925854,0.0977305001579225,257.89594169985503,258.37924945997077,258.67929110024124,259.17918736012655,259.4792758002877,259.59599590022117,,267.61264580022544,267.61271275989714,0.016761899925768375,0.11393850017338991,269.62931540003046,269.7959775002673,270.29595310008153,10.013959700241685,277.729260600172,0.017134299967437983,277.729260600172,0.13044520001858473,2.0,3.814554199576378,281.56285199988633,0.0017578001134097576,0.09938890021294355,287.5793387000449,287.7459408598021,6.215857500210404,6.315879200119525,288.74592179991305,307.7461377600208,307.7459420999512,26.215899500064552,26.31587149994448,308.7458464000374,310.7625871999189,310.7625871999189,0.0016171997413039207,0.09916220000013709,340.7792584998533,30.01581249991432,,268.62938790023327,6.099177799653262,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,340.86242190003395,0.015801599714905024,0.09917869977653027,346.8625274999067,5.999133499804884,346.9625671999529,346.9625671999529,-0.0005367002449929714,0.09913259977474809,space,3.4281085995025933,350.42926889983937,350.42926889983937,4.480034112930298e-05,0.09788280026987195,num_9,2.7693092999979854,353.26256756009536,0.0025360998697578907,0.09808090003207326,353.57919970015064,354.0457537601702,,354.8457903600298,355.14583329996094,355.24588319985196,363.2625910001807,363.2625910001807,363.26251796018335,0.0014133998192846775,0.09812390012666583,365.2625807002187,365.4459040001966,365.94589109998196,10.014643299859017,373.36274969996884,0.0012424997985363007,373.36274969996884,0.09812009986490011,4.0,3.4977772999554873,376.8960891002789,0.0025945999659597874,0.09786560013890266,382.895700099878,383.07908425983044,6.214463900309056,6.314466800075024,384.0957635999657,403.079151760228,403.07919940026477,26.21447640005499,26.314455500338227,404.09575209999457,406.0793778998777,406.0793778998777,0.014671499840915203,0.11424130015075207,436.0958942002617,30.03118379972875,,364.2795327999629,6.0989726996049285,10.098189000040293,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,436.2290834002197,0.03173490008339286,0.13081949995830655,442.2122810999863,6.031017799861729,442.3291814001277,442.3291814001277,0.03128429967910051,0.13116469979286194,space,2.4293681997805834,444.79576160013676,444.79576160013676,4.6700239181518555e-05,0.09793690033257008,num_9,2.4031483000144362,447.2457416601479,0.00211910018697381,0.09810280008241534,447.56245149997994,448.02911566002297,448.3290764000267,448.8290440602228,449.12920500012115,449.22910539992154,457.24573349999264,457.24573349999264,457.2457271599211,0.0012420001439750195,0.09807750023901463,459.26243190001696,459.42908200016245,459.92907170020044,10.014602800365537,467.3455598000437,0.00026030000299215317,467.3455598000437,0.09787880023941398,6.0,3.565439200028777,470.94594240002334,0.002204899676144123,0.09840219980105758,476.94591110013425,477.1456460602582,6.23164530005306,6.331625999882817,478.1456221002154,497.1288531598635,497.1121923001483,26.231607699766755,26.33140019979328,498.12914730003104,500.11233140015975,500.1455334001221,0.03156469948589802,0.1316051995381713,530.1456293999217,30.031634299550205,,458.2624095999636,,10.097856000065804,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.2622084999457,0.031392999459058046,0.11496099969372153,560.2788402000442,30.03144839964807,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,560.3788312003016,0.033304399345070124,0.13143689930438995,566.3788016000763,6.031443299725652,566.4787718001753,566.4787718001753,0.03158639930188656,0.131417999509722,space,2.8475695997476578,569.378748500254,569.378748500254,3.8899946957826614e-05,0.09797170013189316,num_9,1.907927299849689,571.3454424598254,0.0024521001614630222,0.09794260002672672,571.6453837999143,572.1286058601924,572.445351399947,572.9286117599346,573.2453319001943,573.3288107002154,581.3457430000417,581.3457430000417,581.3454311600887,0.0009946003556251526,0.09784610010683537,583.3454593000934,583.5288061001338,584.028889699839,10.014524600002915,591.4624664001167,0.01661510020494461,591.4624664001167,0.11470670020207763,4.0,4.4325899998657405,595.9289823002182,0.0023311004042625427,0.09808330005034804,601.9457724001259,602.1121869598516,6.2143807001411915,6.297854200005531,603.1287778001279,622.1119872600772,622.1120327999815,26.214563600253314,26.3145283004269,623.1286585000344,625.1120668002404,625.1120668002404,0.014747499953955412,0.11449560010805726,655.1285681002773,30.031037400010973,,582.345572500024,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,655.2452322999015,0.014758000150322914,0.1144587998278439,661.2619059998542,6.031117199920118,661.3452547001652,661.3452547001652,0.014368899632245302,0.1144158998504281,space,2.8296400997787714,664.2120317001827,664.2120317001827,5.1800161600112915e-05,0.09775490034371614,num_9,0.7306765001267195,664.97859416008,0.0024830996990203857,0.09780649980530143,665.2784215998836,665.7785105601885,666.0784863000736,666.5785297601484,666.8786121001467,666.9785782000981,,674.9951961999759,674.9952194601298,0.017341099679470062,0.11445319978520274,676.9951929999515,677.1451065000147,677.6451913998462,10.014292999636382,685.0950719001703,0.01730629988014698,685.0950719001703,0.1143636996857822,1.0,3.1314441999420524,688.2622350999154,0.002553599886596203,0.09804520010948181,694.2618859000504,694.4450802601874,6.214737900067121,6.314622099976987,,714.4618284598924,714.4617828000337,26.23131740000099,26.3312657000497,715.478478600271,,717.4784269002266,0.016237500123679638,0.11453909985721111,747.4950271002017,30.0313434000127,,,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,747.5950763998553,0.031879599671810865,0.13123119994997978,753.6116820001043,6.0144614996388555,753.6783433998935,753.6783433998935,0.014581799507141113,0.11455889977514744,space,2.3362477994523942,756.0616337000392,756.0616337000392,3.569992259144783e-05,0.09804849978536367,num_9,1.9935145997442305,758.0949895599857,0.001991600263863802,0.09813030017539859,758.3948659002781,758.8782934601419,759.1783366999589,759.678306959942,759.9784511001781,760.0782922999933,768.0781756001525,768.0781756001525,768.0782488602214,0.014650499913841486,0.09812120022252202,770.0783036998473,770.2784056998789,770.794933500234,10.031446800101548,778.2114534000866,0.01556089986115694,778.2114534000866,0.11462440015748143,4.0,3.4001322998665273,781.645147500094,0.0027440995909273624,0.09768110001459718,787.6615770002827,787.8283484600485,6.2140943999402225,6.297518000006676,788.8284594998695,807.8281409599819,807.8282004999928,26.21417129971087,26.314097200054675,808.844711100217,810.8448814000003,810.8448814000003,-0.00017640041187405586,0.09744779951870441,840.8613761002198,30.014146599452943,,769.0948216002434,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,840.9614023999311,0.014268099330365658,0.11422739969566464,846.9780569002032,6.03076299931854,847.0780444000848,847.0780444000848,0.030807499308139086,0.1305907992646098,space,2.4810203998349607,849.6116750002839,849.6116750002839,4.269974306225777e-05,0.09795610001310706,num_9,1.7950447001494467,851.4447051602416,0.0018734000623226166,0.09792219987139106,,852.2280792602338,852.5280411001295,853.0446492600255,853.361402799841,853.4280882999301,861.4446554002352,861.4446554002352,861.4446293598972,0.0013108998537063599,0.09802269982174039,863.4446336999536,863.6446607001126,864.144627599977,10.014588300138712,871.5611693998799,0.01688969973474741,871.5611693998799,0.1144845001399517,6.0,3.1323389001190662,874.728260200005,0.0026003001257777214,0.09813919989392161,880.7446245001629,880.911380059924,6.214664400089532,6.314331700094044,881.9278445001692,900.9278075600974,900.9278402002528,26.23116540024057,26.31437569996342,,,903.9445461002178,0.016190099995583296,0.11451039975509048,933.9444833002053,30.014446699991822,,862.4445695001632,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
