loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_10.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.915178060904143,0.0011331001296639442,0.12280680006369948,31.230522099882364,31.513956389948724,31.814030199777335,32.13086109012365,32.43071229988709,32.73074428979307,33.04736409988254,33.04736409988254,0.006692800205200911,0.10618520015850663,48.04740659985691,15.0061997002922,48.14740480016917,0.006283899769186974,0.10613630013540387,48.6140593001619,space,2.5598672996275127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,51.23072210000828,0.0015913997776806355,0.0982304997742176,57.23074040003121,6.031825099606067,57.54742499999702,57.54742499999702,0.18222859967499971,0.31508229952305555,6.015093399677426,63.547316499985754,63.547316499985754,63.547316499985754,0.09034759970381856,0.21499359980225563,69.24734809994698,69.41406420012936,6.015164299402386,6.1152555998414755,75.41401619976386,12.015104899648577,75.5473539000377,75.5473539000377,0.015069199725985527,0.11526309931650758,down,1.018329699523747,76.61401639971882,6.060022860765457e-05,0.0976260001771152,82.64760959986597,82.64760959986597,0.027340699918568134,0.13100870000198483,2.0,8.421395800076425,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.11404579970986,91.11404579970986,0.009620100259780884,0.11467960011214018,1.0,2.7724315002560616,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.91388959996402,93.91388959996402,0.009415800217539072,0.09932810021564364,5.0,3.2908858000300825,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.26440590014681,97.26440590014681,0.010357800405472517,0.11392650008201599,5.0,1.838283599819988,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.14721169974655,99.14721169974655,0.010129299946129322,0.11596160009503365,3.0,4.340119100175798,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.51388379978016,103.51388379978016,0.00959909986704588,0.09909369982779026,3.0,7.1571780000813305,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.71389929996803,110.71389929996803,0.009109300095587969,0.0991449998691678,2.0,3.7244513002224267,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.48063899995759,114.48063899995759,0.0013147001154720783,0.09777599992230535,2.0,6.630970800295472,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,121.14749309979379,0.000260000117123127,0.09784119995310903,127.14728759974241,6.031202100217342,127.36398060014471,127.36398060014471,0.11320400005206466,0.214544499758631,6.014507099986076,133.43080649990588,133.43080649990588,133.43080649990588,0.07549780001863837,0.18139229994267225,139.13057929975912,139.33055089972913,6.014466099906713,6.11459010001272,145.33057590015233,12.014584899879992,145.46394839975983,145.46394839975983,0.014661199878901243,0.11446049949154258,down,5.606235499959439,151.13057909999043,5.099968984723091e-05,0.09784849965944886,157.1638540001586,157.1638540001586,0.026142099872231483,0.13129719998687506,5.0,5.272790699731559,,,,,,,145.43058309983462,145.43058309983462,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.48081649979576,162.48081649979576,0.007877500262111425,0.11387060023844242,1.0,1.9731143000535667,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
