loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,disgust_image.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.820193700678647,0.000775899738073349,0.1026657996699214,16.49976930017583,16.916533900424838,16.916533900424838,0.019439099822193384,0.1193811995908618,31.933145200368017,15.002651399932802,32.03310640016571,32.03310640016571,0.0028307996690273285,0.10267089959233999,space,5.94664749968797,,,,,,,,,,,,,,,,,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
0,0,0,0,,,,,,,,,,,,,,,,,38.01648550014943,0.0016109999269247055,0.09826349979266524,44.016411000397056,6.0316190999001265,44.28315780032426,0.14125189976766706,0.2648470997810364,6.031798499636352,50.24964420031756,0.035042799543589354,0.1316432999446988,2.0,4.547522299923003,,,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
1,0,1,0,,,,,,,,,,,,,,,,,54.83330520009622,0.00022940011695027351,0.09979940019547939,60.816277500241995,5.999062099959701,61.050016900058836,0.09050850011408329,0.21596889989450574,6.015816299710423,67.04957130039111,0.018631199840456247,0.11575309978798032,0.0,3.4315332998521626,6.08237239997834,,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
2,0,2,0,,,,,,,,,,,,,,,,,70.51662680041045,0.0005287001840770245,0.09722020011395216,76.53302020020783,6.013881100341678,76.69972110027447,0.07588670030236244,0.18057950027287006,6.013827499933541,82.73289029998705,0.016666899900883436,0.11381709994748235,1.0,1.9982321001589298,,82.69971850002185,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
3,0,3,0,,,,,,,,,,,,,,,,,84.76658610021695,0.0006316998042166233,0.09708110010251403,90.78298720018938,6.013773099984974,90.89957900019363,0.02838469995185733,0.13053919980302453,6.030444500036538,96.99953740043566,0.033094899728894234,0.13038709992542863,3.0,2.9995738002471626,,96.89966130023822,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
4,0,4,0,,,,,,,,,,,,,,,,,100.03290580026805,0.00016670022159814835,0.09938190039247274,106.03293970040977,5.99911930039525,106.16619950020686,0.03107349993661046,0.13249569991603494,5.999073700048029,112.23289830004796,0.002993000205606222,0.09927849983796477,3.0,3.2973619997501373,6.099055000115186,112.16642460040748,6.099108700174838,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
5,0,5,0,,,,,,,,,,,,,,,,,115.56652140012011,0.00039820000529289246,0.09772319998592138,121.56629030033946,6.031085700262338,121.69947620015591,0.03848840016871691,0.13100619986653328,6.031034999992698,127.79952530004084,0.03402350004762411,0.13090750016272068,2.0,2.3978524999693036,,127.69959990028292,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
6,0,6,0,,,,,,,,,,,,,,,,,130.23313020030037,0.00047289999201893806,0.0977437999099493,136.2495654001832,6.014012899715453,136.36623480031267,0.03520709974691272,0.13073519989848137,6.030671400018036,142.4661423000507,0.033377999905496836,0.13065459998324513,1.0,2.0649795001372695,,142.36618820019066,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
7,0,7,0,,,,,,,,,,,,,,,,,144.56651769997552,0.00024140020832419395,0.09909099992364645,150.5663070003502,5.999117900151759,150.68282760027796,0.014437499921768904,0.11564339976757765,6.0156506998464465,156.78277910035104,0.017961399629712105,0.11557169957086444,2.0,1.798417399637401,6.098979400005192,156.68285530013964,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
8,0,8,0,,,,,,,,,,,,,,,,,158.61649410007522,0.0005152001976966858,0.09724720008671284,164.63283740030602,6.013741200324148,164.7493874002248,0.02877849992364645,0.1303770001977682,6.030397099908441,170.83272860012949,0.01607740018516779,0.11387130012735724,0.0,1.665480500087142,,170.74953660042956,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
