Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,18.101145566254853,0.00047009997069835663,0.08509510010480881,18.35056420043111,18.60055756997317,18.850529801100492,19.100617969967423,19.383981300517917,0.0049336012452840805,0.10191350057721138,34.40071490034461,15.018568700179458,34.50083540007472,0.02099750004708767,0.11856800131499767,6.001902401447296,40.517341600731015,40.58397679962218,40.58397679962218,0.0020135007798671722,0.10193760134279728,space,6.950769999995828,47.600671799853444,47.600671799853444,5.879998207092285e-05,0.09785469993948936,num_9,4.24626199901104,51.900716171227394,0.001778600737452507,0.09775140136480331,52.200546000152826,52.70066537018865,53.00069450028241,53.4840244712308,53.7839611005038,53.900690199807286,61.90065340138972,61.90065340138972,61.900775770284234,0.0013871006667613983,0.09774859994649887,62.900543600320816,63.91735710017383,64.08401359990239,64.60066870041192,10.03105560131371,72.03395080007613,0.033848199993371964,72.03395080007613,0.13090690039098263,5.0,10.514801001176238,82.58430740050972,0.0024540014564990997,0.0977277010679245,88.58407800085843,88.78409167062492,6.2309304010123014,6.331100100651383,89.78392830118537,108.78388707023115,108.78394309990108,26.23097380064428,26.330919301137328,109.78390820138156,111.78385800123215,111.78385800123215,9.510107338428497e-05,0.09772800095379353,141.78389190137386,30.030854500830173,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,141.90058350004256,0.014663901180028915,0.1142382025718689,6.0139385014772415,147.8838842008263,147.98391230031848,147.98391230031848,0.03155800141394138,0.1308624017983675,space,3.7825794983655214,151.81727600097656,151.81727600097656,3.560073673725128e-05,0.09793009981513023,num_9,2.4138564001768827,154.2838965697214,0.0020208992063999176,0.09808369912207127,154.61719970032573,155.0838515708223,155.4005193002522,155.86720827091486,156.1838055010885,156.26721220090985,164.28387890011072,164.28387890011072,164.28409677054734,0.001997699961066246,0.09802359901368618,165.31721590086818,166.30050850100815,166.46720569953322,166.96728819981217,10.014577498659492,174.38370300084352,0.0006511006504297256,174.38370300084352,0.09820809960365295,4.0,6.131659001111984,180.5508497003466,0.0024159997701644897,0.09934789873659611,186.53369560092688,186.73369886968285,6.215891299769282,6.315899299457669,187.73379390127957,206.7336855703965,206.7337657995522,26.215860098600388,26.315959699451923,207.73376640118659,209.73377609997988,209.73377609997988,0.015927700325846672,0.11597250029444695,239.73373869992793,30.015809699892998,6.097493100911379,10.097896300256252,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,239.86722370050848,0.01646530069410801,0.11579670011997223,5.9990696012973785,245.88373200036585,245.95040520094335,245.95040520094335,-0.00012469850480556488,0.0990494005382061,space,4.608666900545359,250.6003987006843,250.6003987006843,5.939975380897522e-05,0.09789090044796467,num_9,4.638768099248409,255.3005869710818,0.0024193990975618362,0.09769819863140583,255.600267900154,256.0838329704478,256.40037539973855,256.88352287057785,,257.28379799984396,265.3003366999328,265.3003366999328,265.3005274707451,0.0011460985988378525,0.09769189916551113,266.31719830073416,267.3006085008383,267.50039559975266,268.00036079995334,10.031323099508882,275.43351780064404,0.034571800380945206,275.43351780064404,0.13115300051867962,3.0,4.864149199798703,280.33369700051844,0.0031886007636785507,0.09813830070197582,286.3504581004381,286.5169708697125,6.214633701369166,6.31456970050931,287.5337362997234,306.53363567087797,306.5337081011385,26.231390500441194,26.331203700974584,,,309.55027830041945,0.016293300315737724,0.1145086009055376,339.5668262001127,30.03117300197482,6.099099701270461,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,339.66680890135467,0.031938500702381134,0.13119300082325935,6.031110901385546,345.6668129004538,345.7668081000447,345.7668081000447,0.03137580119073391,0.1310850027948618,space,2.799534998834133,348.60013359971344,348.60013359971344,3.689900040626526e-05,0.09755189903080463,num_9,3.39113450050354,352.0504947701469,0.0023579001426696777,0.09763430058956146,352.3499967996031,352.8334877701476,353.13363130018115,353.63334317002443,353.9333383012563,354.0334504004568,362.03325930051506,362.03325930051506,362.03349326979367,0.013944100588560104,0.11403460055589676,363.0333527997136,364.0501033999026,364.25012969970703,364.7333035003394,10.013901300728321,372.14993230067194,-0.0003563985228538513,372.14993230067194,0.09742140024900436,5.0,3.1989520005881786,375.38358050026,0.0021851006895303726,0.09798690117895603,381.3667160011828,381.56671427059916,6.214580999687314,6.314576800912619,382.58329929970205,401.583290570043,401.58333010040224,26.23124529980123,26.33133039996028,,404.5832828003913,404.5832828003913,0.00019510090351104736,0.0978517010807991,434.59999530017376,30.014407601207495,,10.097317701205611,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,434.7000862006098,0.015045002102851868,0.11453490145504475,6.0146862007677555,440.69988219998777,440.7998601011932,440.7998601011932,0.014508102089166641,0.11435630172491074,space,3.8865041993558407,444.73318549990654,444.73318549990654,4.4601038098335266e-05,0.09789530001580715,num_9,4.057670099660754,448.8333393713459,0.001903800293803215,0.09802139922976494,449.1331468001008,449.6164713712409,449.9332159999758,450.4163384703919,450.73314999975264,450.83307300135493,,458.84980630129576,458.84980247039346,0.01749259978532791,0.11456350050866604,459.8664223011583,460.84978049993515,461.01644420064986,461.51646259985864,10.031272999942303,468.9663394000381,0.03456000052392483,468.9663394000381,0.13123100064694881,3.0,3.731182798743248,472.73345960117877,0.002527700737118721,0.09773410111665726,478.7497426010668,478.9166073711589,6.21437550149858,6.314366700127721,479.93299050070345,498.916285370104,498.9164413008839,26.214464800432324,26.314292000606656,499.93297040089965,501.9330809004605,501.9330809004605,5.570240318775177e-05,0.09764170087873936,531.9494602996856,30.014185400679708,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0497788004577,0.014733802527189255,0.11417130194604397,562.0660881996155,30.03071540221572,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,562.1661906000227,0.03268050216138363,0.13071820326149464,6.014027502387762,568.1827176008373,568.2493961006403,568.2493961006403,0.01424570195376873,0.11402160301804543,space,3.836973499506712,572.1327031012625,572.1327031012625,4.0199607610702515e-05,0.09757819958031178,num_9,3.1536906994879246,575.3495264710858,0.002264399081468582,0.09743200056254864,575.6660000011325,576.1493439698592,576.4660180006176,576.9326914703473,577.232612401247,577.332725699991,585.332670699805,585.332670699805,585.3327692696824,0.014324000105261803,0.11431480012834072,,587.3328495007008,587.5158005002886,588.0326287001371,10.030866900458932,595.4658238012344,0.01630149967968464,595.4658238012344,0.11423010006546974,4.0,2.4324686992913485,597.9328394010663,0.0029279999434947968,0.0977115985006094,603.9157510995865,604.1158078709617,6.214113099500537,6.2975335996598005,605.1159121003002,624.1324844701215,624.1325355004519,26.23104769922793,26.33095309883356,625.132407700643,,627.1491775009781,0.0160606000572443,0.11438800022006035,657.1657389011234,30.030816899612546,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,657.2657291013747,0.03152479976415634,0.13098200038075447,6.030848201364279,663.2656840998679,663.365684600547,663.365684600547,0.03093400038778782,0.1307931002229452,space,3.625210899859667,667.0490169003606,667.0490169003606,3.929995000362396e-05,0.0981396995484829,num_9,3.198294000700116,670.2990990715101,0.001719500869512558,0.09835160151124,670.6156492996961,671.0990090711042,671.4155510999262,671.8990410702303,672.2156603001058,672.282365899533,680.2826854996383,680.2826854996383,680.2823185702786,0.01526080071926117,0.11485050059854984,681.2822080999613,682.2654807008803,682.4654908012599,682.9488319009542,10.014661200344563,690.3990366011858,0.0017739012837409973,690.3990366011858,0.09823000058531761,5.0,2.797646200284362,693.2326200995594,0.0026191994547843933,0.09777479991316795,699.2490293011069,699.4321775702759,6.231013000011444,6.331063400954008,700.4321793001145,719.4154559714719,719.4154674001038,26.214311599731445,26.314082000404596,720.4320135004818,722.4153174012899,722.4153174012899,0.014162100851535797,0.11410370096564293,752.4320112001151,30.03087710030377,,10.098239401355386,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,752.5653579998761,0.031570201739668846,0.13087790086865425,6.030836001038551,758.5654095001519,758.6653968002647,758.6653968002647,0.03094020113348961,0.13080100156366825,space,2.3733804002404213,761.0986602995545,761.0986602995545,4.2399391531944275e-05,0.09806199930608273,num_9,3.027809999883175,764.1819761699065,0.002185199409723282,0.09807979874312878,,764.9652526700869,765.2651794999838,765.7819221714511,766.0819039996713,766.1652729008347,774.1819224003702,774.1819224003702,774.1819270705804,0.0019022990018129349,0.09810669906437397,,776.1819067001343,776.36526790075,776.8652285002172,10.031367098912597,784.3150603007525,0.03425250016152859,784.3150603007525,0.1312261000275612,3.0,2.9980744011700153,787.3489197995514,0.0016430001705884933,0.09933299943804741,793.3652104008943,793.515276270546,6.1994783990085125,6.299098299816251,794.5151668004692,813.5316193705424,813.531790100038,26.215706299990416,26.315677599981427,814.5316100008786,816.5317717995495,816.5317717995495,0.015818500891327858,0.1156805008649826,846.548277400434,30.032194601371884,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,846.6816799007356,0.03290650062263012,0.1322886012494564,6.032133700326085,852.6815808005631,852.7816345002502,852.7816345002502,0.03224570117890835,0.13214690051972866,space,3.073547398671508,855.8983161002398,855.8983161002398,4.560127854347229e-05,0.09816570021212101,num_9,3.652131898328662,859.5982975704595,0.0014730002731084824,0.09870889969170094,859.9149025008082,860.3814585698768,860.6982087995857,861.1982205701992,861.5148956999183,861.5814453009516,869.5982165001333,869.5982165001333,869.598210270144,0.0015878994017839432,0.0985288005322218,870.614771399647,871.6149305999279,871.7646952997893,872.2648581005633,10.015284201130271,879.71470149979,0.017990300431847572,879.71470149979,0.1151053998619318,5.0,2.0315962992608547,881.781882699579,0.0029422007501125336,0.09831850044429302,887.7815020009875,887.9647698706016,6.215088199824095,6.314922399818897,888.9647203013301,907.9648139705881,907.9646631013602,26.2147514000535,26.29815210029483,908.9646969009191,910.9814928006381,910.9814928006381,0.0005103014409542084,0.09811360016465187,940.9978972002864,30.01474690064788,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
