loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.390081846714018,0.0007764995098114014,0.11737019941210747,15.987801649048924,16.587860448658468,16.887840200215578,17.187851949036123,17.50457390025258,17.50457390025258,0.017585398629307747,0.11754489876329899,32.50433939881623,15.000581700354815,32.62131579965353,0.0011030007153749466,0.10082560032606125,33.07099529914558,space,1.2579705007374287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,34.387891098856926,0.0015668999403715134,0.09839559905230999,40.40447819977999,6.015111999586225,40.67116959951818,40.67116959951818,0.14672300033271313,0.2817834001034498,6.015080099925399,46.7046172991395,46.7046172991395,46.7046172991395,0.08005999960005283,0.21510029956698418,52.40460759960115,52.57112680003047,6.015091700479388,6.115030599758029,58.571092300117016,12.015090599656105,58.70434399880469,58.70434399880469,0.015328500419855118,0.11498649977147579,down,2.992288999259472,61.73795489966869,4.540011286735535e-05,0.09769829921424389,67.77100299857557,67.77100299857557,0.0286117997020483,0.13118059933185577,3.0,10.386938599869609,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.18785860016942,78.18785860016942,0.009327499195933342,0.09882720001041889,5.0,3.890658000484109,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.13792159967124,82.13792159967124,0.017932100221514702,0.11560590006411076,5.0,3.232286399230361,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.40442179888487,85.40442179888487,0.008113598451018333,0.09757889993488789,3.0,4.6904924008995295,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.15455240011215,90.15455240011215,0.011118900030851364,0.11611369997262955,6.0,2.8726669996976852,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.07106909900904,93.07106909900904,0.01072629913687706,0.1145337987691164,6.0,4.004922900348902,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.12093430012465,97.12093430012465,0.019224299117922783,0.11451230011880398,4.0,9.36283460073173,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.52083309926093,106.52083309926093,0.001367298886179924,0.09772570058703423,3.0,6.697575798258185,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,113.25473359972239,0.00021499954164028168,0.0982121005654335,119.27093429863453,6.014963099732995,119.4545913990587,119.4545913990587,0.08156079985201359,0.198488000780344,6.031528100371361,125.5543958991766,125.5543958991766,125.5543958991766,0.08737990073859692,0.1984673012048006,131.25447409972548,131.4543209001422,6.031586300581694,6.131531700491905,137.45431749895215,12.031579900532961,137.58771950006485,137.58771950006485,0.0317631009966135,0.1314789019525051,down,2.0530849006026983,139.68764329887927,3.929995000362396e-05,0.0979629997164011,145.72141169942915,145.72141169942915,0.025624500587582588,0.1314838994294405,2.0,3.606947099789977,,,,,,,125.45430419966578,125.45430419966578,137.5543014984578,137.5543014984578,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.37117149867117,149.37117149867117,0.008216500282287598,0.11425079964101315,5.0,2.2737796995788813,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.6712795998901,151.6712795998901,0.006821500137448311,0.09824270009994507,5.0,3.992371501401067,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.72114050015807,155.72114050015807,0.00831570103764534,0.11401110142469406,5.0,2.0733998995274305,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.83787229843438,157.83787229843438,0.007650300860404968,0.11436170153319836,3.0,3.0410639997571707,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.90408659912646,160.90408659912646,0.0068129003047943115,0.09903430007398129,6.0,1.6935855001211166,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.63749829865992,162.63749829865992,0.006606699898838997,0.0990062989294529,4.0,4.193541498854756,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.87100929953158,166.87100929953158,0.0013145003467798233,0.0975928008556366,2.0,2.2641333993524313,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,169.17117359861732,0.00021739862859249115,0.09826689958572388,175.1708742994815,6.031615298241377,175.3874658998102,175.3874658998102,0.10796280018985271,0.21516979858279228,6.014900200068951,181.4542014990002,181.4542014990002,181.4542014990002,0.07593310065567493,0.181785698980093,187.15415959991515,187.3543133996427,6.015075799077749,6.114865699782968,193.35419279895723,12.01494500041008,193.48752279952168,193.48752279952168,0.015130599960684776,0.11484299972653389,up,0.6725983023643494,194.20417409949005,4.350021481513977e-05,0.09791599959135056,200.22075359895825,200.22075359895825,0.026350699365139008,0.114461999386549,2.0,3.722605800256133,,,,,,,,,193.45434789918363,193.45434789918363,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.98744799941778,203.98744799941778,0.006803199648857117,0.0992858000099659,5.0,2.526680998504162,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5541229993105,206.5541229993105,0.006685798987746239,0.09943119995296001,3.0,2.1604497991502285,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
