Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Roll_liquid_taste.stopped,Begin_Rinse.stopped,p_port_5.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.549462840135675,0.0005883000558242202,0.09133070008829236,17.801271199947223,18.05140338005731,18.301435200031847,18.568053679948207,18.851554700057022,0.02565840003080666,0.12491550005506724,15.007959200069308,33.86809959996026,33.93474830000196,0.010519100120291114,0.10802660009358078,39.93490740004927,6.007976500084624,40.034741900046356,40.034741900046356,0.008151700138114393,0.10820200003217906,space,7.768370099947788,47.86822880001273,47.86822880001273,5.050003528594971e-05,0.09742210002150387,num_9,3.231010999996215,51.13470097997924,0.0020770999835804105,0.097782599972561,51.45140140003059,51.93469677999383,52.25140970002394,52.71791447995929,53.03475580003578,53.1347289000405,61.15141229995061,61.15133717999561,0.017538100015372038,0.11438639997504652,62.15136090002488,63.15155459998641,63.31807359994855,63.81805730005726,10.014224700047635,10.097662099986337,71.23459020000882,0.0009057000279426575,71.23459020000882,0.09785130003001541,4.0,3.797754699946381,75.06836929998826,0.00283140002284199,0.09787360008340329,81.05122300004587,81.25121888000285,6.2143306999932975,6.314413500018418,101.26807907997863,101.26800439995714,26.231027400004677,26.331168100005016,102.28462809999473,104.26801290002186,104.26801290002186,2.2700056433677673e-05,0.09764540009200573,134.2680070999777,30.03103540011216,,,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,134.40129730000626,0.03172110009472817,0.13102490012533963,140.41801360005047,6.0142772000981495,140.48464919999242,140.48464919999242,0.014439300168305635,0.11422260012477636,space,4.214363100007176,144.73481840000022,144.73481840000022,4.0499959141016006e-05,0.09777480002958328,num_9,2.5166169999865815,147.28457147994777,0.0019950000569224358,0.09783970005810261,147.5847581999842,148.06792348000454,148.38462839997374,148.88471337995725,149.1847389000468,149.28467179997824,157.28464329999406,157.28458498005057,0.0010146000422537327,0.0977909000357613,158.30130419996567,159.2678933000425,159.4679402000038,159.98460429999977,10.014257900067605,10.09765230002813,167.38445869996212,0.00048290006816387177,167.38445869996212,0.09762110002338886,4.0,2.8315033999970183,170.25121739995666,0.0025730000343173742,0.09786920004989952,176.2679220000282,176.45121648005443,6.2311738999560475,6.331213600002229,196.45202108001104,196.45127079996746,26.23124969995115,26.331207199953496,197.45109079999384,,199.46773409994785,0.016218300093896687,0.11453020002227277,229.48469509999268,30.031134100048803,157.28464329999406,177.45127580000553,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,229.5678241000278,0.014843800105154514,0.11432370007969439,235.55105530004948,6.014300200040452,235.6513095999835,235.6513095999835,0.031899600056931376,0.1310775000602007,space,3.3833530000410974,239.08450859994628,239.08450859994628,4.370009992271662e-05,0.09819800010882318,num_9,2.0383890999946743,241.1845967800473,0.00271569995675236,0.09794140001758933,241.48446770000737,241.96781338000437,242.28450549999252,242.76778408006066,243.08465530001558,243.1844887000043,251.2011780999601,251.20109557994874,0.017481500050053,0.1144581000553444,,253.18431939999573,253.36780520004686,253.86770429997705,10.031138499965891,,261.31774660001975,0.03385650005657226,261.31774660001975,0.13122660003136843,2.0,3.181542299920693,264.5348505000584,0.001747800037264824,0.09950900007970631,270.5344400999602,270.7177243800252,6.215861200005747,6.299332700087689,290.71748358005425,290.7008800000185,26.232192300027236,26.32848660007585,291.73430420004297,293.7010704999557,293.7344066000078,-0.0008458999218419194,0.09912100003566593,323.7509840000421,30.015683800098486,,271.7346120000584,6.0977690001018345,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,323.8509776999708,0.016420000116340816,0.11582330008968711,329.8510301000206,6.015647900057957,329.9509913000511,329.9509913000511,0.015907200169749558,0.1156574001070112,space,3.7238669999642298,333.7176502000075,333.7176502000075,3.600004129111767e-05,0.09796290006488562,num_9,1.7097307000076398,335.48424777999753,0.001214900054037571,0.09879630000796169,335.78425679996144,336.2675578799681,336.58419510000385,337.08424907998415,337.38422660005745,337.46761950000655,345.4677793000592,345.46758287999546,0.01576560002285987,0.11558540002442896,346.4842662999872,347.4842694000108,347.6508042999776,348.16762580000795,10.015473100007512,10.098700899980031,355.5842325000558,0.001689900062046945,355.5842325000558,0.09874410007614642,4.0,3.998335300013423,359.6178225999465,0.0016509999986737967,0.09930320002604276,365.6175732000265,365.7841931799776,6.199200200033374,6.299227299983613,385.78415498003596,385.78420270001516,26.19924320001155,26.299150399980135,386.7841772000538,388.78415199997835,388.78415199997835,-0.0008003999246284366,0.09928840002976358,418.7841016999446,29.999121400061995,345.4677793000592,366.78424389997963,,30.099222400109284,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,418.9175251000561,0.0005786000983789563,0.09917340008541942,424.9341010999633,6.015739100053906,425.03402879997157,425.03402879997157,0.01581340015400201,0.11552740016486496,space,5.225028399960138,430.31740689999424,430.31740689999424,3.870006185024977e-05,0.09812129999045283,num_9,1.949949299916625,432.31735888001276,0.0023572000209242105,0.09803170000668615,432.6340065000113,433.11735438002506,433.4341760999523,433.90066257998114,434.20071380003355,434.3006822000025,442.3173346000258,442.31741607998265,0.001445000059902668,0.09799779998138547,443.33400290005375,444.33404059999157,444.5006407999899,445.00067280000076,10.014624900068156,,452.43381069996394,0.017261800006963313,452.43381069996394,0.11461899999994785,3.0,2.8984038999769837,455.3674604999833,0.002174499910324812,0.09763429989106953,461.3840167999733,461.5504522800329,6.214135199901648,6.297558599966578,481.5672011799761,481.5670870000031,26.230693199904636,26.330851399921812,482.5839289999567,484.5672359999735,484.5672359999735,0.0001444999361410737,0.09752800001297146,514.5503026000224,30.01396999997087,442.3173346000258,,,30.097294499981217,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.6671126000583,0.030828400049358606,0.13077050005085766,544.6836548000574,30.013959600008093,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,544.7836728000548,0.015914499992504716,0.11420250008814037,550.8003222000552,6.0306206999812275,550.8839058000594,550.8839058000594,0.014034700114279985,0.11401590006425977,space,4.343505900003947,555.2836581999436,555.2836581999436,3.869994543492794e-05,0.0976669000228867,num_9,1.383471200009808,556.7169364799629,0.0022624999983236194,0.09783310000784695,557.0336394000333,557.5170043800608,557.8336066999473,558.3169082799577,558.6336479999591,558.7002963999985,566.7169308000011,566.7168730799458,0.0010188999585807323,0.09794080001302063,567.7335947999964,568.7169451999944,568.9005244000582,569.4002269000048,10.031190100009553,,576.8500887999544,0.03345800004899502,576.8500887999544,0.13097910000942647,1.0,2.4989567999728024,579.3836137000471,0.00240320002194494,0.0984597000060603,585.4003775999881,585.5668153799488,6.21478969999589,6.314799300045706,605.5667694799486,605.5668073999695,26.21478959999513,26.31470929994248,606.5833334999625,608.5835374000017,608.5835374000017,0.0007136000785976648,0.09805080003570765,638.5833403000142,30.031312000006437,566.7169308000011,586.5836429999908,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,638.7000082000159,0.015319000114686787,0.11466310010291636,644.6999895999907,6.014590800041333,644.8000087999972,644.8000087999972,0.014615700114518404,0.11448240012396127,space,2.738768700044602,647.5834328000201,647.5834328000201,5.040003452450037e-05,0.09793130005709827,num_9,2.275007199961692,649.9166587800137,0.002500999951735139,0.09819399996194988,650.2332910000114,650.7165778800263,651.0333071999485,651.4998348800582,651.8000713000074,651.8999744999455,659.8999604999553,659.8999859799515,0.014969400013796985,0.11481800000183284,660.8998595000012,661.899961499963,662.0999307000311,662.5999467000365,10.031716699944809,,670.0497871000553,0.03428699995856732,670.0497871000553,0.13143479998689145,5.0,2.2817833999870345,672.3668488999829,0.0026889999862760305,0.09794020000845194,678.3666170999641,678.5497294800007,6.214406599989161,6.314428700017743,698.5496667799889,698.549819799955,26.214397200034,26.314240699983202,699.5497705000453,701.549761399976,701.549761399976,0.014381400076672435,0.11433570005465299,731.549664500053,30.01429080008529,659.8999604999553,679.5498399999924,,30.097429700079374,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,731.6663606000366,0.03097020008135587,0.1308915000408888,737.682991300011,6.014190300134942,737.7829816000303,737.7829816000303,0.014302200055681169,0.11425220011733472,space,4.876308900071308,742.7163356000092,742.7163356000092,4.909990821033716e-05,0.09801729989703745,num_9,1.886708899983205,744.6496255800012,0.002075499971397221,0.09806500002741814,744.9495542000514,745.4329341799603,745.7329021999612,746.2329050800181,746.5329796000151,746.6329909999622,754.6330635000486,754.6329026800231,0.01487980003003031,0.11465929995756596,755.6328490000451,756.6495267000282,756.8329511999618,757.3161061999854,10.014667100040242,10.097904999973252,764.7494315999793,0.001092200051061809,764.7494315999793,0.0979338000761345,1.0,2.2977408999577165,767.0832581999712,0.002203500014729798,0.0984326999168843,773.0828779999865,773.2829379799659,6.231500299996696,6.33151489996817,793.266057079949,793.2662181999767,26.214853000012226,26.314717400004156,794.2828172000591,796.2827591999667,796.2827591999667,0.0006199999479576945,0.09806510002817959,826.2825810000068,30.031180000049062,754.6330635000486,774.2828651999589,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,826.3993563000113,0.015234800055623055,0.1146504000062123,832.3825650999788,6.014462899998762,832.4993339000503,832.4993339000503,0.014735800097696483,0.11460990004707128,space,4.799278200021945,837.332879499998,837.332879499998,3.870006185024977e-05,0.09798800002317876,num_9,2.1984071999322623,839.5659124800586,0.0018297999631613493,0.09821690001990646,839.8826300000073,840.3491687799687,840.6491773000453,841.1660470800125,841.4825960999588,841.5492874999763,849.5659248000011,849.5658367799479,0.001531900023110211,0.09807810001075268,850.5825169000309,851.5825742000015,851.7492760999594,852.2491915000137,10.01451150001958,10.098009299952537,859.6657284999965,0.0013640000252053142,859.6657284999965,0.09815059998072684,5.0,3.5642025999259204,863.2661100999685,0.0016519000055268407,0.09930700005497783,869.282501699985,869.4490261800238,6.215867400052957,6.315841500065289,889.4490062799887,889.4491124999477,26.21583800006192,26.315761900041252,890.4490465000272,892.4491012999788,892.4491012999788,0.01585330010857433,0.11591560009401292,922.4656706999522,29.999125000089407,849.5659248000011,,,30.09896710002795,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
