loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.7347058004234,0.0008743000216782093,0.11599399999249727,22.06329389999155,22.330016049963888,22.663314900011756,22.92990445002215,23.23007329995744,23.546692250005435,23.863204599940218,23.863204599940218,0.032708700047805905,0.1327598000643775,38.86328749998938,14.99942990008276,15.099389300099574,38.96336469997186,0.00018380011897534132,0.09967040014453232,39.429945699987,space,1.7079038999509066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,41.179899299982935,0.007483600056730211,0.09864270000252873,47.163196999928914,6.0152217000722885,6.098694300046191,47.513238099985756,47.513238099985756,0.1850013000657782,0.3320527001051232,6.032020000042394,53.49653689994011,53.49653689994011,53.49653689994011,0.09225320012774318,0.2152906000846997,59.19657049991656,59.363272699993104,6.015419900068082,6.115286700078286,65.36322409997229,12.015351500129327,65.49657049996313,65.49657049996313,0.015510800061747432,0.11550280009396374,down,1.202746299910359,66.72620069992263,3.170000854879618e-05,0.08370710001327097,72.74658929998986,72.74658929998986,72.74658929998986,0.0338927999837324,0.1339297000085935,5.0,4.404369900003076,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.17992749996483,77.17992749996483,0.008875999948941171,0.09932539996225387,2.0,5.624830999993719,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.86328649998177,82.86328649998177,0.009618900017812848,0.1158708999864757,7.0,2.6740099999587983,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.58018900000025,85.58018900000025,0.011896700016222894,0.11405159998685122,1.0,2.1031989000039175,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7133148999419,87.7133148999419,0.009363199933432043,0.09908329998143017,6.0,2.2573171999538317,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.01324979995843,90.01324979995843,0.009091999963857234,0.09777949994895607,5.0,1.890103599987924,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.96325189992785,91.96325189992785,0.011619299999438226,0.11442240001633763,7.0,1.7370834000175819,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.72997019998729,93.72997019998729,0.0008153999224305153,0.09950339992064983,1.0,4.067145400098525,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,97.83023600000888,0.00031459995079785585,0.0980982999317348,103.84661559993401,6.01481550000608,,104.0467684000032,104.0467684000032,0.1070464999647811,0.21483259997330606,6.014840499963611,110.11321330000646,110.11321330000646,110.11321330000646,0.07333879999350756,0.18135670002084225,115.81338419998065,116.01328009995632,6.014865400036797,6.114774000016041,122.01333659992088,12.014913500053808,122.14671339991037,122.14671339991037,0.015215300023555756,0.11477820004802197,up,2.1295087999897078,124.31328789994586,0.00011989998165518045,0.09790930000599474,,130.33043209998868,130.33043209998868,0.02626910002436489,0.11476050002966076,1.0,3.922687100013718,,,,,,,122.11347539990675,122.11347539990675,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.31340609991457,134.31340609991457,0.008198200026527047,0.11432389996480197,6.0,2.9403078999603167,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.27994889998809,137.27994889998809,0.007594299968332052,0.09751230000983924,1.0,1.9578953000018373,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.28016610001214,139.28016610001214,0.006525999982841313,0.09937860001809895,2.0,2.693693200009875,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.01330230000895,142.01330230000895,0.007743299938738346,0.09755990002304316,1.0,1.357779600075446,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.4134756999556,143.4134756999556,0.006702400045469403,0.09795460000168532,5.0,2.0924374000169337,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.54666959994938,145.54666959994938,0.00636500003747642,0.09925640001893044,1.0,2.1605242000659928,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.74669780000113,147.74669780000113,0.0013518000487238169,0.09766219998709857,6.0,2.931049200007692,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,150.71351789997425,0.00013930001296103,0.09930110001005232,156.72993219993077,6.015800000051968,,156.8966897999635,156.8966897999635,0.08186959999147803,0.18273730005603284,6.015842600027099,162.99666800000705,162.99666800000705,162.99666800000705,0.07329630001913756,0.18258310004603118,168.6966117999982,168.89664259995334,6.015899899997748,6.115855200099759,174.89661359996535,12.015870600007474,175.0299710999243,175.0299710999243,0.016071900026872754,0.11581160011701286,down,2.9337428000289947,177.99659029999748,3.660004585981369e-05,0.09728660003747791,183.99641939997673,183.99641939997673,183.99641939997673,0.008167500025592744,0.09718550008255988,5.0,5.65696170006413,,,,,,,174.99664799997117,174.99664799997117,162.89663350000046,162.89663350000046,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.69659219996538,189.69659219996538,0.006746299914084375,0.0990172999445349,7.0,1.526919399970211,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.28041130001657,191.28041130001657,0.007672199979424477,0.1140731000341475,1.0,1.8073933999985456,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.13018390000798,193.13018390000798,0.008600300061516464,0.11407170002348721,6.0,1.8399728999938816,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.99674360000063,194.99674360000063,0.007494500023312867,0.0975911000277847,7.0,1.4244544999673963,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.4632024000166,196.4632024000166,0.0068017999874427915,0.09932500007562339,1.0,1.5935311999637634,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0968124999199,198.0968124999199,0.008044300018809736,0.09725910006090999,5.0,2.6570091999601573,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.79664439999033,200.79664439999033,0.0016145000699907541,0.09755180007778108,1.0,3.130562199978158,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,203.9634897999931,0.00013660010881721973,0.09933550003916025,209.96324139996432,5.999299000017345,6.099330500001088,210.12974999996368,210.12974999996368,0.06254050007555634,0.16603540012147278,5.999313000123948,216.23001900000963,216.23001900000963,216.23001900000963,0.05686910008080304,0.16623640013858676,221.9299459999893,222.12997389992233,5.999398600077257,6.0993185001425445,228.12995729991235,11.999368700082414,228.2632930999389,228.2632930999389,0.0003273001639172435,0.11600990011356771,down,1.9329395999666303,230.22992269997485,4.710000939667225e-05,0.09773450007196516,,236.2634361999808,236.2634361999808,0.02688510005827993,0.1312049999833107,2.0,4.905145399970934,,,,,,,228.23004850000143,228.23004850000143,216.12994159990922,216.12994159990922,6.09938350005541,12.099471500143409,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.19649289990775,241.19649289990775,0.00743030000012368,0.09766600001603365,5.0,4.424483699956909,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.66345959994942,245.66345959994942,0.009067300008609891,0.09692370006814599,5.0,1.4557342000771314,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.16317209997214,247.16317209997214,0.006883300025947392,0.0991681000450626,6.0,1.6935735000297427,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
