Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,Roll_liquid_taste.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.252056760003324,0.0005067000165581703,0.09464509994722903,17.51673909998499,17.733498640020844,17.983434399939142,18.233387639990543,18.500097299925983,18.500097299925983,0.028067899984307587,0.1281456999713555,33.48333590000402,15.011302300030366,15.09467969997786,33.60015959991142,0.02817089995369315,0.1280892000067979,39.60013989999425,6.028111899970099,39.717004299978726,39.717004299978726,0.011409300030209124,0.1114616000559181,space,5.640130599960685,45.416792599949986,45.416792599949986,4.959991201758385e-05,0.09770669997669756,num_9,2.8364910000236705,48.31684713998111,0.0023077999940142035,0.0975301000289619,48.63336590002291,49.10002563999733,49.41678999993019,49.90011563991429,50.21696939994581,50.316806599963456,58.33344139996916,58.33345863992581,0.017289699986577034,0.11418319994118065,59.33341730001848,60.33343050000258,60.500246400013566,61.000129199936055,10.01404789998196,10.097484900034033,68.41674669994973,0.0009904999751597643,68.41674669994973,0.09747430006973445,3.0,7.880944500095211,76.3336321999086,0.0022339000133797526,0.0991683000465855,82.33340130001307,82.50025354000972,6.199150600004941,6.299136800109409,83.51674350001849,102.50008903992129,102.50004439998884,26.19915540004149,26.299137100111693,103.51663259998895,105.49998650001362,105.49998650001362,-0.000893099932000041,0.09908450010698289,135.4832807999337,30.015825800132006,30.09898030012846,,,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,135.63335549994372,0.00034490018151700497,0.09924070013221353,141.63332819996867,5.999087500153109,141.7333860999206,141.7333860999206,-0.00011619983706623316,0.09907930018380284,space,2.4722750999499112,144.2666890999535,144.2666890999535,4.47999918833375e-05,0.09815350000280887,num_9,2.6586258999304846,146.966685139935,0.001958100008778274,0.09799090004526079,147.2666824000189,147.75002973993543,148.06677269993816,148.549861039978,148.86666349996813,148.94996959995478,156.9666498999577,156.96667653998594,0.0014750000555068254,0.09793070005252957,157.9665753999725,158.9833362000063,159.1499636999797,159.63314379996154,10.014839800074697,,167.0832262999611,0.017297000042162836,167.0832262999611,0.11452840000856668,5.0,2.9985118999611586,170.1168567999266,0.0037441999884322286,0.09721989999525249,176.13332669995725,176.29981333996403,6.213663800037466,6.313837700057775,177.31662940001115,196.29982643994737,196.29990500002168,26.213742700056173,26.31376510008704,197.31655430002138,199.31657189992256,199.31657189992256,-0.00048679986502975225,0.09698650008067489,229.3331933999434,30.01363540010061,,6.099070400116034,156.9666498999577,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,229.4498574999161,0.03104170016013086,0.13027970015536994,235.44997640000656,6.0302830000873655,235.53319099999499,235.53319099999499,0.013631700072437525,0.11354810011107475,space,3.5684192000189796,239.16650870000012,239.16650870000012,4.1599967516958714e-05,0.09823649993631989,num_9,1.1514787999913096,240.3832102399436,0.002471999963745475,0.09803859994281083,240.68309009994846,241.16638833995677,241.4664904999081,241.9832951399847,,242.38318030000664,250.383210400003,250.38305184001803,0.0006492999382317066,0.09803969995118678,251.38304480002262,252.3831280999584,252.54964510002173,253.06652230001055,10.014533499954268,,260.4792969999835,0.013165900018066168,260.4792969999835,0.09418100002221763,3.0,5.769017799990252,266.30011079995893,0.002335999975912273,0.09779349993914366,272.29976670001633,272.48294704001165,6.214364600018598,6.314297699951567,273.48299589997623,292.4997861399432,292.49985519994516,26.231258300016634,26.33087949990295,293.5163674999494,295.49992709991056,295.49992709991056,-0.0008575000101700425,0.09783169999718666,325.5163301000139,30.014330300036818,,,250.383210400003,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,325.61630150000565,0.015045900014229119,0.1142960999859497,331.61628670000937,6.014353599981405,331.71630899992306,331.71630899992306,0.014315800042822957,0.11436490004416555,space,4.66531179996673,336.4329267999856,336.4329267999856,4.20999713242054e-05,0.09779109992086887,num_9,1.436305099981837,337.9160747400136,0.0010293000377714634,0.09953230002429336,338.2162462999113,338.6828383399523,338.9828119999729,339.4830734399264,339.78284539992455,339.88293319998775,347.8828026999254,347.88295763999923,-0.0007686999160796404,0.08268480002880096,348.8828041999368,349.88293479999993,350.09954640001524,350.5827501999447,9.999107100069523,10.08263399999123,357.99951220001094,0.016102400026284158,357.99951220001094,0.1159719000570476,5.0,5.331007100059651,363.3665041999193,0.002529399935156107,0.09806869993917644,369.3660145999165,369.54944253993455,6.214640100020915,6.314672900014557,370.5661823999835,389.5495037399349,389.54944400000386,26.21462360001169,26.314602099941112,390.5662336999085,392.54941249999683,392.54941249999683,0.014603900024667382,0.11458280007354915,422.54937049990986,30.014532300061546,,,347.8828026999254,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,422.6993314999854,0.032025900087319314,0.13111830002162606,428.7162676999578,6.01447380008176,428.782655899995,428.782655899995,0.014689600095152855,0.11444200004916638,space,2.910459900042042,431.7326551999431,431.7326551999431,4.12999652326107e-05,0.09800729993730783,num_9,1.768369600060396,433.5493792399182,0.002398999989964068,0.0979931999463588,433.8661877999548,434.33265814000043,434.63263229990844,435.132760040008,435.43251780001447,435.53264699992724,443.53259319998324,443.5326167399879,0.014811899978667498,0.1148595999693498,444.5492715999717,445.54930790001526,445.71578560001217,446.21591159992386,10.014855499961413,,453.66604519996326,0.017160700052045286,453.66604519996326,0.11458789999596775,5.0,4.131922300090082,457.83250539994333,0.002038500038906932,0.09830000007059425,463.8327693999745,464.0325902400189,6.231623800005764,6.331618900061585,465.0324553999817,484.0157668399741,483.99896029999945,26.214650599984452,26.298239800031297,485.0323661000002,487.0159416999668,487.0159416999668,0.015111200045794249,0.11483510013204068,517.0157182000112,30.014810800086707,,,443.53259319998324,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.1490404999349,0.014967900118790567,0.11477750015910715,547.1655924000079,30.03133600007277,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,547.2655646000057,0.03319840016774833,0.1314794000936672,553.2655620999867,6.031264900113456,553.3655504999915,553.3655504999915,0.0315955001860857,0.1312810000963509,space,4.200421400018968,557.6155864999164,557.6155864999164,4.3899985030293465e-05,0.09786680003162473,num_9,1.5500473999418318,559.1989952399279,0.0027385998982936144,0.09720309998374432,559.4989908999996,559.9989072400028,560.2989190999651,560.7823085399693,561.0821229999419,561.1822321999352,569.1988076999551,569.1989822399453,0.0007729999488219619,0.09728099999483675,570.2155212999787,571.1988420999842,571.3988050000044,571.8988439999521,10.013780599925667,,579.3321240999503,0.03321419993881136,579.3321240999503,0.1303188999881968,5.0,3.831565300002694,583.198997200001,0.001576900016516447,0.09937710000667721,589.1987526000012,589.3989207400125,6.199081299942918,6.298962399945594,590.4153817999177,609.3987704399158,609.3986853999086,26.232231799978763,26.33225729991682,610.4153619999997,612.3987036999315,612.3987036999315,0.001532500027678907,0.09884660004172474,642.3987832999555,30.032331999973394,,,569.1988076999551,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,642.5318901999854,0.032690700027160347,0.13205210003070533,648.5485181999393,6.015763500006869,648.6152039999142,648.6152039999142,0.015559100080281496,0.11533390008844435,space,2.5183684999356046,651.1985407000175,651.1985407000175,3.750005271285772e-05,0.09791679994668812,num_9,1.4228302999399602,652.6819298400194,0.0024389000609517097,0.09844259999226779,652.9985284999711,653.4652301399153,653.7651508999988,654.2651657399372,654.5651093999622,654.6651758999797,662.6651613999857,662.665180439956,0.014909900026395917,0.11489620001520962,663.6651135999709,664.681824099971,664.8482896999922,665.3651530999923,10.03144550009165,,672.7983039999381,0.016929900040850043,672.7983039999381,0.11476080003194511,2.0,4.498794300016016,677.3318380999845,0.003172899945639074,0.09764059993904084,683.3485576999374,683.5150574399274,6.21429149992764,6.3141929999692366,684.5149801999796,703.5316596399177,703.5316502000205,26.230929099954665,26.331012699985877,704.5484446999617,706.53161429998,706.53161429998,-7.300055585801601e-06,0.09750649996567518,736.5315042999573,30.03087030001916,,,662.6651613999857,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,736.6481715999544,0.014529900043271482,0.11406859999988228,742.6481209999183,6.014047499978915,742.7481508000055,742.7481508000055,0.014181300066411495,0.11407200002577156,space,4.817457800032571,747.6147770999232,747.6147770999232,3.96000687032938e-05,0.09808620007243007,num_9,1.6621769999619573,749.3148333400138,0.0017342999344691634,0.09825049992650747,749.6147706999909,750.0979499400244,750.3981176000088,750.8980540399323,751.1980899999617,751.2982404999202,759.298042899929,759.2985638399957,0.01468549994751811,0.11452389997430146,760.3147348000202,761.3148903999245,761.4981792999897,761.9980777999153,10.031286099925637,,769.4479570999974,0.033521899953484535,769.4479570999974,0.13121349993161857,5.0,6.732124199974351,776.2150528000202,0.0029266999335959554,0.097988500026986,782.2146323999623,782.4146680400124,6.231420099968091,6.331389299943112,783.4145654999884,802.3979918399243,802.3979135999689,26.21470719994977,26.31469459994696,803.3978679999709,805.3978826999664,805.3978826999664,0.014701000065542758,0.1146504000062123,835.3809444999788,30.0144006999908,,,759.298042899929,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,835.5312488999916,0.015229000011458993,0.11448510002810508,841.547716400004,6.031153800082393,841.6477421999443,841.6477421999443,0.031489500077441335,0.13134210009593517,space,2.5578389998991042,844.2644294999773,844.2644294999773,4.20999713242054e-05,0.0977897000266239,num_9,1.3327517999568954,845.6310943400138,0.001644300064072013,0.098565399996005,845.9477502999362,846.4310743400245,846.7476372999372,847.214309040003,847.5144223999232,847.6143704999704,855.631006999989,855.6310347400256,0.0018087000353261828,0.09843030001502484,856.6476927999174,857.6477009999799,857.8143708999269,858.3143526000204,10.0150275999913,,865.7475361999823,0.017621600069105625,865.7475361999823,0.11488940007984638,3.0,3.83152839995455,869.6143188999267,0.001653200015425682,0.09913470002356917,875.6142400000244,875.7809616399579,6.19911420007702,6.29920980008319,876.7975759999827,895.7974982399144,895.7975272999611,26.21573689999059,26.315645900089294,896.7975053999107,898.814108200022,898.814108200022,-0.00011869985610246658,0.09928460011724383,928.8139417999191,30.03208010015078,,,855.631006999989,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
