loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.538335389946587,0.0007960000075399876,0.11666379997041076,14.853974199970253,15.137361430027521,15.453993699979037,15.737406629999168,16.054083699942566,16.354184530023485,16.67061249993276,16.67061249993276,0.03326980001293123,0.13335690007079393,31.67082580004353,14.99998379999306,15.100010700058192,31.770669999998063,0.0007420000620186329,0.09998290007933974,32.237343000015244,space,0.9180481000803411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,33.20403499994427,0.0033412999473512173,0.09835220000240952,39.22083520004526,6.0149755999445915,39.47093870001845,39.47093870001845,0.12147020001430064,0.2651386000216007,6.031749999965541,45.52051930001471,45.52051930001471,45.52051930001471,0.08983760001137853,0.2155870000133291,51.22066879994236,51.387337299995124,6.01501760003157,6.115146600059234,57.38736209995113,12.015069600078277,57.52067190001253,57.52067190001253,0.015231600031256676,0.11494080012198538,up,2.8667222999501973,60.42061170004308,5.539995618164539e-05,0.08856109995394945,66.45386100001633,66.45386100001633,0.018442700034938753,0.1219797000521794,1.0,7.021271999925375,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.50400790001731,73.50400790001731,0.009675799985416234,0.0979881000239402,1.0,3.0556595000671223,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.62071219994687,76.62071219994687,0.011791100027039647,0.11442220001481473,6.0,3.7367405999684706,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.40428709995467,80.40428709995467,0.009209699928760529,0.11479449993930757,2.0,3.4398090000031516,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.87060479994398,83.87060479994398,0.008938799961470068,0.09833419998176396,1.0,2.5570488999364898,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47081650001928,86.47081650001928,0.01019930001348257,0.0993597999913618,2.0,4.489959400030784,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.00420980004128,91.00420980004128,0.011171999969519675,0.09809839993249625,7.0,2.088432600023225,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.13725289993454,93.13725289993454,0.001959799905307591,0.09702959994319826,6.0,8.229804300004616,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101.40431789995637,0.000250800047069788,0.09797860006801784,107.38721640000585,6.014588600024581,107.5872965999879,107.5872965999879,0.07845390005968511,0.18148630007635802,6.014752100105397,113.68731399998069,113.68731399998069,113.68731399998069,0.07448750012554228,0.18154230003710836,119.387434400036,119.58735469996464,6.0147094001295045,6.114399200072512,125.58732980000786,12.014684300054796,125.72064590000082,125.72064590000082,0.014823900070041418,0.11466900014784187,up,3.707227599923499,129.48740899993572,6.65000407025218e-05,0.0979334000730887,135.52087490004487,135.52087490004487,0.026009900029748678,0.13097410008776933,5.0,3.9060767999617383,,,,,,,6.098085600067861,113.58733989996836,113.58733989996836,125.6873131999746,125.6873131999746,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4708978999406,139.4708978999406,0.009117999929003417,0.11433100001886487,6.0,4.972768799983896,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.47069859993644,144.47069859993644,0.0082601000322029,0.09762060001958162,6.0,3.0237070999573916,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.53747939993627,147.53747939993627,0.0068376000272110105,0.09822689997963607,7.0,6.159174700034782,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.73729720001575,153.73729720001575,0.007218200014904141,0.09883550007361919,5.0,3.7591691000852734,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.5374518999597,157.5374518999597,0.008610399905592203,0.09781869989819825,3.0,2.4900307999923825,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.07061549997889,160.07061549997889,0.0071801000740379095,0.09813990001566708,4.0,5.158513799891807,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.27053959993646,165.27053959993646,0.0019419000018388033,0.09762439993210137,2.0,46.529956899932586,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,211.83761539997067,0.0003483999753370881,0.09760039998218417,217.8373120999895,6.030855699907988,218.10362650000025,218.10362650000025,0.15575319994241,0.2640408999286592,6.0307711999630556,224.13738670002203,224.13738670002203,224.13738670002203,0.08758169994689524,0.19740820000879467,229.85368910001125,230.0203435999574,6.013781600049697,6.128488600021228,236.03729400003795,12.030824800021946,236.1706188999815,236.1706188999815,0.030953200068324804,0.1308077999856323,up,0.6013369999127463,236.8373478000285,5.2200048230588436e-05,0.09800700005143881,242.85407969995867,242.85407969995867,0.00957420002669096,0.11439630005043,2.0,4.072479999973439,,,,,,,,,,236.13725969998632,236.13725969998632,242.85407969995867,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.95396810001694,246.95396810001694,0.006548500037752092,0.09927470004186034,7.0,2.3935247999615967,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.40429830003995,249.40429830003995,0.008061300031840801,0.11431840003933758,1.0,1.9404897999484092,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.3706261999905,251.3706261999905,0.007118499954231083,0.09805629996117204,6.0,2.1253724000416696,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.537356399931,253.537356399931,0.006654500029981136,0.09922009997535497,3.0,1.8602181000169367,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.43712749995757,255.43712749995757,0.007494700024835765,0.09808419994078577,2.0,1.7913444999139756,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.27056289999746,257.27056289999746,0.006787699996493757,0.09914039995055646,3.0,3.9931633999804035,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.3039140999317,261.3039140999317,0.0006934000412002206,0.09939119999762625,6.0,3.2334487999323756,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,264.57070099993143,0.0001601999392732978,0.09921679995022714,270.55374769994523,6.015610500006005,270.73729249997996,270.73729249997996,0.058519699960015714,0.16587199992500246,5.9991193999303505,276.8206004999811,276.8206004999811,276.8206004999811,0.049847900052554905,0.14929620001930743,282.52061110001523,282.7539582999889,6.015849799965508,6.115872800000943,288.75392369995825,12.015884399996139,288.88727099995594,288.88727099995594,0.015851299976930022,0.11579120007809252,up,1.1799283999716863,290.1205747999484,2.8099981136620045e-05,0.09857309993822128,296.1538687000284,296.1538687000284,0.025834099971689284,0.1319569000042975,1.0,2.4405365000711754,,,,,,,6.099042199901305,276.72050249995664,276.72050249995664,288.82048080000095,288.82048080000095,,6.099228600040078,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.62048789998516,298.62048789998516,0.00718000007327646,0.09808130003511906,2.0,2.3250075000105426,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.98729049996473,300.98729049996473,0.006796399946324527,0.09914449998177588,2.0,3.293400499969721,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.3205611000303,304.3205611000303,0.006819999893195927,0.09922129998449236,6.0,1.726981999934651,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.10405550000723,306.10405550000723,0.008399499929510057,0.11461859999690205,7.0,5.173832400003448,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.30405369994696,311.30405369994696,0.006780899944715202,0.09906329994555563,2.0,3.260231100022793,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.6038319999352,314.6038319999352,0.0068518000189214945,0.09941339993383735,1.0,2.2602737999986857,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.90405689994805,316.90405689994805,0.0008104000007733703,0.09856239997316152,6.0,9.898808900034055,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,326.8371591999894,0.00033300009090453386,0.09750940010417253,332.85389709996525,6.014086700044572,333.0204043999547,333.0204043999547,0.07092870003543794,0.18080420012120157,6.014081500121392,339.12054979999084,339.12054979999084,339.12054979999084,0.07137160014826804,0.1807059000711888,344.8206054000184,345.02066899999045,6.014266100130044,6.113853000104427,351.0205391999334,12.01411520014517,351.15364369994495,351.15364369994495,0.014307800098322332,0.13072670018300414,up,1.02546480007004,352.23741049994715,5.009991582483053e-05,0.09810039994772524,358.25399570004083,358.25399570004083,0.02331610000692308,0.11453469994012266,2.0,6.459051799960434,,,,,,,,339.0205629999982,339.0205629999982,351.1205396000296,351.1205396000296,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.75371850002557,364.75371850002557,0.0071826999774202704,0.09924879996106029,2.0,4.492916399962269,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.28733490000013,369.28733490000013,0.007575000054202974,0.09755339997354895,1.0,1.1246862999396399,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.453833400039,370.453833400039,0.008752299938350916,0.09877079993020743,2.0,3.3245482000056654,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.8374028999824,373.8374028999824,0.008036800078116357,0.1143103000940755,6.0,1.2740748999640346,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.1370359000284,375.1370359000284,0.0077241999097168446,0.09779989998787642,2.0,1.6909918000455946,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.87057929998264,376.87057929998264,0.007106099976226687,0.09927759994752705,7.0,1.2931695999577641,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.2037748999428,378.2037748999428,0.0010717998957261443,0.09813299996312708,6.0,6.498291600029916,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,384.73747860000003,0.00025049992837011814,0.09805129992309958,390.7371058999561,6.0313500999473035,390.9371853999328,390.9371853999328,0.08584780001547188,0.19829819991718978,6.031330299912952,397.0372044999385,397.0372044999385,397.0372044999385,0.08501819998491555,0.19809890002943575,402.73715229996014,402.9371754999738,6.031498000025749,6.1313719999743626,408.9371489000041,12.031398499966599,409.0704630999826,409.0704630999826,0.03166139998938888,0.1314647999824956,down,28.117412699968554,437.2370867000427,5.070003680884838e-05,0.09813550009857863,443.25411620002706,443.25411620002706,0.010493500041775405,0.11474430002272129,6.0,4.805208400008269,,,,,,,,396.93715080001857,396.93715080001857,409.0371331999777,409.0371331999777,443.25411620002706,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0872374000028,448.0872374000028,0.006546400021761656,0.09886649996042252,7.0,1.5601279999827966,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.6871178000001,449.6871178000001,0.007325700018554926,0.09792900003958493,2.0,2.4915481000207365,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.22042929998133,452.22042929998133,0.005752000026404858,0.09906070004217327,1.0,1.0277997000375763,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.3038624000037,453.3038624000037,0.008294199942611158,0.11451800004579127,5.0,2.1739471000619233,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.52052429993637,455.52052429993637,0.00973719998728484,0.11628079996444285,5.0,2.674242400098592,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.2204296999844,458.2204296999844,0.006696099997498095,0.0991908999858424,3.0,3.3936022999696434,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.6539147000294,461.6539147000294,0.0009376000380143523,0.099281300092116,2.0,5.399361899937503,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,467.08739729993977,0.00030429998878389597,0.09773289994336665,473.1036684999708,6.014353699982166,473.27063929999713,473.27063929999713,0.07045190001372248,0.18126600002869964,6.014371800003573,479.37044760002755,479.37044760002755,479.37044760002755,0.07121369999367744,0.18103269999846816,485.07033769995905,485.27031139994506,6.014455700060353,6.114336500060745,491.27030470001046,12.014394600060768,491.4035910000093,491.4035910000093,0.014511000015772879,0.11432030005380511,down,15.304067900055088,506.75361789995804,4.6600005589425564e-05,0.09799449995625764,512.7705033000093,512.7705033000093,0.00939490005839616,0.11472720000892878,6.0,2.3729213000042364,,,,,,,,479.27035150001757,479.27035150001757,491.37028539995663,491.37028539995663,512.7705033000093,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.1702606999315,515.1702606999315,0.006435499992221594,0.09889000002294779,2.0,1.6601732999552041,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
6,0,6,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.8703774999594,516.8703774999594,0.00767169997561723,0.09811040002387017,5.0,1.5247695000143722,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
6,0,6,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.4375073999399,518.4375073999399,0.007407600060105324,0.09842569997999817,3.0,2.425398899940774,,,,,,,,,,,,,,,5657,Moral,2025-03-04_13h34.50.435,MoralCondition_v2,2022.2.5,29.99922902791284,
