Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.364627679903062,0.0005060001276433468,0.08355920016765594,17.63092349981889,17.864111559651793,18.13098039990291,18.364170059747995,18.647531599737704,18.647531599737704,0.03359680017456412,0.13366799987852573,33.647677099797875,15.00046470016241,33.74760319991037,0.004865599796175957,0.10038219997659326,39.730920099653304,6.000223999843001,6.0835218001157045,39.830951699987054,39.830951699987054,0.017628499772399664,0.11695669963955879,space,7.3371989000588655,47.21427439991385,47.21427439991385,4.0700193494558334e-05,0.09792840015143156,num_9,9.74569769995287,56.997633759584275,0.002041400410234928,0.09779180027544498,57.297510699834675,57.780842259712514,58.080908899661154,58.580894259922204,58.89756689965725,58.98096409998834,66.99764559976757,66.99764559976757,66.99762325985357,0.0017786002717912197,0.09785740030929446,67.99752789968625,68.99762409972027,69.19761059992015,69.69767519971356,10.014475600328296,77.11418239958584,0.017315200064331293,77.11418239958584,0.11441190028563142,3.0,5.38156529981643,82.53093219967559,0.002394299954175949,0.09769130032509565,88.5476513998583,88.71425715992227,6.2143021998927,6.314203300047666,89.7476379997097,108.71424705972895,108.71428939979523,26.214373799972236,26.31433720001951,109.73098019976169,111.73101809993386,111.73101809993386,0.00019409973174333572,0.09744030004367232,141.74763089977205,30.014394499827176,,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,141.84780670003965,0.015005199704319239,0.1143593997694552,147.8478028997779,6.014371799770743,,147.9476941996254,147.9476941996254,0.014343899674713612,0.1143273995257914,space,1.9242132999934256,149.91462069982663,149.91462069982663,4.810001701116562e-05,0.09827380022034049,num_9,3.5566182998009026,153.51426065964625,0.0008212998509407043,0.09948659967631102,153.83098149998114,154.28099575983362,154.58093019993976,155.08097485983745,155.38094559963793,155.49754389980808,163.51434159977362,163.51434159977362,163.51432205988095,0.0027322997339069843,0.09949749987572432,164.53098139958456,165.5145656997338,165.68112509977072,166.181003799662,9.999456800054759,173.61422119988129,0.0025830999948084354,173.61422119988129,0.1122382995672524,4.0,3.18158459989354,176.83114669984207,0.0039830999448895454,0.09757869970053434,182.84771969961002,183.01416465984659,6.214328499976546,6.3143917000852525,184.03091399976984,203.03099385993556,203.03105419967324,26.23114769998938,26.33105790009722,204.047622599639,206.0310015999712,206.0310015999712,0.00011839950457215309,0.09775399975478649,236.04769039992243,30.014438099693507,10.099404399748892,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,236.14772269967943,0.0150068998336792,0.11441989941522479,242.16424890002236,6.031072199810296,,242.2476874999702,242.2476874999702,0.014421799685806036,0.11441699974238873,space,2.839969000313431,245.14769109990448,245.14769109990448,4.3800100684165955e-05,0.0981092001311481,num_9,1.715823800303042,246.9146447598003,0.002379399724304676,0.09768949961289763,247.2310319999233,247.71444055968897,248.0310638998635,248.51446195989848,248.83124719979241,248.89793659979478,256.9143864000216,256.9143864000216,256.9143607599661,0.0011219000443816185,0.09763429965823889,257.9310379996896,258.9310267996043,259.09770899964496,259.5976817999035,10.014234199654311,267.0142830996774,0.0001317998394370079,267.0142830996774,0.0976751996204257,3.0,4.998706900049001,272.04808999970555,0.0019311001524329185,0.09918639995157719,278.0476498999633,278.23090865993873,6.215899799950421,6.3159113000147045,279.2475672997534,298.2142606598325,298.21434549987316,26.199290399905294,26.299310099799186,299.23105039959773,301.2143145999871,301.2143145999871,-0.0007109004072844982,0.09927829960361123,331.214335499797,29.999281999655068,10.097486199811101,30.0992464995943,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,331.34761779988185,0.0006784996949136257,0.09941849950700998,337.3478174000047,5.999293599743396,6.09907259978354,337.4476797999814,337.4476797999814,-0.00019780034199357033,0.09922009985893965,space,2.839620599988848,340.3476952998899,340.3476952998899,5.409959703683853e-05,0.09818429965525866,num_9,1.315464399755001,341.7143209597096,0.002082100138068199,0.09822450019419193,342.0310444999486,342.4975680598989,342.79776899982244,343.29756345991046,,343.6976532996632,351.7142999996431,351.7142999996431,351.7143068599515,0.0017673000693321228,0.09819950023666024,352.7313521998003,353.7141925999895,353.8976347995922,354.3975346996449,10.01480370014906,361.8107568998821,0.0014220001175999641,361.8107568998821,0.09438209980726242,3.0,4.397867099847645,366.24787409976125,0.002220700029283762,0.09960560034960508,372.2642971999012,372.4307903598063,6.199126000050455,6.299302600324154,373.43080159975216,392.4307975598611,392.43094319989905,26.215996300335974,26.315922500099987,393.4308723998256,395.44764090003446,395.44764090003446,0.0020153000950813293,0.09931279998272657,425.4474967997521,29.99921720009297,10.098184700123966,30.09908529976383,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,425.54760259995237,0.00042509986087679863,0.09939129976555705,431.5642527998425,6.015836299862713,,431.6641865000129,431.6641865000129,0.015941899735480547,0.1158369998447597,space,3.2955449000000954,434.9975895998068,434.9975895998068,4.020007327198982e-05,0.09807850001379848,num_9,1.4342431998811662,436.48091315962375,0.001973399892449379,0.09801630023866892,436.78075819974765,437.264110259898,437.58084589987993,438.06405335962774,438.3808434996754,438.4473961996846,446.44750539958477,446.48085609963164,446.4808320595883,0.031369300093501806,0.1313255000859499,447.4807607997209,448.48085149982944,448.6473623998463,449.14757059980184,10.014558699913323,456.5807349998504,0.0003435998223721981,456.5807349998504,0.09810619987547398,2.0,5.7988243997097015,462.4144147997722,0.0015761000104248524,0.09914589999243617,468.41400589980185,468.5974245599471,6.215800900012255,6.31576820043847,469.59739779960364,488.59744875989855,488.59743329975754,26.215791400056332,26.315788600128144,489.5974408998154,491.5974098998122,491.5974098998122,0.01579870004206896,0.11573670012876391,521.5973359998316,30.01568920025602,10.0978160998784,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.7306935000233,0.016069400124251842,0.11580279981717467,551.7306827995926,30.0158140999265,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,551.8473240998574,0.03420870006084442,0.1322629996575415,557.8473535999656,6.032263400033116,,557.9472757996991,557.9472757996991,0.032539499923586845,0.13224959978833795,space,2.468172499909997,560.480490299873,560.480490299873,2.6300083845853806e-05,0.0987148997373879,num_9,1.6633009002543986,562.1806785596534,0.0022412999533116817,0.09782620007172227,562.4804905997589,562.9805810597725,563.2806203998625,563.7639823599718,564.0806060000323,564.1639755996875,572.1806194996461,572.1806194996461,572.1806101595982,0.0010436000302433968,0.09776010038331151,573.1805268996395,574.1806188998744,574.3636822998524,574.8805761998519,10.014268500264734,582.2804307998158,0.000730500090867281,582.2804307998158,0.09766789991408587,2.0,2.981480299960822,585.2974356999621,0.0018867002800107002,0.09911070019006729,591.3139240997843,591.4805520597845,6.215738600119948,6.3324000001885,592.4972157999873,611.4805578595958,611.4805244999006,26.21575910039246,26.315773600246757,612.4805002999492,614.4971696999855,614.4971696999855,0.0018086000345647335,0.09910460002720356,644.4971383996308,30.03238689992577,10.097603200003505,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,644.6137631996535,0.016297999769449234,0.11566670006141067,650.596984599717,6.015406399965286,6.098917399998754,650.6971278996207,650.6971278996207,-0.0003065001219511032,0.09897039970383048,space,3.638732900377363,654.3971090996638,654.3971090996638,4.519987851381302e-05,0.09810069995000958,num_9,1.2987584001384676,655.7304315596818,0.0024943999014794827,0.09812439978122711,656.0304156998172,656.5304132599383,656.8304702998139,657.3137171596288,657.6304132998921,657.7304157000035,665.7303842999972,665.7303842999972,665.7303946597501,0.0017360998317599297,0.0978923998773098,666.7637465996668,667.7471199999563,667.9137391997501,668.4137116000056,10.014711999800056,675.846937999595,0.01768149947747588,675.846937999595,0.11452489951625466,4.0,2.731732999905944,678.6139288996346,0.0022432003170251846,0.09884300036355853,684.5969282998703,684.7971569599583,6.215498300269246,6.315456400159746,,704.7968362599611,704.7970876996405,26.215644500218332,26.31550130015239,705.8136370996945,707.8136211996898,707.8136211996898,0.0015557999722659588,0.09892769996076822,737.8135326998308,30.03201500000432,,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,737.9302070997655,0.01595349982380867,0.11546749994158745,743.9302334999666,6.015349599998444,,744.0301943998784,744.0301943998784,0.01547400001436472,0.1153350998647511,space,2.8969636997208,746.9802155997604,746.9802155997604,4.4899992644786835e-05,0.09806029964238405,num_9,1.034999099560082,748.0636851598508,0.002289900090545416,0.09778909990563989,748.3802133998834,748.8634866598993,749.1802059998736,749.6467518598772,749.9466835996136,750.0469334996305,758.0634923996404,758.0634923996404,758.0635184596292,0.0013067000545561314,0.09782369993627071,759.0801635999233,760.0635293996893,760.2467126999982,760.7634675996378,10.014342499896884,768.1633239998482,0.00025829998776316643,768.1633239998482,0.09781569987535477,5.0,2.498546900227666,770.6971107996069,0.0015823999419808388,0.0992779997177422,776.6800462999381,776.8800756597891,6.215524700004607,6.315668599680066,,796.896705159638,796.8967443997972,26.23234609980136,26.332301899790764,797.9133763997816,799.8967559998855,799.8967559998855,0.0015728995203971863,0.09892679983749986,829.8965951995924,30.03229509945959,10.097655999939889,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,830.0299739995971,0.03293029963970184,0.1319907996803522,836.046585700009,6.0155785996466875,,836.1135929999873,836.1135929999873,0.015594199299812317,0.1157820993103087,space,2.4623916000127792,838.6132819997147,838.6132819997147,5.300017073750496e-05,0.09806830016896129,num_9,1.898538799956441,840.5633863599039,0.0025798999704420567,0.09797720005735755,840.8799371998757,841.3633016596548,841.679787799716,842.1632183596491,842.4799201996066,842.5466574998572,850.5465642996132,850.5465642996132,850.5465380597859,0.01455470034852624,0.09786160010844469,851.5631834999658,852.5631893998943,852.7468016999774,853.2465099999681,10.014357300009578,860.66306169983,4.060007631778717e-05,860.66306169983,0.09798360010609031,5.0,2.598733300343156,863.2967260996811,0.002337200101464987,0.09804859990254045,869.2964864997193,869.4964648598805,6.231354100164026,6.331213400233537,870.4963806997985,889.4796113597229,889.479802899994,26.214698900002986,26.31460400018841,890.4797705998644,892.4964224998839,892.4964224998839,0.00027669966220855713,0.0979547998867929,922.4962639999576,30.031151100061834,10.097662300337106,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
