loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.9148133485578,0.0008783997036516666,0.1095473999157548,20.243406200315803,20.510087930131704,20.82669540029019,21.109965430106968,21.709999930113554,22.043355900328606,0.01108929980546236,0.10963139962404966,37.05993050010875,15.026467199902982,37.14334170008078,0.009704499505460262,0.10972439963370562,37.61001820024103,space,1.5844805999659002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,39.243453700095415,0.0013390998356044292,0.09817439969629049,45.25995169999078,6.014784999657422,45.52662350004539,45.52662350004539,0.13308499986305833,0.2815014999359846,6.014908599667251,51.56012410018593,51.56012410018593,51.56012410018593,0.0877021998167038,0.21480919979512691,57.26011459995061,57.426664900034666,6.0148350996896625,6.114730299450457,63.426645800005645,12.014808099716902,63.55998060014099,63.55998060014099,0.014887599740177393,0.11474569933488965,up,1.1218047998845577,64.7266544001177,5.010003224015236e-05,0.09775339998304844,70.74317770032212,70.74317770032212,70.74317770032212,0.013650999870151281,0.11445829970762134,3.0,5.818704900331795,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.61005360027775,76.61005360027775,0.017601000145077705,0.11618260014802217,6.0,4.332487099803984,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.99333530012518,80.99333530012518,0.017944099847227335,0.11581029975786805,5.0,4.265606999862939,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.29333009989932,85.29333009989932,0.009150500409305096,0.09923200029879808,3.0,4.8244733000174165,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.17668170016259,90.17668170016259,0.01915870001539588,0.11494079977273941,5.0,5.496777300257236,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7099446002394,95.7099446002394,0.009265299886465073,0.09826589981094003,5.0,3.3895549001172185,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.14323720009997,99.14323720009997,0.008916100021451712,0.09950280003249645,5.0,8.558002799749374,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.74349529994652,107.74349529994652,0.0016681002452969551,0.09779709996655583,7.0,5.363974200095981,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,113.14325609989464,0.0004724999889731407,0.09717450011521578,119.14315190026537,6.0303944000042975,119.34357600007206,119.34357600007206,0.0780746997334063,0.1973965996876359,6.03048129985109,125.44330660020933,125.44330660020933,125.44330660020933,0.09394339984282851,0.19740809965878725,131.143219999969,131.34319790033624,6.030521999578923,6.130755299702287,137.34319479996338,12.030577299650759,137.47657100018114,137.47657100018114,0.030676699709147215,0.13061209954321384,down,0.820603400003165,138.35989060020074,4.990026354789734e-05,0.09798680013045669,144.37630200013518,144.37630200013518,144.37630200013518,0.012857399880886078,0.11469960026443005,6.0,3.2365862000733614,,,,,,,125.34320229990408,125.34320229990408,137.4431978999637,137.4431978999637,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.64305229997262,147.64305229997262,0.007935600355267525,0.09825440030544996,1.0,3.7245204001665115,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.40983769996092,151.40983769996092,0.0070696002803742886,0.09941399982199073,6.0,2.693267600145191,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.1429938999936,154.1429938999936,0.0092098000459373,0.09729540022090077,6.0,2.889182699844241,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0934215001762,157.0934215001762,0.007799900136888027,0.11406379984691739,7.0,3.6074286000803113,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.72649950021878,160.72649950021878,0.007266100030392408,0.09778619976714253,6.0,2.0583473998121917,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.8263528002426,162.8263528002426,0.007287699729204178,0.09742889972403646,2.0,3.4576493999920785,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.32665440021083,166.32665440021083,0.0007350998930633068,0.09947319980710745,2.0,7.133151799906045,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,173.49335350003093,0.00015190010890364647,0.09908219985663891,179.47624990018085,6.01542490022257,179.75982670020312,179.75982670020312,0.1543601001612842,0.2658742000348866,5.9990400997921824,185.80995880020782,185.80995880020782,185.80995880020782,0.10717759979888797,0.21587649965658784,191.50996370008215,191.67646640026942,6.015753499697894,6.115632199682295,197.6761715002358,12.015340399928391,197.8097529001534,197.8097529001534,0.015845099929720163,0.13240759959444404,down,2.3281834996305406,200.17669690027833,1.9600149244070053e-05,0.09937340021133423,206.17629200033844,206.17629200033844,206.17629200033844,0.008801300078630447,0.09928660001605749,6.0,2.891388999763876,,,,,,,,,,,6.098844900261611,6.098695700056851,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.12650540005416,209.12650540005416,0.008060500025749207,0.1147193000651896,5.0,7.807749200146645,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.97651530010626,216.97651530010626,0.008180900011211634,0.11473109992220998,6.0,3.5406896001659334,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.54280399996787,220.54280399996787,0.007877199910581112,0.09765810007229447,7.0,3.5576688000001013,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
