Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_2.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.378442599950358,0.0004799002781510353,0.09205490024760365,14.643916999921203,14.877447999594732,15.143944299779832,15.394000999676063,15.677085199858993,0.027370000258088112,0.12551890034228563,30.67723139980808,15.025542099960148,30.777367499656975,0.030209599994122982,0.1254894002340734,36.77720729960129,6.025489900261164,36.860557300038636,36.860557300038636,0.008940699975937605,0.10882790014147758,space,6.212131600361317,43.11061119986698,43.11061119986698,3.7800054997205734e-05,0.09781849989667535,num_9,3.8262587003409863,46.97736439998262,0.001947999931871891,0.09740580013021827,47.29388809995726,47.76052189995535,48.560452399821955,48.877265699673444,48.9605883997865,56.96061319997534,56.96061319997534,56.96056649978273,0.014223100151866674,0.11408279975876212,57.99392589973286,58.96059599984437,59.16068839980289,59.66056529991329,10.014093900099397,67.09384929994121,0.017076899763196707,67.09384929994121,0.11420419998466969,3.0,5.281455199699849,72.41077119996771,0.002313000150024891,0.09791060024872422,78.41059529967606,78.6106256000232,6.231259299907833,6.331241600215435,79.64396059978753,98.59387269993313,98.59395190002397,26.214645099826157,26.314377500209957,99.59380589984357,101.61064209975302,101.61064209975302,0.0007333997637033463,0.09806079976260662,131.62728959973902,30.01464829966426,,,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,131.72728519979864,0.01541519956663251,0.11467699985951185,137.7439573998563,6.0312985996715724,137.844014799688,137.844014799688,0.031485399696975946,0.13126809988170862,space,5.029324900358915,142.92731289984658,142.92731289984658,4.62997704744339e-05,0.0980242001824081,num_9,3.177728300448507,146.14403270003385,0.002078699879348278,0.0979797001928091,146.4438906996511,146.943951899698,147.7272540997248,148.02720699971542,148.12742379959673,156.127318599727,156.127318599727,156.1273554997053,0.014685000292956829,0.11457920027896762,157.14396559959278,158.14399519981816,158.32723799999803,158.8442455995828,10.031262500211596,166.27725339960307,0.034074800089001656,166.27725339960307,0.1312249000184238,5.0,4.531782699748874,170.84407769981772,0.003078400157392025,0.09801860013976693,176.8271641000174,177.02732479996047,6.214647200424224,6.314691100269556,178.04389739967883,197.0273668999318,197.02747609978542,26.21487330039963,26.314703800249845,198.04397779982537,200.02735550003126,200.02735550003126,0.014764899853616953,0.11467880010604858,230.02736769989133,30.014750100206584,147.2440093997866,,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,230.17737839976326,0.032197399996221066,0.13137990003451705,236.17740199994296,6.031338499858975,236.27735519967973,236.27735519967973,0.03163499990478158,0.1313024996779859,space,4.051144000608474,240.39402329968289,240.39402329968289,3.6500394344329834e-05,0.09802150027826428,num_9,1.9509445005096495,242.41075749979353,0.0024613002315163612,0.09832260012626648,242.72736219968647,243.19389439984224,243.99394029988906,,244.3940698998049,252.39402849972248,252.39402849972248,252.3940168000292,0.014822500292211771,0.11477610003203154,253.3939674999565,254.37727659987286,254.6107512000017,255.11080969963223,10.010954200290143,262.51066169980913,0.002900300081819296,262.51066169980913,0.09784900024533272,4.0,4.9795623999089,267.52763699973,0.0027164998464286327,0.0976868998259306,273.5440332000144,273.71066859974525,6.214385999832302,6.314430799800903,274.7274001999758,293.7273852997925,293.7274130997248,26.23110259976238,26.3310899999924,294.7440368998796,,296.7440108996816,0.01609409973025322,0.1144482996314764,326.7440531998873,30.014373899437487,243.49399579968303,10.097950899973512,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,326.84415319981053,0.015163599513471127,0.1143597993068397,332.844165999908,6.014383999630809,332.94401329988614,332.94401329988614,0.014376799575984478,0.11437199963256717,space,2.3450082005001605,335.3440657998435,335.3440657998435,3.860006108880043e-05,0.0980320000089705,num_9,2.328721900470555,337.72739599975756,0.002294799778610468,0.0979508999735117,338.0441411999054,338.51061749975196,339.31070149973965,339.61063759960234,339.7106908997521,347.72734469966963,347.72734469966963,347.7275912999641,0.0016529997810721397,0.0979844001121819,348.74407209968194,349.72733199968934,349.92738959984854,350.42735000001267,10.014501600060612,357.8272436000407,0.000475399661809206,357.8272436000407,0.09787070006132126,2.0,3.8651946000754833,361.7274352000095,0.002681800164282322,0.09716280037537217,367.72738599963486,367.91062919986433,6.213829600252211,6.313856299966574,368.92734449962154,387.9105547997635,387.9106629998423,26.213862400036305,26.31403430039063,388.9273800998926,390.91078649973497,390.91078649973497,0.014027200173586607,0.11399139976128936,420.91062929993495,30.013824900146574,338.81089819967747,10.097832799889147,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,421.04412849992514,0.014615300111472607,0.11421340005472302,427.04408479994163,6.013885899912566,427.14399599982426,427.14399599982426,0.013849299866706133,0.1138792997226119,space,2.7051407005637884,429.91066649975255,429.91066649975255,4.639988765120506e-05,0.0980436997488141,num_9,2.0662087006494403,432.0273660999257,0.001841799821704626,0.09783140011131763,432.3439496997744,432.82729549990034,433.62728989967144,433.94389609992504,434.0107098999433,442.0107595999725,442.0107595999725,442.01059899996034,0.014851799700409174,0.11463940003886819,443.04403219977394,444.0106254997663,444.1938224998303,444.6938222995959,10.014769400004297,452.1440089000389,0.01729429978877306,452.1440089000389,0.11469929991289973,5.0,4.665114700328559,456.844149899669,0.0020465999841690063,0.09862930001690984,462.82710450002924,463.0439425996039,6.231506200041622,6.331414199899882,464.04392169974744,483.0439549000468,483.04413719987497,26.231680899858475,26.331411099992692,484.0439027999528,,486.06054459977895,0.016466299537569284,0.11476369993761182,516.0604999996722,30.014714899938554,433.1439556996338,,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.1606221999973,0.015115399844944477,0.1313207997009158,546.1771183996461,30.03125639958307,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,546.2604290000163,0.016277399379760027,0.11472069937735796,552.2771235997789,6.031466699671,552.37712549977,552.37712549977,0.03140439931303263,0.13143369928002357,space,3.03980870032683,555.4770285999402,555.4770285999402,3.9999838918447495e-05,0.09741949988529086,num_9,2.707401300314814,558.2437777999323,0.0024753999896347523,0.09766079997643828,558.5437354999594,559.0437375000213,559.8270832999144,560.1437705997378,560.2437183000147,,568.2603690000251,568.2604144998361,0.016912299674004316,0.1143051995895803,,570.2603617999703,570.4270585998893,570.9103174996562,10.03116159979254,578.3603280000389,0.017204999923706055,578.3603280000389,0.11425379989668727,2.0,5.664891200140119,584.0605042995885,0.001557299867272377,0.09916500002145767,590.0436092000455,590.2434860999231,6.215486600063741,6.298825900070369,591.2435017996468,610.2435206999537,610.2436587000266,26.21588859986514,26.31569720013067,,613.2436409997754,613.2436409997754,0.015970000065863132,0.11570210009813309,643.2602339000441,30.03234069980681,559.3604520997033,,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,643.377011299599,0.01637329999357462,0.11556579964235425,649.3935334999114,6.032425299752504,649.4768368997611,649.4768368997611,0.01565149985253811,0.11558329965919256,space,3.4756813002750278,652.9935398995876,652.9935398995876,4.059961065649986e-05,0.09785179980099201,num_9,4.19912870042026,657.2268943996635,0.0021154996939003468,0.09791749995201826,657.5268065999262,658.0102355997544,658.8101786999498,659.1268496997654,659.2101852996275,667.2101774998009,667.2101774998009,667.2101828000043,0.014626400079578161,0.1147618000395596,668.2268759999424,669.2268717000261,669.4101741998456,669.910206399858,10.014504599850625,677.3268041997217,0.001195799559354782,677.3268041997217,0.11081629991531372,6.0,4.047704299911857,681.4104514997452,0.0026989998295903206,0.09772520000115037,687.3933218996972,687.5933837998193,6.231000399682671,6.3309520999901,688.5933490996249,707.5932732997928,707.576562399976,26.214101099874824,26.297612499911338,,710.5769319999963,710.6100737997331,0.03095729975029826,0.1309994994662702,740.5932896998711,30.014191299676895,658.3100068997592,10.09789209999144,,,,,,30.097489399835467,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,740.7100813998841,0.03108259942382574,0.1308579994365573,746.7100269999355,6.030890299472958,746.8433452998288,746.8433452998288,0.0310370996594429,0.13060159934684634,space,3.213656600099057,750.1100165997632,750.1100165997632,3.42000275850296e-05,0.09781789965927601,num_9,1.1303684003651142,751.2768106000033,0.002045099623501301,0.09775399975478649,751.5766947995871,752.0766900997144,752.8599593998399,753.1766134998761,753.2766568996012,761.2766392999329,761.2766392999329,761.2766686999705,0.0007969997823238373,0.09778499975800514,762.2766089998186,763.2766726999544,763.4766461998224,763.9766167998314,10.031066099647433,771.4099781997502,0.03406989946961403,771.4099781997502,0.13080679951235652,4.0,5.698328500147909,777.143326499965,0.0016939002089202404,0.09905049996450543,783.143289799802,783.3264688998927,6.232414499856532,6.332372900098562,784.3264806997031,803.3264416000341,803.326555099804,26.215717900078744,26.315578300040215,804.3265223000199,806.3432213999331,806.3432213999331,0.0013089999556541443,0.09906919999048114,836.3599995998666,30.015654599759728,752.3933384995908,,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,836.4597559999675,0.01620600000023842,0.11552219977602363,842.4764437996782,6.032180599868298,842.5764625999145,842.5764625999145,0.03236489975824952,0.13208899972960353,space,3.2881804006174207,845.926403499674,845.926403499674,4.4899992644786835e-05,0.0979980998672545,num_9,1.1860913001000881,847.1598763997201,0.0019924999214708805,0.09794369991868734,847.4766751998104,847.9597925995943,848.7430285998155,849.0430091996677,849.1431815996766,857.1597076999024,857.1597076999024,857.1598284999375,0.001322699710726738,0.09797059977427125,858.176440499723,859.1764844995923,859.3430375996977,859.8596782996319,10.014490899629891,867.2595428996719,0.0012968997471034527,867.2595428996719,0.09778389986604452,4.0,4.197827300056815,871.4931660997681,0.003144100308418274,0.09786370024085045,877.5098044998012,877.6762820999604,6.214426199905574,6.314479500055313,878.676294399891,897.6928160000127,897.6929449997842,26.231117099989206,26.331001200247556,898.6928212996572,900.6929874997586,900.6929874997586,-0.0009198002517223358,0.09767120005562901,930.676108899992,30.01430119993165,848.2763969996013,10.097924799658358,,,,,,30.097504199948162,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
