loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.50981165813282,0.0008323001675307751,0.11025239992886782,15.108413640223443,15.425084300339222,15.725328340008854,16.025111200287938,16.308404640108346,16.62502280017361,16.62502280017361,0.02698149997740984,0.12696370016783476,31.62504980014637,15.027027899865061,31.758376500103623,0.02716560009866953,0.1269791000522673,32.225121000315994,space,2.1930048996582627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,34.458361600060016,0.0016572000458836555,0.09826930006965995,40.45838720025495,6.031586099881679,40.725153600331396,40.725153600331396,0.12809199979528785,0.26487099984660745,6.031521299853921,46.77497920021415,46.77497920021415,46.77497920021415,0.0892511997371912,0.21511719981208444,52.475273500196636,52.64169710036367,6.01489819958806,6.114891099743545,58.641702100168914,12.014898999594152,58.77506020013243,58.77506020013243,0.015043499879539013,0.11497969971969724,up,0.7468416998162866,59.57506240019575,5.390029400587082e-05,0.09769110009074211,65.60826190002263,65.60826190002263,0.02764310035854578,0.13087750039994717,1.0,5.354052999988198,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.00842369999737,71.00842369999737,0.02005749987438321,0.1141694001853466,1.0,2.528403699863702,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.59185680001974,73.59185680001974,0.010072000324726105,0.11436530016362667,5.0,3.6719867000356317,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.308473800309,77.308473800309,0.017950600013136864,0.11387819983065128,1.0,3.7303561996668577,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07495969999582,81.07495969999582,0.009616800118237734,0.09782629972323775,3.0,2.2559996997006238,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.37491300003603,83.37491300003603,0.008522199932485819,0.09920910000801086,4.0,2.52510349964723,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9586722003296,85.9586722003296,0.010174899827688932,0.11392569961026311,5.0,2.671333400066942,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.65847170026973,88.65847170026973,0.0019196998327970505,0.0971955000422895,7.0,6.529821900185198,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,95.22497580014169,0.00017730006948113441,0.0989737999625504,101.24163050018251,6.015546699985862,101.40843470022082,101.40843470022082,0.06834329990670085,0.18251519976183772,6.01554079959169,107.49159000022337,107.49159000022337,107.49159000022337,0.07047639973461628,0.16575609985738993,113.19163380004466,113.42505200020969,6.032268999610096,6.132579799741507,119.42524809995666,11.999141899868846,119.52514389995486,119.52514389995486,-0.00023860018700361252,0.09884899947792292,up,2.0612959996797144,121.64164460031316,4.020007327198982e-05,0.09785600006580353,127.64157640002668,127.64157640002668,0.00913430005311966,0.09807150019332767,5.0,6.323302499949932,,,,,,,107.40829150006175,107.40829150006175,119.49162180023268,119.49162180023268,12.098918099887669,127.64157640002668,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
