loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,13.797562800068407,0.0005700001493096352,0.09947750018909574,14.495582299912348,14.912083100061864,14.912083100061864,0.016149300150573254,0.11618469981476665,29.895387699827552,14.999538999982178,15.082829699851573,30.012290299870074,30.012290299870074,0.017259299755096436,0.11617429973557591,space,6.047757599968463,,,,,,,,,,,,,,,,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
0,0,0,0,,,,,,,,,,,,,,,,,,36.112331399694085,0.001844700425863266,0.0983638004399836,42.12877499964088,6.014834600035101,42.3289429997094,0.11735239997506142,0.2148502003401518,6.03144620032981,48.34517559967935,0.03413440007716417,0.13129949988797307,0.0,4.36495599988848,,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
1,0,1,0,,,,,,,,,,,,,,,,,,52.745791299734265,0.0002305000089108944,0.09919320000335574,58.74546179967001,6.032390700187534,58.89564420003444,0.04995890008285642,0.14906519977375865,6.015634699724615,64.96195779973641,0.018404199741780758,0.1155991000123322,2.0,6.531617800239474,64.89555749995634,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
2,0,2,0,,,,,,,,,,,,,,,,,,71.52897339966148,0.0002338998019695282,0.09911390021443367,77.54546449985355,6.015838299877942,77.645234500058,0.028879299759864807,0.11567769991233945,6.015496099833399,83.72850009985268,0.004036599770188332,0.09873540000990033,1.0,3.7791840001009405,83.62866179971024,6.098764299880713,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
3,0,3,0,,,,,,,,,,,,,,,,,,87.54545670002699,0.00015569990500807762,0.09940659999847412,93.56205300008878,6.016027099918574,93.6792819998227,0.029458600096404552,0.1330371000804007,5.999519299715757,99.74527770001441,0.002762099727988243,0.09927569981664419,3.0,3.59722250001505,99.67868890007958,6.099302699789405,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
4,0,4,0,,,,,,,,,,,,,,,,,,103.37901989975944,0.00030529964715242386,0.0980327995494008,109.3788020000793,6.031545699574053,109.52861699974164,0.049467799719423056,0.1480240998789668,6.0146676995791495,115.5952745997347,0.01768629951402545,0.11458019958809018,1.0,3.4645215002819896,115.52871079975739,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
5,0,5,0,,,,,,,,,,,,,,,,,,119.09554470004514,0.0009478996507823467,0.09694299986585975,125.11215499974787,6.013512399978936,125.22855329979211,0.030172799713909626,0.13033789955079556,6.030163899529725,131.32849679980427,0.03291809977963567,0.13013029983267188,0.0,3.3981713000684977,131.22869609994814,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
6,0,6,0,,,,,,,,,,,,,,,,,,134.76217520004138,0.0005552996881306171,0.09829609980806708,140.7786675998941,6.0148526998236775,140.9285241998732,0.061136599630117416,0.1648400998674333,6.031480999663472,146.97853169962764,0.017090999521315098,0.1148066995665431,2.0,4.998506600037217,146.9286304996349,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
7,0,7,0,,,,,,,,,,,,,,,,,,152.0122366999276,0.0005499999970197678,0.09693760005757213,158.02858599973843,6.013600599952042,158.14513569977134,0.034911499824374914,0.13024779967963696,6.030275899916887,164.24530679965392,0.03267809981480241,0.130101399961859,0.0,3.231920199934393,164.1452294997871,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
8,0,8,0,,,,,,,,,,,,,,,,,,167.5122907999903,0.00024960003793239594,0.0991949001327157,173.51189229963347,5.999080300331116,173.62857789965346,0.017350200098007917,0.11598689993843436,6.015760899987072,179.72846170002595,0.018483499996364117,0.11559640010818839,0.0,2.998307299800217,179.6285953996703,,6.099028500262648,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
