Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,16.97121839877218,0.000493600033223629,0.09492050018161535,17.236769900191575,17.470049390243368,17.73685170011595,17.98686779025011,18.253377600107342,18.253377600107342,0.012150799855589867,0.1116856001317501,33.27029479993507,15.028355299960822,33.37016550032422,0.0309044998139143,0.12817499972879887,6.011795199941844,39.38679959997535,39.45376760000363,39.45376760000363,0.011822599917650223,0.11163749964907765,space,7.660883399657905,47.15348820015788,47.15348820015788,3.820005804300308e-05,0.097832300234586,num_9,9.625246699899435,56.82014278988354,0.001978999935090542,0.09766680002212524,57.12013490032405,57.62011849009432,57.936839800328016,58.40342379002832,58.720095000229776,58.803417100105435,66.80343500012532,66.80343500012532,66.80343799027614,0.014331299811601639,0.11441690009087324,67.81996880006045,68.80331550026312,68.98657700000331,69.46993979997933,10.01449429988861,76.93668110016733,0.01694840006530285,76.93668110016733,0.11422109976410866,5.0,4.464959099888802,81.43708140030503,0.0029437998309731483,0.09772699978202581,87.45341650024056,87.62012809016741,6.214239499997348,6.314299100078642,88.62006530025974,107.61995698991231,107.62008200027049,26.214362499769777,26.31421250011772,108.62021790025756,110.6200760002248,110.6200760002248,0.014317999593913555,0.11421139957383275,140.63665630016476,30.03087449958548,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,140.75333019997925,0.014565499499440193,0.11419769981876016,6.014324399642646,146.75333950016648,146.85332790017128,146.85332790017128,0.014246899634599686,0.1142653995193541,space,3.8772227996960282,150.78672340000048,150.78672340000048,4.389975219964981e-05,0.09798979992046952,num_9,4.664330799598247,155.48665319024585,0.0017798999324440956,0.09809969970956445,155.7866158001125,156.26990559012629,156.5865676002577,157.06985439001582,157.40335150016472,157.47005240013823,165.48664940008894,165.48664940008894,165.48668428990058,0.0015707998536527157,0.09808339970186353,166.4865820002742,167.48661320004612,167.6701237000525,168.18665130017325,10.01457959972322,175.5866270000115,0.0005835997872054577,175.5866270000115,0.09796289959922433,5.0,4.165055399760604,179.78658549999818,0.002071700058877468,0.09844120033085346,185.80329860001802,185.96996509018354,6.215106800198555,6.315118100028485,186.96987430006266,205.9699097901117,205.9699190002866,26.215114400256425,26.315017300192267,206.9698769999668,208.98648119997233,208.98648119997233,0.0008157999254763126,0.09838110022246838,238.9865296999924,30.031741799786687,10.097979499958456,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,239.1198285999708,0.03232509968802333,0.13164399983361363,6.031572400126606,245.1030735000968,245.2031367002055,245.2031367002055,0.015011399984359741,0.11497829994186759,space,4.983754799701273,250.23656850028783,250.23656850028783,9.55001451075077e-05,0.09731250023469329,num_9,5.229996599722654,255.50317149017937,0.002171700354665518,0.09774970030412078,255.81983639998361,256.2864653902594,256.58642189996317,257.10311209005306,257.4198153000325,257.4864860000089,265.5031548002735,265.5031548002735,265.5031100899447,0.0010180999524891376,0.09772020019590855,266.51980700017884,267.51976400008425,267.70311330026016,268.2029798999429,10.031025900039822,275.63636110024527,0.0341409002430737,275.63636110024527,0.1309998002834618,2.0,8.397841299884021,284.07006449997425,0.001949199941009283,0.09855999983847141,290.06965210009366,290.25307979029606,6.215114600025117,6.315128299873322,291.269619199913,310.25283239004204,310.2362335002981,26.231929500121623,26.331793199758977,311.2695737001486,313.2530131000094,313.2530131000094,0.015123599674552679,0.11504059983417392,343.2696144999936,30.031690599862486,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,343.3862874000333,0.015482899732887745,0.11493899952620268,6.0316133997403085,349.40287830028683,349.48621100001037,349.48621100001037,0.014926599338650703,0.11493389960378408,space,2.2526828995905817,351.8030110001564,351.8030110001564,4.2499974370002747e-05,0.09790450008586049,num_9,4.78356929961592,356.6528909901623,0.001819700002670288,0.09822549996897578,356.96952880034223,357.4361916902941,357.7361721000634,358.25286109014417,358.5693879001774,358.63618310028687,366.6360275000334,366.6360275000334,366.63604378993625,0.014614200219511986,0.09801940014585853,,368.65286209993064,368.83644870016724,369.3528569000773,10.03144140029326,376.7861227001995,0.034444100223481655,376.7861227001995,0.13138619996607304,5.0,10.8310567997396,387.65300950035453,0.002774599939584732,0.09758089995011687,393.6528318999335,393.83600859032015,6.214097199961543,6.2975141000933945,,413.8361246899236,413.83603940019384,26.214194200001657,26.314128099940717,414.83611410018057,416.8360220002942,416.8360220002942,0.014190899673849344,0.11412409972399473,446.8357764999382,30.01391729991883,,30.09732549963519,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,446.95257150009274,0.030747499782592058,0.1307530994527042,6.0307489996775985,452.952575400006,453.0691988999024,453.0691988999024,0.014046999625861645,0.11398249957710505,space,3.134189899545163,456.2692106002942,456.2692106002942,4.150019958615303e-05,0.09806430013850331,num_9,3.3418678995221853,459.6692708899733,0.0025806003250181675,0.09797730017453432,459.9857197003439,460.45254449001516,460.76920620026067,461.25244229021484,461.56918060034513,461.6525383000262,469.6524813999422,469.6524813999422,469.65253169010396,0.014656000304967165,0.1146178999915719,470.669270100072,471.6357239000499,471.8524997001514,472.35249050008133,10.01442370004952,479.7690171999857,0.0007354998961091042,479.7690171999857,0.0977699002251029,2.0,4.564804799854755,484.3692990001291,0.001567699946463108,0.099416000302881,490.36910880031064,490.53586009019057,6.199302600231022,6.299451500177383,491.5356800002046,510.5357390899677,510.5357117000967,26.199281100183725,26.299247399903834,511.5523669999093,513.5356831001118,513.5356831001118,-0.0007263999432325363,0.09929489996284246,543.535619799979,29.99918879987672,10.09779730020091,30.099077300168574,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.6689351000823,5.170004442334175e-05,0.09920289972797036,573.6688415003009,29.999015799723566,30.09895749995485,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,573.7689594002441,0.0012651998549699783,0.09900359995663166,6.01556079974398,579.768585300073,579.8687161002308,579.8687161002308,-0.0008158003911375999,0.09890609979629517,space,1.6781341996975243,581.5854751002043,581.5854751002043,3.8899946957826614e-05,0.09728530002757907,num_9,3.0975593999028206,584.735463089915,0.002118899952620268,0.09785280004143715,585.0354858003557,585.5354367901106,,586.318821290182,,586.7187248999253,594.7187319002114,594.7187319002114,594.7187694899272,0.014536699745804071,0.11442440003156662,595.7187360003591,596.7355153001845,596.9353916002437,597.4520457000472,10.031124100089073,604.8519339002669,0.017677299678325653,604.8519339002669,0.11446889955550432,2.0,15.897761299740523,620.7855468001217,0.0022169998846948147,0.09825140004977584,626.7852751002647,626.9852500899229,6.231467899866402,6.331560600083321,,646.9685000899714,646.9685273002833,26.214816099964082,26.314768999814987,647.9685570001602,649.9851890001446,649.9851890001446,0.0006645997054874897,0.09810790000483394,680.0017558000982,30.01465279981494,,,,,,,,,6.098890899680555,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,680.1018825001083,0.015628099907189608,0.11486579990014434,6.031454599928111,686.1184173999354,686.2184035000391,686.2184035000391,0.031400599516928196,0.13137379940599203,space,0.8646630998700857,687.1183497002348,687.1183497002348,4.810001701116562e-05,0.0976950996555388,num_9,4.012489999644458,691.1682046900038,0.000864899717271328,0.09939239965751767,691.4683746001683,691.9349318902474,692.2516831001267,692.7349724901375,693.0349946999922,693.1182499001734,701.1182526000775,701.1348136002198,701.1515925900545,-0.0008400003425776958,0.08268539980053902,702.1683149002492,703.1350624999031,703.3349836003035,703.834990200121,9.99922959972173,711.2514889002778,0.015863499604165554,711.2514889002778,0.11584879970178008,5.0,4.564057500101626,715.8517730999738,0.002449899911880493,0.09760930016636848,721.851599200163,722.0347984900233,6.213904900010675,6.297359600197524,723.034807600081,742.0347496901173,742.0179877001792,26.213794900104403,26.313889000099152,743.0515057002194,745.0348141002469,745.0348141002469,0.013984499964863062,0.11404909985139966,775.0513659003191,30.030512999743223,10.082651899661869,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,775.1680843001232,0.01425529969856143,0.11381249967962503,6.030446799937636,781.1679350999184,781.2680264003575,781.2680264003575,0.013879399746656418,0.11381099978461862,space,1.686944399960339,783.0013823001646,783.0013823001646,5.850009620189667e-05,0.09797260025516152,num_9,3.2330072997137904,786.2681993899402,0.0021657999604940414,0.0977379996329546,786.5679872003384,787.0680282899644,787.3678080001846,787.8512766902801,788.1511999000795,788.2513451999985,796.2513880003244,796.2513880003244,796.2513035900425,0.014508299995213747,0.1143877999857068,797.2512533003464,798.2512582000345,798.4513052999973,798.9512959001586,10.01429559988901,806.3845019000582,0.01717159990221262,806.3845019000582,0.11436529969796538,5.0,5.764611899852753,812.1846596002579,0.0035183997824788094,0.09941860008984804,818.201270500198,818.3679051898886,6.215779799968004,6.315830099862069,,838.3677842902486,838.3678041999228,26.215857400093228,26.315746299922466,839.3677278002724,841.3844810998999,841.3844810998999,0.0015328996814787388,0.09905079985037446,871.3843995002098,30.032375999726355,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,871.5011024000123,0.016247499734163284,0.13230219949036837,6.015713399741799,877.5009401999414,877.5841018003412,877.5841018003412,0.015322699677199125,0.09861509967595339,space,0.49092099955305457,878.1343916999176,878.1343916999176,5.8700330555438995e-05,0.09836680022999644,num_9,4.212545299436897,882.4010570902843,0.0025275996886193752,0.09731879970058799,882.7009580000304,883.2009438901674,883.5009361999109,884.0009840900544,884.3010154003277,884.4009767002426,892.4009571000934,892.4009571000934,892.4009482899215,0.0006059999577701092,0.09743790002539754,893.4009996000677,894.4009003001265,894.5674602002837,895.0842840000987,10.030727500095963,902.5174520001747,0.01580239972099662,902.5174520001747,0.11387379979714751,6.0,3.8991050999611616,906.4512733002193,0.0022803000174462795,0.09811440017074347,912.4675396000966,912.6340696901549,6.214515500236303,6.297714400105178,913.650863500312,932.6339684903156,932.6342279999517,26.214775499887764,26.314555200282484,933.6507760002278,935.6507227001712,935.6507227001712,0.0006392998620867729,0.09790599998086691,965.6673338999972,30.014537199866027,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
