loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.13653450198472,0.0008327998220920563,0.1278651999309659,34.73564970018342,35.352455200068654,35.66913119982928,35.95239649983123,36.28571459976956,36.28571459976956,0.0137491999194026,0.1278776996769011,51.26894890004769,15.027772299479693,51.36903200019151,0.011226899456232786,0.11119739944115281,51.83574629994109,space,2.2058537998236716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,54.10256530018523,0.012910599820315838,0.11490519996732473,60.10244969977066,6.014841599855572,60.435660699848086,60.435660699848086,0.19094129977747798,0.3481275998055935,6.014862900134176,66.38583429995924,66.38583429995924,66.38583429995924,0.0734112998470664,0.19826769968494773,72.08569419989362,72.28576050000265,6.0315533997491,6.1315094996243715,78.2859106999822,12.03171020001173,78.38574169995263,78.38574169995263,78.41911040013656,78.41911040013656,0.03186889970675111,0.13170119980350137,down,3.7350345999002457,82.21917319996282,5.50001859664917e-05,0.09736610017716885,88.26904390007257,88.26904390007257,0.03540130006149411,0.14737860020250082,3.0,9.679613899905235,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.96898530004546,97.96898530004546,0.009690800216048956,0.09757150011137128,1.0,6.28895920002833,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.31933620013297,104.31933620013297,0.011862900108098984,0.11507060006260872,5.0,7.604247100185603,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.95224450016394,111.95224450016394,0.009381100069731474,0.09792330022901297,1.0,3.556242600083351,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.56939369998872,115.56939369998872,0.009499299805611372,0.11442779982462525,6.0,1.7726592998951674,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.36911060009152,117.36911060009152,0.008161099627614021,0.09931299975141883,5.0,1.9587995000183582,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.36892719985917,119.36892719985917,0.006566000171005726,0.0995069001801312,2.0,17.027244300115854,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.4357726997696,136.4357726997696,0.0013891002163290977,0.09775220043957233,5.0,16.73222449980676,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,153.2027165000327,0.0006756000220775604,0.09688979992642999,159.21911599999294,6.013598999939859,159.38579040020704,159.38579040020704,0.08154759975150228,0.18056349968537688,6.013752099592239,165.48590439977124,165.48590439977124,165.48590439977124,0.06999829970300198,0.18047809973359108,171.1858072001487,171.38579420000315,6.013749799691141,6.113589699845761,177.38569340016693,12.013539399486035,177.48578929994255,177.48578929994255,177.51910699997097,177.51910699997097,0.013791099656373262,0.11363729974254966,up,1.2112338999286294,178.7857832000591,5.110027268528938e-05,0.09764670021831989,184.80243510007858,184.80243510007858,0.009153999853879213,0.11430440004914999,2.0,3.8061973000876606,,,,,,,165.38577280007303,165.38577280007303,184.80243510007858,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
