Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,32.03604425967205,0.0005580999422818422,0.0868762000463903,32.516160939936526,32.76652589999139,33.01616053993348,33.28281049989164,33.28281049989164,0.020266500068828464,0.12028450006619096,48.299593299860135,15.003897299990058,48.39957979996689,0.006490699946880341,0.1036527999676764,54.41622000001371,6.020284799858928,54.5162352998741,54.5162352998741,0.020467399852350354,0.12017619982361794,space,3.4082213998772204,57.98302059993148,57.98302059993148,4.6900007873773575e-05,0.09752999991178513,num_9,4.005008999956772,62.032959140022285,0.0018319999799132347,0.09792169998399913,62.349538299953565,62.81617134006228,63.11612490005791,63.61624653998297,63.91613979986869,64.01624089991674,72.03288479987532,72.03288479987532,72.03309404000174,0.0015036999247968197,0.09787900000810623,73.04954929999076,74.04971940000542,74.21623570006341,74.73285869997926,10.014471699949354,82.14947379985824,0.016192699782550335,82.14947379985824,0.11463279998861253,2.0,6.949521699920297,89.13288769987412,0.0021060998551547527,0.0971652998123318,95.13284910004586,95.31614703999367,6.213803199818358,6.313840299844742,96.33287220005877,115.31613414001185,115.31618850002997,26.213862099917606,26.31382519984618,118.31611589994282,118.31611589994282,0.01381739997304976,0.11379919992759824,148.31605369993486,30.013731600018218,,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,148.44964909995906,0.014428099850192666,0.11410909984260798,154.4660723998677,6.030378799885511,154.5494293998927,154.5494293998927,0.013886799803003669,0.113709099823609,space,2.878652800107375,157.4661005998496,157.4661005998496,3.110012039542198e-05,0.09824490011669695,num_9,3.098197199869901,160.61631843994837,0.0021262001246213913,0.09784210007637739,160.916017399868,161.3993962398963,161.69940429995768,162.19948034000117,162.51600899989717,162.59941189992242,170.616238999879,170.616238999879,170.61622243991587,0.0012197000905871391,0.09785640006884933,171.61605149996467,172.6327301999554,172.7994037999306,173.31603870005347,10.014488000189885,180.73269369988702,0.017267700051888824,180.73269369988702,0.11445809993892908,4.0,5.531691299984232,186.29951229994185,0.0025711001362651587,0.11444990010932088,192.28259700001217,192.48269203992095,6.214301800122485,6.3143313999753445,193.49963580002077,212.47897904005367,212.46229559998028,26.21047869999893,26.293848200002685,215.4660141998902,215.4993157000281,0.03096140013076365,0.130987600190565,245.51593920006417,30.014248400228098,213.4993135998957,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,245.61605919990689,0.014984000008553267,0.11421010014601052,251.6325729000382,6.03085510013625,251.73263689992018,251.73263689992018,0.031022599898278713,0.13084809994325042,space,4.863529100082815,256.64938770001754,256.64938770001754,4.569999873638153e-05,0.09746429999358952,num_9,2.69871349981986,259.39933403988834,0.0020592999644577503,0.0979277000296861,259.69924469990656,260.19932153995614,260.4992809998803,260.9825377400266,261.2992326999083,261.38256029994227,269.3825656999834,269.3825656999834,269.38274553988595,0.014765199972316623,0.11470450018532574,270.39924349985085,271.38255149987526,271.5826508998871,272.0657128000166,10.03131870017387,279.5325147998519,0.03467139997519553,279.5325147998519,0.13145880005322397,6.0,5.264286499936134,284.83290819986723,0.0026548998430371284,0.09746590000577271,290.83234520000406,291.0157876400044,6.214109799824655,6.314157099928707,292.0157723999582,311.0327406398719,311.0326863999944,26.231077399803326,26.330663099884987,314.03272249992006,314.03272249992006,-1.610000617802143e-05,0.09751829993911088,344.04905719985254,30.014052900020033,312.0491319000721,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,344.14905890007503,0.015016199788078666,0.11411199974827468,350.1657338999212,6.030718099791557,350.2658180000726,350.2658180000726,0.030820899875834584,0.1306925998069346,space,2.2025909000076354,352.5323520998936,352.5323520998936,4.309997893869877e-05,0.09801570000126958,num_9,2.3040419998578727,354.8990692399675,0.0022140999790281057,0.09794320003129542,355.21559190005064,355.6823606399121,355.99929800000973,356.4990615398856,356.7991736000404,356.8824148999993,364.8990255999379,364.8990255999379,364.8990392399719,0.001746100140735507,0.09804990002885461,365.89900109986775,366.91571139986627,367.08233930007555,367.56552589987405,10.014639100059867,374.99887600005604,0.0010015000589191914,374.99887600005604,0.09801830002106726,2.0,2.9980677000712603,378.03244489990175,0.0016107999254018068,0.09922529989853501,384.0322745000012,384.1990059398813,6.199096499942243,6.29915939993225,385.2155197998509,404.1989454400027,404.1994510998484,26.199656300013885,26.29904989991337,407.21554789994843,407.21554789994843,0.015818499960005283,0.11574549996294081,437.21544769988395,30.015655800001696,405.1990775000304,10.097984899999574,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,437.3488167999312,0.016474299831315875,0.11567809991538525,443.36543820006773,6.032281199935824,443.4657077998854,443.4657077998854,0.03237569984048605,0.13228619983419776,space,1.8020305000245571,445.3154656998813,445.3154656998813,4.269997589290142e-05,0.0980559999588877,num_9,1.7281434000469744,447.082401940017,0.003302499884739518,0.09792430000379682,447.39877699990757,447.865682439995,448.1652548999991,448.6654701399384,,449.04851799993776,457.06545870006084,457.06545870006084,457.0654726399807,0.01440549991093576,0.13095959997735918,458.0820760000497,459.0486222000327,459.2654462000355,459.76537159993313,10.014181999955326,467.17841459997,0.012788199819624424,467.17841459997,0.0936331998091191,5.0,5.569097999949008,472.7990567998495,0.00310819991864264,0.09761249995790422,478.8152936999686,478.9821308400715,6.2142600999213755,6.314223399851471,479.9986685998738,498.9818414399633,498.9819700999651,26.21432699984871,26.314027899876237,501.99858559994027,501.99858559994027,-1.71000137925148e-05,0.09743779990822077,531.9984486000612,30.0307914998848,499.9985901999753,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0982206000481,0.01419209991581738,0.1142963997554034,562.1149325999431,30.014048399869353,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,562.2151068998501,0.015940799843519926,0.1140428998041898,568.2150447999593,6.014055899810046,568.3150400999002,568.3150400999002,0.01404759963043034,0.11393649969249964,space,2.3768861000426114,570.7483481999952,570.7483481999952,4.360009916126728e-05,0.09774750005453825,num_9,1.799907699925825,572.5984010399552,0.001204799860715866,0.09946729987859726,572.8982869000174,573.3817811399931,573.6984661999159,574.1816243400099,574.4983608999755,574.5649681000505,582.5816730998922,582.5816730998922,582.5816647399915,0.015770099824294448,0.09909809986129403,583.5982945999131,584.5816496000625,584.7816345999017,585.2983075999655,10.01581749995239,592.7148609999567,0.017971899826079607,592.7148609999567,0.1157178997527808,2.0,3.1654997000005096,595.9152972998563,0.0022976999171078205,0.0982816000469029,601.9151115999557,602.1149418399436,6.231425300007686,6.331455399980769,603.1148705999367,622.1148825400742,622.1148307998665,26.231390499975532,26.33138220012188,625.1148429999594,625.1148429999594,0.0006472000386565924,0.09812159999273717,655.1146833999082,30.031242900062352,623.1314930000808,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,655.231256299885,0.01507079997099936,0.13119230000302196,661.2479608000722,6.031211399938911,661.348007200053,661.348007200053,0.03143819980323315,0.13119759992696345,space,1.4555516000837088,662.8646748000756,662.8646748000756,8.17000400274992e-05,0.09763269987888634,num_9,1.906670199939981,664.8316440399503,0.0022396999411284924,0.09767169994302094,665.1314560000319,665.6314839400584,665.9313216998708,666.4147468399024,666.7313765999861,666.8313311999664,674.8312876999844,674.8312876999844,674.8314269400435,0.0011030000168830156,0.0975482000503689,675.8481306000613,676.8144976999611,676.9977845998947,677.514516999945,10.014046000083908,684.9478817998897,0.017111999914050102,684.9478817998897,0.11398849985562265,4.0,3.031254000030458,688.0145847999956,0.0027851001359522343,0.09770720009692013,694.0145729999058,694.1979700400261,6.214578500017524,6.314463499933481,,714.1978475399083,714.1977222000714,26.21428279997781,26.297695900080726,717.1978229999077,717.1978229999077,0.01457450003363192,0.11437910003587604,747.1978060998954,30.014428900089115,,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,747.3310564998537,0.014974500052630901,0.11435759998857975,753.3308895998634,6.0307076999451965,753.4308174999896,753.4308174999896,0.014096699887886643,0.11398819996975362,space,2.3012417999561876,755.7642264999449,755.7642264999449,1.0999850928783417e-05,0.09974729991517961,num_9,1.2793556000106037,757.0977628399851,0.002157800132408738,0.09781590010970831,757.3976270998828,757.8809412400005,758.1809588999022,758.6809555400396,758.9977007000707,759.0810002998915,767.0809797998518,767.0809797998518,767.0810189399635,0.014460199978202581,0.11443850002251565,768.0809380998835,769.0809524999931,769.2807986999396,769.7975902999751,10.014216599985957,777.2141994000413,0.017032699892297387,777.2141994000413,0.11423889989964664,5.0,4.231707999948412,781.481201400049,0.0024580000899732113,0.09784890012815595,787.4975892000366,787.6642387398751,6.214470400009304,6.314464700175449,788.6808517999016,807.6641006398713,807.6643501999788,26.21464930009097,26.31441680015996,810.6809048999567,810.6809048999567,0.00018140021711587906,0.09774740017019212,840.6973160998896,30.01443270011805,808.6807522999588,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,840.7973567999434,0.014925000024959445,0.11427820008248091,846.797333399998,6.014366700081155,846.8973052999936,846.8973052999936,0.014448300004005432,0.11426689988002181,space,1.9071829000022262,848.8644196998794,848.8644196998794,6.38000201433897e-05,0.09804730000905693,num_9,1.7153310999274254,850.6307792399311,0.002445699879899621,0.09793929988518357,850.9306001998484,851.4138983398443,851.7307659999933,852.2140340398764,852.5305931998882,852.6139656999148,860.6305847000331,860.6305847000331,860.630776540027,0.001262999838218093,0.09798489999957383,861.6471752000507,862.6305382000282,862.7971186998766,863.2804670999758,10.03146279999055,870.7473361999728,0.016658399952575564,870.7473361999728,0.11451659980230033,2.0,2.4988231000024825,873.2809309000149,0.0015476001426577568,0.09951109997928143,879.2805492999032,879.4471458400367,6.21576189994812,6.299188000150025,880.4471328000072,899.4638256399194,899.463871799875,26.215922500006855,26.315820400137454,902.4637944998685,902.4637944998685,0.015846700174733996,0.11589810019358993,932.4802864000667,30.03235700004734,900.4807223000098,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
