loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,p_port_6.started,fixation_cross.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.6200673809275,0.0010863000061362982,0.12174390000291169,20.21680153007619,20.81679963003844,21.41316502992995,21.73350410000421,0.0022721998393535614,0.10506189987063408,36.733488199999556,15.005174399819225,36.8334240000695,0.005114899715408683,0.10506969969719648,37.31703729997389,space,3.298608500044793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,40.650286900112405,0.0005577001720666885,0.11600940022617579,5.999460100196302,46.65007980004884,46.84651509998366,46.84651509998366,0.07437480008229613,0.23267769999802113,5.999346100026742,52.96692500007339,52.96692500007339,52.96692500007339,0.0884241999592632,0.24938929989002645,58.700117599917576,58.8334492999129,6.0160566999111325,6.1494087998289615,64.86689860001206,12.016106199938804,64.95011300011538,64.95011300011538,0.016101899789646268,0.11591429985128343,up,1.1857148001436144,66.16667940001935,1.3499986380338669e-05,0.10305660008452833,72.25025849998929,72.25025849998929,0.03480549994856119,0.20296739996410906,5.0,6.419296799926087,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.68376079993322,78.68376079993322,0.011966700199991465,0.14890970010310411,7.0,4.404728300170973,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.13349439995363,83.13349439995363,0.013423100113868713,0.14917950006201863,2.0,3.570118400035426,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.75006120000035,86.75006120000035,0.011967799859121442,0.14902219991199672,1.0,1.7380222999490798,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5333690000698,88.5333690000698,0.021374099887907505,0.14929259987547994,1.0,3.4623523999471217,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.05020199995488,92.05020199995488,0.012834200169891119,0.14918280020356178,2.0,2.5707725000102073,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6668962999247,94.6668962999247,0.015600400045514107,0.14903749991208315,3.0,3.8678129999898374,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.56668259995058,98.56668259995058,0.0005264000501483679,0.1323258001357317,3.0,4.799735800130293,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,103.40017809998244,0.00011490005999803543,0.11567349988035858,5.999026899924502,109.39991899998859,109.73339800001122,109.73339800001122,0.11108379997313023,0.3657725998200476,5.99910969985649,115.73360459995456,115.73360459995456,115.73360459995456,0.12207769975066185,0.2658644998446107,121.46667500003241,121.59997430001386,5.99903509975411,6.132466799812391,127.63338060001843,11.999066599877551,127.71674189995974,127.71674189995974,0.03261479968205094,0.13289139978587627,up,1.2671676001045853,129.03347019990906,1.1399853974580765e-05,0.12904849997721612,135.0500636000652,135.0500636000652,0.02811509999446571,0.14930549985729158,1.0,3.688845199998468,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.8001284999773,138.8001284999773,0.010119599988684058,0.149001199984923,5.0,3.37354930001311,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.19985820003785,142.19985820003785,0.006035099970176816,0.13228469993919134,2.0,3.127255800180137,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.3666825001128,145.3666825001128,0.005544999847188592,0.13245849986560643,1.0,1.6279684000182897,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.03318829997443,147.03318829997443,0.008205499965697527,0.13256499986164272,1.0,2.0586403999477625,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.14995840005577,149.14995840005577,0.01101539982482791,0.14916479983367026,2.0,4.739724199986085,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9333409999963,153.9333409999963,0.012952099787071347,0.14814449986442924,4.0,2.7359462999738753,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.69982050010003,156.69982050010003,0.0005680001340806484,0.13259580009616911,7.0,4.133347500115633,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,160.8668064000085,0.00013729999773204327,0.13250779989175498,6.015784200048074,166.88335760007612,167.05033640004694,167.05033640004694,0.07752899988554418,0.21584689989686012,6.01572519983165,173.15002440009266,173.15002440009266,173.15002440009266,0.07942609977908432,0.2159413998015225,178.88334119995125,179.0500026999507,6.015827199909836,6.1490707998164,185.0833121999167,12.016002899734303,185.18333439994603,185.18333439994603,0.016115299658849835,0.14906869968399405,down,0.9364702000748366,186.1666433000937,5.300017073750496e-05,0.13116820016875863,192.21687439992093,192.21687439992093,0.04278400004841387,0.18096810020506382,2.0,3.0728367001283914,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.31654529995285,195.31654529995285,0.0075789999682456255,0.13118679984472692,3.0,3.39135259995237,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.74999239994213,198.74999239994213,0.006652700016275048,0.13244169997051358,1.0,1.6936339000239968,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.48333540000021,200.48333540000021,0.007547999965026975,0.13068059994839132,6.0,2.1911983999889344,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.71633059997112,202.71633059997112,0.007345099933445454,0.13148640003055334,7.0,1.8585713999345899,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.63355739996769,204.63355739996769,0.008676899829879403,0.14766779984347522,4.0,6.173368600197136,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.83314500004053,210.83314500004053,0.006563300034031272,0.13261359999887645,3.0,2.193869600072503,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.06665790011175,213.06665790011175,0.0007893999572843313,0.13221310009248555,2.0,4.933067500125617,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,218.03352249995805,0.00013440009206533432,0.13247390021570027,5.999283600132912,224.06650860002264,224.24989750003442,224.24989750003442,0.10079280007630587,0.24912480008788407,6.0158057999797165,230.3168391000945,230.3168391000945,230.3168391000945,0.07105569983832538,0.2160181999206543,236.04991500009783,236.24979669996537,6.015781200025231,6.149147199932486,242.283161399886,12.015782299917191,242.35002629994415,242.35002629994415,0.01608089986257255,0.14908549981191754,down,0.8738102000206709,243.28318869997747,4.42001037299633e-05,0.131186299957335,249.29992350004613,249.29992350004613,0.025390800088644028,0.1476493999361992,5.0,3.990072000073269,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.33320180000737,253.33320180000737,0.007262700004503131,0.13089730008505285,6.0,2.858168999897316,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.2330980999395,256.2330980999395,0.007917599985376,0.13179560005664825,1.0,2.058212999952957,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.332842099946,258.332842099946,0.007802599808201194,0.13137509999796748,2.0,2.6910004999954253,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.0665106000379,261.0665106000379,0.0068888000678271055,0.13222120003774762,6.0,5.32638860004954,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.4331390999723,266.4331390999723,0.006781000178307295,0.13277400005608797,5.0,3.0608942001126707,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.5336331001017,269.5336331001017,0.007283400045707822,0.13156130001880229,2.0,2.9919602000154555,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
