Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.25001054480672,0.0005242004990577698,0.08824830129742622,19.516725400462747,19.733235850185157,20.000009899958968,20.233412650600076,20.51671070046723,20.51671070046723,0.0023340005427598953,0.1050644014030695,35.53340579941869,15.021817401051521,35.63339990004897,0.02410210110247135,0.1217564009130001,6.004977600648999,41.61665700003505,6.088494000956416,41.70007730089128,41.70007730089128,0.02239150181412697,0.11792580038309097,space,5.970802901312709,47.71672270074487,47.71672270074487,5.289912223815918e-05,0.09772469848394394,num_9,5.194087000563741,52.95023794956505,0.0019278991967439651,0.09754169918596745,53.2500489000231,53.73332915008068,54.033179599791765,54.53324885033071,54.85008220002055,54.95004490017891,62.950105400756,62.950105400756,62.950014150887725,0.0012865997850894928,0.09758679941296577,63.950015699490905,64.96670090034604,65.13345940038562,65.63336100056767,10.014214899390936,73.06648970022798,0.015919199213385582,73.06648970022798,0.11437229998409748,4.0,7.066022198647261,80.1667631007731,0.002354700118303299,0.09777369908988476,86.18345170095563,86.34995374940335,6.214565798640251,6.314945699647069,87.36667729914188,106.35008275061845,106.35002489946783,26.214649999514222,26.314580898731947,107.34997270070016,109.36681899987161,109.36681899987161,0.0005597993731498718,0.09787469916045666,139.366627600044,30.031234400346875,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,139.50005589984357,0.03204590082168579,0.1312962006777525,6.01430319994688,145.48313039913774,,145.58327000029385,145.58327000029385,0.014768101274967194,0.11448230035603046,space,3.503014501184225,149.1332892999053,149.1332892999053,4.29004430770874e-05,0.09803880006074905,num_9,5.601039100438356,154.78332024924458,0.002399299293756485,0.09805759973824024,155.10005870088935,155.56659004949034,155.8665874991566,156.38322824910284,156.6999174002558,156.76659210026264,164.7665526997298,164.7665526997298,164.76657855063678,0.014821600168943405,0.11467549949884415,,166.78342140093446,166.98324899934232,167.49990770034492,10.03131159953773,174.9165384992957,0.034129999577999115,174.9165384992957,0.13150710053741932,5.0,8.398385498672724,183.35002739913762,0.0030362997204065323,0.09720199927687645,189.3666379004717,189.53315794952215,6.213610999286175,6.313749199733138,190.56655550003052,209.533142150566,209.5331458002329,26.21376029960811,26.31381140090525,210.5498422998935,212.53316860087216,212.53316860087216,0.01382800005376339,0.11377470009028912,242.54977159947157,30.030391700565815,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,242.68334780074656,0.03091130033135414,0.13061880134046078,6.013716101646423,248.69974539987743,,248.76649270020425,248.76649270020425,0.013810202479362488,0.11376470141112804,space,2.784348599612713,251.59967149980366,251.59967149980366,5.009956657886505e-05,0.09786679968237877,num_9,4.598433300852776,256.23312535062433,0.0019073989242315292,0.09802029840648174,256.5497503001243,257.01632524952294,257.316438799724,257.83307544998826,258.1497751008719,258.21642640046775,266.21639540046453,266.21639540046453,266.2163456503302,0.014690298587083817,0.1147127989679575,,268.1996350996196,268.43307290039957,268.93311890028417,10.014846799895167,276.3330675009638,0.001317199319601059,276.3330675009638,0.09807880036532879,3.0,6.331066999584436,282.70005130022764,0.002741299569606781,0.0979067999869585,288.7164319008589,288.8829308498651,6.214530499652028,6.315029298886657,289.8996844999492,308.8996887497604,308.8996572997421,26.231107499450445,26.331100000068545,309.8996844999492,,311.9163339994848,0.016246400773525238,0.11437739990651608,341.89943270012736,30.014099400490522,10.098175099119544,30.097655899822712,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,341.99960990063846,-0.0008755996823310852,0.09766120091080666,6.031013799831271,347.9995607007295,,348.1329018995166,348.1329018995166,0.031096801161766052,0.13088860176503658,space,2.7930900007486343,350.98292890004814,350.98292890004814,3.6699697375297546e-05,0.09789399988949299,num_9,3.9598357006907463,354.9829383503646,0.0020128004252910614,0.09779609926044941,355.2995388992131,355.7828835502267,356.0995295997709,356.58289164975287,356.8994843997061,356.98289250023663,,364.999536100775,364.9995171494782,0.017073100432753563,0.11440940015017986,365.99948750063777,366.9995044004172,367.18285479955375,367.6828421000391,10.03104400075972,375.1159811001271,0.034337300807237625,375.1159811001271,0.1307974010705948,3.0,2.8311422988772392,377.9831476993859,0.002055300399661064,0.09817459993064404,383.9995013996959,384.16612294986845,6.214929200708866,6.314663000404835,385.1660725995898,404.18277724944056,404.18278240039945,26.231515899300575,26.331442000344396,405.1995650008321,407.1827869005501,407.1827869005501,0.0004922002553939819,0.09808630123734474,437.16586660034955,30.014596801251173,,30.09797690063715,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,437.2826691009104,0.031382400542497635,0.13138830102980137,6.014524100348353,443.28252889961004,6.097789501771331,443.3826251998544,443.3826251998544,0.032002901658415794,0.13133330084383488,space,3.351529600098729,446.78264299966395,446.78264299966395,4.2300671339035034e-05,0.09782340005040169,num_9,2.9918402004987,449.8160779505968,0.002449098974466324,0.0977293998003006,450.11592319980264,450.6160138502717,450.9159395992756,451.39927414916457,451.715936999768,451.81597560085356,459.8161142002791,459.8161142002791,459.8159290507436,0.0009656995534896851,0.09776140004396439,,461.81595179997385,462.01594869978726,462.53259270079434,10.014398699626327,469.93246060051024,0.01706179976463318,469.93246060051024,0.1141405999660492,5.0,3.165259199216962,473.1328497994691,0.002696901559829712,0.09798230044543743,479.14919220097363,479.31621765084566,6.21464710123837,6.314590901136398,,499.3158475507051,499.315878899768,26.214568899944425,26.31444110162556,500.3156778998673,502.31587789952755,502.31587789952755,0.014590602368116379,0.11444470100104809,532.3156874999404,30.01441390067339,,30.09773290157318,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.4323596004397,0.030965901911258698,0.13104270212352276,562.4489676002413,30.01425720192492,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,562.5489387009293,0.016358302906155586,0.11425330303609371,6.014119002968073,568.5320606008172,,568.6489410009235,568.6489410009235,0.014357201755046844,0.11442410200834274,space,2.1823436990380287,570.8822310008109,570.8822310008109,3.040023148059845e-05,0.09793969988822937,num_9,4.3161049000918865,575.2322839491069,0.001789899542927742,0.09765920042991638,575.5488952994347,576.0154593504965,576.3154812995344,576.8322649497538,577.1488955002278,577.215559899807,585.2155333999544,585.2155333999544,585.2155131503939,0.014453699812293053,0.11432350054383278,,587.2155026998371,587.3986951000988,587.8988432008773,10.014265900477767,595.3486954998225,0.016276899725198746,595.3486954998225,0.1143386997282505,3.0,4.632415000349283,600.0158118009567,0.0014102999120950699,0.09867659956216812,606.0321210995317,606.1987714499235,6.215286199003458,6.3151625990867615,607.198677899316,626.1987087495625,626.1986877005547,26.21525190025568,26.315265199169517,627.1986957993358,629.1987433992326,629.1987433992326,0.015335800126194954,0.11522050015628338,659.1986097004265,30.01510100066662,,30.098457999527454,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,659.3152514006943,1.309998333454132e-05,0.09847640059888363,6.031820099800825,665.315256100148,,665.448671400547,665.448671400547,0.03192650154232979,0.13174760155379772,space,3.7336845993995667,669.2319220006466,669.2319220006466,5.360133945941925e-05,0.09773680008947849,num_9,2.830264700576663,672.1152499496936,0.0022654999047517776,0.0978592000901699,,672.8984015502035,673.1984969992191,673.6985229507088,674.015110200271,674.0985496006906,682.0985368993133,682.0985368993133,682.098686850816,0.014712801203131676,0.11467330157756805,683.115124700591,684.0819645002484,684.2817477993667,684.7986814994365,10.031053200364113,692.2316830009222,0.016628701239824295,692.2316830009222,0.11456890031695366,4.0,6.598964599892497,698.8653366006911,0.0016291998326778412,0.09942219965159893,704.8651036992669,705.0317739501595,6.199345899745822,6.299320498481393,706.048424500972,725.0319279499352,725.0317496992648,26.199361599981785,26.299248099327087,726.0484248008579,728.0317538995296,728.0317538995296,-0.0005891993641853333,0.09927700087428093,758.0147355999798,30.01578989997506,,30.099102400243282,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,758.1648756992072,0.00027560070157051086,0.0991223007440567,6.015777200460434,764.1815690007061,,764.281539099291,764.281539099291,0.01597760058939457,0.1157745998352766,space,3.517433699220419,767.8650231007487,767.8650231007487,4.6798959374427795e-05,0.09813589975237846,num_9,3.4137937985360622,771.3317706502974,0.0017427001148462296,0.09803949855268002,771.648400599137,772.1315349500626,772.4483978003263,772.9148171499371,773.2147294003516,773.3148622009903,781.3148254994303,781.3148254994303,781.314653250575,0.014648498967289925,0.11469749920070171,782.314763199538,783.314798399806,783.5152285005897,784.0148910991848,10.014415198937058,791.431429900229,0.0007646996527910233,791.431429900229,0.09808109886944294,3.0,1.9980075005441904,793.4649739004672,0.001621399074792862,0.09925149939954281,799.4814199991524,799.6480370491743,6.215828599408269,6.315807299688458,800.6646598000079,819.648235849291,819.6481403000653,26.215926298871636,26.3157171998173,820.648040600121,822.6481548007578,822.6481548007578,0.015979699790477753,0.11571829952299595,852.6480735000223,30.01589439995587,10.097759099677205,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,852.7812449000776,0.016346899792551994,0.11571300029754639,6.015730099752545,858.7812051996589,,858.8811739999801,858.8811739999801,0.015834400430321693,0.11568650044500828,space,2.2132243998348713,861.1479675993323,861.1479675993323,5.360133945941925e-05,0.09805910103023052,num_9,3.0581122003495693,864.2644957501441,0.002787400037050247,0.09786590002477169,864.5644470006227,865.0478424496948,865.3479786999524,865.8477265492081,866.147753700614,866.264477500692,,874.2812575995922,874.2813807494938,0.01713700033724308,0.11461309902369976,875.2977728005499,876.2643713001162,876.4645585007966,876.9811466000974,10.03108749911189,884.381003299728,0.0162407997995615,884.381003299728,0.11421860009431839,4.0,1.7657840996980667,886.1812888998538,0.0028955992311239243,0.09745499864220619,892.1977258007973,892.3643764492124,6.2141685001552105,6.297206899151206,893.3810929004103,912.3642773509025,912.3643445000052,26.214023699983954,26.313974099233747,913.3809194993228,915.3643072992563,915.3643072992563,0.014011600986123085,0.11396080069243908,945.3641943000257,30.014002099633217,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
