Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,23.139681920409203,0.0005671996623277664,0.08364420011639595,23.636418730951846,23.902979100123048,24.153186530806124,24.419687900692225,24.419687900692225,0.03326299972832203,0.13350760005414486,39.419809801504016,15.000013099983335,15.099906399846077,39.536717399954796,0.019547101110219955,0.11661010049283504,5.999931801110506,45.51967430114746,6.08317600004375,45.60306750051677,45.60306750051677,0.017147401347756386,0.11671080067753792,space,11.919773299247026,57.5866829007864,57.5866829007864,8.899904787540436e-05,0.09752829931676388,num_9,5.039705999195576,62.68654703069478,0.002399999648332596,0.09732339903712273,63.00338300131261,63.469814530573785,63.76973170042038,64.2700768308714,64.56977840140462,64.66973840072751,72.6863938998431,72.6863938998431,72.68652093131095,0.0011682994663715363,0.11405899934470654,73.70310090109706,74.68628920055926,74.86980180069804,75.38646550104022,10.01402230001986,82.80297570116818,0.016182400286197662,82.80297570116818,0.11417580023407936,4.0,17.515387700870633,100.35326540097594,0.0015679989010095596,0.09914170019328594,106.36976700089872,106.53646973054856,6.215827099978924,6.315779399126768,107.55313130095601,126.53661393094808,126.53645100072026,26.21584019996226,26.315815400332212,127.55321540124714,129.55312340147793,129.55312340147793,0.0016991011798381805,0.0991406999528408,159.55325050093234,29.999100599437952,30.099073400720954,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,159.65309430100024,0.0006055999547243118,0.09909510053694248,5.9991374015808105,165.65311280079186,6.099055700004101,165.75312709994614,165.75312709994614,-0.00013379938900470734,0.09909800067543983,space,3.8818425983190536,169.6698233000934,169.6698233000934,3.3000484108924866e-05,0.09806239977478981,num_9,15.836623499169946,185.55317992996424,0.0017617009580135345,0.09795710071921349,185.85319260135293,186.33646203111857,186.65370020084083,187.13647933024913,187.45310300029814,187.51981040090322,195.51987080089748,195.55311850085855,195.55323953088373,0.03125770017504692,0.1312061008065939,196.55312700010836,197.55308140069246,197.75310119986534,198.25307550095022,10.03121630102396,205.6863795015961,0.034094201400876045,205.6863795015961,0.13113230094313622,2.0,5.598413301631808,211.32001820020378,0.0020298007875680923,0.09820909984409809,217.3196367006749,217.50311693083495,6.214800400659442,6.314871599897742,218.50316940061748,237.51983013097197,237.51959490031004,26.23127520084381,26.31481060013175,,240.51972770132124,240.51972770132124,0.0006654020398855209,0.09815550222992897,270.51969810016453,30.03146150149405,,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,270.6530340015888,0.03216790221631527,0.13144090212881565,6.031450601294637,276.65314250066876,,276.7530570998788,276.7530570998788,0.03154020197689533,0.13142370246350765,space,3.1541777998209,279.9530609007925,279.9530609007925,4.439987242221832e-05,0.09797029942274094,num_9,4.449410900473595,284.4531349306926,0.0020967014133930206,0.09791090153157711,284.7531995009631,285.2362857302651,285.5530635006726,286.0363711314276,286.3530171010643,286.45302360132337,294.45314360037446,294.45314360037446,294.45306183118373,0.0014905016869306564,0.09790150076150894,295.4529809001833,296.45306920073926,296.65305380150676,297.15305500105023,10.014424100518227,304.55300610139966,0.000893300399184227,304.55300610139966,0.09771300107240677,5.0,7.131261900067329,311.7198536004871,0.0024790987372398376,0.09770159982144833,317.7362040001899,317.9029678301886,6.214262198656797,6.3142370991408825,318.91967910155654,337.9029023302719,337.8861511014402,26.214123899117112,26.314228899776936,338.9196797013283,340.8862947002053,340.9196935016662,0.03096640110015869,0.1310192011296749,370.91961120069027,30.030898300930858,,10.097751300781965,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,371.03628420084715,0.014658400788903236,0.1141573004424572,6.014301801100373,377.01944160088897,6.097336400300264,377.1195881012827,377.1195881012827,0.03141440078616142,0.13082570023834705,space,4.371334200724959,381.53637370094657,381.53637370094657,3.460049629211426e-05,0.09808339923620224,num_9,2.426638899371028,384.00299233105034,0.0022952985018491745,0.09782939963042736,384.3028079010546,384.8029415300116,385.10312920063734,385.602944730781,385.9362718015909,386.0028649009764,394.00307200104,394.00307200104,394.00298702996224,0.001047799363732338,0.0976971983909607,395.01948370039463,396.0028477013111,396.1862137001008,396.6861933004111,10.01445789821446,404.11953690089285,0.01750990003347397,404.11953690089285,0.11451529897749424,4.0,6.397950600832701,410.5531568005681,0.0016261003911495209,0.09918770007789135,416.5695355013013,416.7362593309954,6.215861801058054,6.31589649990201,417.7527955006808,436.73606333043426,436.7361501008272,26.21589790098369,26.315812200307846,437.7527962010354,439.7361003998667,439.7361003998667,0.01588200218975544,0.11585590057075024,469.7361492998898,30.015888702124357,,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,469.86957670003176,0.016216501593589783,0.11583200097084045,6.015903702005744,475.86934030056,,475.9693750012666,475.9693750012666,0.015640202909708023,0.11579550243914127,space,4.801361599937081,480.83611240051687,480.83611240051687,4.639849066734314e-05,0.0982492994517088,num_9,2.279043199494481,483.15256593097,0.0013714004307985306,0.09905300103127956,483.46922780014575,483.91938543040305,484.21932130120695,484.7360388310626,485.05253980122507,485.1361107006669,493.1526373010129,493.1526373010129,493.15262262988836,0.00016769953072071075,0.09909120015799999,494.16921470128,495.15250560082495,495.3194279000163,495.80250889994204,10.01556869968772,503.2524820007384,0.0011811014264822006,503.2524820007384,0.0991820003837347,1.0,1.5323178991675377,504.81959170103073,0.0016546007245779037,0.09922460094094276,510.81929720006883,511.01928193029016,6.232170300558209,6.332448400557041,,531.0192564306781,531.0192004013807,26.232291800901294,26.34894029982388,532.0191229004413,,534.0358873009682,0.017413601279258728,0.11560790054500103,564.0357211008668,30.032153801992536,,10.098891600966454,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.1357811000198,0.015912102535367012,0.11558460257947445,594.13570000045,30.01549150235951,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,594.2357418015599,0.017516501247882843,0.11542160250246525,6.015604102984071,600.2357276007533,,600.3356997016817,600.3356997016817,0.01554180309176445,0.11551030166447163,space,4.643462898209691,605.0190409999341,605.0190409999341,0.00010969862341880798,0.09790889918804169,num_9,3.2561451997607946,608.319089830853,0.0019157994538545609,0.09766840003430843,608.6188989002258,609.1190566299483,609.4188935998827,609.9023607308045,610.2189225014299,610.3023652005941,618.3022780008614,618.3022780008614,618.3023683307692,0.014355599880218506,0.11431830003857613,619.3189353011549,620.2855454999954,620.5195682998747,621.0189797002822,10.014200599864125,628.4188197012991,0.000139700248837471,628.4188197012991,0.09756609983742237,2.0,3.598267799243331,632.0523388013244,0.002970399335026741,0.09663050062954426,638.0689363013953,638.2355084298179,6.213382299989462,6.296855999156833,639.252256501466,658.2354077314958,658.2187036015093,26.230159599334,26.33023300021887,659.2521763015538,661.2188880015165,661.2522130999714,0.03017130121588707,0.1300853006541729,691.2522381003946,30.03019220009446,,10.097591599449515,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,691.3687407001853,0.014110200107097626,0.11345970071852207,6.013063101097941,697.3519091010094,6.096584400162101,697.4520477000624,697.4520477000624,0.03005260042846203,0.1129779014736414,space,4.423099100589752,701.9354210011661,701.9354210011661,3.979913890361786e-05,0.09792329929769039,num_9,1.16380799934268,703.1355375302956,0.0019335988909006119,0.0978872999548912,703.4520313013345,703.918788230978,704.2187303006649,704.7186651313677,705.018681300804,705.1354248002172,713.1352024003863,713.1352024003863,713.1351825306192,0.03102859854698181,0.11428089998662472,714.1521231010556,715.1520032007247,715.3186673000455,715.818659901619,10.01464520022273,723.25191100128,0.01607850007712841,723.25191100128,0.11446280032396317,5.0,4.39948089979589,727.6856681015342,0.0016087014228105545,0.09972169995307922,733.6852637007833,733.8685416309163,6.215992299839854,6.315914800390601,734.8685502000153,753.8520538313314,753.8519916012883,26.19936770014465,26.29921830072999,754.8518329001963,756.8521389011294,756.8853547014296,-0.0005395989865064621,0.09912950173020363,786.8852338008583,29.99902600236237,30.098908001556993,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,786.9850947000086,4.6001747250556946e-05,0.0991849023848772,6.015715101733804,793.0018371008337,,793.1017525009811,793.1017525009811,0.015838701277971268,0.11569040268659592,space,4.076710099354386,797.2350124008954,797.2350124008954,1.0799616575241089e-05,0.09942959994077682,num_9,2.519770598039031,799.8018113309518,0.0015615001320838928,0.09822960011661053,800.1016321014613,800.5850122300908,800.9017294999212,801.3849946307018,801.7019600011408,801.8018728010356,809.8018807005137,809.8018807005137,809.8015958303586,0.000849500298500061,0.09835919924080372,810.8017714004964,811.7848890013993,811.9848958998919,812.5016940012574,10.014754200354218,819.9016616009176,-0.000722099095582962,819.9016616009176,0.09845799952745438,5.0,3.8337100986391306,823.76834930107,0.002954099327325821,0.09838180057704449,829.7515157014132,829.9683988308534,6.231786100193858,6.315164599567652,,849.9514170298353,849.9515366014093,26.215038498863578,26.31507970020175,,852.9682317003608,852.9682317003608,0.0007327012717723846,0.09838640131056309,882.9680545013398,30.0315613001585,,10.097959699109197,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,883.0851429998875,0.015492700040340424,0.11501500010490417,6.015045300126076,889.084713101387,,889.1847800016403,889.1847800016403,0.015150101855397224,0.11492650024592876,space,4.362422399222851,893.6013331003487,893.6013331003487,5.020014941692352e-05,0.09755649976432323,num_9,2.097616298124194,895.751623631455,0.002109101042151451,0.11441420018672943,896.0846811011434,896.5514447307214,896.8512866012752,897.3346105301753,897.6680398005992,897.7347739003599,905.7514732014388,905.7514732014388,905.7513931309804,0.0009749997407197952,0.09754680097103119,906.7512388005853,907.7680044006556,907.9347091000527,908.4178575016558,10.014190800487995,915.8511399999261,-0.0005614981055259705,915.8511399999261,0.09761790186166763,2.0,4.232448698952794,920.1182985007763,0.0015731994062662125,0.0992995984852314,926.1179154012352,926.3180704312399,6.19910329952836,6.299305999651551,927.3346218001097,946.3012034306303,946.3013570010662,26.21581479907036,26.315565198659897,947.3013360016048,949.3180004004389,949.3180004004389,-9.600073099136353e-06,0.09923630021512508,979.3177068009973,30.032178500667214,,10.097404699772596,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
