loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,connecting_message.started,sync_beep_1.started,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,Game_Start_Text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,fixation_cross.stopped,player_image_intro.started,player_name_intro.started,player_image_offer.started,player_name_offer.started,proposed_split.started,proposed_split.stopped,accept_reject.started,accept_reject.stopped,offer_choice.started,arrow_instructions.started,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,Emotion_Image.started,AffinityScore.started,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.980716200001552,19.191488479989676,19.498286000000007,19.780215840000345,20.08497570000145,20.38357414000111,20.6929007000017,20.991655440000066,21.32587710000007,21.32587710000007,45.30156010000064,45.801598200001536,space,41.642067799997676,,,,,,,,,,,,,,,,,,,,,,,,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,87.46863480000138,93.677506,93.677506,93.677506,99.67592590000095,99.67592590000095,99.67592590000095,105.37593370000104,105.45922810000047,111.45929930000057,111.47588270000051,111.55927260000135,up,42.66330559999915,154.16610680000122,160.24039400000038,160.24039400000038,3.0,6.771803200001159,,,,,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.09793730000092,167.09793730000092,3.0,0.23769410000022617,,,,,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.38152160000027,167.38152160000027,3.0,0.7894833999998809,,,,,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.2355836000006,168.2355836000006,3.0,0.6512930999997479,,,,,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.94992190000085,168.94992190000085,3.0,0.7182071000006545,,,,,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.71412510000118,169.71412510000118,3.0,0.6078107000012096,,,,,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.3983646000015,170.3983646000015,3.0,0.621721500001513,,,,,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0474331000005,171.0474331000005,3.0,0.5823094999996101,666,Moral,2024-01-15_18h14.49.211,MoralCondition,2022.2.5,59.90911786837545,
,,,,,,,,,,,,,,,,,,,,,,171.63078550000137,177.81930960000136,177.81930960000136,177.81930960000136,183.80716960000063,183.80716960000063,183.80716960000063,189.52240800000072,189.6224073000012,195.62247410000055,195.63908580000134,195.72244170000158,down,48.81727739999769,244.47279340000023,,,,,,,,,,,,,,,
