loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,p_port_6.started,fixation_cross.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.111295180395246,0.001283199992030859,0.13028620008844882,16.710664259968325,17.31061335990671,17.90710135991685,18.244062099955045,0.011339800083078444,0.1470259000780061,33.24407529993914,15.030478300061077,33.34417359996587,0.01392440008930862,0.14731610007584095,33.844252999988385,space,11.741760800010525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,45.62747720000334,0.016900100046768785,0.13964950002264231,6.00614209997002,51.66072579997126,51.87750870001037,51.87750870001037,0.11658300005365163,0.28953660000115633,6.0059800000162795,57.91076689993497,57.91076689993497,57.91076689993497,0.06184640002902597,0.22286950005218387,63.64431949995924,63.79050120001193,6.0024183000205085,6.122912300052121,69.82754500000738,12.005868300097063,69.9275736999698,69.9275736999698,0.006329200114123523,0.13940680003724992,up,2.8241661000065506,72.79421099997126,4.6600005589425564e-05,0.13094569998793304,78.84426779998466,78.84426779998466,0.04424550000112504,0.18092010007239878,4.0,2.871220099972561,,,,,,,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.74428270000499,81.74428270000499,0.00890770007390529,0.1323122000321746,5.0,3.65791419998277,,,,,,,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.44407709990628,85.44407709990628,0.00887459993828088,0.13249290001112968,6.0,2.024651800049469,,,,,,,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.52778989996295,87.52778989996295,0.009329500026069582,0.14782980002928525,5.0,0.9066951000131667,,,,,,,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.46077319991309,88.46077319991309,0.00854599999729544,0.1323780999518931,4.0,0.8251369999488816,,,,,,,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.32757979992311,89.32757979992311,0.009389400016516447,0.13099940004758537,3.0,0.6562890000641346,,,,,,,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0274308999069,90.0274308999069,0.008678700076416135,0.13271260005421937,2.0,0.9916085000149906,,,,,,,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.06096589996014,91.06096589996014,0.0007366000209003687,0.13245680008549243,2.0,0.8329440000234172,666,Moral,2024-08-05_11h10.39.139,MoralCondition_v2,2022.2.5,59.964908547547616,
,,,,,,,,,,,,,,,,,,,,,,,,,91.92794079997111,0.00013880000915378332,0.13260319991968572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
