loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.747356599662453,0.000860600033774972,0.10796039993874729,17.064607299864292,17.331212060013787,17.93109065988101,18.231081099947914,18.547885759919883,18.864521899959072,18.864521899959072,0.010874100029468536,0.1081415000371635,33.88121459982358,15.024773599812761,33.964548599906266,0.00822839979082346,0.10808309982530773,34.43126729992218,space,9.431346599943936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,43.8979155998677,0.0012787000741809607,0.09823699994012713,49.89788919989951,6.0316208999138325,50.214464199962094,50.214464199962094,0.17822909983806312,0.3149468000046909,6.014863699907437,56.1977003000211,56.1977003000211,56.1977003000211,0.07040919992141426,0.19831259991042316,61.897845999803394,62.0979824999813,6.031737999757752,6.1317472998052835,68.09784339996986,12.03157449979335,68.1978500999976,68.1978500999976,68.23119459999725,68.23119459999725,0.03179479972459376,0.13156559970229864,up,0.991313099861145,69.26466779992916,4.879990592598915e-05,0.0972142000682652,75.29825649992563,75.29825649992563,0.02653290005400777,0.1306988000869751,2.0,2.2383415000513196,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5814666999504,77.5814666999504,0.01019329996779561,0.11460099997930229,2.0,0.2720578999724239,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.88101559993811,77.88101559993811,0.008525999961420894,0.09905579988844693,2.0,0.2915852000005543,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.23137459997088,78.23137459997088,0.010527499951422215,0.11394879990257323,2.0,0.23809610004536808,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.49793519987725,78.49793519987725,0.008734800154343247,0.09945109998807311,2.0,0.2581474999897182,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.79781739995815,78.79781739995815,0.01014139992184937,0.09787299996241927,2.0,0.25532189989462495,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0978204999119,79.0978204999119,0.008375499863177538,0.09907360002398491,2.0,0.2588368998840451,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3978903000243,79.3978903000243,0.0012733000330626965,0.09770689997822046,2.0,0.664068500045687,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,80.09781469986774,0.00014040013775229454,0.09937160019762814,86.11452059983276,6.015814800048247,86.38112489995547,86.38112489995547,0.16491369996219873,0.28251280006952584,6.015792400110513,92.38107449980453,92.38107449980453,92.38107449980453,0.07068279990926385,0.1824882000219077,98.08118269988336,98.28115849988535,6.01584509992972,6.11583839985542,104.28115940000862,12.01587300002575,104.38116270001046,104.38116270001046,104.4145022998564,104.4145022998564,0.016005899757146835,0.1159221997950226,up,0.8239440999459475,105.28117019985802,4.009995609521866e-05,0.11067870003171265,111.29761020001024,111.29761020001024,0.024024900048971176,0.11441959999501705,2.0,4.891505300067365,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.23092979984358,116.23092979984358,0.006523899966850877,0.09925369988195598,2.0,0.29377470002509654,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.58146109990776,116.58146109990776,0.007547999965026975,0.11454400001093745,2.0,0.24104110011830926,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.84773759986274,116.84773759986274,0.0059738000854849815,0.09876270010136068,2.0,0.1939544000197202,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.08122549997643,117.08122549997643,0.0052918000146746635,0.09908549999818206,2.0,0.1947055000346154,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.31425679987296,117.31425679987296,0.008138499921187758,0.0980175998993218,2.0,0.19118759990669787,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.54782279999927,117.54782279999927,0.006578100146725774,0.09903790010139346,2.0,0.22684919997118413,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.81442459998652,117.81442459998652,0.0017182999290525913,0.09785360004752874,2.0,0.1973822999279946,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,118.04783809999935,0.00039579998701810837,0.09726619999855757,124.06447059987113,6.0138179999776185,124.23123829998076,124.23123829998076,0.06813959986902773,0.1805265999864787,6.01384609984234,130.3311989000067,130.3311989000067,130.3311989000067,0.06510749994777143,0.18049219995737076,136.03155049984343,136.2311286998447,6.013837999897078,6.113870199769735,142.23114479985088,12.013888099929318,142.33115429989994,142.33115429989994,142.36450079991482,142.36450079991482,0.014086099807173014,0.11380289983935654,down,1.6093852000776678,144.0311246998608,4.259985871613026e-05,0.09790089982561767,150.03162959986366,150.03162959986366,0.009241199819371104,0.09805189981125295,2.0,8.156360100023448,,,,,,,130.23116099997424,130.23116099997424,150.03162959986366,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.23110729991458,158.23110729991458,0.007239900063723326,0.09971529990434647,2.0,0.19287650007754564,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.4643651000224,158.4643651000224,0.006582800066098571,0.09917620010674,2.0,0.1937082998920232,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.69786339998245,158.69786339998245,0.007555800024420023,0.09723790013231337,2.0,0.1906904000788927,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.93098969990388,158.93098969990388,0.007296200143173337,0.0979933999478817,2.0,0.19162840000353754,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.16455089999363,159.16455089999363,0.007570100016891956,0.09769029985181987,2.0,0.5910400000866503,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.81455069989897,159.81455069989897,0.008110799826681614,0.11450719996355474,2.0,0.5744331001769751,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
