loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,p_port_6.started,fixation_cross.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,p_port_10.started,accept_reject.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,Instructions_Affinity_Score.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.683146830252372,0.0008490000036545098,0.1344962000148371,25.999878900009207,26.28319573001936,26.599989300011657,26.883273930009455,27.199976400006562,27.496264730009717,27.833459799992852,0.015764000010676682,0.13444760005222633,15.001149700023234,42.8332359000342,42.89990850002505,0.0011860000668093562,0.10115250007947907,43.396345900022425,space,2.4183769000228494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,45.84997590002604,0.0005632000393234193,0.12921129999449477,6.012496299983468,51.863042399985716,52.13345389999449,52.13345389999449,0.1279979000100866,0.3162274000351317,6.01616360002663,58.15003469999647,58.15003469999647,58.15003469999647,0.07089470006758347,0.23280000005615875,63.883309500000905,64.04998579999665,5.999489500070922,6.132824600033928,11.999493500043172,70.08326340001076,70.16659480001545,70.16659480001545,0.03301330009708181,0.13275510008679703,down,1.9359894000226632,72.1501151000266,2.1499989088624716e-05,0.12872570002218708,78.1834555999958,78.1834555999958,0.02308489999268204,0.16212540003471076,4.0,2.2440265999757685,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.45004419999896,80.45004419999896,0.006778999988455325,0.1321540999924764,4.0,1.960000700026285,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.45006390003255,82.45006390003255,0.006135500036180019,0.13254460005555302,4.0,1.2608382999897003,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.74995030002901,83.74995030002901,0.006233799969777465,0.13227409997489303,4.0,1.0605034999898635,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.84996950003551,84.84996950003551,0.006578200031071901,0.13235099997837096,4.0,0.6602429000195116,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.54998640000122,85.54998640000122,0.0062200999818742275,0.13226209999993443,4.0,0.5937214999576099,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.18334809999214,86.18334809999214,0.007484900008421391,0.13240820000646636,4.0,0.7260721999919042,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.94993689999683,86.94993689999683,0.0004967999993823469,0.13243689999217167,4.0,4.949823400005698,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,91.93328009999823,0.0001230000052601099,0.11580689996480942,5.99930399999721,97.93339319998631,98.20012599998154,98.20012599998154,0.16108540003187954,0.29918760003056377,5.999175200005993,104.23342440003762,104.23342440003762,104.23342440003762,0.09050130005925894,0.23252850002609193,109.96664669999154,110.13342830003239,5.99915150005836,6.132594400027301,11.999169500020798,116.16664990002755,116.25006689998554,116.25006689998554,0.0327408000594005,0.13256290007848293,down,1.1966437000082806,117.47965600003954,1.9000028260052204e-05,0.10271330003160983,123.5001930000144,123.5001930000144,0.009607400046661496,0.13617350003914908,4.0,2.594163400004618,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.14992009999696,126.14992009999696,0.008935099991504103,0.14759930002037436,4.0,1.2397725000046194,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.41672440001275,127.41672440001275,0.006327799987047911,0.13230559998191893,4.0,0.760429700021632,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.2167316999985,128.2167316999985,0.005789000017102808,0.1322922999970615,4.0,0.5609453999786638,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.8166091000312,128.8166091000312,0.005874299968127161,0.1325457000057213,4.0,0.49465370003599674,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.34990889998153,129.34990889998153,0.005878500000108033,0.13256769999861717,4.0,0.46124129998497665,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.84997590002604,129.84997590002604,0.006363200023770332,0.13237890001619235,4.0,0.39407589996699244,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.28339300001971,130.28339300001971,0.0004928000271320343,0.13265849999152124,4.0,2.5336209000088274,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,132.85007260000566,9.899999713525176e-05,0.11540469998726621,6.015476899978239,138.8498944999883,139.08336400002008,139.08336400002008,0.12959419999970123,0.2654929999844171,6.032103199977428,145.15004869998666,145.15004869998666,145.15004869998666,0.08412250003311783,0.2321654999977909,150.88330520002637,151.04996879998362,6.0321495000389405,6.165407199994661,12.032072200032417,157.0832548000035,157.16655229998287,157.16655229998287,0.03219340002397075,0.13205240003298968,down,2.5529280999908224,159.74626079999143,1.3400043826550245e-05,0.09932080004364252,165.76309150003362,165.76309150003362,0.005613400018773973,0.11955800000578165,4.0,1.5819212999776937,,,,,,,165.76309150003362,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.38323079998372,167.38323079998372,0.006770100037101656,0.13233679998666048,5.0,1.6266624000272714,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.04991830000654,169.04991830000654,0.007903900055680424,0.13256470003398135,3.0,1.35901690000901,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.4499361999915,170.4499361999915,0.0061237000045366585,0.13246330001857132,4.0,1.4609158000093885,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.94995099998778,171.94995099998778,0.006194399960804731,0.13245069998083636,6.0,1.0939593000221066,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.08323550003115,173.08323550003115,0.005911899963393807,0.13255719997687265,3.0,1.3942573000094853,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.5165893000085,174.5165893000085,0.006102500017732382,0.13246679998701438,4.0,1.227375500020571,,,,,,,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.7832021000213,175.7832021000213,0.000522000016644597,0.13276850001420826,5.0,2.966681099962443,,666,Moral,2024-10-24_11h14.17.468,MoralCondition_v2,2022.2.5,60.009133403762334,
