loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,connecting_message.started,connecting_message.stopped,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.872390000033192,10.97255020000739,10.972413700004108,0.0007744000176899135,0.09538020001491532,11.389277899987064,11.65581910002511,12.072527499985881,12.072527499985881,0.028684200020506978,0.1287554000155069,32.089323699998204,20.01212700002361,32.18931480002357,32.18931480002357,0.012054100050590932,0.11206640006275848,space,5.794127799978014,,,,,,,,,,,,,,,,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
0,0,0,0,,,,,,,,,,,,,,,,,,,,38.03924760001246,0.003999800013843924,0.09841690002940595,44.055959600023925,6.015045200008899,44.17263380001532,0.03169000003254041,0.13189770001918077,50.1726178000099,6.0318271000287496,50.25581270002294,0.016273300047032535,0.11498280009254813,1.0,3.3663384999963455,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
1,0,1,0,,,,,,,,,,,,,,,,,,,,53.65621290000854,0.00023020000662654638,0.09913950000191107,59.672672700020485,6.015780800022185,59.789205299981404,0.030157900066114962,0.13240640005096793,65.78929190000053,5.999090300058015,65.85583289997885,0.0024080000584945083,0.09927520004566759,1.0,1.8476244999910705,6.099216300062835,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
2,0,2,0,,,,,,,,,,,,,,,,,,,,67.73956279997947,0.0004092000308446586,0.09777940000640228,73.75601700000698,6.014397900027689,73.87250970001332,0.03476700006285682,0.13115640002069995,79.87269490002654,6.03124810004374,79.9725392999826,0.03359010006533936,0.13109670008998364,3.0,11.398446800012607,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
3,0,3,0,,,,,,,,,,,,,,,,,,,,91.40621490002377,0.00022879999596625566,0.09916460001841187,97.42266869999003,6.015809000004083,97.53920880000805,0.03162780002458021,0.13243150006746873,103.52256469998974,6.032323300023563,103.62258460000157,0.017584500077646226,0.1157627000939101,1.0,2.0325941000483,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
4,0,4,0,,,,,,,,,,,,,,,,,,,,105.68953420000616,0.00039869995089247823,0.09816629998385906,111.68934470001841,6.031584699987434,111.83930859999964,0.04939250001916662,0.14843599998857826,117.83953639998799,6.0150639999774285,117.90596970001934,0.01752910000504926,0.11480350000783801,1.0,1.764931300014723,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
5,0,5,0,,,,,,,,,,,,,,,,,,,,119.70625490002567,0.0004670000053010881,0.09746950003318489,125.70612779998919,6.0309505999903195,125.83935179997934,0.027676000026986003,0.130844600033015,131.8393020000076,6.0308513000491075,131.9392834000173,0.03374020004412159,0.13084400002844632,2.0,4.198214799980633,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
6,0,6,0,,,,,,,,,,,,,,,,,,,,136.172689500032,0.0004938000347465277,0.09730550000676885,142.15606100001605,6.014053100021556,142.28553069999907,0.019208800047636032,0.1104676000541076,148.2725505999988,6.014069500030018,148.37258820002899,0.03065480006625876,0.13061410008231178,2.0,1.6331523000262678,6.097233000036795,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
7,0,7,0,,,,,,,,,,,,,,,,,,,,150.0392718000221,0.00016029999824240804,0.09845109999878332,156.03916039998876,6.015456900000572,156.1522791000316,0.019289400021079928,0.11155720002716407,162.17273480002768,6.032188600045629,162.25603280001087,0.01790680008707568,0.11547420005081221,2.0,0.9652130999602377,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
8,0,8,0,,,,,,,,,,,,,,,,,,,,163.25621830002638,0.00022719998378306627,0.09895229997346178,169.27272399998037,6.015581299958285,169.38934809999773,0.03430260001914576,0.13223200000356883,175.38942229998065,6.032210299978033,175.48931239999365,0.03485930000897497,0.13218260003486648,2.0,2.5316505000228062,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
9,0,9,0,,,,,,,,,,,,,,,,,,,,178.05649019998964,0.00042370002483949065,0.09792349999770522,184.05608810001286,6.031053500017151,184.20586789998924,0.04665610002120957,0.14766640006564558,190.20630720001645,6.0143496000091545,190.27274340001168,0.01714390004053712,0.11449610005365685,2.0,1.5982888999860734,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
10,0,10,0,,,,,,,,,,,,,,,,,,,,191.9063169999863,0.0005347999976947904,0.09699879999971017,197.90617939998629,6.030426700017415,198.03939629998058,0.02892850001808256,0.13034670002525672,204.0394325000234,6.030491400044411,204.1393376000342,0.03263390006031841,0.13021760008996353,2.0,1.6319854000466876,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
11,0,11,0,,,,,,,,,,,,,,,,,,,,205.80633240001043,0.00045280001359060407,0.09806799999205396,211.82277670002077,6.014647800009698,211.93973480002023,0.02858460001880303,0.13133380003273487,217.93946850002976,6.0313515000161715,218.0393246000167,0.033890800026711076,0.1311497000278905,2.0,1.4981093000387773,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
12,0,12,0,,,,,,,,,,,,,,,,,,,,219.57315569999628,0.00046390003990381956,0.09742810000898317,225.57280929997796,6.030722900002729,225.72260869998718,0.04800720006460324,0.14711990003706887,231.72285630000988,6.013978800037876,231.78938040003413,0.01668440009234473,0.1139879000838846,2.0,0.8649825999746099,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
13,0,13,0,,,,,,,,,,,,,,,,,,,,232.68973789998563,0.0006034999969415367,0.09723199997097254,238.7062403000309,6.013676500006113,238.82291540002916,0.028149600024335086,0.13068060000659898,244.8228562999866,6.03045469999779,244.92270090000238,0.03312750003533438,0.13040780002484098,2.0,1.264800299948547,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
14,0,14,0,,,,,,,,,,,,,,,,,,,,246.2231264000293,0.0005441000103019178,0.0970763000077568,252.23956389998784,6.013822600012645,252.35634080000455,0.029067000024951994,0.130580400058534,258.3561904000235,6.030436800036114,258.45607820001896,0.03305490006459877,0.13028000004123896,2.0,1.2316925000050105,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
15,0,15,0,,,,,,,,,,,,,,,,,,,,259.72298339998815,0.0005650999955832958,0.09745070000644773,265.722844599979,6.0305031999596395,265.8727647999767,0.04753470001742244,0.14711060002446175,271.8728158000158,6.013977900031023,271.9561904000002,0.03309480001917109,0.1305780000402592,2.0,0.731669900007546,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
16,0,16,0,,,,,,,,,,,,,,,,,,,,272.7230418000254,0.00024260004283860326,0.09927720000268891,278.7228062999784,5.999141600041185,279.2231479000184,0.23986400006106123,0.4991425000480376,,5.999305000063032,284.91917200002354,0.013402000069618225,0.09525060007581487,1.0,0.9367583999992348,,6.099256500019692,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
17,0,17,0,,,,,,,,,,,,,,,,,,,,285.9062068000203,0.0006272000027820468,0.09699160000309348,291.88927330001025,6.013337899988983,292.0228467999841,0.010088200040627271,0.11388640000950545,298.0228654000093,6.013695400033612,298.1227358999895,0.016222900070715696,0.11367900006007403,1.0,1.231713499990292,,6.097244700009469,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
18,0,18,0,,,,,,,,,,,,,,,,,,,,299.38968279998517,0.00022149999858811498,0.09912109997821972,305.38976869999897,5.999242099991534,305.50648590002675,0.01381149998633191,0.11578039999585599,311.50619089999236,6.015760299982503,311.60623859998304,0.018341400020290166,0.11573250003857538,1.0,0.8318415000103414,,6.099188199965283,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
19,0,19,0,,,,,,,,,,,,,,,,,,,,312.4730662999791,0.000555099977646023,0.09700999996857718,318.4895511000068,6.013714599946979,318.6063523000339,0.027834400010760874,0.13058100000489503,324.60636330000125,6.030494500009809,324.70611129997997,0.03255080000963062,0.1303065000101924,1.0,2.332210300024599,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
20,0,20,0,,,,,,,,,,,,,,,,,,,,327.07290969998576,0.000590300012845546,0.09786809998331591,333.08966200001305,6.014559399976861,333.20626870001433,0.029742600047029555,0.13125289999879897,339.2062757000094,6.031216100032907,339.3060170999961,0.03413140005432069,0.13116130005801097,1.0,0.6981056000222452,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
21,0,21,0,,,,,,,,,,,,,,,,,,,,340.0399242999847,0.00024279998615384102,0.09900190000189468,346.0561927999952,6.015657700016163,346.17284670000663,0.03244959999574348,0.13245070003904402,352.17286890000105,6.032295200042427,352.2562142999959,0.017686700040940195,0.11562530003720894,1.0,0.6989438000018708,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
22,0,22,0,,,,,,,,,,,,,,,,,,,,352.98993179999525,0.0005391000304371119,0.09711090003838763,358.972744800034,6.013658899988513,359.1228621000191,0.033091200049966574,0.1306033000582829,365.1228429999901,6.03045140003087,365.22279510000953,0.03328720008721575,0.13040330004878342,1.0,0.6648670000140555,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
