loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.548654209438247,0.0008057999657467008,0.11627959995530546,11.87688779993914,12.143553789972794,12.760386689950247,13.077055000001565,13.343637289979961,13.676881299936213,0.002027900074608624,0.09966219996567816,33.676867999951355,19.99954870005604,20.09960980003234,33.7768562999554,8.230004459619522e-05,0.099545200006105,34.22667979996186,space,1.1471306999446824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,35.42684929992538,0.0013058999320492148,0.0983096999116242,41.42684289999306,6.0317216999828815,41.66015769995283,41.66015769995283,0.08831060002557933,0.23164190002717078,6.031569099985063,47.74363319994882,47.74363319994882,47.74363319994882,0.08769720001146197,0.21511740004643798,53.44346640002914,53.61017390002962,6.0149733000434935,6.114913700032048,59.610118399956264,12.014917199965566,59.74347540002782,59.74347540002782,0.015126000042073429,0.11485400004312396,up,0.7980939000844955,60.59346959996037,7.079995702952147e-05,0.09772540000267327,66.62708589993417,66.62708589993417,0.027555300039239228,0.13108660001307726,1.0,4.104574500001036,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.77691180002876,70.77691180002876,0.01073859992902726,0.11438239994458854,1.0,0.6380300999153405,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4603317999281,71.4603317999281,0.010232500033453107,0.11453589994926006,1.0,0.5719165999908,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.06008359999396,72.06008359999396,0.008743899990804493,0.09889469994232059,7.0,1.3914798999903724,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.49341200001072,73.49341200001072,0.008701799903064966,0.09778529999312013,1.0,1.4235350000672042,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.97691939992364,74.97691939992364,0.010010300087742507,0.11420319997705519,1.0,0.4718482999596745,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.49362389999442,75.49362389999442,0.011328499997034669,0.11416899994947016,1.0,0.5705682999687269,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.09381739993114,76.09381739993114,0.001079500070773065,0.09849090001080185,7.0,1.865366099984385,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,77.99371670000255,0.00014000001829117537,0.09906479995697737,84.01007289998233,6.01564849994611,84.17668319994118,84.17668319994118,0.07948009995743632,0.18242550001014024,6.015621599974111,90.26019910001196,90.26019910001196,90.26019910001196,0.06747680006083101,0.16583359998185188,95.95997570001055,96.19335999991745,6.032318599987775,6.1323095000116155,102.19333179993555,12.03228270006366,102.30988009995781,102.30988009995781,0.03222589998040348,0.11556700000073761,down,1.991029900033027,104.34332370001357,1.810002140700817e-05,0.09927929996047169,110.3432178000221,110.3432178000221,0.009937299997545779,0.0991837999317795,6.0,2.7569455000339076,,,,,,,90.17668769997545,90.17668769997545,102.26000349991955,102.26000349991955,110.3432178000221,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.16033959994093,113.16033959994093,0.007534699980169535,0.11400890001095831,2.0,2.140786199946888,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.32678409991786,115.32678409991786,0.006215399946086109,0.09864789992570877,2.0,0.42696080007590353,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.79337939992547,115.79337939992547,0.006846300093457103,0.09924630005843937,2.0,0.5599826000398025,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.39331359998323,116.39331359998323,0.00700929993763566,0.09952499996870756,2.0,0.4602790999924764,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8931366999168,116.8931366999168,0.010684199980460107,0.09679260000120848,2.0,0.58725380001124,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.52661319996696,117.52661319996696,0.008347099996171892,0.0975719999987632,2.0,0.8232938000001013,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.39335729996674,118.39335729996674,0.001338499947451055,0.09754999994765967,1.0,3.164282099925913,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,121.5933002999518,0.00022320006974041462,0.09816240007057786,127.60993739997502,6.014776900061406,127.79334720002953,127.79334720002953,0.08471550000831485,0.19821940001565963,6.031397100072354,133.87657259998377,133.87657259998377,133.87657259998377,0.08637040003668517,0.18159210006706417,139.57650049997028,139.77658379997592,6.014796000090428,6.114751900080591,145.7765465999255,12.014753400115296,145.90988649998326,145.90988649998326,0.014967700117267668,0.11484950012527406,down,0.4872834999114275,146.44322110002395,8.309993427246809e-05,0.09794639993924648,152.46023620001506,152.46023620001506,0.008663399959914386,0.11457509989850223,7.0,2.307090000016615,,,,,,,133.7932584999362,133.7932584999362,145.87652769999113,145.87652769999113,152.46023620001506,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.79323640000075,154.79323640000075,0.006675699958577752,0.09803469991311431,2.0,2.359277099953033,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.19331629993394,157.19331629993394,0.0076135999988764524,0.0976465999847278,2.0,0.9912204999709502,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.22650899994187,158.22650899994187,0.008400599937886,0.09718319994863123,5.0,2.090141099994071,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.359715999919,160.359715999919,0.006919899955391884,0.0982039999216795,2.0,0.9257249000947922,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.32660739996936,161.32660739996936,0.007231099996715784,0.09777799993753433,2.0,0.4584628000156954,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8263840000145,161.8263840000145,0.00580179993994534,0.09929439995903522,2.0,0.8276598000666127,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.69345939997584,162.69345939997584,0.0007264000596478581,0.09909680008422583,2.0,2.1331432999577373,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,164.8598066000268,0.0005123999435454607,0.09686719998717308,170.87642370001413,6.013481899979524,171.04321779997554,171.04321779997554,0.06579889997374266,0.18024390004575253,6.01349060004577,177.1263693999499,177.1263693999499,177.1263693999499,0.06360410002525896,0.1634457999607548,182.82639900001232,183.05980259994976,6.030210400000215,6.130147000076249,189.0600205999799,12.03051139996387,189.1930731999455,189.1930731999455,0.030278600053861737,0.1301010000752285,down,0.3720039000036195,189.62641099991743,4.079996142536402e-05,0.09789850004017353,195.64309989998583,195.64309989998583,0.009507899987511337,0.11453889997210354,2.0,1.9394952999427915,,,,,,,177.02629059995525,177.02629059995525,189.12671709991992,189.12671709991992,195.64309989998583,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.60972780000884,197.60972780000884,0.0065336000407114625,0.09927620005328208,6.0,1.4936768999323249,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.1430305999238,199.1430305999238,0.007312600035220385,0.09823940007481724,2.0,1.0922260000370443,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.27643229998648,200.27643229998648,0.006370099959895015,0.09915259992703795,2.0,0.5610393000533804,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.89323649997823,200.89323649997823,0.008417800068855286,0.11420750000979751,2.0,1.140207099961117,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.05976869992446,202.05976869992446,0.00765089993365109,0.09796059993095696,2.0,0.5912289000116289,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.693077599979,202.693077599979,0.008392999996431172,0.09750540007371455,6.0,1.2231912000570446,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.95955449994653,203.95955449994653,0.0011388000566512346,0.09788170002866536,2.0,1.7646296001039445,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,205.75999669998419,0.00027169997338205576,0.09767200006172061,211.77628589991946,6.014324599993415,211.9428705999162,211.9428705999162,0.0686924000037834,0.1809901000233367,6.014278199989349,218.04302510002162,218.04302510002162,218.04302510002162,0.06699040008243173,0.1812332000117749,223.74298109998927,223.94314069999382,6.014488200074993,6.114095100085251,229.9429304000223,12.014350900077261,230.07620889996178,230.07620889996178,0.014388500130735338,0.1142676001181826,down,1.057066399953328,231.1928983000107,4.47999918833375e-05,0.09828389994800091,237.20940809999593,237.20940809999593,0.024593699956312776,0.1150663000298664,1.0,2.558013499947265,,,,,,,217.94295799999963,217.94295799999963,230.042882299982,230.042882299982,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.82635779993143,239.82635779993143,0.00787019997369498,0.1138865000102669,7.0,1.5741425000596792,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.42622149991803,241.42622149991803,0.006891400087624788,0.0982495000353083,7.0,1.3593249999685213,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.82612739992328,242.82612739992328,0.007902499986812472,0.09789980005007237,1.0,1.0576506999786943,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.92632189998403,243.92632189998403,0.007254499942064285,0.09794160001911223,1.0,0.25819149997550994,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.2262167999288,244.2262167999288,0.006597000057809055,0.09944979997817427,1.0,0.5269865000154823,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.79293469991535,244.79293469991535,0.00640070007648319,0.09861610003281385,1.0,0.5931243000086397,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.42630449996796,245.42630449996796,0.001258599921129644,0.09825509996153414,1.0,2.898283899994567,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,248.35977929993533,0.000242199981585145,0.09774130000732839,254.35949099995196,6.030954399961047,254.55964280001353,254.55964280001353,0.09337040001992136,0.19787350005935878,6.031008500023745,260.65932590002194,260.65932590002194,260.65932590002194,0.08813200006261468,0.19776890007779002,266.3594882999314,266.5595378000289,6.031081700115465,6.130838100099936,272.5594184999354,12.030905900057405,272.6927446000045,272.6927446000045,0.031061700079590082,0.13080360007006675,up,0.8247264999663457,273.5761135999346,4.0899962186813354e-05,0.09769379999488592,279.59255870000925,279.59255870000925,0.024491499993018806,0.11468599992804229,1.0,1.857840499957092,,,,,,,260.55944300000556,260.55944300000556,272.6594153000042,272.6594153000042,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.49273539998103,281.49273539998103,0.0066936000948771834,0.09930440003518015,1.0,0.5935403999174014,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.1429180999985,282.1429180999985,0.007742899935692549,0.11422019999008626,1.0,0.674034700030461,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.84275579999667,282.84275579999667,0.006759000010788441,0.09933720005210489,1.0,1.0600201999768615,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.94260299997404,283.94260299997404,0.007293300004675984,0.09822460007853806,1.0,0.6255305000813678,,,,,,,,,,,,,,,668,Moral,2024-02-15_17h39.07.456,MoralCondition_v2,2022.2.5,29.941796141968588,
