Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,p_port_3.stopped,p_port_5.stopped,p_port_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.447278660908342,0.0005332001019269228,0.09398830006830394,19.929691809997895,20.179351900005713,20.429350109840744,20.696091199992225,20.696091199992225,0.02727950015105307,0.12737490003928542,40.71286999993026,20.010663100052625,40.812839299906045,0.012094399891793728,0.11060839984565973,46.812851399881765,6.010714199859649,46.92952509992756,46.92952509992756,0.02753089996986091,0.1273441999219358,space,9.187422300223261,56.179534199880436,56.179534199880436,4.830001853406429e-05,0.09617989999242127,num_9,19.976075200131163,76.21296481003519,0.0013645000290125608,0.09825320006348193,76.52954189991578,77.01292130986694,77.32955739996396,77.79620110995602,78.09620389994234,78.19621399999596,86.19629110000096,86.19629110000096,86.19623810991179,0.015047300141304731,0.1147859999909997,87.19611619994976,88.19623879995197,88.37940219999291,88.87953229993582,12.01482450007461,98.34653529990464,0.017039400059729815,98.34653529990464,0.13155169994570315,2.0,5.065540199866518,103.4298017998226,0.002482200041413307,0.09789080009795725,109.42956259986386,109.61293540995102,6.214339199941605,6.3143728999421,110.62965389993042,139.6128286098363,139.6129621998407,36.21448239986785,36.31435010000132,140.6295816998463,142.6129360999912,142.6129360999912,0.014469800051301718,0.11413330002687871,172.61295460001566,30.014471200061962,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,172.74633679981343,0.015084499958902597,0.11461219983175397,178.74626829987392,6.014532799832523,178.84628069982864,178.84628069982864,0.014502499951049685,0.11442769994027913,space,4.701720300130546,183.61310079996474,183.61310079996474,8.09000339359045e-05,0.09775750013068318,num_9,3.446502699982375,187.1130054100184,0.00206389999948442,0.09796030004508793,187.42960399994627,187.89639901004267,188.19622999988496,188.71300110996236,189.02965819998644,189.0963001998607,197.09640089981258,197.09640089981258,197.09646201001016,0.014870200073346496,0.11470780009403825,198.09619889990427,199.096327399835,199.29632909991778,199.79642309993505,12.031350099947304,209.24623459996656,0.03427989990450442,209.24623459996656,0.13141709985211492,5.0,4.698067000135779,213.9800117998384,0.0037233999464660883,0.09777859994210303,219.99635819997638,220.1630187100498,6.214274700032547,6.314373299945146,221.1796734998934,250.16290561000352,250.16301869996823,36.21434049983509,36.31444550002925,251.17969030002132,253.17965079983696,253.17965079983696,0.00019779987633228302,0.09762150002643466,283.1963867000304,30.014372600009665,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,283.29649530001916,0.01517879986204207,0.11427899985574186,289.3130093999207,6.0309442998841405,289.4129980998114,289.4129980998114,0.031152699841186404,0.13110389979556203,space,4.510184200014919,293.9797002999112,293.9797002999112,3.920006565749645e-05,0.09776280005462468,num_9,36.74366530007683,330.76305150992704,0.0023026999551802874,0.09728249977342784,331.07969999988563,331.5631423099665,331.87960779992864,332.34626540991013,332.66301759984344,332.76303789997473,340.76302860002033,340.76302860002033,340.7628550099442,-0.000965300016105175,0.09760429989546537,341.779663000023,342.74628249998204,342.9463801998645,343.44635079987347,12.014167199842632,352.87962200003676,0.014781699748709798,352.87962200003676,0.11416629981249571,2.0,3.1004298999905586,356.01300619984977,0.003409900004044175,0.09751660004258156,362.0296648000367,362.1962082100334,6.21398469991982,6.297601999947801,,392.1963951099431,392.19631899986416,36.21417809999548,36.314166399883106,,395.19630349986255,395.19630349986255,0.01419209991581738,0.11415129993110895,425.21313879988156,30.031009000027552,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,425.3462857999839,0.031495200004428625,0.13060629996471107,431.36296279984526,6.014148699818179,431.4296475998126,431.4296475998126,0.0143606998026371,0.11410299991257489,space,3.310101800132543,434.779644299997,434.779644299997,3.620004281401634e-05,0.09766030008904636,num_9,2.1997273000888526,437.0132364100544,0.0023815000895410776,0.09756579995155334,437.32958949985914,437.7962345099775,438.09620899986476,438.59628010990565,438.8961459000129,438.9794443999417,446.9795770000201,446.99607879994437,447.01291311003735,0.013880700105801225,0.09726479998789728,448.029564099852,448.99603979988024,449.21305070002563,449.71293369983323,12.01391420001164,459.112905099988,0.0010505998507142067,459.112905099988,0.09756350005045533,6.0,3.231001199921593,462.37952760001644,0.002824199851602316,0.0971131999976933,468.39622729993425,468.56290811004584,6.2135573998093605,6.313565399963409,469.5796125999186,498.56299551001285,498.5628435998224,36.21355289989151,36.31355949980207,499.57951779989526,501.56284469994716,501.56284469994716,0.01357599999755621,0.11354349995963275,531.5795793000143,30.030311199836433,12.097477199975401,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,531.7127394999843,0.030894399853423238,0.1303378997836262,537.7127735998947,6.030248399823904,537.8130459999666,537.8130459999666,0.030287099769338965,0.1301282998174429,space,2.4065135000273585,540.2794997999445,540.2794997999445,3.7499936297535896e-05,0.0980940000154078,num_9,2.1319646001793444,542.4461501099402,0.0018057001288980246,0.09793050005100667,542.7461015998852,543.2294014099286,543.5293640999589,544.0460901100421,,544.4294469000306,552.4294437000062,552.4294437000062,552.4294992099283,0.014676900114864111,0.11460540001280606,553.42934589996,554.4295719999354,554.6294346998911,555.1294175998773,12.014630800113082,564.5630679999013,0.01718680001795292,564.5630679999013,0.11471150000579655,4.0,3.0983599999453872,567.6962729999796,0.0017202000599354506,0.09949079994112253,573.7127419000026,573.87938060991,6.2158965999260545,6.315866200020537,574.8962158998474,603.8959937098668,603.8959494999144,36.19914610008709,36.31585510005243,604.8958483999595,,606.9127666000277,0.01764600002206862,0.11578930006362498,636.912621299969,30.01575840008445,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.0126032999251,0.01625470002181828,0.11569350003264844,666.9957059000153,30.01546059991233,30.098881899844855,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
1,0,1,0,0,0,0,0,,,,,,,,667.0958435998764,0.0015356999356299639,0.09905679989606142,687.0958841999527,19.999012399930507,687.1959555000067,0.0013437997549772263,0.09876469965092838,693.1791866000276,5.999069899786264,693.2791740000248,693.2791740000248,0.01628949958831072,0.11562559963203967,space,3.044008400058374,696.3791274998803,696.3791274998803,6.38000201433897e-05,0.09776849998161197,num_9,1.8880993002094328,698.3291119100293,0.002313300035893917,0.09794710017740726,698.6291123998817,699.1291222100378,699.4625805998221,699.9124473098898,700.2291049000341,700.3124655999709,708.3125431998633,708.3125431998633,708.3124304100172,0.014699200168251991,0.11449300008825958,709.3290261998773,710.3123986998107,710.5124527998269,711.0123697998933,12.01441750000231,720.4288955999073,0.00045199994929134846,720.4288955999073,0.09769940003752708,2.0,3.3982728999108076,723.862582199974,0.0023256000131368637,0.09810970001854002,729.8790595999453,730.0457306099822,6.214783600065857,6.314595300005749,,760.0622988099465,760.0622968999669,36.23137459997088,36.33132980018854,761.0790086998604,,763.0790348998271,0.016408300027251244,0.11468940018676221,793.0788659998216,30.01474290015176,12.097686200169846,,,,,,,20.09898619982414,6.0821352996863425,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,793.1789173998404,0.015353100141510367,0.11460530012845993,799.1955495998263,6.031243599951267,799.2954249000177,799.2954249000177,0.03134899982251227,0.13138529984280467,space,3.060226700035855,802.4124612000305,802.4124612000305,4.5800115913152695e-05,0.09791310015134513,num_9,1.85457200021483,804.3122666099341,0.0021520000882446766,0.09785340004600585,804.6288872999139,805.0955556098604,805.3954669998493,805.912202010001,806.2289016998839,806.2955306000076,814.2957297998946,814.2957297998946,814.2955280098365,0.014861400006338954,0.09766230010427535,,816.2954708000179,816.4957646999974,816.9954903998878,12.014512000139803,826.4120069998316,-0.0008676000870764256,826.4120069998316,0.09789770003408194,6.0,2.4164054999127984,828.8620793998707,0.0020166998729109764,0.09837669995613396,834.8789197998121,835.0456037098309,6.214992600027472,6.315001199953258,,865.0620207100408,865.0620364998467,36.23163649998605,36.33159699989483,866.078695599921,868.0620218999684,868.0620218999684,0.0006309999153017998,0.09816649998538196,898.0785931998398,30.014820399926975,12.097719200188294,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,898.1787489999551,0.015473000006750226,0.11467619985342026,904.1784478998743,6.0148744999896735,904.2786039998755,904.2786039998755,0.014962999848648906,0.11477609979920089,space,3.180883000139147,907.5119071998633,907.5119071998633,3.6899931728839874e-05,0.09812099998816848,num_9,1.3472776000853628,908.895301409834,0.0023453999310731888,0.09740679990500212,909.2118863998912,909.6784162098309,909.9786195999477,910.4785081099951,910.7785922999028,910.8785837998148,918.8952235998586,918.8952235998586,918.8952746098628,0.0010259998962283134,0.09753649984486401,,920.8952472000383,921.061685499968,921.5786733999848,12.014202299993485,931.0117748999037,0.01693869987502694,931.0117748999037,0.11404729983769357,2.0,2.7649515999946743,933.8121515999082,0.002612899988889694,0.09812419977970421,939.8121762999799,940.0119267099769,6.231273799901828,6.33121439977549,941.0284808999859,969.9950127099407,969.9950708998367,36.214564699912444,36.31450939993374,,972.9950349000283,972.9950349000283,0.014522199984639883,0.11451820004731417,1003.0116268999409,30.03108339989558,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,1003.1449913999531,0.03180699981749058,0.1310474998317659,1009.1448966998141,6.03116189991124,1009.2283143999521,1009.2283143999521,0.014451299794018269,0.11431019986048341,space,2.6224416000768542,1011.9116318000015,1011.9116318000015,4.710000939667225e-05,0.0984475000295788,num_9,2.1072538001462817,1014.0783899098867,0.002652799943462014,0.09786189999431372,1014.3781642999966,1014.8614990099566,1015.1781931000296,1015.6616361099993,1015.9782271999866,1016.0782484998927,1024.0782149999868,1024.0782149999868,1024.0783800099277,0.0012431999202817678,0.09784659999422729,1025.078212399967,1026.0782068998087,1026.2615668999497,1026.761535299942,12.031088300049305,1036.194866699865,0.017376999836415052,1036.194866699865,0.11436179978772998,4.0,2.8648592999670655,1039.0951139999088,0.002421800047159195,0.09786570002324879,1045.0947687998414,1045.2948453098768,6.231188500067219,6.33106889994815,,1075.277978809853,1075.278068699874,36.21432409994304,36.31442139996216,1076.277985899942,1078.294728799956,1078.294728799956,0.00011220015585422516,0.09777310001663864,1108.3113157998305,30.014191000023857,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
