loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,30.28232650044374,0.0005323002114892006,0.10667160013690591,30.979865100095047,31.41335320007056,31.41335320007056,0.006321999942883849,0.10622740001417696,51.42986460006796,20.022867100080475,51.51334010018036,51.51334010018036,0.006376999896019697,0.10622309986501932,space,4.5803304999135435,,,,,,,,,,,,,,,,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
0,0,0,0,,,,,,,,,,,,,,,,,56.12983320001513,0.0017009000293910503,0.09801870002411306,62.14654210000299,6.014918899862096,62.37976699997671,0.12133739981800318,0.24815939972177148,6.0149195997510105,68.34640150004998,0.01599339977838099,0.11467029969207942,0.0,4.166779499966651,,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
1,0,1,0,,,,,,,,,,,,,,,,,72.54653639998287,0.0004718999844044447,0.09753639996051788,78.56314280000515,6.014157800003886,78.679673000006,0.03368729981593788,0.1308486999478191,6.030836699996144,84.77981250011362,0.033598499838262796,0.13082339987158775,0.0,1.6982100000604987,84.67980800010264,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
2,0,2,0,,,,,,,,,,,,,,,,,86.51337860012427,0.0004735998809337616,0.09788839984685183,92.52972090011463,6.014488999964669,92.64639290003106,0.03945329994894564,0.13120419974438846,6.031111399875954,98.7464930000715,0.034021999686956406,0.13104069977998734,0.0,3.1648801998235285,98.64652310009114,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
3,0,3,0,,,,,,,,,,,,,,,,,101.94681410002522,0.0005989000201225281,0.09707549982704222,107.96308250003494,6.013685700017959,108.06291800015606,0.022451299941167235,0.11372099979780614,6.013691299827769,114.16301350016147,0.01639199978671968,0.11380559974350035,2.0,3.2649207999929786,114.06309060007334,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
4,0,4,0,,,,,,,,,,,,,,,,,117.46339439996518,0.0003128000535070896,0.09850920015014708,123.46307369996794,6.031862800009549,123.61285460018553,0.05088529991917312,0.14868079987354577,6.015115499962121,129.6797237000428,0.01791119994595647,0.11508129979483783,3.0,2.4979964001104236,129.61303120013326,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
5,0,5,0,,,,,,,,,,,,,,,,,132.21335309999995,0.0005455000791698694,0.09754110011272132,138.21303110010922,6.030627199914306,138.3629400001373,0.04757880000397563,0.1472251999657601,6.013907699845731,144.42959200008772,0.016677199862897396,0.11391299986280501,0.0,1.531417999882251,144.36299320007674,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
6,0,6,0,,,,,,,,,,,,,,,,,145.99652110016905,0.0005532999057322741,0.09708400000818074,152.0129768999759,6.01373659982346,152.12950449995697,0.03916559973731637,0.13038319977931678,6.0303868998307735,158.22961100004613,0.03315179981291294,0.13052039965987206,0.0,1.2315741998609155,158.1297880001366,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
7,0,7,0,,,,,,,,,,,,,,,,,159.4965308001265,0.0002180000301450491,0.09891479997895658,165.49616550002247,6.015669099986553,165.61278620013036,0.014836600050330162,0.1157623000908643,6.015709900064394,171.71281140018255,0.018305399920791388,0.11559309996664524,1.0,1.2316516002174467,171.61295740003698,6.098897600080818,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
8,0,8,0,,,,,,,,,,,,,,,,,172.97984390007332,0.0004830998368561268,0.09729389986023307,178.99633290013298,6.013819999992847,179.11275260010734,0.0308422998059541,0.13049149978905916,6.030520499916747,185.21302360016853,0.032883099745959044,0.13045399961993098,0.0,1.2985538998618722,185.11304259998724,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
