Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Begin_Rinse.stopped,p_port_14.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,74.15389870060608,0.0005512000061571598,0.09559239994268864,74.66761968000792,75.15100847994908,75.43415270000696,75.43415270000696,0.014574000029824674,0.11201329994946718,95.43426429992542,20.012035500025377,95.53438900003675,0.013268899987451732,0.11203980003483593,101.5343084000051,6.012000999995507,101.63429099996574,101.63429099996574,0.012167999986559153,0.11196090001612902,space,7.628424199996516,109.31762719992548,109.31762719992548,4.5900000259280205e-05,0.09649300004821271,num_9,9.24724089994561,118.61770498002879,0.002311800024472177,0.09701859997585416,118.9177283999743,119.40100548004266,119.70095979992766,120.20095018001739,120.50089549995027,120.60096599999815,128.61760350002442,128.61760350002442,128.61768527999521,0.0005623999750241637,0.09708099998533726,129.61755959992297,130.61761219997425,130.8176131999353,131.33429090003483,12.013714600005187,140.73435189994052,0.016580300056375563,140.73435189994052,0.1138234999962151,2.0,8.798081399989314,149.56807049992494,0.0023843999952077866,0.0980621000053361,155.58428229996935,155.76763908001595,6.231671600020491,6.331409299978986,185.75088088000194,185.75099580001552,36.214836600003764,36.31479129998479,186.75092289992608,188.7509869999485,188.7509869999485,0.014829400111921132,0.11475470010191202,218.7509903999744,30.01482300006319,,,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
0,0,0,0,1,0,1,0,,,,,,,,,,,,218.88429439999163,0.015415900037623942,0.11454590014182031,224.88455950003117,6.014723700121976,224.98432339995634,224.98432339995634,0.01464890013448894,0.11470620008185506,space,7.388601000071503,232.43429210002068,232.43429210002068,3.8800062611699104e-05,0.09768780006561428,num_9,1.8583552000345662,234.35113907996566,0.0022527999244630337,0.09795249998569489,234.6509919000091,235.13423567994033,235.4509724000236,235.95102698002012,236.25096869992558,236.33429729996715,244.33431700000074,244.33431700000074,244.33418767999393,0.014586600009351969,0.11454330000560731,245.35097199992742,246.31747310003266,246.53432049998082,247.01749110000674,12.014483399922028,256.46773429994937,0.016092199948616326,256.46773429994937,0.11488590005319566,5.0,6.199340200051665,262.7013080000179,0.0025867000222206116,0.09825540008023381,268.7009564000182,268.901022179937,6.231366500025615,6.331402400042862,298.88435368002393,298.8844460999826,36.21488910005428,36.314700499991886,299.9009987999452,301.884322399972,301.884322399972,0.014799000113271177,0.114718500059098,331.8843005999224,30.014753200113773,269.9175225000363,,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
0,0,0,0,2,0,2,0,,,,,,,,,,,,332.0176281000022,0.015352400136180222,0.11470460006967187,338.034297300037,6.03136190015357,338.10074120003264,338.10074120003264,0.014418500126339495,0.09805910009890795,space,5.304581800010055,343.4509792999597,343.4509792999597,4.1899969801306725e-05,0.09800290002021939,num_9,1.5779831999680027,345.0843704799889,0.0020901000825688243,0.0980750999879092,345.4009651999222,345.8675276799593,,346.68433667994105,347.0009621999925,347.06762340001296,355.0676511999918,355.0676511999918,355.06766308001244,0.014859199989587069,0.11469159997068346,356.06758409994654,357.06760629999917,357.2675910999533,357.7677327999845,12.031371499993838,367.21743550000247,0.03447370009962469,367.21743550000247,0.13134820002596825,1.0,7.697850099997595,374.95117589994334,0.0028340000426396728,0.09730800008401275,380.96761719998904,381.13420767995996,6.213935200008564,6.313880100031383,411.1343529800186,411.1341489999322,36.21376620000228,36.3138410000829,412.15090250002686,414.13422140001785,414.13422140001785,0.0139079000800848,0.11386790010146797,444.1174288999755,30.013699700124562,382.15080709999893,30.097000200068578,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
0,0,0,0,3,0,3,0,,,,,,,,,,,,444.2508974999655,0.030596500146202743,0.13051700009964406,450.2675289999461,6.013780500157736,450.36751250003,450.36751250003,0.013958100113086402,0.11379020009189844,space,4.83701060002204,455.2675301999552,455.2675301999552,4.6200002543628216e-05,0.0979823999805376,num_9,1.2091103000566363,456.5342328799423,0.0023780999472364783,0.09784219996072352,456.8508558999747,457.3341872799909,457.6508524999954,458.117531179986,458.41771820001304,458.5175090000266,466.5342047000304,466.5342047000304,466.5342126800213,0.0010002999333664775,0.09786420001182705,467.55083810002543,468.5508372000186,468.73415289993864,469.2173675999511,12.014448100002483,478.6339950999245,0.0012032999657094479,478.6339950999245,0.09787699999287724,6.0,7.630794099997729,486.3011106000049,0.0015339000383391976,0.09926950000226498,492.2838365000207,492.483883980033,6.232333800056949,6.315503500052728,522.4674483800306,522.4675385999726,36.19930480001494,36.29928200005088,523.467295999988,525.4839476000052,525.4839476000052,0.015724100056104362,0.11573010007850826,555.4839539999375,30.015719900024123,493.4838773999363,30.098777700099163,12.09786169999279,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
0,0,0,0,4,0,4,0,,,,,,,,,,,,555.6006204999285,-0.0003730999305844307,0.09903560008388013,561.600494000013,5.999027400044724,561.7006441999692,561.7006441999692,-0.0001284999307245016,0.09898250014521182,space,6.712238800013438,568.4672970999964,568.4672970999964,5.749997217208147e-05,0.09750649996567518,num_9,0.9692005999386311,569.5007896800059,0.0027365999994799495,0.09785500005818903,569.8005874999799,570.2840065799653,570.6005991999991,571.1006454799324,571.4006239000009,571.5006226999685,,579.5173080000095,579.5172616799362,0.016977300052531064,0.11451350001152605,580.5171767999418,581.5004599000094,581.6670616000192,582.1839006999508,12.014434800017625,591.600414799992,0.00141810008790344,591.600414799992,0.0978525000391528,4.0,5.764508599997498,597.4007519999286,0.0023128000320866704,0.09779340005479753,603.4005344000179,603.6005606799852,6.231089000008069,6.331115100067109,633.5837370799388,633.583809099975,36.21443540009204,36.31447950005531,634.6006845999509,636.600417300011,636.600417300011,0.00046760006807744503,0.09787700010929257,666.5836964999326,30.014296000124887,604.6171944999369,30.09751640004106,12.097796999965794,6.099048800067976,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.7005530999741,0.031208300148136914,0.13099530013278127,696.7003261999926,30.03092930011917,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
1,0,1,0,0,0,0,0,,,,,,,696.8169655000092,0.01694700017105788,0.11421900009736419,716.8335092000198,20.030856100143865,716.9170364999445,0.015159100177697837,0.11424510017968714,722.9170376999537,6.014130900148302,723.0169324999442,723.0169324999442,0.014284300152212381,0.11413900018669665,space,5.028292599949054,728.1002709999448,728.1002709999448,4.6600005589425564e-05,0.09798200009390712,num_9,1.9602037000004202,730.1169660799903,0.002190200029872358,0.09781870001461357,730.4169585999334,730.9002508800011,731.2002370000118,731.7003928799647,732.0002151000081,732.1002411999507,740.1168745999457,740.1168745999457,740.1169722800375,0.0011224000481888652,0.09780000010505319,,742.1169621000299,742.2833997999551,742.783512199996,12.014438000041991,752.2168779999483,0.03115560009609908,752.2168779999483,0.13102860003709793,1.0,13.749984199996106,766.0004146000138,0.0015548000810667872,0.09933590004220605,772.0001074000029,772.1668403800111,6.199199600028805,6.298850000021048,802.2000729799736,802.200112999999,36.23242720006965,36.33229759999085,803.2000078000128,,805.2168703000061,0.01734990009572357,0.11576020007487386,835.216619499959,30.01556690002326,773.1667549000122,,12.09754960006103,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
1,0,1,0,1,0,1,0,,,,,,,,,,,,835.3166169000324,0.01611280010547489,0.11553910013753921,841.3166367999511,6.015641600126401,841.4166106999619,841.4166106999619,0.015652900096029043,0.11552470014430583,space,5.85214570001699,847.3333608999383,847.3333608999383,5.7999975979328156e-05,0.09784299996681511,num_9,1.3431238000048324,848.733277879958,0.002049500006251037,0.09800400002859533,849.0498832999729,849.5332990799332,849.8499257999938,850.3166020799661,850.6165637000231,850.7165661000181,858.7331881999271,858.7331881999271,858.7332792799687,0.0015497999265789986,0.0981065999949351,859.7497432000237,860.7164162999252,860.9165624999441,861.4164985999232,12.014577899943106,870.8497302000178,0.01748180005233735,870.8497302000178,0.11448220000602305,4.0,8.097817900008522,878.9835187999997,0.002732599969021976,0.09753170004114509,884.9832645999268,885.1831431799335,6.230812800000422,6.330841099959798,915.1665372800314,915.1664054000285,36.214149400009774,36.31405479996465,916.1664643000113,918.1828944999725,918.1828944999725,0.03061770007479936,0.1307974000228569,948.1828987000044,30.030641800025478,886.1998067999957,,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
1,0,1,0,2,0,2,0,,,,,,,,,,,,948.2995920999674,0.014465100015513599,0.11393420002423227,954.3162392999511,6.030614100047387,954.4163296000334,954.4163296000334,0.030707600060850382,0.13072720007039607,space,5.764291399973445,960.2162353999447,960.2162353999447,3.730005118995905e-05,0.09789680002722889,num_9,1.308841200079769,961.5829261799342,0.0022918001050129533,0.09814780007582158,961.8995343999704,962.3661986799677,962.6662190000061,963.1661497799912,963.4661079000216,963.5661867000163,971.5828156999778,971.5828156999778,971.5829894799506,0.001481100101955235,0.09800310002174228,972.5994862000225,973.58278409997,973.7828366999747,974.2994758000132,12.014566200086847,983.6826823999872,0.0015679000644013286,983.6826823999872,0.09819090005476028,2.0,10.064225499983877,993.7831832999364,0.002142600016668439,0.09913420001976192,999.7827145999763,999.9828013799386,6.199074300006032,6.29904049995821,1029.9659808800322,1029.9659773999592,36.21567129995674,36.315687499940395,1030.9658655999228,1032.9825357999653,1032.9825357999653,-0.0005314999725669622,0.09893259999807924,1062.9825038999552,30.032191700069234,1000.9999286999227,,12.098004900035448,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
1,0,1,0,3,0,3,0,,,,,,,,,,,,1063.0991858999478,0.015664900070987642,0.11536340008024126,1069.1158334999345,6.032174800056964,1069.215776899946,1069.215776899946,0.03229160001501441,0.13215050008147955,space,9.293446999974549,1078.5491758999415,1078.5491758999415,3.790005575865507e-05,0.09803009999450296,num_9,1.2633342000190169,1079.8491961799562,0.0019546999828889966,0.09780420002061874,1080.1490952000022,1080.6491722799371,1080.9491223000223,1081.4323968799551,1081.7491315000225,1081.84931770002,1089.8490946999518,1089.8490946999518,1089.8492322799982,0.0012377999955788255,0.09790269995573908,1090.849096299964,1091.8490965999663,1092.0322719999822,1092.5156261000084,12.014497700030915,1101.9656381999375,0.01725599996279925,1101.9656381999375,0.11442310002166778,5.0,5.865380199975334,1107.8658203999512,0.002330999937839806,0.09792480000760406,1113.8823265000246,1114.065724780038,6.2311112999450415,6.331134799984284,1144.0489259799476,1144.0489266000222,36.21449769998435,36.33105109992903,1145.0488610999892,1147.048887199955,1147.048887199955,0.014407900045625865,0.11435270006768405,1177.0319416000275,30.01422230002936,1115.065584499971,30.097487700055353,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
