Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_2.stopped,Roll_liquid_taste.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.109774710214698,0.00048019993118941784,0.11291010002605617,22.59183719002176,22.858460900140926,23.091888189944438,23.375097299925983,23.375097299925983,0.009766200091689825,0.11286829994060099,43.39183129998855,20.029544499935582,43.49178669997491,0.030886299908161163,0.1295385998673737,49.49178220005706,6.0295541998930275,49.59180720010772,49.59180720010772,0.029657499864697456,0.12955379975028336,space,2.85551830008626,52.508379500126466,52.508379500126466,4.2899977415800095e-05,0.09765089978463948,num_9,7.00315329991281,59.55852239013184,0.0021518999710679054,0.09775239997543395,59.85870320000686,60.341628289944495,61.141801590030084,61.45846950006671,61.55865210015327,69.57516370015219,69.57514528993052,0.01734319981187582,0.11440289998427033,70.57504940009676,71.57515050005168,71.74180270009674,72.2419265001081,12.014240199932829,12.097605400020257,81.6583330000285,0.00011899974197149277,81.6583330000285,0.09775089984759688,6.0,5.448593899840489,87.14217890007421,0.001632800092920661,0.09926309995353222,93.14177440013736,93.3083855900215,6.199269599979743,6.299257399979979,94.3084013001062,123.30847038996872,123.30844910000451,36.19930400000885,36.29932180000469,124.3084365001414,126.32513980008662,126.32513980008662,0.01604270003736019,0.1159336999990046,156.32508819992654,30.015929900109768,,,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,156.45842300006188,0.016700899926945567,0.11588949989527464,162.45842380006798,6.015937499934807,162.55845450004563,162.55845450004563,0.01604709983803332,0.1158944999333471,space,2.1052920997608453,164.70847050007433,164.70847050007433,4.4899992644786835e-05,0.09803650015965104,num_9,2.995074899867177,167.75846549000124,0.0023590000346302986,0.09829690004698932,168.05832509999163,168.54165198996196,169.34160739013458,169.6584239001386,169.74176470004022,177.7584394000005,177.7584301900817,0.0013512000441551208,0.09810640010982752,178.75842680013739,179.74150929995812,179.94147490011528,180.43787389993668,12.031369500095025,,189.87504389998503,0.015520500019192696,189.87504389998503,0.1147396001033485,1.0,7.2001398000866175,197.10863010003231,0.0019833999685943127,0.0985296000726521,203.1084162001498,203.2917398900492,6.215060299960896,6.315055700019002,204.30834210012108,233.29167559014166,233.2917427001521,36.21511490014382,36.315010600024834,234.30852050008252,236.3083790000528,236.3083790000528,0.0007852001581341028,0.09836320020258427,266.3250001000706,30.015054600080475,168.8584322000388,177.7584394000005,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,266.4250441000331,0.015611300012096763,0.1148014001082629,272.4250294000376,6.014982599997893,272.5249082001392,272.5249082001392,0.01517449994571507,0.11507279984652996,space,1.4100914997979999,273.99179739993997,273.99179739993997,3.7499936297535896e-05,0.09806539979763329,num_9,2.8633931998629123,276.9083680900978,0.0024574999697506428,0.0979744999203831,277.2083086001221,277.69162409000563,278.4916882900754,278.80855219997466,278.8748526999261,286.9083511000499,286.90830949011723,0.031223800033330917,0.13126710010692477,287.90826590009965,288.90835750009865,289.0916830999777,289.6083414000459,12.031359799904749,,299.0415622999426,0.033983799861744046,299.0415622999426,0.1310240998864174,4.0,3.4314562999643385,302.50849639996886,0.003081499831750989,0.09760289988480508,308.50832180003636,308.69152928998227,6.213973899837583,6.297486699884757,309.7084353000391,338.691539890063,338.6915871000383,36.214050699956715,36.31403100001626,339.7084201001562,341.6917105000466,341.6917105000466,0.01419969997368753,0.1139877000823617,371.6747397000436,30.013792200013995,278.0083902000915,286.87496890011244,30.09720479999669,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,371.8081853000913,0.030675499932840466,0.13061369978822768,377.79174589994363,6.0141815999522805,377.92505960003473,377.92505960003473,0.014074599836021662,0.11394589976407588,space,5.274420199915767,383.2413632001262,383.2413632001262,3.650016151368618e-05,0.0981053002178669,num_9,3.421495100017637,386.7248701899545,0.0019261999987065792,0.09779380005784333,,387.50816069000865,388.3081713900203,388.60808819998056,388.70835500000976,396.7247436000034,396.72482179005164,0.0009793001227080822,0.09785900008864701,397.72464650007896,398.7247377000749,398.9249239999335,399.4250603001565,12.031182600185275,,408.8580521000549,0.03413329995237291,408.8580521000549,0.13121129991486669,5.0,2.564966500038281,411.4582841999363,0.0015551000833511353,0.09929480007849634,417.4581365000922,417.6413419900229,6.19910699990578,6.299142000032589,418.6581491001416,447.64137249013874,447.6414034999907,36.21586430002935,36.31581400008872,448.65801930008456,450.6580283001531,450.6580283001531,0.0007164999842643738,0.09937370009720325,480.6578335000668,30.03223709994927,387.8082288999576,396.7247436000034,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,480.7746596999932,0.016454899916425347,0.11569319991394877,486.7743991999887,5.999015599954873,486.8411700001452,486.8411700001452,-0.000969200162217021,0.09908919990994036,space,1.9181261998601258,488.82465980015695,488.82465980015695,3.060000017285347e-05,0.1154671001713723,num_9,2.358378699980676,491.224636090151,0.0020502000115811825,0.09807599987834692,491.52453780011274,492.0079473901307,492.80777779005,493.1079125001561,493.2079000000376,501.2245738999918,501.22456589008215,0.001792999915778637,0.09810519986785948,502.22445089998655,503.2411724999547,503.4079165000003,503.9079247000627,12.014605900039896,,513.3410225999542,0.01748299994505942,513.3410225999542,0.11463919980451465,3.0,3.2313598999753594,516.6082634001505,0.0027894999366253614,0.09788549994118512,522.6078515001573,522.7910636900226,6.214322000043467,6.297960099996999,523.807724900078,552.7909453899367,552.7910345001146,36.21442089998163,36.31447699991986,553.8077386000659,555.7908803001046,555.7908803001046,0.014194900169968605,0.11441240017302334,585.790803699987,30.014141000108793,492.30787639995106,501.2245738999918,30.097553600091487,6.098787699826062,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.9077922001015,0.031222699908539653,0.13127889996394515,615.9242044999264,30.014243900077417,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
1,0,1,0,0,0,0,0,,,,,,,,616.0242489001248,0.016389999771490693,0.130879599833861,636.0242344001308,20.01423479989171,636.141039900016,0.032324399799108505,0.13126859976910055,642.1408274001442,6.030833299737424,642.240817700047,642.240817700047,0.030960099771618843,0.13081169966608286,space,2.974902799818665,645.2741489999462,645.2741489999462,4.8099784180521965e-05,0.09764919988811016,num_9,4.197458599694073,649.5072647900554,0.0010492999572306871,0.09916300000622869,649.8074290000368,650.2909236901207,651.0908054899658,651.4075541000348,651.4740065999795,659.4907440999523,659.4907708900748,0.015939899953082204,0.11581939994357526,660.5074070000555,661.50749800005,661.690915599931,662.2074186999816,12.015776399988681,,671.6238889000379,0.019671599846333265,671.6238889000379,0.11569249979220331,5.0,3.630428300006315,675.2909639000427,0.001547300023958087,0.09943059994839132,681.3074251001235,681.4742271899479,6.2156458999961615,6.299056499963626,,711.4741072900827,711.4739729999565,36.21584469988011,36.31590209994465,712.4739002001006,714.4904616000131,714.4904616000131,0.0015217000618577003,0.09907449991442263,744.4904466001317,29.999003200093284,650.6074095999356,659.4907440999523,30.0989693000447,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,744.590449700132,0.0005536000244319439,0.09896249999292195,750.5904339000117,6.032302099978551,750.7237895000726,750.7237895000726,0.03241299977526069,0.13226779992692173,space,1.2031352000776678,751.9737802001182,751.9737802001182,2.5700079277157784e-05,0.09887049999088049,num_9,1.969604899873957,754.0071076901397,0.0022001999896019697,0.0980942000169307,754.3070423000026,754.7905898901402,755.5904532900779,755.9070824000519,755.973566000117,764.0072719000746,764.0071167900926,0.03160149999894202,0.13140980014577508,765.023620299995,765.9902222999372,766.1736554000527,766.6737653999589,12.014492199989036,12.097813700092956,776.1069438999984,-0.0007249999325722456,776.1069438999984,0.0978681999258697,4.0,3.8331015000585467,779.9739405000582,0.0023413999006152153,0.09779489994980395,785.990508900024,786.1569881899516,6.214562200009823,6.2977089998312294,787.1735515999608,816.15689409005,816.1568955001421,36.21436719992198,36.31430109986104,817.1569020999596,819.1738124999683,819.1738124999683,0.0001634000800549984,0.09765359992161393,849.1732946000993,30.014092599973083,755.1071020001546,763.9737762000877,30.097423600032926,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,849.2734582000412,0.030967299826443195,0.13081119977869093,855.2901101000607,6.014155899873003,855.3900518000592,855.3900518000592,0.014280799776315689,0.11412319983355701,space,1.0895389998331666,856.5232643999625,856.5232643999625,3.779982216656208e-05,0.09799619996920228,num_9,1.9325238999444991,858.5067769900663,0.0024739999789744616,0.09811599995009601,858.8067453999538,859.2899415899767,860.0899562900188,860.4066664001439,860.506721300073,868.5233152001165,868.5233928900445,0.01776129985228181,0.11472680000588298,869.5400768001564,870.5400034000631,870.6900405001361,871.1900190000888,12.014549399958923,12.09799539996311,880.6065853999462,0.0013247998431324959,880.6065853999462,0.09805289981886744,3.0,3.4978165000211447,884.1403549001552,0.0015970999374985695,0.09952789987437427,890.156620600028,890.3231938899728,6.2157590999267995,6.315759100019932,891.3231166999321,920.3398221900454,920.3401262001134,36.23262699996121,36.33226460008882,921.3565058000386,923.3398013999686,923.3398013999686,0.0014224001206457615,0.09892489993944764,953.3397353999317,30.032208800083026,859.6066839001141,,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,953.4730662000366,0.032883299980312586,0.1321496998425573,959.489683700027,6.015524999937043,959.5563721000217,959.5563721000217,0.015589499846100807,0.11543809995055199,space,1.3708883998915553,960.9898115999531,960.9898115999531,5.8300094678997993e-05,0.09782550018280745,num_9,2.4410345999058336,963.4732122900198,0.0021033999510109425,0.09791429992765188,963.7729251999408,964.2562780901092,965.0729967899854,965.3730446000118,965.4730068999343,973.4895796999335,973.4897607899504,0.017024599947035313,0.11427109991200268,974.5061129999813,975.5063112000935,975.6729623000138,976.1560116000473,12.01444029994309,,985.5894510000944,0.017134799854829907,985.5894510000944,0.11433379980735481,6.0,4.464809299912304,990.0898830001242,0.0030679998453706503,0.0983271999284625,996.0895440999884,996.2727662899299,6.214853399898857,6.314684099983424,997.2728385999799,1026.2894869900076,1026.2894598999992,36.23157890001312,36.33163499995135,1027.3060876999516,,1029.3061182000674,0.01663860003463924,0.11488529993221164,1059.3226779999677,30.031402199994773,964.5563205999788,,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
