loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,Instructions_Affinity_Score.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,29.666081939823925,0.0007949001155793667,0.10086010000668466,29.98339099995792,30.23322272999212,30.549964299891144,30.833094930043444,31.133179999887943,31.433192629832774,31.749785299878567,31.749785299878567,0.017572900047525764,0.11760979983955622,51.74992659990676,20.01772050000727,51.88307039998472,0.01780859986320138,0.11764649976976216,52.34991579991765,space,12.008435999974608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,64.3999860000331,0.003263600170612335,0.09847049997188151,70.41654170001857,6.015220600180328,70.61651670001447,70.61651670001447,0.08214630000293255,0.21511249989271164,6.015067999949679,76.6997978000436,76.6997978000436,76.6997978000436,0.07399089983664453,0.19847949990071356,82.39990059984848,82.59983640001155,6.031899299938232,6.13180059986189,88.59984449995682,12.031789399916306,88.69989569997415,88.69989569997415,88.73329210001975,88.73329210001975,0.032155499793589115,0.1318176998756826,down,1.753085299860686,90.5499263999518,5.3900061175227165e-05,0.09591979999095201,96.58309970004484,96.58309970004484,0.02698620012961328,0.1294535999186337,2.0,2.236914200009778,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8498012998607,98.8498012998607,0.008260099915787578,0.09913869993761182,2.0,0.7251551998779178,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.63344480004162,99.63344480004162,0.011383100179955363,0.11540500004775822,2.0,1.5051935999654233,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.18317859992385,101.18317859992385,0.025719499913975596,0.11573709989897907,5.0,2.2244317999575287,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4664956999477,103.4664956999477,0.01060110004618764,0.11424539983272552,1.0,1.8710926999337971,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.36637479998171,105.36637479998171,0.011361300013959408,0.09769889991730452,5.0,1.520637599984184,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.93318459996954,106.93318459996954,0.007672900101169944,0.09915679995901883,2.0,1.325840000063181,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.29996580001898,108.29996580001898,0.0013995999470353127,0.09764249995350838,2.0,2.3976038999389857,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,110.73322479985654,0.0004930999130010605,0.09689479996450245,116.7497642999515,6.013504199916497,116.95000559999608,116.95000559999608,0.0965133998543024,0.21357149980030954,6.013507699826732,122.99989759991877,122.99989759991877,122.99989759991877,0.06830749963410199,0.16375819966197014,128.70001639984548,128.93335930001922,6.0304135996848345,6.130258999764919,134.93319539981894,12.030264799715951,134.99985809996724,134.99985809996724,135.06654689996503,135.06654689996503,0.03039699955843389,0.13020909973420203,down,0.7313761000987142,135.83320260001346,3.2800016924738884e-05,0.09818770014680922,141.83315109997056,141.83315109997056,0.007184399990364909,0.09835510002449155,2.0,1.592039399780333,,,,,,,141.83315109997056,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.466642400017,143.466642400017,0.006653999909758568,0.09929600008763373,2.0,0.6935540998820215,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.20002710004337,144.20002710004337,0.009250900009647012,0.09774600015953183,5.0,2.0561861000023782,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.2996350999456,146.2996350999456,0.007567400112748146,0.09785340004600585,2.0,1.5576786000747234,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.89986619981937,147.89986619981937,0.007642200216650963,0.09817640017718077,2.0,0.6582246001344174,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.59980809991248,148.59980809991248,0.006979299942031503,0.09922500001266599,5.0,2.159930999856442,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.81673939991742,150.81673939991742,0.00804680003784597,0.1143263999838382,2.0,1.474055300001055,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.31663889996707,152.31663889996707,0.0007031999994069338,0.0989778998773545,3.0,2.6159251001663506,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,154.96634339983575,9.940005838871002e-05,0.11559780011884868,160.96650339988992,5.999333499930799,161.14988989988342,161.14988989988342,0.0671637998893857,0.1828222000040114,6.015980599913746,167.2497494998388,167.2497494998388,167.2497494998388,0.07641219976358116,0.1827482997905463,172.94992309994996,173.14993049995974,6.015956099843606,6.115932799875736,179.14993650000542,12.01596049987711,179.23303739982657,179.23303739982657,179.2663902998902,179.2663902998902,0.015682999743148685,0.09917059983126819,down,6.212077100062743,185.53329799999483,3.150012344121933e-05,0.09887340012937784,191.54996900004335,191.54996900004335,0.026740600122138858,0.11536560021340847,2.0,1.5897359000518918,,,,,,,,6.099169899942353,167.13313989993185,167.13313989993185,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.18318629986607,193.18318629986607,0.006879900116473436,0.09914050018414855,2.0,0.493316899985075,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.71661689993925,193.71661689993925,0.006774600129574537,0.09929440007545054,6.0,2.29362259991467,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.04972789995372,196.04972789995372,0.007023199927061796,0.0976675997953862,1.0,1.5254319999366999,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.61660629999824,197.61660629999824,0.0065194000490009785,0.09912990010343492,1.0,0.427137800026685,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0832549999468,198.0832549999468,0.00756950001232326,0.09839880000799894,1.0,0.45813409984111786,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.58322070003487,198.58322070003487,0.006518200039863586,0.09898680006153882,1.0,0.593960499856621,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.2166829998605,199.2166829998605,0.0011138999834656715,0.09866110002622008,7.0,2.2652912999037653,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,201.5168135999702,0.000300099840387702,0.09800659981556237,207.51651939982548,6.031241699820384,207.69996330002323,207.69996330002323,0.07648699986748397,0.18146489979699254,6.014562799828127,213.80007159989327,213.80007159989327,213.80007159989327,0.07671789964661002,0.18151349970139563,219.50003069988452,219.6998934999574,6.014631199650466,6.114579799817875,225.69990889984183,12.014648799784482,225.79994799988344,225.79994799988344,225.83320220001042,225.83320220001042,0.014835999580100179,0.11456779972650111,up,0.22914050007238984,226.09992259996943,4.329998046159744e-05,0.09798009996302426,232.09979170002043,232.09979170002043,0.007318600080907345,0.09798819990828633,1.0,1.5916536999866366,,,,,,,232.09979170002043,,213.6998123000376,213.6998123000376,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.7500326000154,233.7500326000154,0.007764299865812063,0.11419970006681979,1.0,0.473988100187853,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.24972769990563,234.24972769990563,0.006588499993085861,0.09911479987204075,1.0,0.4936634998302907,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.7830990999937,234.7830990999937,0.007589600048959255,0.0974435000680387,1.0,0.6248028001282364,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.4496654998511,235.4496654998511,0.007835400057956576,0.09805959998629987,7.0,1.2910253999289125,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.78319490002468,236.78319490002468,0.0064935998525470495,0.09821500000543892,1.0,1.126440600026399,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.9497252998408,237.9497252998408,0.008072199998423457,0.09856830001808703,1.0,0.45817180001176894,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.44982800004072,238.44982800004072,0.0022229000460356474,0.09747290005907416,7.0,1.1297180999536067,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,239.6168909999542,0.0002761001233011484,0.09778930013999343,245.63319349987432,6.0144257000647485,245.79993609990925,245.79993609990925,0.0692888000048697,0.1814133001025766,6.014465000014752,251.88350300001912,251.88350300001912,251.88350300001912,0.06897499994374812,0.16457879985682666,257.58329219999723,257.81671070004813,6.031327799893916,6.131105699809268,263.81651939987205,12.031141999876127,263.88321079988964,263.88321079988964,263.94991089985706,263.94991089985706,0.03131169988773763,0.1311501997988671,down,0.5772847000043839,264.5665255000349,2.9099872335791588e-05,0.09917799988761544,270.5830901998561,270.5830901998561,0.025757099967449903,0.11576439999043941,7.0,2.4911056000273675,,,,,,,,,251.79983050003648,251.79983050003648,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1165469000116,273.1165469000116,0.006627499824389815,0.09919599979184568,1.0,1.7266182999592274,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.883112099953,274.883112099953,0.006026299903169274,0.0990124000236392,1.0,0.46073819999583066,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.3830794999376,275.3830794999376,0.006656100042164326,0.09912339993752539,1.0,1.3936015998478979,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.8164718998596,276.8164718998596,0.006755100097507238,0.09908480010926723,7.0,1.5937241001520306,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.44966339995153,278.44966339995153,0.007062199991196394,0.09825649997219443,1.0,0.859146700007841,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.3500045998953,279.3500045998953,0.007215299876406789,0.09789910004474223,1.0,0.5585743999108672,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.94974279985763,279.94974279985763,0.0012546000070869923,0.09787810011766851,1.0,1.6645754999481142,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,281.6503045000136,0.0001387998927384615,0.09948209999129176,287.6665272000246,6.016110799973831,287.81646070000716,287.81646070000716,0.06736059999093413,0.16615309985354543,5.999324499862269,293.91646069986746,293.91646069986746,293.91646069986746,0.05625459970906377,0.16597489989362657,299.6164463998284,299.8164734998718,5.999405899783596,6.099368599709123,305.81649590004236,11.999391399789602,305.91669209999964,305.91669209999964,305.94985460001044,305.94985460001044,0.000371899688616395,0.09930929960682988,down,1.4968635998666286,307.48314999998547,4.770001396536827e-05,0.0979456000495702,313.5166473998688,313.5166473998688,0.02570870006456971,0.1312891999259591,1.0,1.540329499868676,,,,,,,,,293.8164905998856,293.8164905998856,6.09939769981429,12.099580999696627,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0833772998303,315.0833772998303,0.007149800192564726,0.09819080005399883,6.0,4.125773899955675,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.2497939998284,319.2497939998284,0.007681699935346842,0.09822520008310676,1.0,1.491167000029236,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7832088000141,320.7832088000141,0.007518199970945716,0.0978445999789983,1.0,0.6245752999093384,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.4496957999654,321.4496957999654,0.0070368999149650335,0.09811990009620786,1.0,0.5920496000908315,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.09991250000894,322.09991250000894,0.007943199947476387,0.1139911999925971,1.0,0.5737719000317156,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.6998439000454,322.6998439000454,0.007979300105944276,0.09734550002031028,6.0,0.957133499905467,,,,,,,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.69981599994935,323.69981599994935,0.0011881000827997923,0.09793400019407272,2.0,1.699530600104481,,,,,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,325.4330994999036,0.0002266999799758196,0.09871399984695017,331.43314810004085,6.031938900006935,331.61631209985353,331.61631209985353,0.07713219989091158,0.18189899972639978,6.015175399836153,337.71628970000893,337.71628970000893,337.71628970000893,0.07782049966044724,0.18194579984992743,343.4164203000255,343.6164287000429,6.015131999738514,6.115115599706769,349.61644200002775,12.015170899685472,349.7162508999463,349.7162508999463,349.73291469994,349.73291469994,0.014929399592801929,0.09869409957900643,down,0.8894219999201596,350.6664015999995,4.5000109821558e-05,0.09776080003939569,356.6833080998622,356.6833080998622,0.009351800195872784,0.11436350014992058,5.0,4.806048800004646,,,,,,,356.6833080998622,,337.6164597000461,337.6164597000461,,,671,Moral,2024-03-15_17h16.06.447,MoralCondition_v2,2022.2.5,30.00032700954687,
