loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.832931879581883,0.0005868000444024801,0.09660300007089972,13.250122700119391,13.53354421018157,13.950147000141442,13.950147000141442,0.0029990999028086662,0.09681169991381466,33.950034599984065,20.030193199869245,34.08338180021383,34.08338180021383,0.030426199780777097,0.13016989990137517,space,1.9874234998133034,,,,,,,,,,,,,,,,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
0,0,0,0,,,,,,,,,,,,,,,,,,36.133498599985614,0.0019396001007407904,0.09855509991757572,42.1333277001977,6.03180760005489,42.28344020014629,0.04827239993028343,0.14869539998471737,6.015221499837935,48.28335660020821,48.34982350002974,0.01844859984703362,0.11500689992681146,1.0,4.297548700124025,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
1,0,1,0,,,,,,,,,,,,,,,,,,52.6835715000052,0.00042070006020367146,0.09810380009002984,58.699974900111556,6.014681600034237,58.81654670019634,0.03421119996346533,0.1312074998859316,6.031217299867421,64.81664460012689,64.91651830007322,0.034075699746608734,0.13116069976240396,0.0,2.231673400150612,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
2,0,2,0,,,,,,,,,,,,,,,,,,67.183534800075,0.00022929999977350235,0.09902459988370538,73.20007560006343,6.015774399973452,73.31666960008442,0.029325699899345636,0.13251839973963797,6.03240289981477,79.31657290016301,79.39986720005982,0.018561999779194593,0.11552049964666367,0.0,1.1980733999516815,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
3,0,3,0,,,,,,,,,,,,,,,,,,80.63327310001478,0.00038029998540878296,0.09849260002374649,86.64996429998428,6.015115600079298,86.76651260000654,0.04098109994083643,0.13193529983982444,6.031713699921966,92.76666310010478,92.84978450019844,0.01676999987103045,0.11493119993247092,0.0,0.8324678000062704,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
4,0,4,0,,,,,,,,,,,,,,,,,,93.71709710010327,0.0004830998368561268,0.09751149988733232,99.71658990019932,6.030664399964735,99.93327750009485,0.08728209976106882,0.21398609969764948,6.013959499774501,,105.93318280018866,0.016082899644970894,0.11387079977430403,1.0,1.2655694999266416,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
5,0,5,0,,,,,,,,,,,,,,,,,,107.23347040009685,0.0002229998353868723,0.09893610002472997,113.2332264999859,5.999012899817899,113.3499157000333,0.014791699824854732,0.11590079986490309,6.015669399872422,119.3498531000223,119.44977640011348,0.01791629963554442,0.11564359976910055,0.0,1.4321319002192467,6.099157099844888,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
6,0,6,0,,,,,,,,,,,,,,,,,,120.91700730007142,0.0002414998598396778,0.09901409992016852,126.93319750018418,6.015836299862713,127.04996310011484,0.028829299844801426,0.13252049987204373,6.0323062997777015,133.0499935001135,133.14973740000278,0.03486599982716143,0.1322980998083949,0.0,1.0982862999662757,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
7,0,7,0,,,,,,,,,,,,,,,,,,134.2831680001691,0.0003754999488592148,0.09844580013304949,140.2999415001832,6.014813699992374,140.41646119998768,0.032225399976596236,0.13150909985415637,6.031334900064394,146.4164462001063,146.49978140019812,0.016367999836802483,0.11460059997625649,1.0,2.0659320999402553,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
8,0,8,0,,,,,,,,,,,,,,,,,,148.60018350020982,0.00022240006364881992,0.0990130000282079,154.61642930004746,6.015679399948567,154.7330315001309,0.03228989988565445,0.13234909996390343,6.032409199979156,160.73315880005248,160.83309790003113,0.03499769978225231,0.13250899990089238,0.0,1.6316134000662714,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
