Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,taste_sound_3.stopped,spit_sound.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,16.119494140008467,0.0005136998370289803,0.1008660001680255,16.599887279747055,16.849731899797916,17.10000958009623,17.349698099773377,17.349698099773377,0.0005423002876341343,0.10080170026049018,37.36645219987258,20.01744389999658,37.48316949978471,0.0029158000834286213,0.10071610007435083,43.48311890009791,6.000642300117761,43.58312309999019,43.58312309999019,0.0008064000867307186,0.10094380006194115,space,16.720551500096917,60.34980960004032,60.34980960004032,5.239993333816528e-05,0.09759709984064102,num_9,3.633096200414002,64.03320707981474,0.001663499977439642,0.09792430000379682,64.3497831998393,64.81650628005154,65.11639849981293,65.61628628005273,66.0164429997094,74.01639720005915,74.01639720005915,74.01657657972537,0.014646199997514486,0.11461929976940155,76.03322889981791,76.2164211999625,76.69971789978445,12.014588799793273,86.14971240004525,0.01759959990158677,86.14971240004525,0.11470079980790615,5.0,3.4312277999706566,89.61682779993862,0.0036989999935030937,0.09705970017239451,95.61632920010015,95.7997384797316,6.213750299997628,6.309877300169319,96.79968230007216,125.79958477984182,125.7995428997092,36.21352510014549,36.29717090027407,126.79956350009888,128.79953429987654,128.79953429987654,0.013547000009566545,0.11370409978553653,158.79962459998205,30.013632799964398,30.096922399941832,,,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,158.91634130012244,0.030435999855399132,0.13044489966705441,164.9329579998739,6.0136887999251485,165.01616359967738,165.01616359967738,0.013484399765729904,0.09697039984166622,space,1.43866700027138,166.4996299999766,166.4996299999766,3.929995000362396e-05,0.09806540003046393,num_9,2.8354140003211796,169.39984497982078,0.0023981998674571514,0.09754619980230927,169.6995987999253,170.18299897988328,170.49960079975426,170.983151679812,171.39963970007375,179.39963879995048,179.39963879995048,179.39962997981348,0.0008510998450219631,0.09755169972777367,181.3995734998025,181.58297539968044,182.08294919971377,12.014113399665803,191.49949610000476,0.0009929998777806759,191.49949610000476,0.09741909988224506,4.0,3.6808801000006497,195.2166257998906,0.0031751003116369247,0.09790599998086691,201.21622580010444,201.39955967986026,6.2146464004181325,6.314495900180191,202.39953379984945,231.41618497991004,231.4162979000248,36.231315300334245,36.331328300293535,232.41613300004974,234.41616729972884,234.41616729972884,0.00033299997448921204,0.09791490016505122,264.41611819993705,30.0311194001697,,171.29964610002935,180.39960950007662,12.097513800021261,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,264.54944079974666,0.03172989981248975,0.13112459983676672,270.54941459978,6.031145200133324,270.64938759990036,270.64938759990036,0.031180299818515778,0.13105579977855086,space,1.5974751999601722,272.28273990005255,272.28273990005255,4.150019958615303e-05,0.09801340010017157,num_9,2.7643850999884307,275.08279858012685,0.0021529002115130424,0.09787499997764826,275.39939799997956,275.86606447999367,276.166091799736,276.6827977797482,277.0660669999197,285.06602289993316,285.06602289993316,285.06596077973956,0.01452689990401268,0.11450099991634488,287.0827335999347,287.2661528000608,287.76604209979996,12.014456700067967,297.1826434000395,0.0013604001142084599,297.1826434000395,0.09762360015884042,3.0,2.9640399999916553,300.1826541000046,0.002811499871313572,0.09741479996591806,306.1827106997371,306.3661468796898,6.214012099895626,6.314037899952382,,336.36578447972425,336.3659071000293,36.21400870010257,36.31398059986532,,339.36588130006567,339.36588130006567,0.014040399808436632,0.11391539964824915,369.36562500009313,30.013694499619305,30.097125499509275,276.99940879968926,286.06599189992994,12.097751600202173,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,369.4825709001161,0.030724299605935812,0.13053069962188601,375.4825800997205,6.030693699605763,375.5990897999145,375.5990897999145,0.01387889962643385,0.11380119947716594,space,2.5516870003193617,378.19906469993293,378.19906469993293,4.389975219964981e-05,0.09779269993305206,num_9,2.2721081003546715,380.51583298011684,0.0019323001615703106,0.0981017998419702,380.81565969996154,381.2991474801209,381.5989665999077,382.0989061798435,382.49905649991706,390.5157614997588,390.5157614997588,390.51602067979985,0.0015747998841106892,0.09803789993748069,392.53240090003237,392.69905949989334,393.18224749993533,12.01459649996832,402.6322518000379,0.017553499899804592,402.6322518000379,0.1145028998143971,5.0,3.298086800146848,405.9659624998458,0.0011196001432836056,0.09933070000261068,411.982310899999,412.1323129799683,6.199228799901903,6.299296100158244,413.1489789998159,442.1488963798154,442.1488793999888,36.21584750013426,36.315976600162685,443.14886569976807,445.14887379994616,445.14887379994616,0.01585999969393015,0.11587959993630648,475.1654284000397,29.99906459962949,30.098953299690038,382.3989736000076,391.5323931998573,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,475.26545700011775,0.0002782996743917465,0.0990685997530818,481.2655511996709,5.999180499929935,481.3654108000919,481.3654108000919,-0.00033110054209828377,0.09898729948326945,space,2.10574600007385,483.5320914001204,483.5320914001204,9.189965203404427e-05,0.09824809990823269,num_9,2.5546082998625934,486.1488468800206,0.002156099770218134,0.09794589970260859,486.46525439992547,486.93207617984154,487.2486785999499,487.7322342800442,488.1320237000473,496.1486896998249,496.1486896998249,496.14870557975956,0.001056899782270193,0.09794839983806014,498.14867009967566,498.3320047999732,498.83197409985587,12.014486900065094,508.24851679988205,0.0009369999170303345,508.24851679988205,0.09780129976570606,2.0,3.3980435002595186,511.68233099998906,0.0027022999711334705,0.09787760023027658,517.6819365001284,517.8651793798897,6.214296400081366,6.314451700076461,,547.8819524799007,547.8817952000536,36.230989600066096,36.330993600189686,548.8984666001052,550.8818306000903,550.8818306000903,-4.009995609521866e-05,0.09769070008769631,580.8816565000452,30.030847299844027,,488.048700499814,497.14872770011425,12.097817599773407,6.098908699583262,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.0149946999736,0.0311727998778224,0.13082299986854196,30.013882599771023,610.9981758999638,30.09725009975955,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,611.0815392998047,-0.0007139001972973347,0.0972925997339189,617.0980281997472,6.013991599902511,617.1982022998855,617.1982022998855,0.014004199765622616,0.11399969970807433,space,2.6253404999151826,619.8815330998041,619.8815330998041,3.62996943295002e-05,0.09792830003425479,num_9,3.517716399859637,623.4648293801117,0.001991999801248312,0.09794209990650415,623.764756700024,624.2480991798918,624.5647542998195,625.0481914798263,625.4313463997096,633.4481533998623,633.4481533998623,633.4481684797909,0.014659000094980001,0.1147006000392139,635.4481064998545,635.6481375996955,636.1480592996813,12.031236299779266,645.59797659982,0.03395439963787794,645.59797659982,0.1310275997966528,2.0,2.6981966998428106,648.3314240998589,0.0016379998996853828,0.11585759976878762,654.3313704999164,654.4981391797307,6.199200599920005,6.298867499921471,655.4979503001086,684.5145834800321,684.5145641998388,36.215649699792266,36.31543060019612,,687.5312787001021,687.5312787001021,0.001515599898993969,0.09897359972819686,717.5311036999337,30.0321945999749,,625.3647155999206,634.4481091997586,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,717.6644218000583,0.03293829970061779,0.13213099958375096,723.6812279000878,6.015473599545658,723.7477595997043,723.7477595997043,0.015605999622493982,0.11545039946213365,space,10.083663400262594,733.881056800019,733.881056800019,4.060007631778717e-05,0.09799290029332042,num_9,2.0621401998214424,735.9810953801032,0.0019366000778973103,0.09783530002459884,736.2977116000839,736.7643422800581,737.0642321999185,737.5642932797316,737.9643553998321,745.9643609998748,745.9643609998748,745.9643591800238,0.014554299879819155,0.11450280016288161,747.9809963000007,748.1644403999671,748.6474009999074,12.031043500173837,758.0974479001015,0.01711069978773594,758.0974479001015,0.11427580006420612,5.0,3.864877600222826,761.9979543997906,0.0023141000419855118,0.09837409993633628,767.9807247999124,768.1808390798512,6.214524399954826,6.297980000264943,769.1977046998218,798.1807033800985,798.1808197000064,36.21465090010315,36.31456140009686,799.197444899939,801.1974222999997,801.1974222999997,0.00026430003345012665,0.09794220002368093,831.2141104997136,30.014449500013143,,737.8643845999613,,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,831.3139422000386,0.015085499733686447,0.11439399980008602,837.31391789997,6.014393499586731,837.4139533997513,837.4139533997513,0.014523199759423733,0.11437439965084195,space,2.345169899985194,839.7974507999606,839.7974507999606,4.0499959141016006e-05,0.09764790022745728,num_9,3.361858700402081,843.1973360799718,0.0019632000476121902,0.09809570014476776,843.4971769996919,843.9975883797276,844.2972029997036,844.7804815801326,845.1973067997023,853.1974619999528,853.1974619999528,853.19728377969,0.0014618998393416405,0.09794209990650415,855.1972250998951,855.3804333996959,855.8805070999078,12.014404700137675,865.2971025998704,0.0009633000008761883,865.2971025998704,0.0979305999353528,6.0,3.1646459996700287,868.4972772998735,0.0024557001888751984,0.09803220024332404,874.4970754999667,874.6804247800726,6.214583199936897,6.314587399829179,875.697107499931,904.6802596798632,904.6802791999653,36.214400299824774,36.31442980002612,905.6970051000826,907.6803184999153,907.6803184999153,0.01448229979723692,0.11433639982715249,937.6801911997609,30.0143830999732,,845.0973816998303,854.197146399878,12.097892300225794,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,937.8134594997391,0.014898099936544895,0.11422339966520667,943.8301331000403,6.030876699835062,943.9134391997941,943.9134391997941,0.014335399493575096,0.11418909952044487,space,2.9260212001390755,946.8801155998372,946.8801155998372,3.280024975538254e-05,0.09810330020263791,num_9,1.4711728999391198,948.4135887799318,0.0021921000443398952,0.09803840005770326,948.7300610998645,949.1967358798254,949.4967601001263,950.0134792797733,950.3967546997592,958.3966981996782,958.3966981996782,958.3967419797088,0.014687299728393555,0.11467040004208684,960.3966894000769,960.6133872997016,961.1302058999427,12.03126349998638,970.5299150999635,0.017047099769115448,970.5299150999635,0.11447799997404218,4.0,2.19892660016194,972.7637057998218,0.0025077001191675663,0.09790880000218749,978.7799301999621,978.9466767799574,6.214580200146884,6.331089099869132,979.9465457997285,1008.963254579762,1008.9633009997196,36.23116059973836,36.3309565000236,1009.979837199673,,1011.9798106998205,0.016221999656409025,0.11434129998087883,1041.996337399818,30.030812799930573,,950.3300200998783,959.3966123000719,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
