Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_2.stopped,spit_sound.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_18.stopped,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.60074096075259,0.0004966999404132366,0.09000549977645278,19.881314700003713,20.081232180213554,20.331176800187677,20.59805718003772,20.88107859995216,0.025340199936181307,0.12315519992262125,20.00665869982913,40.89796780003235,40.964629999827594,0.011337599717080593,0.10656159976497293,46.964618999976665,6.0065108998678625,47.06456230022013,47.06456230022013,0.006609899457544088,0.10649479972198606,space,12.962022399995476,60.08128480007872,60.08128480007872,4.7999899834394455e-05,0.09606829984113574,num_9,5.393689000047743,65.51470248014667,0.0017958995886147022,0.09727109968662262,65.83128040004522,66.29791017980315,67.11468587988057,67.43125140015036,67.49794960021973,75.49799699988216,75.49799699988216,75.49799768007361,0.014049399644136429,0.11394199961796403,77.51467269985005,77.69795580022037,78.19797360012308,12.013954299967736,87.64786789985374,0.01650999952107668,87.64786789985374,0.13084809947758913,3.0,7.648625599686056,95.31494850013405,0.0027934997342526913,0.09753690008074045,101.31464570015669,101.49795008017682,6.214032699819654,6.314074600115418,102.49782680021599,131.49798468020745,131.4980402002111,36.214153999928385,36.31405059993267,132.49795260000974,134.4980174000375,134.4980174000375,0.014231599867343903,0.11415829975157976,164.4979544999078,30.01407209970057,,,,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,164.63133839983493,0.014812199864536524,0.11408409988507628,170.631368199829,6.014072499703616,170.73137779999524,170.73137779999524,0.013969999738037586,0.11408079974353313,space,3.5836848001927137,174.34803739981726,174.34803739981726,5.139969289302826e-05,0.09724009968340397,num_9,4.318934200331569,178.7147361802403,0.002390300389379263,0.09784660022705793,179.03149659978226,179.49795048017987,180.29804408024066,,180.69794370001182,188.69801389984787,188.69801389984787,188.69806177993306,0.014752699993550777,0.11471780017018318,190.71451690001413,190.91472620004788,191.41461690003052,12.01467110030353,200.83152410015464,0.017818199936300516,200.83152410015464,0.11467960011214018,6.0,4.031187399756163,204.89827270014212,0.00314809987321496,0.09808220015838742,210.91471990011632,211.0814011798706,6.214586200192571,6.314593700226396,212.08131270017475,241.0980329800863,241.09805040014908,36.23134840000421,36.33135880017653,242.09798859991133,244.09801810001954,244.09801810001954,0.00034189969301223755,0.09798619989305735,274.1147109000012,30.014683599583805,,,,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,274.21471250010654,0.01525829965248704,0.11471979971975088,280.21456030011177,6.031229299493134,280.31483130017295,280.31483130017295,0.014681999571621418,0.11443689977750182,space,1.696129399817437,282.06464549992234,282.06464549992234,4.3400097638368607e-05,0.11470160027965903,num_9,3.51394970016554,285.6147416800726,0.002172099892050028,0.09780609980225563,285.93135240022093,286.3980252801906,287.2147595801856,287.5313973999582,287.59804699989036,295.6148005002178,295.6148005002178,295.6147304799873,0.0014984998852014542,0.0978237995877862,297.614662299864,297.8146946001798,298.2979072998278,12.031147199682891,307.73117610020563,0.01617559976875782,307.73117610020563,0.11428729956969619,5.0,3.9991163997910917,311.7649473999627,0.002741800155490637,0.09769920026883483,317.764681099914,317.948048480181,6.2144577000290155,6.314363600220531,318.9479017001577,347.9479997799266,347.9479911001399,36.21437240019441,36.314312300179154,,350.94797259988263,350.94797259988263,0.014322599861770868,0.1143839000724256,380.9646267001517,30.031033399980515,286.6979402001016,296.6480502001941,,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,381.0812790999189,0.014779199846088886,0.1147079998627305,387.0644788998179,6.014075999613851,387.1646512001753,387.1646512001753,0.031584799755364656,0.13110899971798062,space,1.0787003999575973,388.29795189993456,388.29795189993456,3.589969128370285e-05,0.09803480003029108,num_9,3.0329518001526594,391.38129917983895,0.0020883004181087017,0.09811160014942288,391.68134560016915,392.18127917996605,392.9645815802272,393.2811520998366,393.3645708998665,401.38166720001027,401.38166720001027,401.3814765800256,0.0005833003669977188,0.09829900041222572,403.3811552999541,403.5478619001806,404.0479064998217,12.031537900213152,413.49787450022995,0.016566399950534105,413.49787450022995,0.11472460022196174,1.0,2.865700399968773,416.3983535999432,0.0026584998704493046,0.11503250012174249,422.4145363001153,422.58126927991395,6.214950799942017,6.314932100009173,423.5977692999877,452.58115938012486,452.58117699995637,36.21499360026792,36.31501330016181,453.58124529989436,455.5811653002165,455.5811653002165,0.01511229993775487,0.11487940000370145,485.5978922001086,30.031655400060117,392.49790890002623,402.38121439982206,6.0975098996423185,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,485.714397800155,0.015343199949711561,0.11478760000318289,491.73115690005943,6.031476799864322,491.8310870002024,491.8310870002024,0.031565099488943815,0.13125539990141988,space,1.0758313001133502,492.9644074002281,492.9644074002281,4.529999569058418e-05,0.09783119987696409,num_9,3.7989682001061738,496.814464980131,0.0021858997642993927,0.11478899978101254,497.13117669988424,497.5977384800557,498.41442567980846,498.73114359984174,498.7977292998694,506.814380900003,506.814380900003,506.8144827800337,0.0012156995944678783,0.09815039997920394,508.83102660020813,508.9976955000311,509.4808820001781,12.03128769993782,518.9476696997881,0.034146899823099375,518.9476696997881,0.13141579972580075,5.0,3.698266000021249,522.6810762002133,0.0018921000882983208,0.09900490008294582,528.681143200025,528.8642338801641,6.215628100093454,6.315671400167048,529.8811604999937,558.8643175799865,558.8642953000963,36.215759000275284,36.31584700010717,559.8811000999995,561.880991099868,561.880991099868,0.0013719000853598118,0.0989695000462234,591.8976544998586,30.015569199807942,497.89767119986936,507.8310600002296,,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.9976153001189,0.01585249975323677,0.11555579956620932,621.9975546002388,30.01566999964416,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,622.0974754001945,0.017377999611198902,0.11557839950546622,628.114255100023,6.0321592995896935,628.2141713001765,628.2141713001765,0.03246849961578846,0.1322411997243762,space,1.6530904998071492,629.9141202000901,629.9141202000901,4.589976742863655e-05,0.09782279981300235,num_9,3.536448100116104,633.5144557802472,0.0027991002425551414,0.09772410010918975,633.8309146999381,634.2975168799516,635.097462280048,635.3973604999483,635.4806642001495,643.4807735001668,643.5141886998899,643.5141409801785,0.030941199976950884,0.1309706000611186,645.5308175999671,645.7140859002247,646.21410309989,12.013897300232202,655.6139246998355,0.030749599914997816,655.6139246998355,0.1309307999908924,2.0,2.900304699782282,658.5475934999995,0.0017459001392126083,0.09932130016386509,664.5641168002039,664.7307304799091,6.215872500091791,6.316005399916321,665.7305596000515,694.7306557799224,694.7307862997986,36.216071700211614,36.316028700210154,695.7473475998268,697.7306335000321,697.7306335000321,0.015862099826335907,0.11580149969086051,727.7305597001687,30.015741999726743,634.5973467999138,644.530619900208,,,,,,,12.097238900139928,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,727.8637438998558,0.016186699736863375,0.1324638999067247,733.8636826998554,6.03228099970147,733.9470043000765,733.9470043000765,0.015651399735361338,0.09895879961550236,space,4.168104100041091,738.1638795002364,738.1638795002364,3.8300175219774246e-05,0.09803379978984594,num_9,3.6714558000676334,741.880316779809,0.001017499715089798,0.09932299982756376,742.1806340999901,742.6476875798311,743.4638387801591,743.7806116999127,743.8471470000222,751.8637207001448,751.8637207001448,751.8638866798486,0.01595669984817505,0.09947159979492426,753.8804440000094,754.0302813998424,754.5304662999697,11.999283900018781,763.9637162000872,0.0161120998673141,763.9637162000872,0.11600789986550808,7.0,2.863789100199938,766.8639366999269,0.0016141999512910843,0.09939050022512674,772.8637819997966,773.0304460798856,6.199150000233203,6.29932070011273,774.0303957001306,803.0471023799386,803.0469812001102,36.215851300396025,36.31572650000453,804.0636764001101,806.0469626998529,806.0469626998529,0.0157770998775959,0.11575650004670024,836.0635480000637,30.03236720012501,742.963868400082,752.8804982001893,,,,,,,12.08270510006696,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,836.1968907001428,0.033023799769580364,0.1323917000554502,842.2135319998488,6.0155976000241935,842.2801936999895,842.2801936999895,0.01575049990788102,0.11562319984659553,space,1.4349162001162767,843.7801835001446,843.7801835001446,6.370013579726219e-05,0.09795589977875352,num_9,2.87875819997862,846.6969290798064,0.0022884001955389977,0.09783450001850724,,847.4802058798726,848.2804524799343,848.5800948999822,848.6802445999347,856.6802827999927,856.6802827999927,856.6802974798251,0.014887699857354164,0.11462529981508851,858.6802400001325,858.8632995998487,859.3635086999275,12.014382800087333,868.796729200054,0.0010710000060498714,868.796729200054,0.09816400008276105,7.0,2.3978311996906996,871.2301337001845,0.003119800239801407,0.09742020023986697,877.2469083000906,877.4134330799337,6.21402300009504,6.314097499940544,878.4300788999535,907.4131423801649,907.3965218998492,36.213827200233936,36.3141675000079,908.430005799979,910.4133234000765,910.4133234000765,0.014101299922913313,0.11407799972221255,940.429888700135,30.03055309969932,847.7801049998961,857.6802683002315,,,,,,,12.097864999901503,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,940.5467778001912,0.014441499952226877,0.11401819996535778,946.5465076002292,6.013877199962735,946.6465146997944,946.6465146997944,0.013920099474489689,0.11384059954434633,space,1.564875100273639,948.2634840002283,948.2634840002283,4.950026050209999e-05,0.09780520014464855,num_9,3.163777300156653,951.4635190799366,0.0008368999697268009,0.1155320000834763,951.763109699823,952.2465373802464,953.046690380061,953.3631404000334,953.463233300019,,961.4798409999348,961.4799455798696,0.018393400125205517,0.11548290029168129,963.4796870998107,963.646605100017,964.1464828001335,12.032158500049263,973.6133355000056,0.03490369999781251,973.6133355000056,0.14873789995908737,7.0,2.2815824998542666,975.9134531999007,0.0016720001585781574,0.09912580018863082,981.896344800014,982.096298479801,6.215647600125521,6.315833000000566,983.1130542000756,1012.096331380168,1012.0962057998404,36.21553699998185,36.29879330005497,1013.11298479978,1015.0963273001835,1015.0963273001835,0.015738099813461304,0.11561769992113113,1045.112858099863,30.032318300101906,952.5631872001104,962.4797784998082,,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
